연월,서울,지방광역시_통합,부산,대구,인천,광주,대전,울산
2006,334.3863709479671,143.64831635372644,140.28679207042464,156.29234462503237,171.23741297839925,107.61934090476014,159.45550541068226,121.9995647860868
2007,354.8936775676328,152.97794611133676,150.65616096968512,147.76518802931565,205.69376344205367,108.64970772072212,146.3446692400738,138.15036299048919
2008,480.63959887825246,160.9499617844703,156.38765567980604,157.8577121305735,270.8125538649973,114.67763309527122,147.58740898643347,152.21268863975033
2009,535.1989607821732,172.7380836523773,175.02508531310255,160.0854965845057,276.68261056987956,124.9237959571646,170.57208898904227,170.66203917327968
2010,512.8090136344456,190.94696646990894,203.1156866633331,169.96644784833822,271.6324877791981,131.1785834300958,197.80378720605395,187.8547625320133
2011,497.9186928446063,221.35854536639428,251.9556454324645,203.40315698483016,266.1699904577177,164.35768100279134,235.6803394796968,210.81663805807992
2012,482.8758152055919,228.78412432987355,251.62629208345933,220.19842861105357,253.96609516633126,174.25537330427412,232.53802385165025,250.59437996208325
2013,482.6816384604528,244.45834956539986,258.4089056910187,245.85497777179876,259.7444560458956,186.44619581291067,244.71061234205638,255.4621417623657
2014,498.9102532164754,261.32751268398994,270.5239197460705,276.24604475991055,275.8539998928126,200.84373812989497,249.33228063498424,264.2445178853845
2015,528.9792919184678,280.4607234831985,288.50525613555266,306.33729076125695,297.30473457190254,219.06130079499326,249.00565374869458,278.8896168388426
2016,578.1626207249017,294.3622671884659,318.66580746198815,303.4816153583799,319.3841073910915,231.69961767235398,258.23723022293603,295.59360927405623
2017,656.3263156653597,306.91522299061677,339.8529894918847,318.3664248502576,331.2488229904851,248.62589739430305,267.39269484743613,301.3356232337497
2018,691.2087522637903,308.2033730488864,337.56633299656863,326.8316462709426,337.1506119109319,252.93578069377324,282.59277912673184,285.23415804604934
2019,860.2999931667492,317.5510165894553,357.86160380153893,322.50126095576667,339.5986662633928,255.0198021691415,293.1155869827981,294.9248524472379
2020,968.647684794122,352.1314648596058,376.16005482378023,350.72849799931237,361.96478951777357,287.9383935943258,338.7501788418271,330.56513292294005
2021,1219.560009884053,357.6897175347171,349.3901567566616,358.74570025588037,438.4154830770074,275.1803177459046,381.4034693536287,290.93559776961905
2022,1155.9744342268345,361.26939239753773,359.7674418655188,361.1355797740567,463.48407579431586,286.10701843257175,363.26722473965225,305.2601999766548
2023,1209.5317346525565,411.94966931011044,458.24700182901205,373.59709952922435,456.4453932417761,331.26883398457716,403.9574918189487,375.7618264661496
2024,1288.1522519684133,418.3923718214118,457.9417706478048,387.2784697124355,460.98785822475224,332.7646194622059,417.2188779465255,379.2519068027134
2025,1382.623273203536,435.9867506233483,488.0509945723261,398.11225354668255,481.1921772158618,343.09123453147913,430.77240013479167,398.3667276228652
