연도,서울,지방광역시_통합,부산,대구,인천,광주,대전,울산
2006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007,114.8154572568451,109.60255527702152,110.47794558305787,100.51036010971421,121.86651758522599,100.6117392738033,97.61617104100395,119.73390664240706
2008,138.82455466105588,120.46817235208641,117.74979364254787,105.85123368714576,154.07805006565272,107.88899626446334,97.38802609582464,126.82204401522458
2009,149.74236328244186,129.77731350921417,131.6202594328498,106.76030427579799,162.07410327613312,117.75515913164874,106.72564746284408,136.15288885389583
2010,149.48206055257958,144.1762691520357,151.30380205066925,116.1019085018159,161.32267026302682,132.42841731423826,123.98202064239236,147.9931412874424
2011,147.92272902013727,166.89878564960682,186.83551174266665,130.2005094711488,159.24866182745126,158.65307976273624,149.60315187496045,165.3435376426894
2012,142.225997805133,175.0434397180861,190.32065648940898,139.09597271987835,150.95771653916316,174.41051846453084,150.0674704246002,192.5785866399679
2013,141.48377300869865,183.18771399985667,193.5983411599298,153.38529468318654,152.42725776236836,187.64926316733923,154.71828244777413,197.35499458584138
2014,148.00962335713078,198.10627746283336,203.31096908693155,178.6470830318831,163.62341920329015,206.9076236063286,161.2931500274874,205.41598721495365
2015,159.5017190622457,216.45380695037085,219.41636805764725,205.720723563497,176.26249275894656,233.00128514002824,163.87896621954062,227.93204758817834
2016,175.00957641995626,232.86498923689288,247.50248269564426,203.2730283597122,191.3126573216103,245.42358854075385,170.91285450453364,246.7199992055631
2017,194.06536904453182,246.72401010708222,269.9542278474457,212.68407748144648,199.92646559964288,258.2379972526114,182.19358161396303,251.88693993980027
2018,220.34841354395078,253.80583708606173,268.0849975479121,228.28890845356008,206.4931385138601,271.25749685779147,188.07283030238796,234.63576174811624
2019,264.28603426359444,261.77669745582534,276.7298192427387,232.97102042571154,209.48466730256936,283.51016601539646,199.48583407616732,239.02249548937516
2020,302.1782282818228,288.2803085295224,296.1008192235856,252.82578059407066,231.6807072964843,304.7258058640675,239.52526689218476,262.62684731730076
2021,370.236959631482,320.09419355880516,308.3819739704968,271.05543644618683,279.2959958900618,327.23056695951664,289.4837640328973,288.6175372321113
2022,363.43309717873257,333.2774229115815,324.0749304223852,269.31984948968676,308.3821446563191,350.99865602945374,271.8805496810252,291.52438475555715
2023,364.6977885081883,337.595829543932,351.1702621929426,258.4263357615131,291.8922065168765,357.84334415169826,280.6064147826786,305.82133839280397
2024,387.17923582688167,346.1678838753207,351.9542201898298,266.4334969761373,306.22603726011886,361.77679400905845,286.7119061075496,316.8491777186217
2025,424.0333127261857,355.3094728942192,366.0644257069746,270.1044329801591,313.20835984786385,360.6169971920335,290.3702087989537,339.79836454598257
