시리즈,연월,중앙값_만원_m2
광주,2006-01,107.70202390909336
광주,2006-02,102.02871184060814
광주,2006-03,98.83515707730322
광주,2006-04,106.13207547169812
광주,2006-05,107.13684564888067
광주,2006-06,105.3862986029288
광주,2006-07,100.85014169028172
광주,2006-08,107.51791965327554
광주,2006-09,101.1901698803922
광주,2006-10,112.17884377856133
광주,2006-11,124.09747292418773
광주,2006-12,118.37643037991086
광주,2007-01,118.49319106290162
광주,2007-02,110.07932722838103
광주,2007-03,107.27611940298509
광주,2007-04,107.10069151627593
광주,2007-05,105.497646267653
광주,2007-06,101.6548463356974
광주,2007-07,108.46691205118003
광주,2007-08,111.69459031424523
광주,2007-09,108.33333333333333
광주,2007-10,106.93400167084377
광주,2007-11,107.1547223540579
광주,2007-12,111.1111111111111
광주,2008-01,109.02389727737487
광주,2008-02,109.5
광주,2008-03,114.338173927558
광주,2008-04,124.65021622996693
광주,2008-05,111.69459031424523
광주,2008-06,115.0575287643822
광주,2008-07,117.2968566128807
광주,2008-08,115.60004767012275
광주,2008-09,106.2007790056752
광주,2008-10,106.95419760092054
광주,2008-11,132.69620037949232
광주,2008-12,113.11910936063572
광주,2009-01,113.7059412829156
광주,2009-02,107.76224953695909
광주,2009-03,116.73476194446759
광주,2009-04,123.7415686449909
광주,2009-05,139.11128903122497
광주,2009-06,126.93258812177706
광주,2009-07,123.56386427745149
광주,2009-08,124.7170909459731
광주,2009-09,126.91729985175317
광주,2009-10,129.447857814473
광주,2009-11,129.15013288245322
광주,2009-12,137.30090715153608
광주,2010-01,129.6272990836293
광주,2010-02,133.36667500208387
광주,2010-03,129.31543725604132
광주,2010-04,125.37167317940444
광주,2010-05,129.8241472913962
광주,2010-06,130.98555181390353
광주,2010-07,120.45347861339098
광주,2010-08,127.52125354225704
광주,2010-09,134.89590121630363
광주,2010-10,135.25753198820428
광주,2010-11,134.9527665317139
광주,2010-12,142.5712856428214
광주,2011-01,145.8144698747392
광주,2011-02,148.7389523604225
광주,2011-03,166.66666666666666
광주,2011-04,158.88452548101793
광주,2011-05,154.74318820485522
광주,2011-06,171.61000353810618
광주,2011-07,164.89211426924084
광주,2011-08,164.89988221436982
광주,2011-09,170.15313952863994
광주,2011-10,168.46361185983827
광주,2011-11,178.89886955472264
광주,2011-12,178.5267484808769
광주,2012-01,171.13471589951104
광주,2012-02,170.94017094017093
광주,2012-03,166.6638889814784
광주,2012-04,170.7158355513434
광주,2012-05,172.1832163156135
광주,2012-06,173.544526970596
광주,2012-07,168.6318916206436
광주,2012-08,175.21514397967505
광주,2012-09,181.19675148973664
광주,2012-10,181.1449159327462
광주,2012-11,180.02117896223086
광주,2012-12,179.6722430075439
광주,2013-01,183.13693750566142
광주,2013-02,181.84042690827866
광주,2013-03,180.0475393256171
광주,2013-04,182.53042173695616
광주,2013-05,181.69694949158193
광주,2013-06,180.0450112528132
광주,2013-07,184.92343934040045
광주,2013-08,186.5222623345367
광주,2013-09,187.40172353077733
광주,2013-10,192.339856163238
광주,2013-11,196.81976966194142
광주,2013-12,200.05001250312577
광주,2014-01,195.38606403013185
광주,2014-02,198.84692316743147
광주,2014-03,197.51646107684616
광주,2014-04,196.89010504925477
광주,2014-05,199.05781437707935
광주,2014-06,191.95046439628481
광주,2014-07,199.79360165118678
광주,2014-08,201.4675897370546
광주,2014-09,207.7431539187913
광주,2014-10,205.53847623704934
광주,2014-11,207.60087058429602
광주,2014-12,208.33333333333334
광주,2015-01,209.08179397981144
광주,2015-02,212.11878652045147
광주,2015-03,209.4364042828568
광주,2015-04,211.6447823082239
광주,2015-05,213.33333333333334
광주,2015-06,215.6109035663139
광주,2015-07,217.16409243990245
광주,2015-08,224.32113341204249
광주,2015-09,230.94832809463134
광주,2015-10,227.10397714369094
광주,2015-11,227.32626619552414
광주,2015-12,230.6458082631368
광주,2016-01,230.78094367993302
광주,2016-02,235.70126734328636
광주,2016-03,230.58288076154412
광주,2016-04,227.0618615848814
광주,2016-05,225.03750625104183
광주,2016-06,225.11255627813907
광주,2016-07,225.024378406785
광주,2016-08,229.4653457444155
광주,2016-09,233.79725102391205
광주,2016-10,241.178567185458
광주,2016-11,235.45240497813657
광주,2016-12,241.20044883071478
광주,2017-01,246.3316713840761
광주,2017-02,236.91388495293404
광주,2017-03,244.94865089819967
광주,2017-04,242.58437399083914
광주,2017-05,247.24072798149393
광주,2017-06,247.4810047282565
광주,2017-07,248.45756211439053
광주,2017-08,249.76144025787914
광주,2017-09,252.42467362567243
광주,2017-10,255.63403969054826
광주,2017-11,251.25628140703517
광주,2017-12,260.4764577003117
광주,2018-01,255.66261061553567
광주,2018-02,257.51620097626665
광주,2018-03,253.46006336501586
광주,2018-04,250.38590116203196
광주,2018-05,252.04062894938662
광주,2018-06,250.44431768360812
광주,2018-07,243.96309762076768
광주,2018-08,261.569416498994
광주,2018-09,271.7867685729783
광주,2018-10,247.94842317769593
광주,2018-11,247.0904800412369
광주,2018-12,243.36145966176116
광주,2019-01,247.67801857585138
광주,2019-02,241.78756044689013
광주,2019-03,240.5944097181271
광주,2019-04,243.36261159321063
광주,2019-05,244.17021524138863
광주,2019-06,253.5615387181797
광주,2019-07,250.71034598027745
광주,2019-08,260.4166666666667
광주,2019-09,270.3785299419187
광주,2019-10,258.96659330946306
광주,2019-11,275.98297789977426
광주,2019-12,272.6281579379505
광주,2020-01,287.3130740446871
광주,2020-02,270.98576388465233
광주,2020-03,266.229801572508
광주,2020-04,258.22309194177114
광주,2020-05,269.95886012442304
광주,2020-06,290.2546231659244
광주,2020-07,278.97984220163585
광주,2020-08,282.81766643828223
광주,2020-09,302.9980365964111
광주,2020-10,320.75471698113205
광주,2020-11,331.8074512426875
광주,2020-12,294.93779493779493
광주,2021-01,265.1664692722727
광주,2021-02,266.4265492305524
광주,2021-03,264.1864590286902
광주,2021-04,269.3197780764605
광주,2021-05,279.0160145286445
광주,2021-06,271.22641509433964
광주,2021-07,263.7680582581469
광주,2021-08,276.8549280177187
광주,2021-09,276.2782998632055
광주,2021-10,283.4041843794282
광주,2021-11,284.4220231364704
광주,2021-12,302.0946340649253
광주,2022-01,279.6124399289358
광주,2022-02,271.0735941029604
광주,2022-03,289.85748979210587
광주,2022-04,310.7514379915616
광주,2022-05,272.7576974564926
광주,2022-06,286.2434753325476
광주,2022-07,285.9496352082843
광주,2022-08,280.56112224448896
광주,2022-09,301.4886327094106
광주,2022-10,274.79578393063065
광주,2022-11,280.22417934347476
광주,2022-12,299.96873314996776
광주,2023-01,334.21149699590785
광주,2023-02,342.7672955974843
광주,2023-03,325.99741085088857
광주,2023-04,329.47727254006975
광주,2023-05,317.19904668827047
광주,2023-06,333.77128529071126
광주,2023-07,350.4710926543918
광주,2023-08,353.2320734722713
광주,2023-09,343.782842332847
광주,2023-10,316.8908806184973
광주,2023-11,317.23143475126176
광주,2023-12,310.1938760223244
광주,2024-01,311.9407025415299
