도시,지역,연월,중앙값_만원_m2
광주,광주_광산구,2006-01,100.65833335582661
광주,광주_광산구,2006-02,100.33050047214353
광주,광주_광산구,2006-03,94.26092759426093
광주,광주_광산구,2006-04,86.09160815780675
광주,광주_광산구,2006-05,103.65135453474676
광주,광주_광산구,2006-06,104.79213418784411
광주,광주_광산구,2006-07,97.581317764804
광주,광주_광산구,2006-08,122.8654163622094
광주,광주_광산구,2006-09,101.51085930122757
광주,광주_광산구,2006-10,114.23860558238135
광주,광주_광산구,2006-11,125.37167317940444
광주,광주_광산구,2006-12,100.0
광주,광주_광산구,2007-01,108.24404111086815
광주,광주_광산구,2007-02,103.20982667481351
광주,광주_광산구,2007-03,100.38783067769558
광주,광주_광산구,2007-04,91.31045554886614
광주,광주_광산구,2007-05,104.25982584137444
광주,광주_광산구,2007-06,89.90567930965283
광주,광주_광산구,2007-07,102.15565171956432
광주,광주_광산구,2007-08,107.9314514939681
광주,광주_광산구,2007-09,106.13809987316758
광주,광주_광산구,2007-10,105.9751510173678
광주,광주_광산구,2007-11,105.96820123398196
광주,광주_광산구,2007-12,106.95456289401028
광주,광주_광산구,2008-01,104.91916064671483
광주,광주_광산구,2008-02,102.69121813031161
광주,광주_광산구,2008-03,106.85865495106879
광주,광주_광산구,2008-04,126.6973771302877
광주,광주_광산구,2008-05,107.37017859641843
광주,광주_광산구,2008-06,107.9733818469601
광주,광주_광산구,2008-07,112.10114118961731
광주,광주_광산구,2008-08,105.56210228611832
광주,광주_광산구,2008-09,105.20353982300885
광주,광주_광산구,2008-10,105.24446549070676
광주,광주_광산구,2008-11,110.12705158242078
광주,광주_광산구,2008-12,108.5872823987372
광주,광주_광산구,2009-01,113.59754751625597
광주,광주_광산구,2009-02,106.46036072936822
광주,광주_광산구,2009-03,107.53004949328306
광주,광주_광산구,2009-04,117.73498652961125
광주,광주_광산구,2009-05,187.11923411662315
광주,광주_광산구,2009-06,134.93000505987519
광주,광주_광산구,2009-07,123.56386427745149
광주,광주_광산구,2009-08,124.70350014463408
광주,광주_광산구,2009-09,120.16021361815754
광주,광주_광산구,2009-10,131.67171364236356
광주,광주_광산구,2009-11,132.01335507415172
광주,광주_광산구,2009-12,122.98884213943711
광주,광주_광산구,2010-01,129.23424914487475
광주,광주_광산구,2010-02,136.9048740065539
광주,광주_광산구,2010-03,123.56386427745149
광주,광주_광산구,2010-04,120.03123799424841
광주,광주_광산구,2010-05,125.90738629209808
광주,광주_광산구,2010-06,138.03660991564954
광주,광주_광산구,2010-07,118.03931884351479
광주,광주_광산구,2010-08,113.7884872824632
광주,광주_광산구,2010-09,115.60693641618498
광주,광주_광산구,2010-10,121.12200745109178
광주,광주_광산구,2010-11,136.2593145090103
광주,광주_광산구,2010-12,158.94261335117952
광주,광주_광산구,2011-01,134.05362144857943
광주,광주_광산구,2011-02,141.67375035418436
광주,광주_광산구,2011-03,195.70902077109355
광주,광주_광산구,2011-04,155.80736543909347
광주,광주_광산구,2011-05,133.78228583540957
광주,광주_광산구,2011-06,178.40174110290286
광주,광주_광산구,2011-07,164.9049983320461
광주,광주_광산구,2011-08,167.7723653257204
광주,광주_광산구,2011-09,176.7080006314366
광주,광주_광산구,2011-10,167.81333572645676
광주,광주_광산구,2011-11,189.42714173268183
광주,광주_광산구,2011-12,189.42714173268183
광주,광주_광산구,2012-01,166.7980036774363
광주,광주_광산구,2012-02,169.39062669120034
광주,광주_광산구,2012-03,172.10892372981257
광주,광주_광산구,2012-04,177.50838835371795
광주,광주_광산구,2012-05,181.92693018222363
광주,광주_광산구,2012-06,178.04964443027058
광주,광주_광산구,2012-07,170.93009548508783
광주,광주_광산구,2012-08,184.45793169106273
광주,광주_광산구,2012-09,182.96305096827848
광주,광주_광산구,2012-10,182.59826731915115
광주,광주_광산구,2012-11,182.54563640910226
광주,광주_광산구,2012-12,171.79300120019766
광주,광주_광산구,2013-01,180.18951697432357
광주,광주_광산구,2013-02,176.519806110645
광주,광주_광산구,2013-03,173.50684017350684
광주,광주_광산구,2013-04,178.91654789084185
광주,광주_광산구,2013-05,182.02546820076805
광주,광주_광산구,2013-06,167.54138070246265
광주,광주_광산구,2013-07,183.7822070420347
광주,광주_광산구,2013-08,186.0826706186138
광주,광주_광산구,2013-09,186.6136957109079
광주,광주_광산구,2013-10,191.7840653486445
광주,광주_광산구,2013-11,197.1170369771344
광주,광주_광산구,2013-12,203.83540467808146
광주,광주_광산구,2014-01,196.42249086602988
광주,광주_광산구,2014-02,194.84740082536808
광주,광주_광산구,2014-03,197.9949874686717
광주,광주_광산구,2014-04,191.5243914044805
광주,광주_광산구,2014-05,200.4249007896741
광주,광주_광산구,2014-06,209.6749637409219
광주,광주_광산구,2014-07,207.64119601328903
광주,광주_광산구,2014-08,215.57143548097807
광주,광주_광산구,2014-09,212.1878851513942
광주,광주_광산구,2014-10,202.3414324007952
광주,광주_광산구,2014-11,204.60990882963134
광주,광주_광산구,2014-12,202.8652217411417
광주,광주_광산구,2015-01,203.55170213234163
광주,광주_광산구,2015-02,205.99042092268525
광주,광주_광산구,2015-03,203.55170213234163
광주,광주_광산구,2015-04,212.3169104929216
광주,광주_광산구,2015-05,221.26420373436878
광주,광주_광산구,2015-06,219.13429471453583
광주,광주_광산구,2015-07,215.1769798828622
광주,광주_광산구,2015-08,223.34450055836126
광주,광주_광산구,2015-09,240.00868041222523
광주,광주_광산구,2015-10,242.77020833075363
광주,광주_광산구,2015-11,235.01532088240765
광주,광주_광산구,2015-12,235.55333224296737
광주,광주_광산구,2016-01,235.88076698990193
광주,광주_광산구,2016-02,239.79747995464862
광주,광주_광산구,2016-03,234.03950340109873
광주,광주_광산구,2016-04,235.35638551258825
광주,광주_광산구,2016-05,221.67406001682093
광주,광주_광산구,2016-06,215.27075257161988
광주,광주_광산구,2016-07,216.84737281067555
광주,광주_광산구,2016-08,217.68893233140847
광주,광주_광산구,2016-09,228.5424496747858
