연월,서울,지방광역시_통합,부산,대구,인천,광주,대전,울산
2006-01-01,,,,,,,,
2006-02-01,,,,,,,,
2006-03-01,,,,,,,,
2006-04-01,,,,,,,,
2006-05-01,,,,,,,,
2006-06-01,,,,,,,,
2006-07-01,,,,,,,,
2006-08-01,,,,,,,,
2006-09-01,,,,,,,,
2006-10-01,,,,,,,,
2006-11-01,,,,,,,,
2006-12-01,334.3863709479671,143.64831635372644,140.28679207042464,156.29234462503237,171.23741297839925,107.61934090476014,159.45550541068226,121.9995647860868
2007-01-01,333.0297707009305,143.4467611141702,141.13142215251455,154.97853081121858,173.2480363227331,108.51860483424416,158.09089261756185,124.3364351288276
2007-02-01,334.33946468000903,143.77379807635472,141.84942076477304,154.12670715443144,175.1081763058087,109.1894894498919,155.8444254284557,126.31763459140733
2007-03-01,332.2012792075804,144.57282062852147,142.63228208782235,153.85732894199185,176.49160529217735,109.89290297703205,154.52420500249642,128.35996173903138
2007-04-01,331.1408789984922,145.35123494611128,143.66432864751292,153.45639824279175,178.26866239219729,109.97362098074689,153.12201428816178,130.13695294404027
2007-05-01,331.5326388570214,145.58459769979973,144.21820824158127,153.39681595941337,181.06212570423972,109.83702103231123,151.61356713495823,131.02828612694313
2007-06-01,334.9832051975392,147.7986104380708,145.37607044874602,150.49677970271867,183.77109499177047,109.52606667670862,152.15104677715235,133.1574727224143
2007-07-01,338.78730557368624,149.50885739932474,146.0540838062428,150.7520260461691,186.35960618600757,110.1607975401168,152.25234625576255,135.98593495111825
2007-08-01,342.0527528023688,149.83975929744898,146.71053258642925,148.53042776897504,189.43901314564417,110.50885342853097,149.4718549603298,136.86433343767058
2007-09-01,344.453145442971,151.39997313219882,147.82964122767567,148.55157955521935,193.0295691853958,111.10411704960939,148.7389226746682,139.01120419217298
2007-10-01,345.2786376691385,152.51518219216982,148.73836885871586,148.54945691521178,197.16401946886478,110.66704687396627,148.07376246673255,139.703806761211
2007-11-01,349.9271006730898,153.42419633037997,150.29426588570666,150.39371655823265,201.2783273303656,109.25515099312211,146.83052590817383,137.3938770432516
2007-12-01,354.8936775676328,152.97794611133676,150.65616096968515,147.76518802931565,205.69376344205367,108.64970772072212,146.3446692400738,138.15036299048919
2008-01-01,361.3226978558584,153.74812466374038,151.426771778688,147.29031830640767,210.44826404555656,107.86059990526155,146.85694741167455,138.64660823921787
2008-02-01,368.07133009236145,154.70464992828346,151.81546806275318,147.44972012651453,214.75075157949917,107.8123226362298,147.78056990247083,139.7521420966104
2008-03-01,377.02513466425876,156.4765581693943,152.33880122373432,148.04855469762234,220.11745680125026,108.4008271799442,148.5379730451033,141.03612718029424
2008-04-01,388.3323169300249,158.08943650074193,153.4685776826391,148.53236512101202,226.19136003792792,109.86328757275179,149.35354522211014,142.5356195947808
2008-05-01,401.49966274092253,160.75110369324148,154.44726687659826,149.71656522905957,232.50693385788085,110.37969957663448,150.74996731620695,144.41883127394723
2008-06-01,412.9816765825437,162.5143693988145,155.17424063031595,153.42533412706976,238.8864635210803,111.49658977902489,149.62802037689735,145.49523424761017
2008-07-01,424.3943766196425,162.60928766655334,155.68272033038346,154.82941719183285,245.69007707629922,112.23241849249995,147.86149300256264,145.5041411514919
2008-08-01,436.1882698135775,163.80246260760092,156.66487543326932,157.28836010782194,251.00676239796402,112.55787327215639,149.78460331874888,146.13541326083956
2008-09-01,446.367813489939,162.21797420779978,156.3081516446439,155.60536780175318,256.7957547657407,112.38016041151822,149.15043939975152,146.45962416743427
2008-10-01,454.7760591754099,161.09018286103884,156.15344884178361,155.24411001823626,261.4394718810324,112.38184340569127,148.4794600779429,148.0960860571354
2008-11-01,466.859515547209,160.4989129368085,156.09422253769046,155.25569683250777,266.347994489528,114.51029990781082,147.59023582182166,151.58415255309959
2008-12-01,480.6395988782524,160.9499617844703,156.38765567980607,157.8577121305735,270.8125538649973,114.67763309527122,147.58740898643347,152.21268863975033
2009-01-01,496.9052883991688,160.71587791922312,155.9552659592911,158.83493802321055,274.3302662753083,115.06780342906627,147.875398558228,153.04551576784553
2009-02-01,507.8642573637653,159.93162248752498,156.25227688267222,157.7046019229589,277.29815062477496,114.92299089047953,148.61470710296433,155.03995722132774
2009-03-01,515.9882516533481,159.15601387210359,157.28760618439003,157.25109363913643,278.66129780713584,115.12270655855532,149.58676309069162,155.3518669204311
2009-04-01,522.1044896365332,159.2815561181075,157.24415716042975,157.61633580466776,279.56259602446727,115.046985926474,150.62446439991868,156.78068959685456
2009-05-01,524.2743622935192,159.3604561907267,158.56539232753707,155.7652599745094,279.82450619033153,117.33171081955565,151.85491266415997,158.45281933433787
2009-06-01,527.6113298917453,159.98508794962885,160.28735809025062,155.70524015550635,279.78877346519016,118.32129909933853,153.260228166408,159.5378206835576
2009-07-01,530.5729644930581,160.52632241900184,162.72873324130674,154.9493165402119,279.5336121826677,118.84354973805277,156.793849519311,161.83639197615028
2009-08-01,533.9040305779492,163.30396421455976,164.78845701190264,156.3159937052262,280.35396829192484,119.60330334437363,161.44275450163533,164.99281055038563
2009-09-01,536.0329183269916,165.03363780016875,166.98226959325896,156.53013039465716,279.97584995889434,121.32968008154678,161.8602022583291,167.03699360347616
2009-10-01,538.2557212953666,167.7134440528509,169.25392184522113,158.5153676123735,279.5888156156622,123.2041517660095,164.43210153221492,167.9218266741518
2009-11-01,536.6308898178113,170.151535793004,172.15190453746212,158.9998374657495,278.1899606798912,122.90864614125623,167.85931285083134,169.5181847520836
2009-12-01,535.1989607821732,172.7380836523773,175.02508531310255,160.0854965845057,276.68261056987956,124.92379595716461,170.57208898904227,170.66203917327968
2010-01-01,531.6943110046755,175.04136472528216,177.9702590661498,161.55371950078137,276.72227966237296,126.25057577389073,173.21073985814738,172.0975855178319
2010-02-01,529.7853341881331,177.20223841895054,181.2187084519662,162.01479401285533,277.33860258830725,128.38427789598447,175.59293638231694,172.72279392063282
2010-03-01,527.5972798198694,178.6617268693533,182.8005513339973,162.54893318974453,277.7728429586133,129.4326675052823,177.08815382400914,174.16226040725806
2010-04-01,522.5106170600926,179.5604323594629,184.87119505087762,162.52653618147448,277.1715708428416,129.56850954981675,178.63114811814998,173.61594075358744
2010-05-01,519.582401063645,180.03229261632498,186.8054189250618,163.8797421426811,276.7316459330649,128.7945810714977,179.57763050306926,173.57734342625955
2010-06-01,516.59231570366,181.06925408503741,188.3610555269978,164.83628043869774,275.8723867369387,129.13232804584155,182.02780856107145,177.55603378794774
2010-07-01,514.9287948965886,182.2801345950827,189.77282096017962,164.93795784907454,274.787264733003,128.87312924050318,184.06306515323692,177.54557145152236
2010-08-01,512.5433744151725,181.53816078821475,191.09528564865911,164.13347363231998,272.98580492429744,129.1068094568602,183.83250848373157,179.21363433072574
2010-09-01,510.59033348686177,183.88468587400325,193.9119234701682,167.01139109660477,271.9662209250205,129.77169290390606,188.22263721916502,180.83911087710294
2010-10-01,511.0262941358003,185.6172816696588,196.52636401882708,167.47680602872938,271.35185016003476,130.25583241838365,191.02906812243938,182.9546091164615
2010-11-01,513.500397653922,188.20863746597755,199.39738916162094,168.96215346762742,271.17457673835423,130.73938522248872,194.40499702126297,185.08877861139524
2010-12-01,512.8090136344456,190.94696646990897,203.1156866633331,169.96644784833822,271.6324877791981,131.1785834300958,197.80378720605393,187.85476253201327
2011-01-01,509.99386113574883,193.8422985636804,207.07370749925386,171.61162494976813,271.05242263505716,132.527514329355,201.14061979641008,189.8663425700532
2011-02-01,508.3364999660267,196.89407157914786,210.29217043667097,175.2659319484196,270.6305554888301,133.80853744254986,204.9058903915056,190.92285130654466
2011-03-01,507.1010065559039,199.50718167414445,214.75157551440307,177.42229160171226,270.56725110406,136.9211398934353,209.91515827184412,191.40860613888478
2011-04-01,507.8831215435134,202.03402922889984,219.37918715933162,179.94601440701567,270.3202056712253,139.71387758523642,213.63436889933018,193.45852218708328
2011-05-01,508.6020699666551,205.34515699275406,224.0649464694135,183.21304982088398,270.068497652527,141.79046432802468,219.0697245434541,195.65908757678164
2011-06-01,507.64210818916644,207.87959584315044,228.54008507702994,185.57690324938577,269.48723773028047,145.17583530504157,223.10453218583243,195.66363348310608
2011-07-01,507.132719589064,211.13905492907182,232.84831604625015,188.97116966646675,269.23380772623926,148.87905494302905,225.94891511030426,198.93832513124198
2011-08-01,504.8684231290243,214.0653642776065,237.48071351552548,192.30077247889866,269.60469433975544,151.99394066570514,228.51239879967378,200.01538674345457
2011-09-01,504.73315250129843,216.8021121836807,241.49173600666686,195.6413053145911,269.1104750222684,154.93204385839982,230.668208270852,203.3031797598727
2011-10-01,503.7761188508494,219.3249215600141,246.78244576693734,198.01442562539614,268.6871511360379,157.699217181036,233.08356315920676,206.4140311714012
2011-11-01,500.2523877506951,220.6807332020651,250.2038242613688,200.52539231173589,267.85516159358855,161.36139243295338,234.16326515150635,208.46393038421434
2011-12-01,497.91869284460626,221.35854536639428,251.9556454324645,203.40315698483016,266.1699904577177,164.35768100279134,235.6803394796968,210.81663805807992
2012-01-01,495.40007354070787,222.25459634760637,253.55978693415435,205.75529011888204,265.19311998858353,166.46770150485565,236.42714470381915,214.33990236008137
2012-02-01,493.9084722329455,223.4613602129762,255.14735842488582,208.114428240571,263.92652315207374,168.31780305316803,236.5750597626225,218.906144646338
2012-03-01,492.90168768957557,224.63088674889494,255.96254503595853,210.34354442662973,262.985276008525,168.31757157940234,235.10991815150047,224.07068873041044
2012-04-01,492.5776855092375,225.85126300461545,256.5053869526618,212.12795842254,261.9698414025136,169.3035140852628,234.9296391970818,228.7719959513089
2012-05-01,492.94995092080694,226.24703011260303,255.18461228157128,213.75563528478574,261.1157610971089,170.75684976115932,233.25986946080036,232.4403305299621
2012-06-01,491.4789450255831,226.45946618272478,255.18104572626189,214.92285798924055,260.10355745453927,170.91806004720016,232.57038022026697,234.95643561794722
2012-07-01,488.5284757548677,226.49836656837996,254.9381067157722,215.74500363802136,258.52027321864733,171.22970815981705,231.71702766363606,238.0067554412641
