단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
광주선운지구EGthe12단지,2014,32000,2022,9,1,84.9827,4,선암동,560,12330,직거래,,
모아,1997,15100,2022,9,1,59.52,12,송정동,593,12330,중개거래,,
삼라,1997,7500,2022,9,1,59.94,9,소촌동,594-1,12330,직거래,,
수완지구호반베르디움2차,2013,48700,2022,9,1,84.9462,14,장덕동,1043,12330,중개거래,,
신창3차부영사랑으로,2006,22600,2022,9,1,59.748,15,신창동,1110,12330,중개거래,,
신창3차부영사랑으로,2006,22500,2022,9,1,59.748,8,신창동,1110,12330,중개거래,,
어등산대방노블랜드,2013,72500,2022,9,1,133.02,3,산정동,1125,12330,직거래,,
우미,1997,11400,2022,9,1,60,12,도산동,1077-1,12330,중개거래,,
하남주공(2단지),1991,8300,2022,9,1,44.52,2,우산동,1571-1,12330,직거래,,
호반,1998,7190,2022,9,1,37.83,19,비아동,152-5,12330,중개거래,,
호반,1998,7190,2022,9,1,37.83,19,비아동,152-5,12330,중개거래,,
부영애시앙1차(산정셀트리움),2008,30000,2022,9,2,84.8198,16,산정동,1119,12330,중개거래,,
수완GS자이,2008,73000,2022,9,2,121.5193,9,장덕동,1116,12330,중개거래,,
운남주공3단지,1996,16267,2022,9,2,59.76,14,운남동,777-1,12330,중개거래,,
대화,1995,11100,2022,9,3,59.99,5,소촌동,440-1,12330,중개거래,,
대화,1995,11000,2022,9,3,59.99,3,소촌동,440-1,12330,중개거래,,
부영사랑으로7차,2007,31500,2022,9,3,84.9931,4,산월동,886-2,12330,중개거래,,
삼성,1996,16200,2022,9,3,59.91,20,운남동,387-22,12330,중개거래,,
신창동모아미래도,2000,9450,2022,9,3,47.7,7,신창동,462-2,12330,중개거래,,
운남주공7단지,2001,22900,2022,9,3,59.29,16,운남동,794-3,12330,중개거래,,
하남주공(2단지),1991,8400,2022,9,3,44.52,11,우산동,1571-1,12330,중개거래,,
송정역숲안애아파트,2018,24700,2022,9,4,83.547,11,도산동,1316,12330,중개거래,,
수완지구호반베르디움2차,2013,47500,2022,9,4,84.9462,9,장덕동,1043,12330,중개거래,,
운남주공10단지,2003,22000,2022,9,4,59.92,15,월곡동,685-1,12330,중개거래,,
운남주공8단지,2000,20500,2022,9,4,59.41,5,운남동,781-1,12330,직거래,,
라인2,1998,13000,2022,9,5,59.87,12,송정동,918-3,12330,직거래,,
모아드림타운2차,2001,15400,2022,9,5,59.7128,11,소촌동,290-46,12330,중개거래,,
운남주공5단지,1997,29700,2022,9,5,84.77,19,운남동,769-1,12330,중개거래,,
금호훼밀리파크,1994,17500,2022,9,6,84.99,1,소촌동,46-2,12330,중개거래,,
라인2차,1997,13600,2022,9,6,59.9,6,소촌동,97-1,12330,중개거래,,
리버힐,1992,9550,2022,9,6,49.72,5,우산동,1602-2,12330,중개거래,,
부영애시앙2차,2008,29000,2022,9,6,84.8198,8,산정동,1056,12330,중개거래,,
에드가리움,2017,14000,2022,9,6,44.9509,14,우산동,1576-5,12330,중개거래,,
운남주공5단지,1997,29700,2022,9,6,84.77,19,운남동,769-1,12330,중개거래,,
중흥2,1998,16000,2022,9,6,59.955,12,신가동,302-25,12330,중개거래,,
한양에드가301동,2013,6600,2022,9,6,23.28,8,쌍암동,694-129,12330,직거래,,
한양에드가301동,2013,6600,2022,9,6,23.28,7,쌍암동,694-129,12330,직거래,,
호반2차,1998,14500,2022,9,6,59.95,7,도산동,782,12330,중개거래,,
모아,1997,14000,2022,9,7,59.52,9,송정동,593,12330,중개거래,,
부영사랑으로7차,2007,33650,2022,9,7,84.9931,8,산월동,886-2,12330,중개거래,,
송정우방아이유쉘아파트,2019,43300,2022,9,7,84.9538,8,도산동,1317,12330,중개거래,,
우미,1997,10000,2022,9,7,60,7,도산동,1077-1,12330,중개거래,,
운남주공8단지,2000,20300,2022,9,7,59.41,6,운남동,781-1,12330,중개거래,,
정원씨티캐슬,2013,12500,2022,9,7,38.9235,12,신창동,1128-4,12330,중개거래,,
첨단라인7,1997,27800,2022,9,7,84.83,5,월계동,761-5,12330,중개거래,,
풍영리버빌(신가부영),2001,26900,2022,9,7,84.9873,1,신창동,1108-1,12330,중개거래,,
하남2지구중흥S-클래스,2013,43000,2022,9,7,84.9924,13,산정동,1060,12330,직거래,,
골드클래스,2013,42000,2022,9,8,59.9817,23,장덕동,1046,12330,중개거래,,
신창3차부영사랑으로,2006,22500,2022,9,8,59.748,3,신창동,1110,12330,중개거래,,
어등하이빌,1992,13000,2022,9,8,59.67,15,우산동,1572-6,12330,중개거래,,
제일파크맨션,1992,17300,2022,9,8,78.38,9,우산동,1572-1,12330,중개거래,,
코오롱하늘채,2008,74500,2022,9,9,103.71,7,수완동,913,12330,중개거래,,
금강3차,2000,14100,2022,9,13,59.84,9,송정동,238,12330,중개거래,,
대덕,1991,7600,2022,9,13,49.5,10,우산동,1039-5,12330,중개거래,,
신창동모아미래도,2000,9100,2022,9,13,47.7,2,신창동,462-2,12330,직거래,,
호반,1998,8500,2022,9,13,37.83,20,비아동,152-5,12330,직거래,,
호반,1998,7800,2022,9,13,39.68,17,비아동,152-5,12330,중개거래,,
대화,1998,13200,2022,9,14,59.91,4,송정동,202,12330,중개거래,,
수완지구호반베르디움2차,2013,41000,2022,9,14,84.9462,2,장덕동,1043,12330,중개거래,,
운남주공10단지,2003,30000,2022,9,14,84.86,1,월곡동,685-1,12330,중개거래,,
운남주공5단지,1997,27500,2022,9,14,84.77,14,운남동,769-1,12330,중개거래,,
이지더원1단지,2014,43000,2022,9,14,84.9827,6,선암동,582,12330,중개거래,,
첨단AM-City3차,2013,8500,2022,9,14,30.1942,9,쌍암동,661-8,12330,직거래,,
광주수완세영리첼,2014,53000,2022,9,15,84.9871,8,장덕동,1111,12330,중개거래,,
모아,1997,7800,2022,9,15,39.52,10,송정동,593,12330,직거래,,
신창2차부영,2005,30400,2022,9,15,84.7886,15,신창동,1270,12330,중개거래,,
신창2차부영,2005,28700,2022,9,15,84.7886,15,신창동,1270,12330,중개거래,,
신창2차부영,2005,29000,2022,9,15,84.7886,21,신창동,1270,12330,중개거래,,
신창3차호반베르디움,2005,30600,2022,9,15,69.4646,16,신창동,1118,12330,중개거래,,
우미,1997,11700,2022,9,15,60,12,도산동,1077-1,12330,중개거래,,
운남주공10단지,2003,23000,2022,9,15,59.33,14,월곡동,685-1,12330,중개거래,,
운남주공8단지,2000,21000,2022,9,15,59.41,7,운남동,781-1,12330,중개거래,,
호반,1998,7800,2022,9,15,39.68,17,비아동,152-5,12330,중개거래,,
삼성,1996,25000,2022,9,16,84.92,14,운남동,387-22,12330,직거래,,
성원,1997,40000,2022,9,16,114.08,13,월계동,755-4,12330,중개거래,,
신창2차부영,2005,29000,2022,9,16,84.7886,15,신창동,1270,12330,중개거래,,
하남3지구모아엘가,2018,43000,2022,9,16,84.9966,16,하남동,971,12330,중개거래,,
호반,1998,7700,2022,9,16,39.68,12,비아동,152-5,12330,중개거래,,
대라수아파트,2017,23500,2022,9,17,59.9227,4,신창동,1290,12330,중개거래,,
부영애시앙1차,2008,32000,2022,9,17,84.2801,20,장덕동,1309,12330,중개거래,,
선운모아엘가,2014,39000,2022,9,17,79.5181,19,선암동,555,12330,중개거래,,
선운지구진아리채,2014,30000,2022,9,17,59.9723,7,선암동,782,12330,중개거래,,
성덕마을대방노블랜드3차,2011,95000,2022,9,17,131.0902,13,장덕동,1693,12330,중개거래,,
소촌동대성베르힐,2011,31900,2022,9,17,84.931,12,소촌동,869,12330,중개거래,,
수완지구호반베르디움2차,2013,43000,2022,9,17,84.9462,2,장덕동,1043,12330,중개거래,,
신창2차부영,2005,29000,2022,9,17,84.7886,19,신창동,1270,12330,중개거래,,
신창3차부영사랑으로,2006,20100,2022,9,17,59.748,1,신창동,1110,12330,중개거래,,
신창3차부영사랑으로,2006,21500,2022,9,17,59.748,14,신창동,1110,12330,중개거래,,
신창3차부영사랑으로,2006,20900,2022,9,17,59.748,4,신창동,1110,12330,중개거래,,
우방아이유쉘,2015,32500,2022,9,17,59.7699,14,운남동,800,12330,중개거래,,
중흥1차,1995,9900,2022,9,17,59.94,15,도천동,627-1,12330,중개거래,,
하남3지구모아엘가,2018,47500,2022,9,17,84.9966,12,하남동,971,12330,중개거래,,
호반리젠시빌1차,2001,32300,2022,9,17,84.0624,4,신가동,1019-2,12330,중개거래,,
대덕훼밀리,1994,10500,2022,9,18,59.88,17,산정동,933,12330,중개거래,,
대방노블랜드,2009,54200,2022,9,18,84.9366,9,신가동,1304,12330,중개거래,,
선운지구다사로움,2015,23500,2022,9,18,49.7426,5,선암동,586,12330,중개거래,,
소촌동대성베르힐,2011,28000,2022,9,18,84.931,7,소촌동,869,12330,중개거래,,
MaruHiII,2014,3500,2022,9,19,20.7468,7,우산동,1594-2,12330,중개거래,,
광주신창동대광로제비앙아파트,2016,35500,2022,9,19,74.4762,6,신창동,1285,12330,중개거래,,
