단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
라인하이츠,1987,10900,2015,8,1,59.97,7,봉선동,983,12270,,,
모아2단지1차,1988,9600,2015,8,1,59.92,1,봉선동,1043,12270,,,
삼익1,1990,21100,2015,8,1,84.96,13,봉선동,470,12270,,,
송림,1984,9400,2015,8,1,79.7,1,봉선동,1142-12,12270,,,
송화레이크포레,2010,37000,2015,8,1,111.94,2,노대동,835,12270,,,
제일풍경채에듀파크1단지,2015,23450,2015,8,1,84.3565,4,행암동,526,12270,,,
현대(46-1),1989,10500,2015,8,1,84.42,7,백운동,46-1,12270,,,
호반베르디움1차,2006,30000,2015,8,1,123.4644,12,주월동,458-1,12270,,,
효천2지구중흥S-클래스,2015,25180,2015,8,1,84.9933,9,행암동,530,12270,,,
휴먼시아1단지,2008,29450,2015,8,1,84.7,16,양림동,505,12270,,,
효천2지구중흥S-클래스,2015,25030,2015,8,2,84.9355,12,행암동,530,12270,,,
대주1,1990,15900,2015,8,3,84.41,11,진월동,249,12270,,,
송화레이크포레,2010,43500,2015,8,3,141.94,4,노대동,835,12270,,,
송화레이크힐,2007,26000,2015,8,3,84.64,14,노대동,827,12270,,,
송화레이크힐,2007,25600,2015,8,3,84.64,3,노대동,827,12270,,,
장미,1981,8600,2015,8,3,48.105,1,봉선동,1143-36,12270,,,
중흥,1992,16400,2015,8,3,84.93,8,진월동,331-93,12270,,,
호반,1999,6850,2015,8,3,32.16,5,진월동,388,12270,,,
골드레이크,2010,26800,2015,8,4,84.87,3,노대동,871,12270,,,
광명1,1983,11300,2015,8,4,84.6,1,방림동,65-1,12270,,,
라인광장1,1987,10000,2015,8,4,59.93,4,봉선동,985,12270,,,
라인하이츠,1987,8870,2015,8,4,49.97,8,봉선동,983,12270,,,
라인효친1,1989,11100,2015,8,4,59.31,12,방림동,556-1,12270,,,
명지,1995,11400,2015,8,4,59.79,19,주월동,700,12270,,,
무등파크2,1992,14000,2015,8,4,84.73,11,봉선동,127-15,12270,,,
봉선이지더원2단지,2012,21700,2015,8,4,59.7827,10,봉선동,1147,12270,,,
삼일,1980,11300,2015,8,4,75.18,4,방림동,436-1,12270,,,
세원,1996,6600,2015,8,4,59.4,2,진월동,250-4,12270,,,
진아리채,2007,25000,2015,8,4,84.8544,12,진월동,30,12270,,,
효천2지구중흥S-클래스,2015,28480,2015,8,4,84.9933,18,행암동,530,12270,,,
대주1,1990,21500,2015,8,5,142.77,15,진월동,249,12270,,,
라인,1994,11300,2015,8,5,59.85,16,월산동,606-3,12270,,,
모아1단지2차,1987,5250,2015,8,5,28.08,2,봉선동,984,12270,,,
무등파크3차(2단지),1993,15400,2015,8,5,59.76,14,봉선동,21,12270,,,
무등파크3차(2단지),1993,14000,2015,8,5,59.76,9,봉선동,21,12270,,,
삼익세라믹2차,1999,12300,2015,8,5,59.4,18,진월동,470-1,12270,,,
신흥타운3,1987,8650,2015,8,5,49.95,11,진월동,508-5,12270,,,
쌍용스윗닷홈,2005,59500,2015,8,5,155.6351,8,봉선동,107,12270,,,
옥천,1982,4700,2015,8,5,59.58,2,진월동,363-4,12270,,,
진아리채,2007,26800,2015,8,5,84.8544,8,진월동,30,12270,,,
현대1,1991,11100,2015,8,5,84.98,1,주월동,450-91,12270,,,
효천2지구중흥S-클래스,2015,33380,2015,8,5,113.1205,16,행암동,530,12270,,,
경남,1997,16000,2015,8,6,59.88,14,주월동,1134,12270,,,
라인광장1,1987,7280,2015,8,6,41.47,2,봉선동,985,12270,,,
현대,1990,15950,2015,8,6,84.99,7,진월동,481-4,12270,,,
효천2지구중흥S-클래스,2015,25280,2015,8,6,84.9933,6,행암동,530,12270,,,
효천2지구중흥S-클래스,2015,25480,2015,8,6,84.9933,11,행암동,530,12270,,,
효천2지구중흥S-클래스,2015,31480,2015,8,6,113.1205,2,행암동,530,12270,,,
더쉴1단지,2009,46100,2015,8,7,126.026,3,봉선동,1077,12270,,,
라인하이츠,1987,6800,2015,8,7,35.64,9,봉선동,983,12270,,,
라인효친1,1989,11500,2015,8,7,60,2,방림동,556-1,12270,,,
모아,1989,15000,2015,8,7,83.91,11,방림동,556,12270,,,
모아2단지1차,1988,11000,2015,8,7,59.92,14,봉선동,1043,12270,,,
삼다에코빌,2007,13600,2015,8,7,81.4048,1,주월동,420-4,12270,,,
종원,1986,4800,2015,8,7,37.8,2,주월동,499,12270,,,
포스코더샵,2004,38200,2015,8,7,84.32,14,봉선동,1076,12270,,,
현대,1990,15900,2015,8,7,84.99,3,진월동,481-4,12270,,,
호반베르디움2차,2008,33700,2015,8,7,84.858,18,주월동,535,12270,,,
효천2지구중흥S-클래스,2015,27980,2015,8,7,84.9355,18,행암동,530,12270,,,
