단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
평화맨션,1984,8600,2011,1,1,84.51,15,학동,768,12210,,,
대아1차,1993,8600,2011,1,2,84.98,18,소태동,480-2,12210,,,
금호,1996,14400,2011,1,3,84.93,2,계림동,100-1,12210,,,
두산위브,2007,19200,2011,1,3,84.8686,7,계림동,52,12210,,,
두산위브,2007,17500,2011,1,3,84.8686,19,계림동,52,12210,,,
금호두암타운,1993,14300,2011,1,4,94.58,12,산수동,568-1,12210,,,
온세계아이조움,2006,16750,2011,1,4,84.9453,6,소태동,691,12210,,,
평화맨션,1984,8900,2011,1,5,84.51,10,학동,768,12210,,,
두산위브,2007,19000,2011,1,6,84.8686,14,계림동,52,12210,,,
두산위브,2007,18800,2011,1,7,84.8686,6,계림동,52,12210,,,
두산위브,2007,19000,2011,1,7,84.8686,7,계림동,52,12210,,,
라인2차,1992,18000,2011,1,7,133.39,10,운림동,654,12210,,,
무등파크맨션2차,1992,12000,2011,1,7,84.91,15,운림동,597,12210,,,
삼익세라믹,1989,10200,2011,1,7,76.9,15,학동,750-1,12210,,,
무등파크,1987,9500,2011,1,8,84.93,12,산수동,79-3,12210,,,
무등파크맨션1차,1990,12500,2011,1,8,119.83,1,운림동,603,12210,,,
금호두암타운,1993,20500,2011,1,10,134.79,12,산수동,568-1,12210,,,
두산위브,2007,20500,2011,1,10,84.8686,9,계림동,52,12210,,,
무등스위트맨션,1995,11250,2011,1,10,84.95,1,운림동,588,12210,,,
아남,1994,21000,2011,1,10,195.61,5,학동,676-1,12210,,,
금호,1996,11300,2011,1,11,59.85,16,계림동,100-1,12210,,,
금호,1996,10000,2011,1,11,59.85,1,계림동,100-1,12210,,,
무등파크맨션1차,1990,14000,2011,1,11,149.84,1,운림동,603,12210,,,
삼성,1991,16000,2011,1,11,151.32,6,지산동,315-1,12210,,,
진아하이빌,2000,7200,2011,1,11,81.7781,2,지산동,198-13,12210,,,
금호두암타운,1993,11050,2011,1,12,94.58,1,산수동,568-1,12210,,,
동산,1981,3900,2011,1,12,55.62,4,지산동,315,12210,,,
아남,1994,18000,2011,1,12,137.35,10,학동,676-1,12210,,,
운림글로벌,2005,18000,2011,1,12,84.8047,10,운림동,689,12210,,,
금호,1996,16700,2011,1,13,84.93,17,계림동,100-1,12210,,,
금호,1996,9950,2011,1,13,59.85,13,계림동,100-1,12210,,,
금호두암타운,1993,23500,2011,1,13,134.79,13,산수동,568-1,12210,,,
산수맨션,1983,5050,2011,1,13,67.42,2,산수동,552-17,12210,,,
두산위브,2007,18200,2011,1,14,84.8686,16,계림동,52,12210,,,
계림동금호2,1998,14100,2011,1,15,84.78,7,계림동,100-11,12210,,,
금호,1996,12000,2011,1,15,59.85,4,계림동,100-1,12210,,,
두산위브,2007,30900,2011,1,15,154.3492,12,계림동,52,12210,,,
운림글로벌,2005,17500,2011,1,15,84.8047,12,운림동,689,12210,,,
진아하이빌,2003,11000,2011,1,15,83.3199,2,소태동,443,12210,,,
금호,1996,15300,2011,1,17,84.93,10,계림동,100-1,12210,,,
금호,1996,20000,2011,1,17,134.76,12,계림동,100-1,12210,,,
동산로얄,1989,6950,2011,1,17,84.94,2,산수동,12,12210,,,
무등파크맨션1차,1990,10100,2011,1,17,84.92,6,운림동,603,12210,,,
삼익세라믹,1989,10000,2011,1,17,76.9,14,학동,750-1,12210,,,
진아하이빌,2000,11500,2011,1,17,81.7781,7,지산동,198-13,12210,,,
금호두암타운,1993,15500,2011,1,18,94.57,12,산수동,568-1,12210,,,
금호베스트빌,2002,24500,2011,1,18,145.2179,19,학동,262-1,12210,,,
모아미래도,2003,12500,2011,1,18,71.42,19,소태동,501,12210,,,
온세계아이조움,2006,15600,2011,1,18,84.9453,1,소태동,691,12210,,,
해광파크,1990,7300,2011,1,18,84.61,9,산수동,240-14,12210,,,
계림동금호2,1998,12800,2011,1,20,84.78,5,계림동,100-11,12210,,,
금호,1996,11500,2011,1,20,59.85,19,계림동,100-1,12210,,,
온세계아이조움,2006,15600,2011,1,20,84.9453,1,소태동,691,12210,,,
무등파크맨션2차,1992,9000,2011,1,21,84.91,1,운림동,597,12210,,,
진아하이빌,2000,4400,2011,1,21,34.4597,7,지산동,198-13,12210,,,
평화맨션,1984,7500,2011,1,21,84.51,1,학동,768,12210,,,
두산위브,2007,18900,2011,1,22,84.8686,1,계림동,52,12210,,,
제일맨션,2003,5700,2011,1,22,65.76,1,지산동,산1-9,12210,,,
금호,1996,12100,2011,1,24,59.85,4,계림동,100-1,12210,,,
동산로얄,1989,8400,2011,1,24,84.94,1,산수동,12,12210,,,
무등파크,1983,6500,2011,1,24,77.76,1,학동,719-1,12210,,,
금호두암타운,1993,13800,2011,1,25,94.58,12,산수동,568-1,12210,,,
금호베스트빌,2002,34200,2011,1,25,164.9962,17,학동,262-1,12210,,,
계림동금호2,1998,11850,2011,1,27,59.703,23,계림동,100-11,12210,,,
금호두암타운,1993,15500,2011,1,27,94.57,12,산수동,568-1,12210,,,
무등파크,1983,12900,2011,1,27,131.76,8,학동,719-1,12210,,,
평화맨션,1984,11000,2011,1,27,129.69,8,학동,768,12210,,,
두산위브,2007,26500,2011,1,29,113.8106,13,계림동,52,12210,,,
