단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
광신(11동),1984,13000,2022,5,1,83.88,1,두암동,579-1,12300,중개거래,,
대주2,1988,11200,2022,5,1,59.91,4,문흥동,920,12300,중개거래,,
라인동산,1995,14300,2022,5,1,59.79,13,두암동,73,12300,중개거래,,
양산타운,1998,21000,2022,5,1,59.94,16,용두동,330,12300,중개거래,,
용봉동아델리움인비엔날레,2017,45000,2022,5,1,84.8097,3,용봉동,1478,12300,중개거래,,
한양수자인리버뷰,2014,47300,2022,5,1,65.6043,22,신용동,651,12300,중개거래,,
광명,1994,16250,2022,5,2,59.965,6,문흥동,1010-1,12300,중개거래,,
광주첨단2지구호반베르디움1단지,2014,57000,2022,5,2,84.9751,14,신용동,675,12300,직거래,,
극동마이다스빌,2001,17500,2022,5,2,84.8689,3,삼각동,672,12300,중개거래,,
모아미래도,2001,26500,2022,5,2,83.9394,14,용봉동,1406-1,12300,중개거래,,
문흥상록,1997,13900,2022,5,2,59.802,3,문흥동,1011-5,12300,중개거래,,
삼각동그린타운,1997,17000,2022,5,2,59.82,15,삼각동,533,12300,중개거래,,
서광인텔파크,2003,25300,2022,5,2,84.8492,5,매곡동,290,12300,중개거래,,
양산타운,1998,20050,2022,5,2,59.94,16,용두동,330,12300,중개거래,,
용봉동도나우타운,2016,25500,2022,5,2,56.9432,4,용봉동,1475,12300,직거래,,
우미,1992,21400,2022,5,2,84.92,8,양산동,209-8,12300,중개거래,,
유창하이리빙맨션1,1993,11600,2022,5,2,59.96,5,용봉동,405,12300,중개거래,,
일신,1994,14000,2022,5,2,59.99,18,문흥동,1010-2,12300,중개거래,,
일신2차,1997,15800,2022,5,2,59.73,6,양산동,205-6,12300,중개거래,,
지에스그린자이2차,2006,47400,2022,5,2,84.9662,17,양산동,930,12300,중개거래,,
청솔,2000,10500,2022,5,2,48.45,1,일곡동,849-2,12300,중개거래,,
청솔2차,2000,10700,2022,5,2,48.45,5,일곡동,850-4,12300,중개거래,,
청솔4차,2001,10850,2022,5,2,48.45,3,일곡동,819-3,12300,중개거래,,
청솔4차,2001,11500,2022,5,2,48.45,13,일곡동,819-3,12300,중개거래,,
청암프로스빌,1998,9600,2022,5,2,59.97,12,양산동,101,12300,중개거래,,
한양수자인리버뷰,2014,45500,2022,5,2,65.6043,8,신용동,651,12300,중개거래,,
한일,1997,15000,2022,5,2,59.915,18,일곡동,849-1,12300,중개거래,,
광명2차,1998,14100,2022,5,3,59.97,4,연제동,2-7,12300,중개거래,,
금호,1996,34500,2022,5,3,84.72,4,일곡동,818-4,12300,중개거래,,
대화,1991,10000,2022,5,3,59.31,13,매곡동,214-1,12300,중개거래,,
동림푸른주공3,1997,15000,2022,5,3,59.99,4,동림동,1147-1,12300,중개거래,,
문흥상록,1997,13500,2022,5,3,59.802,4,문흥동,1011-5,12300,직거래,,
블루시안2차,2007,26500,2022,5,3,84.8051,7,운암동,781-1,12300,직거래,,
삼성,1993,15400,2022,5,3,59.76,17,용봉동,973-1,12300,중개거래,,
삼익,1990,18200,2022,5,3,84.81,3,삼각동,755-17,12300,중개거래,,
올리브,2017,20000,2022,5,3,79.175,9,양산동,943,12300,중개거래,,
용두주공,1998,18000,2022,5,3,59.99,14,신용동,643-1,12300,직거래,,
우미2,1991,9500,2022,5,3,59.79,18,동림동,26-1,12300,중개거래,,
우미2,1991,9500,2022,5,3,59.79,18,동림동,26-1,12300,중개거래,,
유탑유블레스스카이뷰,2019,41000,2022,5,3,71.6592,27,양산동,796,12300,중개거래,,
일신,1994,15000,2022,5,3,59.99,6,문흥동,1010-2,12300,중개거래,,
일신1차,1996,17100,2022,5,3,59.785,6,양산동,205-1,12300,중개거래,,
임동리버파크,2005,14700,2022,5,3,51.94,6,임동,340,12300,중개거래,,
임동리버파크,2005,14100,2022,5,3,51.94,1,임동,340,12300,중개거래,,
중흥S클래스,2003,35000,2022,5,3,84.8358,6,용봉동,976,12300,중개거래,,
중흥파크맨션2,1994,12800,2022,5,3,59.965,1,문흥동,1011-1,12300,직거래,,
지에스그린자이2차,2006,45000,2022,5,3,112.0176,12,양산동,930,12300,직거래,,
첨단용두산이고운아파트,2018,53500,2022,5,3,84.9607,12,용두동,1116,12300,중개거래,,
청솔,2000,11850,2022,5,3,48.45,6,일곡동,849-2,12300,중개거래,,
한국아델리움2차,2007,50000,2022,5,3,122.0664,4,임동,104-8,12300,중개거래,,
글로벌,2003,26500,2022,5,4,84.9,3,각화동,118-2,12300,중개거래,,
금성맨션,1984,23500,2022,5,4,84.66,8,풍향동,23-93,12300,중개거래,,
대신파크맨션,1993,12150,2022,5,4,59.99,2,용봉동,1197-1,12300,중개거래,,
대주1,1988,5800,2022,5,4,37.08,11,문흥동,919,12300,중개거래,,
대주피오레,2006,32900,2022,5,4,84.9996,1,연제동,1007,12300,중개거래,,
라인,1994,13500,2022,5,4,59.965,14,문흥동,996-3,12300,직거래,,
모아호반,1995,14900,2022,5,4,59.79,10,삼각동,755-16,12300,중개거래,,
문흥동대주3,1994,9400,2022,5,4,49.97,7,문흥동,1011-2,12300,직거래,,
문흥상록,1997,13800,2022,5,4,59.802,8,문흥동,1011-5,12300,중개거래,,
문흥제일파크,1994,10800,2022,5,4,49.95,1,문흥동,1010-7,12300,중개거래,,
미라보4,1994,10000,2022,5,4,59.925,7,두암동,59-20,12300,중개거래,,
반석힐라아파트,2000,5150,2022,5,4,31.77,11,두암동,329,12300,중개거래,,
삼각동서라,1995,13250,2022,5,4,59.965,12,삼각동,753-10,12300,중개거래,,
삼호가든,2005,15800,2022,5,4,84.93,1,동림동,37-10,12300,중개거래,,
양산동고운하이플러스,2015,33500,2022,5,4,75.7323,4,양산동,1151,12300,중개거래,,
연제2차대주피오레,2007,37600,2022,5,4,84.8728,5,연제동,1009,12300,중개거래,,
우미1,1989,11800,2022,5,4,59.97,5,운암동,1058-3,12300,중개거래,,
