단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
금호쌍용,1998,51000,2023,6,1,84.816,9,치평동,1171-4,12240,중개거래,,
더샵염주센트럴파크,2022,40000,2023,6,1,59.9449,24,화정동,1712,12240,중개거래,,
매월동아델리움로제비앙,2017,45000,2023,6,1,84.7681,8,금호동,1110,12240,중개거래,,
양동CENTRALVIEW,2010,21600,2023,6,1,51.95,17,양동,460,12240,중개거래,,
우미광장,2000,19400,2023,6,1,59.955,8,풍암동,1132,12240,중개거래,,
일신,1994,34000,2023,6,1,107.37,14,금호동,738-1,12240,중개거래,,
제일파크맨션,1988,15000,2023,6,1,83.68,15,농성동,117,12240,중개거래,,
중흥(1168-1),1997,34500,2023,6,1,84.93,18,치평동,1168-1,12240,중개거래,,
한신,2000,8500,2023,6,1,39.31,15,풍암동,1053,12240,중개거래,,
현대삼환,2000,43500,2023,6,1,134.626,8,풍암동,1096,12240,중개거래,,
광명중흥,1992,24000,2023,6,2,84.99,5,쌍촌동,1232-1,12240,중개거래,,
금호시영1단지,1993,13900,2023,6,2,49.86,13,금호동,741-1,12240,중개거래,,
금호쌍용,1998,70000,2023,6,2,134.69,7,치평동,1171-4,12240,중개거래,,
대우금호,1998,25400,2023,6,2,59.94,15,치평동,1166-2,12240,중개거래,,
라인대주,1997,25500,2023,6,2,59.9,3,치평동,1171-6,12240,직거래,,
상무에스케이뷰,2016,24500,2023,6,2,39.342,8,치평동,1331,12240,중개거래,,
우미,1990,23250,2023,6,2,84.96,6,화정동,859-2,12240,직거래,,
현대삼환,2000,40000,2023,6,2,134.626,12,풍암동,1096,12240,중개거래,,
화정엘리체퍼스티지,2019,80000,2023,6,2,110.2243,14,화정동,1706,12240,중개거래,,
농성SKVIEWCentral,2019,52000,2023,6,3,74.9651,27,농성동,702,12240,중개거래,,
대주,1998,26000,2023,6,3,59.955,9,치평동,1168-11,12240,중개거래,,
대주피오레,2007,51000,2023,6,3,133.4072,9,화정동,350-14,12240,중개거래,,
매월동아델리움로제비앙,2017,45900,2023,6,3,84.7681,10,금호동,1110,12240,중개거래,,
상무양우내안애,2020,51700,2023,6,3,84.6701,19,마륵동,812,12240,중개거래,,
상무엘리체,2018,42000,2023,6,3,84.9888,3,쌍촌동,1380,12240,중개거래,,
상무한국아델리움,2019,44200,2023,6,3,84.9546,7,쌍촌동,1385,12240,중개거래,,
상무힐스테이트,2010,90000,2023,6,3,163.8414,7,쌍촌동,364,12240,중개거래,,
유니버시아드힐스테이트3단지,2016,52000,2023,6,3,84.97,9,화정동,1612,12240,중개거래,,
유탑유블레스,2013,5900,2023,6,3,19.7906,9,화정동,23-37,12240,중개거래,,
종원팰리스빌,2002,27000,2023,6,3,84.9831,4,금호동,240-2,12240,중개거래,,
주은모아,2000,19000,2023,6,3,59.7,2,풍암동,1127,12240,중개거래,,
해광샹그릴라센트럴337,2017,25300,2023,6,3,75.6415,15,화정동,23-20,12240,중개거래,,
대주피오레,2007,46000,2023,6,4,133.4072,2,화정동,350-14,12240,중개거래,,
상무버들마을주공2,1999,15600,2023,6,4,49.96,16,유촌동,871,12240,중개거래,,
유니버시아드힐스테이트3단지,2016,52500,2023,6,4,84.98,5,화정동,1612,12240,중개거래,,
종원팰리스빌,2002,34400,2023,6,4,84.9831,5,금호동,240-2,12240,중개거래,,
중흥(1168-1),1997,40700,2023,6,4,84.93,12,치평동,1168-1,12240,중개거래,,
광명하이츠,1992,15100,2023,6,5,84.96,25,쌍촌동,96,12240,중개거래,,
금호1,2000,63000,2023,6,5,174.425,11,풍암동,1130,12240,중개거래,,
내방마을주공,2002,17400,2023,6,5,59.19,14,내방동,848,12240,중개거래,,
내방마을주공,2002,27000,2023,6,5,84.11,13,내방동,848,12240,직거래,,
농성SKVIEWCentral,2019,55000,2023,6,5,84.9752,5,농성동,702,12240,중개거래,,
대주,1998,22600,2023,6,5,59.955,3,치평동,1168-11,12240,중개거래,,
양동CENTRALVIEW,2010,31000,2023,6,5,74.9,18,양동,460,12240,중개거래,,
중흥(1168-1),1997,40000,2023,6,5,84.93,15,치평동,1168-1,12240,중개거래,,
중흥파크맨션,1989,18300,2023,6,5,84.81,3,농성동,20,12240,중개거래,,
한신,2000,9000,2023,6,5,39.31,13,풍암동,1053,12240,중개거래,,
해광한신,1998,22000,2023,6,5,59.99,4,치평동,1168,12240,직거래,,
현대,2000,17450,2023,6,5,59.95,13,풍암동,1057,12240,중개거래,,
호반,1998,22000,2023,6,5,59.91,14,치평동,1166-7,12240,직거래,,
호반,1998,22000,2023,6,5,59.91,2,치평동,1166-7,12240,직거래,,
금호시영5단지,1994,15000,2023,6,6,59.82,7,금호동,742-2,12240,중개거래,,
대우금호,1998,18300,2023,6,6,59.94,2,치평동,1166-2,12240,중개거래,,
상무양우내안애,2020,50000,2023,6,6,84.6701,14,마륵동,812,12240,중개거래,,
유니버시아드힐스테이트3단지,2016,55000,2023,6,6,84.97,15,화정동,1612,12240,중개거래,,
광천모아엘가,2021,35000,2023,6,7,72.9746,19,쌍촌동,1389,12240,직거래,,
금호시영1단지,1993,13300,2023,6,7,49.86,8,금호동,741-1,12240,중개거래,,
금호시영5단지,1994,14100,2023,6,7,59.82,12,금호동,742-2,12240,중개거래,,
