단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
부국군위아파트,2017,17000,2017,9,19,59.5646,7,군위읍 서부리,214,27720,,,
부국군위아파트,2017,17500,2017,9,19,59.5646,6,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,20,59.5646,8,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,20,59.5646,9,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,20,59.5646,10,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,20,59.5646,5,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,23,59.5646,9,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,25,59.5646,8,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,25,59.5646,7,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,25,59.5646,7,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,25,59.5646,6,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,25,59.5646,4,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,25,59.5646,4,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,26,59.5646,10,군위읍 서부리,214,27720,,,
부국군위아파트,2017,11000,2017,9,26,59.5646,6,군위읍 서부리,214,27720,,,
