단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
강변코오롱하늘채,2008,35100,2017,4,1,84.993,19,봉덕동,862,27200,,,
강변효성백년가약,2012,49000,2017,4,1,122.6031,16,봉덕동,1635,27200,,,
이천뜨란채2단지,2002,26100,2017,4,1,84.84,18,이천동,551-1,27200,,,
노블캐슬,2016,21000,2017,4,3,80.95,2,대명동,3029-42,27200,,,
래미안웰리스트,2010,51500,2017,4,3,109.2566,8,봉덕동,1631,27200,,,
파크맨션,1980,13000,2017,4,3,52.24,8,대명동,1633,27200,,,
효성타운1차,1988,29000,2017,4,4,108.38,3,봉덕동,1071,27200,,,
더테라스,2017,28000,2017,4,5,82.2936,7,대명동,2137-3,27200,,,
래미안웰리스트,2010,45200,2017,4,5,84.9388,6,봉덕동,1631,27200,,,
보성청록타운,1998,16900,2017,4,5,59.79,4,대명동,2680-17,27200,,,
강변타운,1994,16900,2017,4,6,52.23,9,이천동,214-456,27200,,,
강변타운,1994,16900,2017,4,6,52.23,11,이천동,214-456,27200,,,
앞산보성,1984,17500,2017,4,6,76.44,1,봉덕동,1329,27200,,,
보성상아맨션,1987,19000,2017,4,7,84.735,2,이천동,650,27200,,,
강변효성백년가약,2012,35300,2017,4,8,84.9336,6,봉덕동,1635,27200,,,
더테라스,2017,28500,2017,4,9,83.5152,7,대명동,2137-3,27200,,,
더테라스,2017,28000,2017,4,10,82.2936,9,대명동,2137-3,27200,,,
유성맨션,1981,10600,2017,4,10,73.28,2,대명동,619-1,27200,,,
현우팰리스,2016,26000,2017,4,10,79.7808,8,대명동,910-1,27200,,,
강변타운,1994,18950,2017,4,11,59.85,11,이천동,214-456,27200,,,
한우그랜드,1984,13400,2017,4,11,75.96,1,봉덕동,718-1,27200,,,
효성타운1차,1988,29250,2017,4,11,108.38,1,봉덕동,1071,27200,,,
강변코오롱하늘채,2008,35000,2017,4,12,84.993,10,봉덕동,862,27200,,,
교대역월드메르디앙,2006,28000,2017,4,12,84.6116,2,이천동,452,27200,,,
대구이천주공1,1999,19700,2017,4,12,59.57,16,이천동,121-70,27200,,,
강변코오롱하늘채,2008,25800,2017,4,14,59.8284,17,봉덕동,862,27200,,,
래미안웰리스트,2010,71000,2017,4,14,165.8368,17,봉덕동,1631,27200,,,
강변효성백년가약,2012,37500,2017,4,15,84.9336,9,봉덕동,1635,27200,,,
대덕2차,1991,31000,2017,4,15,134.705,10,봉덕동,1329-1,27200,,,
앞산보성,1984,11700,2017,4,15,49.95,2,봉덕동,1329,27200,,,
더테라스,2017,24800,2017,4,17,81.4244,2,대명동,2137-3,27200,,,
유성맨션,1981,10000,2017,4,17,73.28,1,대명동,619-1,27200,,,
파크맨션,1980,13600,2017,4,17,56.88,10,대명동,1633,27200,,,
강변코오롱하늘채,2008,35500,2017,4,18,84.993,13,봉덕동,862,27200,,,
효성타운1차,1988,30000,2017,4,18,108.38,9,봉덕동,1071,27200,,,
교대역월드메르디앙,2006,22900,2017,4,19,59.6488,9,이천동,452,27200,,,
그랜드타운,2004,19700,2017,4,19,78.73,6,봉덕동,1319-27,27200,,,
나나바루아(101동),2015,25000,2017,4,19,84.8562,8,대명동,1623-6,27200,,,
앞산클래식명가,2006,29800,2017,4,19,100.47,9,대명동,1676-5,27200,,,
강변효성백년가약,2012,35200,2017,4,20,84.9336,12,봉덕동,1635,27200,,,
대덕2차,1991,24000,2017,4,20,113.09,4,봉덕동,1329-1,27200,,,
효성타운2차,1989,27000,2017,4,20,84.9,3,봉덕동,1141,27200,,,
더테라스,2017,26700,2017,4,21,82.2936,3,대명동,2137-3,27200,,,
우방뉴-코스모스,1983,21550,2017,4,21,84.745,2,대명동,1210-8,27200,,,
유성맨션,1981,10600,2017,4,21,73.28,1,대명동,619-1,27200,,,
대구이천주공1,1999,20650,2017,4,22,59.81,20,이천동,121-70,27200,,,
더테라스,2017,28500,2017,4,22,83.5152,5,대명동,2137-3,27200,,,
강변코오롱하늘채,2008,26100,2017,4,24,59.8284,3,봉덕동,862,27200,,,
동신점보,1979,14600,2017,4,24,63.35,5,대명동,780-3,27200,,,
계명맨션,1980,15000,2017,4,25,81.33,1,대명동,2519-5,27200,,,
우방코스모스,1981,16000,2017,4,25,51.94,3,대명동,1111,27200,,,
이천뜨란채4단지,2006,31900,2017,4,25,84.93,6,이천동,239-2,27200,,,
하나로프린스빌,2002,17200,2017,4,25,84.885,5,봉덕동,984-4,27200,,,
미리내,1982,34300,2017,4,26,169.94,7,봉덕동,산89-3,27200,,,
삼성공원,1983,7100,2017,4,26,44.52,2,대명동,1551-34,27200,,,
효성타운1차,1988,37500,2017,4,27,130.17,7,봉덕동,1071,27200,,,
드림팰리스,2016,29000,2017,4,28,84.0838,10,대명동,1623-14,27200,,,
동신점보,1979,15800,2017,4,29,63.35,13,대명동,780-3,27200,,,
앞산보성,1984,13600,2017,4,29,49.95,1,봉덕동,1329,27200,,,
파크맨션,1980,13000,2017,4,29,52.24,2,대명동,1633,27200,,,
