단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대구국가산단반도유보라아이비파크,2017,17000,2023,4,1,68.7539,14,구지면 응암리,1199,27710,중개거래,,
대구테크노폴리스남해오네뜨1차,2015,17800,2023,4,1,59.9573,7,현풍읍 중리,480,27710,중개거래,,
미진이지비아,2017,17800,2023,4,1,59.9639,23,옥포읍 본리리,2590,27710,중개거래,,
설화명곡역프리미어힐,2018,25400,2023,4,1,80.5067,6,화원읍 명곡리,236-2,27710,중개거래,,
에코폴리스동화아이위시2차,2016,18250,2023,4,1,51.5729,8,다사읍 서재리,1125,27710,중개거래,,
우미린더포레스트,2015,25000,2023,4,1,75.579,5,유가읍 봉리,621,27710,중개거래,,
죽곡 한신 휴 플러스,2016,41000,2023,4,1,84.98,21,다사읍 죽곡리,870,27710,중개거래,,
죽곡삼정그린코아더베스트,2018,33000,2023,4,1,74.8828,24,다사읍 매곡리,1568,27710,중개거래,,
죽곡삼정그린코아더베스트,2018,30300,2023,4,1,66.0524,17,다사읍 매곡리,1568,27710,중개거래,,
죽곡삼정그린코아더베스트,2018,28500,2023,4,1,66.0619,6,다사읍 매곡리,1568,27710,중개거래,,
진아리채,2016,22800,2023,4,1,70.8694,12,유가읍 봉리,603,27710,중개거래,,
화원이진캐스빌,2017,27500,2023,4,1,71.0418,5,화원읍 천내리,918,27710,중개거래,,
화원이진캐스빌,2017,36500,2023,4,1,84.5734,28,화원읍 천내리,918,27710,중개거래,,
대구국가산단반도유보라아이비파크2,2020,20300,2023,4,2,74.9638,8,구지면 응암리,1251,27710,중개거래,,
제일풍경채센트럴,2016,31500,2023,4,2,84.9828,22,유가읍 봉리,625,27710,중개거래,,
죽곡 한신 휴 플러스,2016,37000,2023,4,2,84.97,6,다사읍 죽곡리,870,27710,중개거래,,
달성화성파크드림,2011,10500,2023,4,3,39.901,17,구지면 응암리,1178,27710,중개거래,,
대구테크노폴리스남해오네뜨1차,2015,16300,2023,4,3,59.9901,19,현풍읍 중리,480,27710,중개거래,,
대실역태왕아너스,2017,29000,2023,4,3,59.988,15,다사읍 죽곡리,814,27710,직거래,,
신동아파밀리에,2007,26100,2023,4,3,84.9844,18,화원읍 구라리,1722,27710,중개거래,,
죽곡삼정그린코아더베스트,2018,30300,2023,4,3,66.0524,12,다사읍 매곡리,1568,27710,중개거래,,
LH허브시티,2015,14800,2023,4,4,51.46,5,옥포읍 강림리,1099,27710,중개거래,,
건영캐스빌,2005,15300,2023,4,4,59.662,9,다사읍 서재리,1068-5,27710,중개거래,,
