단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
강변동서마을,1999,10200,2011,10,1,59.91,4,용계동,467-1,27140,,,
거북,1981,8700,2011,10,1,75.79,3,신암동,612-8,27140,,,
대경넥스빌,2003,16300,2011,10,1,76.64,5,신서동,538-2,27140,,,
대구율하2세계육상선수촌1단지,2011,29630,2011,10,1,131.7,4,율하동,1402,27140,,,
동서1,1984,8920,2011,10,1,61.82,4,신암동,20,27140,,,
보성1차,1985,8800,2011,10,1,50.85,3,신암동,622,27140,,,
신서동롯데캐슬레전드,2007,15900,2011,10,1,59.7594,21,신서동,755,27140,,,
아름다운나날2,2003,14300,2011,10,1,84.6688,1,신서동,540,27140,,,
아름다운나날3,2003,17800,2011,10,1,84.6139,14,신서동,561,27140,,,
우방강촌마을1,1996,12700,2011,10,1,59.98,12,방촌동,1084-30,27140,,,
율하리버파크,2009,22000,2011,10,1,84.77,8,율하동,1412,27140,,,
진로이스트타운,1998,15800,2011,10,1,84.9,7,효목동,55,27140,,,
진로이스트타운,1998,19000,2011,10,1,133.5,11,효목동,55,27140,,,
진로이스트타운,1998,15400,2011,10,1,84.9,10,효목동,55,27140,,,
화성명산타운,1994,7800,2011,10,1,59.91,6,지묘동,500,27140,,,
73신암시영,1975,5000,2011,10,2,49.55,4,신암동,193-1,27140,,,
금강진우타운,1996,7500,2011,10,2,59.955,7,각산동,404-1,27140,,,
대경넥스빌,2003,14600,2011,10,2,84.99,1,신서동,538-2,27140,,,
태왕메트로시티,2003,10600,2011,10,2,59.85,1,효목동,337,27140,,,
강변동서마을,1999,9200,2011,10,3,51.62,15,용계동,467-1,27140,,,
동화해오름타운,2003,13150,2011,10,3,58.234,9,신서동,538-1,27140,,,
성지각산,1989,5700,2011,10,3,48.07,3,각산동,389-2,27140,,,
신서그린빌,2001,11900,2011,10,3,59.89,12,신서동,823-7,27140,,,
신서동신일해피트리,2007,20200,2011,10,3,84.48,17,신서동,513-1,27140,,,
신서청구타운,1997,12700,2011,10,3,84.965,7,신서동,881,27140,,,
우방강촌마을2,1998,15200,2011,10,3,84.93,1,방촌동,1119-100,27140,,,
태왕메트로시티,2003,13550,2011,10,3,59.85,12,효목동,337,27140,,,
태왕메트로시티,2003,16500,2011,10,3,84.92,4,효목동,337,27140,,,
대경넥스빌,2003,16500,2011,10,4,84.99,5,신서동,538-2,27140,,,
대구율하2세계육상선수촌1단지,2011,29220,2011,10,4,131.23,3,율하동,1402,27140,,,
보성1차,1985,11300,2011,10,4,68.33,2,신암동,622,27140,,,
보성강남타운,1997,14000,2011,10,4,84.95,1,방촌동,1119-5,27140,,,
신기모란3차,1988,6650,2011,10,4,49.98,1,신기동,557,27140,,,
신암건영캐스빌,2005,14300,2011,10,4,73.322,12,신암동,194-1,27140,,,
신암청아람,2009,22000,2011,10,4,84.542,11,신암동,480,27140,,,
신천LH,1989,13600,2011,10,4,79.07,1,신천동,556-1,27140,,,
신천가람타운,1997,10900,2011,10,4,52.02,17,신천동,551-23,27140,,,
신천역더뷰파크,2002,19400,2011,10,4,84.51,3,신천동,600-5,27140,,,
아름다운나날2,2003,17250,2011,10,4,84.6688,9,신서동,540,27140,,,
율하센트럴파크9단지,2009,19550,2011,10,4,74.9,13,율하동,1448,27140,,,
진로이스트타운,1998,8500,2011,10,4,59.79,3,효목동,55,27140,,,
팔공,1986,7000,2011,10,4,59.22,5,지저동,757-5,27140,,,
팔공보성타운2,1995,14400,2011,10,4,84.99,14,지묘동,327,27140,,,
화성명산타운,1994,7930,2011,10,4,59.91,11,지묘동,500,27140,,,
각산태영데시앙,2009,21380,2011,10,5,84.9898,14,각산동,905,27140,,,
동화해오름타운,2003,12700,2011,10,5,59.9283,1,신서동,538-1,27140,,,
동화해오름타운,2003,12800,2011,10,5,58.234,3,신서동,538-1,27140,,,
문화,1985,7400,2011,10,5,49.77,3,검사동,1021,27140,,,
방촌우방맨션,1992,9500,2011,10,5,59.94,4,방촌동,1084-28,27140,,,
방촌청구제네스,2006,16200,2011,10,5,84.7767,4,방촌동,1084-207,27140,,,
