단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
SD아이프라임강북,2010,36000,2015,4,1,118.4818,2,읍내동,1448,27230,,,
그린빌3차,2000,15200,2015,4,1,49.71,14,구암동,786,27230,,,
그린빌3차,2000,12500,2015,4,1,39.77,8,구암동,786,27230,,,
그린빌6단지,2002,16000,2015,4,1,51.95,1,국우동,1080,27230,,,
노원센트리움,2003,16500,2015,4,1,78.27,11,노원동2가,231,27230,,,
대구역 서희스타힐스,2012,30000,2015,4,1,74.68,7,칠성동2가,715,27230,,,
대신,1996,16000,2015,4,1,127.94,8,노원동2가,225,27230,,,
동서변월드메르디앙,2005,28900,2015,4,1,84.97,12,서변동,1795,27230,,,
동화골든빌,2002,20700,2015,4,1,57.6183,8,동천동,891,27230,,,
동화골든빌,2002,19500,2015,4,1,58.234,13,동천동,891,27230,,,
동화훼밀리타운,2003,20000,2015,4,1,59.6845,10,관음동,1386,27230,,,
럭키5,1983,14000,2015,4,1,64.62,2,복현동,433-1,27230,,,
매천센트럴파크,2008,28500,2015,4,1,84.59,12,매천동,741,27230,,,
매천센트럴파크,2008,27400,2015,4,1,74.84,12,매천동,741,27230,,,
민들레,1991,12500,2015,4,1,59.94,1,검단동,1128-3,27230,,,
부영7차,2003,25000,2015,4,1,81.1718,7,구암동,789-2,27230,,,
부영그린타운(2단지),2003,30700,2015,4,1,81.1718,13,동천동,914,27230,,,
산격대우,1999,30500,2015,4,1,134.46,1,산격동,500-1,27230,,,
삼성,1994,13650,2015,4,1,59.76,1,태전동,608-5,27230,,,
유니버시아드선수촌2단지,2003,18400,2015,4,1,59.9825,14,동변동,682,27230,,,
주공그린빌8,2002,17000,2015,4,1,59.83,8,동변동,679,27230,,,
청구타운,1995,25500,2015,4,1,84.925,18,침산동,431-2,27230,,,
칠곡2영남타운,1996,11000,2015,4,1,39.96,8,동천동,880-1,27230,,,
칠곡3차보성,1997,28100,2015,4,1,134.98,3,읍내동,430,27230,,,
칠곡관음타운,1995,13400,2015,4,1,59.78,11,태전동,1065-1,27230,,,
칠곡대백맨션,1993,13700,2015,4,1,59.94,12,태전동,1066,27230,,,
칠곡동화타운,2000,16980,2015,4,1,59.9037,10,관음동,1383-1,27230,,,
침산2청구타운,1996,19500,2015,4,1,59.91,13,침산동,363-1,27230,,,
학정청아람,2007,30000,2015,4,1,84.66,5,학정동,925,27230,,,
협화맨션,1992,18700,2015,4,1,84.97,9,태전동,881-3,27230,,,
화성그랜드파크,2003,35000,2015,4,1,84.9823,13,구암동,785,27230,,,
화성센트럴파크,2003,22900,2015,4,1,59.9402,5,동천동,950,27230,,,
그린빌2차,2001,20850,2015,4,2,59.42,10,구암동,772,27230,,,
그린빌3차,2000,15150,2015,4,2,49.71,16,구암동,786,27230,,,
그린빌6단지,2002,16500,2015,4,2,51.95,3,국우동,1080,27230,,,
금빛타운,1995,22800,2015,4,2,84.99,15,구암동,655,27230,,,
대백인터빌,2002,17400,2015,4,2,59.67,6,팔달동,145,27230,,,
동화골든빌,2002,21000,2015,4,2,57.6183,14,동천동,891,27230,,,
럭키5,1983,14000,2015,4,2,69.9,3,복현동,433-1,27230,,,
롯데,1993,17450,2015,4,2,84.99,4,태전동,936,27230,,,
복현시영(1차),1982,9800,2015,4,2,42.05,2,복현동,320-1,27230,,,
복현시영(3차),1983,11600,2015,4,2,42.81,3,복현동,201-3,27230,,,
복현시영(3차),1983,15000,2015,4,2,51.99,3,복현동,201-3,27230,,,
부영그린타운(2단지),2003,20300,2015,4,2,59.8488,4,동천동,914,27230,,,
부영그린타운(2단지),2003,22200,2015,4,2,59.8488,17,동천동,914,27230,,,
영남네오빌블루,2003,30000,2015,4,2,128.6263,2,서변동,1766,27230,,,
우방타운2,1993,17200,2015,4,2,84.97,4,태전동,678,27230,,,
주공그린빌8,2002,21700,2015,4,2,84.45,1,동변동,679,27230,,,
주공그린빌8,2002,24200,2015,4,2,84.99,13,동변동,679,27230,,,
청구타운,1995,22500,2015,4,2,84.925,1,침산동,431-2,27230,,,
칠곡관음타운,1995,13500,2015,4,2,59.78,14,태전동,1065-1,27230,,,
칠곡에덴타운,1993,16200,2015,4,2,60,11,태전동,997-1,27230,,,
칠곡한서타운,1995,15000,2015,4,2,59.85,12,읍내동,1234-7,27230,,,
칠곡한양2,1993,18500,2015,4,2,84.945,14,관음동,1370,27230,,,
