단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
시영2,1985,12300,2020,2,1,51.39,4,중리동,72,27170,,,
신흥(나),1981,9700,2020,2,1,54.22,2,원대동1가,639,27170,,,
중리롯데캐슬,2009,32600,2020,2,1,84.984,10,중리동,26-1,27170,,,
평리동서3차아파트,1983,18400,2020,2,2,61.29,2,평리동,1354-1,27170,,,
동아빌라,2003,11500,2020,2,3,59.87,4,평리동,783-2,27170,,,
양지,1982,14000,2020,2,3,56.89,1,비산동,1199-7,27170,,,
중리롯데캐슬,2009,34000,2020,2,3,84.99,2,중리동,26-1,27170,,,
페르하우스트,2019,27000,2020,2,3,84.9107,4,비산동,1252-2,27170,,,
평리동서4차아파트,1986,14700,2020,2,3,39.06,5,평리동,1353-2,27170,,,
평리청구타운,2000,19450,2020,2,3,59.89,18,평리동,1408,27170,,,
동서1차아파트,1981,13000,2020,2,4,42.6,3,평리동,1439-1,27170,,,
진성아파트,1981,14000,2020,2,4,51.005,4,평리동,1314-17,27170,,,
페르하우스트,2019,27100,2020,2,4,84.9107,6,비산동,1252-2,27170,,,
평리푸르지오,2011,42700,2020,2,4,113.2671,10,평리동,1680,27170,,,
비산아뜨리움,2004,17500,2020,2,5,59.89,6,비산동,378-42,27170,,,
시영2,1985,18300,2020,2,5,59.1,4,중리동,72,27170,,,
중리롯데캐슬,2009,33000,2020,2,5,84.984,7,중리동,26-1,27170,,,
삼성만평,1982,9500,2020,2,6,41.4075,5,비산동,1011,27170,,,
삼익뉴타운,1980,13600,2020,2,6,46.135,5,내당동,308-11,27170,,,
시영2,1985,19500,2020,2,6,59.1,5,중리동,72,27170,,,
중리롯데캐슬,2009,33000,2020,2,6,84.984,13,중리동,26-1,27170,,,
평리푸르지오,2011,31300,2020,2,6,59.8925,14,평리동,1680,27170,,,
한신휴플러스,2005,32800,2020,2,6,105.3676,13,비산동,315,27170,,,
삼성만평,1982,11800,2020,2,7,52.1275,3,비산동,1011,27170,,,
삼성만평,1982,11300,2020,2,7,52.1275,2,비산동,1011,27170,,,
삼익주택,1979,43600,2020,2,7,84.66,6,내당동,350-1,27170,,,
진달래2,1983,12100,2020,2,7,50.13,5,중리동,42-1,27170,,,
진산하이츠102동,2001,19300,2020,2,7,84.96,4,비산동,1476,27170,,,
평리롯데캐슬,2009,34600,2020,2,7,84.9639,13,평리동,1676,27170,,,
황제맨션,1988,31000,2020,2,7,109.68,5,내당동,11-8,27170,,,
평리동서3차아파트,1983,19100,2020,2,8,61.29,4,평리동,1354-1,27170,,,
평리푸르지오,2011,42500,2020,2,8,113.2671,18,평리동,1680,27170,,,
