단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
노변동서우방,1996,45000,2019,5,1,134.79,15,시지동,509,27260,,,
범어숲화성파크드림S,2013,64000,2019,5,1,84.8336,4,범어동,2237,27260,,,
수성동일하이빌레이크시티,2009,84700,2019,5,1,134.9125,1,상동,555,27260,,,
지산2단지,1991,15300,2019,5,1,54.12,4,지산동,1234-1,27260,,,
지산서한이다음아파트,1991,16550,2019,5,1,59.56,2,지산동,1297-3,27260,,,
천마타운,1994,31900,2019,5,1,84.99,5,신매동,579,27260,,,
천마타운,1994,29800,2019,5,1,84.99,4,신매동,579,27260,,,
캐슬골드파크3단지,2006,40500,2019,5,1,74.62,3,황금동,365,27260,,,
캐슬골드파크4단지,2006,57500,2019,5,1,84.97,8,황금동,365,27260,,,
캐슬골드파크4단지,2006,76500,2019,5,1,129.53,6,황금동,365,27260,,,
태왕하이츠1,2000,32800,2019,5,1,84.9798,19,신매동,263,27260,,,
공작맨션,1980,41000,2019,5,2,65.42,10,범어동,804-46,27260,,,
공작맨션,1980,41000,2019,5,2,65.42,6,범어동,804-46,27260,,,
노변월드시티,2003,25000,2019,5,2,84.9912,4,노변동,210,27260,,,
대자연맨션1차,1987,25000,2019,5,2,79.845,3,파동,153,27260,,,
마크팰리스범어,2017,21700,2019,5,2,42.6363,16,범어동,177-3,27260,,,
만촌우방타운2단지,1996,23500,2019,5,2,59.73,6,만촌동,777,27260,,,
브라운스톤범어,2017,75000,2019,5,2,84.8549,24,범어동,175-1,27260,,,
수성그린타운,2005,42700,2019,5,2,59.996,13,수성동1가,112-7,27260,,,
협화맨션,1991,26300,2019,5,2,84.76,5,지산동,1273,27260,,,
서한화성타운,1992,20300,2019,5,3,65.97,7,범물동,1328,27260,,,
영남맨션,1991,27000,2019,5,3,84.9,1,지산동,1257-1,27260,,,
천마타운,1994,38500,2019,5,3,121.04,11,신매동,579,27260,,,
한라하우젠트,2006,34500,2019,5,3,84.9639,6,신매동,10-31,27260,,,
메트로팔레스2,2003,66000,2019,5,4,134.98,14,만촌동,1356-7,27260,,,
메트로팔레스5,2003,42500,2019,5,4,84.93,15,만촌동,1429-5,27260,,,
목련,1986,19000,2019,5,4,42.66,2,지산동,1200,27260,,,
목련,1986,19500,2019,5,4,42.66,3,지산동,1200,27260,,,
제림은탑맨션,1994,26300,2019,5,4,84.99,3,시지동,70,27260,,,
지산2단지,1991,14500,2019,5,4,54.12,12,지산동,1234-1,27260,,,
지산타운,1991,11200,2019,5,4,40.58,6,지산동,1288,27260,,,
지산한라타운,1991,16950,2019,5,4,59.85,4,지산동,1275,27260,,,
천마타운,1994,30400,2019,5,4,84.99,15,신매동,579,27260,,,
청구전원타운,1990,26300,2019,5,4,73.02,3,시지동,349,27260,,,
청아타운,1992,24900,2019,5,4,84.995,11,범물동,1372,27260,,,
캐슬골드파크4단지,2006,47500,2019,5,4,74.62,15,황금동,365,27260,,,
태왕4하이츠,2004,38500,2019,5,4,84.7132,12,욱수동,185-1,27260,,,
목련,1986,22800,2019,5,6,49.23,1,지산동,1200,27260,,,
범물하이츠,1992,10000,2019,5,6,41.85,7,범물동,1261,27260,,,
보성맨션,1991,25000,2019,5,6,84.99,7,지산동,1270-1,27260,,,
사월보성,1996,28800,2019,5,6,84.99,14,사월동,464,27260,,,
새중동,1981,18900,2019,5,6,63.6175,3,상동,141,27260,,,
수성롯데캐슬,2008,76500,2019,5,6,140.7631,5,수성동4가,1085-28,27260,,,
시지대백신화창신맨션,1994,18300,2019,5,6,59.88,14,신매동,569,27260,,,
화성맨션,1991,38000,2019,5,6,115.62,10,지산동,1257,27260,,,
화성맨션,1991,27600,2019,5,6,84.97,11,지산동,1257,27260,,,
만촌우방타운1단지,1997,24300,2019,5,7,59.73,17,만촌동,816,27260,,,
범어효성해링턴플레이스,2018,60000,2019,5,7,59.994,8,범어동,2250,27260,,,
영남맨션,1991,32800,2019,5,7,114.05,11,지산동,1257-1,27260,,,
우방사랑마을,1996,14050,2019,5,7,34.44,10,수성동4가,1090-7,27260,,,
지산1단지,1989,23000,2019,5,7,43.035,3,지산동,1234,27260,,,
지산2단지,1991,9200,2019,5,7,40.44,10,지산동,1234-1,27260,,,
천마타운,1994,43000,2019,5,7,134.97,6,신매동,579,27260,,,
두레타운,1995,11000,2019,5,8,39.9,4,매호동,1324,27260,,,
