단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
삼성솔라,1983,13000,2009,11,2,143.98,8,남산동,130-2,27110,,,
센트로팰리스,2007,22000,2009,11,2,80.736,5,대봉동,60-10,27110,,,
센트로팰리스,2007,37700,2009,11,2,129.185,8,대봉동,60-10,27110,,,
태왕아너스스카이,2006,20550,2009,11,2,75.9791,8,대신동,305-1,27110,,,
보성황실타운,1993,22750,2009,11,3,217.38,8,남산동,2466-1,27110,,,
동인태평78,1979,4000,2009,11,5,46.15,5,동인동1가,116,27110,,,
동인태평78,1979,5000,2009,11,5,46.15,2,동인동1가,116,27110,,,
센트로팰리스,2007,22000,2009,11,5,80.706,8,대봉동,60-10,27110,,,
태왕아너스스카이,2006,20000,2009,11,5,75.9791,6,대신동,305-1,27110,,,
도원,1976,4000,2009,11,6,38.91,1,도원동,3-5,27110,,,
보성황실타운,1993,8900,2009,11,7,59.96,8,남산동,2466-1,27110,,,
봉산뜨란채,2006,20000,2009,11,7,84.6,2,봉산동,110,27110,,,
시티타운,1997,8900,2009,11,7,59.91,9,동인동1가,33-1,27110,,,
극동(고려),1980,10500,2009,11,9,98.51,2,동인동3가,48,27110,,,
시티타운,1997,9400,2009,11,9,59.91,13,동인동1가,33-1,27110,,,
남산그린타운,2005,19650,2009,11,10,84.9597,20,남산동,2937-1,27110,,,
송림맨션,1992,12150,2009,11,10,84.965,12,남산동,2434,27110,,,
보성황실타운,1993,9400,2009,11,11,59.96,20,남산동,2466-1,27110,,,
센트로팰리스,2007,48400,2009,11,11,153.045,22,대봉동,60-10,27110,,,
도원,1976,4500,2009,11,12,38.91,1,도원동,3-5,27110,,,
청라센트럴파크,2008,19500,2009,11,12,84.99,10,남산동,2991,27110,,,
태왕아너스스카이,2006,22300,2009,11,12,84.9293,10,대신동,305-1,27110,,,
까치,1992,4100,2009,11,13,33.06,4,남산동,2482-1,27110,,,
미소시티,2007,38100,2009,11,13,118.42,26,계산동2가,100,27110,,,
보성황실타운,1993,10900,2009,11,14,59.96,17,남산동,2466-1,27110,,,
센트로팰리스,2007,36500,2009,11,14,129.185,21,대봉동,60-10,27110,,,
까치,1992,6000,2009,11,16,53.6,1,남산동,2482-1,27110,,,
동인동삼정그린코아,2009,17300,2009,11,17,84.7349,1,동인동4가,220,27110,,,
미소시티,2007,40700,2009,11,17,134.27,5,계산동2가,100,27110,,,
미소시티,2007,36900,2009,11,17,124.15,5,계산동2가,100,27110,,,
대봉화성파크드림,2006,16000,2009,11,20,79.737,4,대봉동,152-24,27110,,,
미소시티,2007,43300,2009,11,20,138.16,19,계산동2가,100,27110,,,
센트로팰리스,2007,33900,2009,11,20,129.185,13,대봉동,60-10,27110,,,
보성황실타운,1993,10500,2009,11,24,59.96,12,남산동,2466-1,27110,,,
시티타운,1997,7700,2009,11,24,51.87,9,동인동1가,33-1,27110,,,
남산그린타운,2005,20350,2009,11,25,84.9597,21,남산동,2937-1,27110,,,
청라센트럴파크,2008,19500,2009,11,25,84.99,11,남산동,2991,27110,,,
센트로팰리스,2007,21700,2009,11,26,80.706,10,대봉동,60-10,27110,,,
봉산뜨란채,2006,18600,2009,11,27,75.58,14,봉산동,110,27110,,,
금오맨션,1984,5800,2009,11,29,58.46,1,달성동,118-3,27110,,,
심미한마음,2003,8800,2009,11,30,71.3246,1,남산동,2483-1,27110,,,
