단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
골든리버,2004,7300,2014,3,1,40.81,6,신탄진동,141-28,30230,,,
보람,1995,15500,2014,3,1,59.16,13,법동,191-1,30230,,,
선비마을1,1999,16000,2014,3,1,59.87,7,법동,440-4,30230,,,
선비마을5단지,1999,18400,2014,3,1,59.96,19,송촌동,494-1,30230,,,
선비마을5단지,1999,18200,2014,3,1,59.96,6,송촌동,494-1,30230,,,
신동아,1990,19400,2014,3,1,111.69,13,오정동,635-1,30230,,,
주공1,1986,8800,2014,3,1,39.72,5,법동,284-10,30230,,,
트윈스,2005,8900,2014,3,1,52.8,1,신탄진동,155-47,30230,,,
평화로운,2011,15000,2014,3,1,59.9788,2,목상동,207-25,30230,,,
평화로운,2007,15770,2014,3,2,59.8851,4,오정동,587-1,30230,,,
평화로운,2007,15000,2014,3,2,59.8851,8,오정동,587-1,30230,,,
골든리버,2004,4830,2014,3,3,26.8,11,신탄진동,141-28,30230,,,
그린타운,1993,18900,2014,3,3,84.93,10,법동,195-1,30230,,,
그린타운,1993,12550,2014,3,3,59.34,15,법동,195-1,30230,,,
금강엑슬루타워,2012,31284,2014,3,3,118.307,16,석봉동,770,30230,,,
금강엑슬루타워,2012,22350,2014,3,3,64.428,20,석봉동,770,30230,,,
보람,1995,23900,2014,3,3,98.87,14,법동,191-1,30230,,,
새여울한신,1996,16500,2014,3,3,84.82,2,신탄진동,22-2,30230,,,
서오,1991,10200,2014,3,3,60.55,10,송촌동,554,30230,,,
선비마을4단지,1999,19800,2014,3,3,59.94,17,송촌동,462,30230,,,
선비마을아파트2단지,1999,18000,2014,3,3,59.82,7,송촌동,444,30230,,,
영진로얄,1989,6000,2014,3,3,54.225,1,중리동,274-1,30230,,,
장미,1986,7300,2014,3,3,63.36,3,대화동,229-12,30230,,,
주공2,1987,4000,2014,3,3,29.25,1,법동,284-1,30230,,,
주공2,1987,7150,2014,3,3,41.3,4,법동,284-1,30230,,,
한밭,1995,9300,2014,3,3,59.94,1,석봉동,313-1,30230,,,
행복한마을,2011,20400,2014,3,3,79.2957,11,평촌동,540-1,30230,,,
행복한마을,2011,20400,2014,3,3,79.2957,9,평촌동,540-1,30230,,,
금강엑슬루타워,2012,32580,2014,3,4,141.366,3,석봉동,770,30230,,,
금강엑슬루타워,2012,33733,2014,3,4,141.366,6,석봉동,770,30230,,,
금강엑슬루타워,2012,34526,2014,3,4,141.366,22,석봉동,770,30230,,,
두레,2001,6400,2014,3,4,32.3658,2,대화동,31-36,30230,,,
두일,1995,3000,2014,3,4,29.73,6,석봉동,316-7,30230,,,
보람,1995,14600,2014,3,4,59.16,14,법동,191-1,30230,,,
삼부덕암마을,2000,19200,2014,3,4,105.81,6,덕암동,45-2,30230,,,
삼정하이츠,1987,11000,2014,3,4,77.25,2,법동,281,30230,,,
양지마을,1999,18500,2014,3,4,84.81,8,오정동,55-5,30230,,,
연축주공,1987,6300,2014,3,4,39.72,1,연축동,102,30230,,,
주공,1987,7500,2014,3,4,47.1,5,신대동,179,30230,,,
주공,1987,5750,2014,3,4,39.72,4,신대동,179,30230,,,
평화로운,2011,15400,2014,3,4,59.9788,10,목상동,207-25,30230,,,
금강엑슬루타워,2012,31416,2014,3,5,118.307,24,석봉동,770,30230,,,
금강엑슬루타워,2012,34160,2014,3,5,141.366,14,석봉동,770,30230,,,
보람,1995,15500,2014,3,5,59.16,10,법동,191-1,30230,,,
삼호,1989,15000,2014,3,5,84.9825,11,법동,280-2,30230,,,
삼호,1989,14500,2014,3,5,84.9712,4,법동,280-2,30230,,,
선비마을4단지,1999,27300,2014,3,5,84.84,14,송촌동,462,30230,,,
주공,1987,5600,2014,3,5,39.72,5,신대동,179,30230,,,
금강엑슬루타워,2012,33672,2014,3,6,141.366,6,석봉동,770,30230,,,
금강엑슬루타워,2012,35014,2014,3,6,141.366,45,석봉동,770,30230,,,
금성백조,1985,8200,2014,3,6,71.9,2,대화동,16-2,30230,,,
다사랑,1993,9500,2014,3,6,49.86,14,목상동,185-2,30230,,,
미래101동,2001,8500,2014,3,6,40.1378,6,비래동,135-5,30230,,,
서우,1990,10000,2014,3,6,67.41,12,석봉동,177-2,30230,,,
선비마을1,1999,16200,2014,3,6,59.87,8,법동,440-4,30230,,,
선비마을3단지,1999,20000,2014,3,6,59.94,17,송촌동,461-1,30230,,,
선비마을4단지,1999,25600,2014,3,6,84.84,16,송촌동,462,30230,,,
선비마을4단지,1999,17000,2014,3,6,59.61,18,송촌동,462,30230,,,
선비마을4단지,1999,15000,2014,3,6,59.61,17,송촌동,462,30230,,,
선비마을5단지,1999,20900,2014,3,6,75.63,15,송촌동,494-1,30230,,,
성은맨션,1985,8700,2014,3,6,65.37,10,비래동,139-9,30230,,,
영진로얄,1989,15150,2014,3,6,81.71,8,중리동,274-1,30230,,,
주공1,1986,9700,2014,3,6,39.72,3,법동,284-10,30230,,,
주공2,1987,6400,2014,3,6,41.3,2,법동,284-1,30230,,,
주공2,1987,5300,2014,3,6,32.39,6,법동,284-1,30230,,,
현대,1991,13800,2014,3,6,84.96,7,읍내동,54,30230,,,
금강엑슬루타워,2012,26300,2014,3,7,84.588,17,석봉동,770,30230,,,
금강엑슬루타워,2012,27900,2014,3,7,84.588,32,석봉동,770,30230,,,
다사랑,1993,9380,2014,3,7,49.86,12,목상동,185-2,30230,,,
서우,1990,8500,2014,3,7,60,11,석봉동,177-2,30230,,,
선비마을3단지,1999,18300,2014,3,7,59.82,18,송촌동,461-1,30230,,,
선비마을4단지,1999,30500,2014,3,7,137.43,7,송촌동,462,30230,,,
선비마을4단지,1999,30000,2014,3,7,137.43,4,송촌동,462,30230,,,
선비마을아파트2단지,1999,18600,2014,3,7,59.76,4,송촌동,444,30230,,,
선비마을아파트2단지,1999,27000,2014,3,7,99.88,20,송촌동,444,30230,,,
주공2,1987,7000,2014,3,7,41.3,11,법동,284-1,30230,,,
현대,1991,12000,2014,3,7,84.96,14,읍내동,54,30230,,,
금성백조(133-5),1991,13500,2014,3,8,84.45,14,비래동,133-5,30230,,,
보람,1995,19300,2014,3,8,83.25,2,법동,191-1,30230,,,
삼호,1989,15250,2014,3,8,84.9712,12,법동,280-2,30230,,,
선비마을3단지,1999,38400,2014,3,8,134.53,15,송촌동,461-1,30230,,,
선비마을5단지,1999,16600,2014,3,8,59.96,2,송촌동,494-1,30230,,,
와동주공,1986,9500,2014,3,8,53.85,1,와동,39,30230,,,
주공,1987,7800,2014,3,8,47.1,1,신대동,179,30230,,,
주공1,1986,11950,2014,3,8,47.1,2,법동,284-10,30230,,,
한라,1996,7950,2014,3,8,49.86,1,신일동,1682-4,30230,,,
둥지,1994,14800,2014,3,9,84.9,7,비래동,18-21,30230,,,
주공2,1987,6500,2014,3,9,41.3,2,법동,284-1,30230,,,
그린타운,1993,18800,2014,3,10,84.93,11,법동,195-1,30230,,,
금강엑슬루타워,2012,34465,2014,3,10,141.366,23,석봉동,770,30230,,,
금강엑슬루타워,2012,34831,2014,3,10,141.366,44,석봉동,770,30230,,,
금강엑슬루타워,2012,25950,2014,3,10,84.588,27,석봉동,770,30230,,,
미래101동,2001,7600,2014,3,10,35.7478,11,비래동,135-5,30230,,,
보람,1995,21850,2014,3,10,98.87,3,법동,191-1,30230,,,
보람,1995,13300,2014,3,10,59.16,2,법동,191-1,30230,,,
상록수,1999,12500,2014,3,10,59.96,1,목상동,185-1,30230,,,
선비마을아파트2단지,1999,28000,2014,3,10,99.88,17,송촌동,444,30230,,,
연축주공,1987,4500,2014,3,10,39.72,1,연축동,102,30230,,,
영진로얄,1990,15000,2014,3,10,74.005,3,법동,389,30230,,,
장미,1986,6000,2014,3,10,63.36,5,대화동,229-12,30230,,,
주공,1987,6200,2014,3,10,39.72,1,신대동,179,30230,,,
주공2,1987,8000,2014,3,10,49.94,7,법동,284-1,30230,,,
현대,1991,10000,2014,3,10,55.89,17,읍내동,54,30230,,,
그린타운,1993,16900,2014,3,11,84.835,4,법동,195-1,30230,,,
금강엑슬루타워,2012,38280,2014,3,11,141.366,50,석봉동,770,30230,,,
둥지,1994,10800,2014,3,11,59.4,2,비래동,18-21,30230,,,
미래101동,2001,8300,2014,3,11,40.1378,7,비래동,135-5,30230,,,
보람,1995,24400,2014,3,11,98.87,13,법동,191-1,30230,,,
선비마을3단지,1999,24500,2014,3,11,84.9,9,송촌동,461-1,30230,,,
주공2,1987,5900,2014,3,11,39.15,3,법동,284-1,30230,,,
주공2,1987,7400,2014,3,11,49.94,1,법동,284-1,30230,,,
행복한마을,2011,22200,2014,3,11,84.7051,16,평촌동,540-1,30230,,,
금강엑슬루타워,2012,34587,2014,3,12,141.366,24,석봉동,770,30230,,,
금강엑슬루타워,2012,34465,2014,3,12,141.366,17,석봉동,770,30230,,,
다사랑,1993,9150,2014,3,12,49.86,6,목상동,185-2,30230,,,
비래휴플러스,2006,18450,2014,3,12,59.7551,14,비래동,509-1,30230,,,
삼익소월,1993,12100,2014,3,12,59.76,2,법동,190,30230,,,
선비마을1,1999,16300,2014,3,12,59.87,18,법동,440-4,30230,,,
선비마을3단지,1999,40500,2014,3,12,134.53,15,송촌동,461-1,30230,,,
선비마을5단지,1999,25600,2014,3,12,84.88,16,송촌동,494-1,30230,,,
영진로얄,1990,14700,2014,3,12,84.88,9,법동,389,30230,,,
금강엑슬루타워,2012,30162,2014,3,13,118.307,4,석봉동,770,30230,,,
금강엑슬루타워,2012,34465,2014,3,13,141.366,29,석봉동,770,30230,,,
금강엑슬루타워,2012,31416,2014,3,13,118.307,21,석봉동,770,30230,,,
금강엑슬루타워,2012,32010,2014,3,13,118.307,24,석봉동,770,30230,,,
보람,1995,19450,2014,3,13,83.25,3,법동,191-1,30230,,,
삼호(9-3),1991,4000,2014,3,13,52.92,5,덕암동,9-3,30230,,,
삼호맨션,1989,14400,2014,3,13,76.11,9,비래동,124-1,30230,,,
선비마을3단지,1999,16800,2014,3,13,59.82,1,송촌동,461-1,30230,,,
양지마을,1999,14000,2014,3,13,59.34,6,오정동,55-5,30230,,,
주공1,1986,9000,2014,3,13,39.72,4,법동,284-10,30230,,,
주공2,1987,7200,2014,3,13,41.3,5,법동,284-1,30230,,,
그린타운,1993,18600,2014,3,14,84.93,13,법동,195-1,30230,,,
금강엑슬루타워,2012,34587,2014,3,14,141.366,36,석봉동,770,30230,,,
둥지,1994,11500,2014,3,14,59.4,15,비래동,18-21,30230,,,
둥지,1994,11300,2014,3,14,59.4,16,비래동,18-21,30230,,,
보람,1995,24500,2014,3,14,98.87,9,법동,191-1,30230,,,
선비마을4단지,1999,23990,2014,3,14,84.84,5,송촌동,462,30230,,,
선비마을아파트2단지,1999,17700,2014,3,14,59.76,14,송촌동,444,30230,,,
신동아,1990,14500,2014,3,14,67.64,7,오정동,635-1,30230,,,
신동아,1990,15250,2014,3,14,84.56,1,오정동,635-1,30230,,,
주공,1987,7100,2014,3,14,46.74,5,신대동,179,30230,,,
주공1,1986,11500,2014,3,14,47.1,5,법동,284-10,30230,,,
주공2,1987,7150,2014,3,14,41.3,10,법동,284-1,30230,,,
주공2,1987,6550,2014,3,14,41.3,15,법동,284-1,30230,,,
그린타운,1993,19400,2014,3,15,84.835,9,법동,195-1,30230,,,
리치빌,2005,16400,2014,3,15,81.5139,5,비래동,145-11,30230,,,
삼익소월,1993,14300,2014,3,15,59.76,11,법동,190,30230,,,
삼호,1989,13800,2014,3,15,77.3,12,법동,280-2,30230,,,
선비마을3단지,1999,18500,2014,3,15,59.82,7,송촌동,461-1,30230,,,
선비마을5단지,1999,19500,2014,3,15,59.94,15,송촌동,494-1,30230,,,
세원풍남,1987,8000,2014,3,15,73.515,5,대화동,16-5,30230,,,
연축주공,1987,6700,2014,3,15,39.72,2,연축동,102,30230,,,
영진로얄,1989,12100,2014,3,15,71.55,15,중리동,274-1,30230,,,
와동주공,1986,9000,2014,3,15,53.85,1,와동,39,30230,,,
주공1,1986,11700,2014,3,15,47.1,1,법동,284-10,30230,,,
주공2,1987,6500,2014,3,15,41.3,2,법동,284-1,30230,,,
주공2,1987,5500,2014,3,15,39.15,2,법동,284-1,30230,,,
새여울대우,1994,10900,2014,3,16,61.248,5,신탄진동,22-2,30230,,,
금강엑슬루타워,2012,34465,2014,3,17,141.366,32,석봉동,770,30230,,,
금강엑슬루타워,2012,34831,2014,3,17,141.366,41,석봉동,770,30230,,,
금강엑슬루타워,2012,37884,2014,3,17,141.366,48,석봉동,770,30230,,,
금강엑슬루타워,2012,32580,2014,3,17,141.366,3,석봉동,770,30230,,,
금강엑슬루타워,2012,26700,2014,3,17,84.588,13,석봉동,770,30230,,,
다사랑,1993,9200,2014,3,17,49.86,15,목상동,185-2,30230,,,
보람,1995,14700,2014,3,17,59.16,5,법동,191-1,30230,,,
새여울대우,1994,15300,2014,3,17,84.906,1,신탄진동,22-2,30230,,,
선비마을5단지,1999,18500,2014,3,17,59.94,17,송촌동,494-1,30230,,,
선비마을5단지,1999,18800,2014,3,17,59.96,13,송촌동,494-1,30230,,,
와동주공,1986,8400,2014,3,17,53.85,5,와동,39,30230,,,
주공1,1986,9480,2014,3,17,39.72,1,법동,284-10,30230,,,
금강엑슬루타워,2012,38412,2014,3,18,141.366,50,석봉동,770,30230,,,
금성백조2,1991,14000,2014,3,18,80.4,4,비래동,136-1,30230,,,
보람,1995,13000,2014,3,18,59.16,3,법동,191-1,30230,,,
양지마을,1999,17700,2014,3,18,84.81,5,오정동,55-5,30230,,,
유락A동,1992,10700,2014,3,18,72.19,11,석봉동,178-2,30230,,,
행복한마을,2011,19000,2014,3,18,81.3378,2,평촌동,540-1,30230,,,
골든리버,2004,4900,2014,3,19,26.8,7,신탄진동,141-28,30230,,,
금강엑슬루타워,2012,34465,2014,3,19,141.366,19,석봉동,770,30230,,,
동부맨션,1992,8750,2014,3,19,60.15,6,비래동,560-9,30230,,,
보람,1995,15400,2014,3,19,59.16,10,법동,191-1,30230,,,
보람,1995,18850,2014,3,19,83.25,9,법동,191-1,30230,,,
비래휴플러스,2006,24900,2014,3,19,84.9097,12,비래동,509-1,30230,,,
선비마을1,1999,16250,2014,3,19,59.87,14,법동,440-4,30230,,,
선비마을1,1999,17000,2014,3,19,59.87,11,법동,440-4,30230,,,
선비마을아파트2단지,1999,23250,2014,3,19,84.45,8,송촌동,444,30230,,,
신동아,1990,22500,2014,3,19,158.16,7,오정동,635-1,30230,,,
신동아,1990,15200,2014,3,19,84.56,10,오정동,635-1,30230,,,
연축주공,1987,8400,2014,3,19,46.74,2,연축동,102,30230,,,
영진로얄,1990,15000,2014,3,19,84.88,5,법동,389,30230,,,
영진로얄,1989,8800,2014,3,19,54.225,14,중리동,274-1,30230,,,
와동주공,1986,9200,2014,3,19,53.85,1,와동,39,30230,,,
주공1,1986,9300,2014,3,19,39.72,5,법동,284-10,30230,,,
평화로운,2011,15400,2014,3,19,59.9788,4,목상동,207-25,30230,,,
한밭,1995,10000,2014,3,19,59.94,17,석봉동,313-1,30230,,,
금강엑슬루타워,2012,22800,2014,3,20,64.428,28,석봉동,770,30230,,,
둥지,1994,14800,2014,3,20,84.9,3,비래동,18-21,30230,,,
보람,1995,14750,2014,3,20,59.16,13,법동,191-1,30230,,,
보람,1995,18850,2014,3,20,83.25,2,법동,191-1,30230,,,
상록수,1999,13450,2014,3,20,59.96,14,목상동,185-1,30230,,,
선비마을3단지,1999,18700,2014,3,20,59.82,15,송촌동,461-1,30230,,,
선비마을4단지,1999,17000,2014,3,20,59.61,2,송촌동,462,30230,,,
선비마을4단지,1999,32000,2014,3,20,137.43,10,송촌동,462,30230,,,
성은맨션,1985,7900,2014,3,20,65.37,2,비래동,139-9,30230,,,
세원풍남,1987,8300,2014,3,20,73.515,1,대화동,16-5,30230,,,
신동아,1990,13400,2014,3,20,67.64,5,오정동,635-1,30230,,,
현대,1994,15450,2014,3,20,84.99,10,와동,111,30230,,,
현대,1991,13800,2014,3,20,84.96,17,읍내동,54,30230,,,
그린타운,1993,13950,2014,3,21,59.34,12,법동,195-1,30230,,,
다사랑,1993,9045,2014,3,21,49.86,9,목상동,185-2,30230,,,
비래휴플러스,2006,21800,2014,3,21,84.9881,8,비래동,509-1,30230,,,
삼익소월,1993,14450,2014,3,21,59.76,8,법동,190,30230,,,
서우,1990,9900,2014,3,21,67.41,8,석봉동,177-2,30230,,,
선비마을3단지,1999,27200,2014,3,21,84.9,8,송촌동,461-1,30230,,,
선비마을5단지,1999,23500,2014,3,21,84.88,17,송촌동,494-1,30230,,,
금강엑슬루타워,2012,25300,2014,3,22,84.634,48,석봉동,770,30230,,,
백송,1997,6500,2014,3,22,53.226,3,읍내동,202,30230,,,
선비마을4단지,1999,17600,2014,3,22,59.61,18,송촌동,462,30230,,,
선비마을5단지,1999,18800,2014,3,22,59.96,14,송촌동,494-1,30230,,,
선비마을아파트2단지,1999,22800,2014,3,22,84.45,16,송촌동,444,30230,,,
영진로얄,1990,16300,2014,3,22,84.88,11,법동,389,30230,,,
영진로얄,1990,21450,2014,3,22,125.2,10,법동,389,30230,,,
영진로얄,1990,15400,2014,3,22,84.88,5,법동,389,30230,,,
와동주공,1986,10700,2014,3,22,61.77,4,와동,39,30230,,,
와동주공,1986,9000,2014,3,22,53.85,5,와동,39,30230,,,
행복한마을,2011,19500,2014,3,22,81.3378,2,평촌동,540-1,30230,,,
행복한마을,2011,19800,2014,3,22,84.5087,3,평촌동,540-1,30230,,,
다사랑,1993,9500,2014,3,23,49.86,7,목상동,185-2,30230,,,
선비마을1,1999,15400,2014,3,23,59.87,2,법동,440-4,30230,,,
안전로얄,1986,7800,2014,3,23,67.59,1,중리동,222-2,30230,,,
금강엑슬루타워,2012,34831,2014,3,24,141.366,24,석봉동,770,30230,,,
금강엑슬루타워,2012,38016,2014,3,24,141.366,46,석봉동,770,30230,,,
금강엑슬루타워,2012,34587,2014,3,24,141.366,33,석봉동,770,30230,,,
금강엑슬루타워,2012,29832,2014,3,24,117.388,2,석봉동,770,30230,,,
대화,1979,4150,2014,3,24,49,4,대화동,40-67,30230,,,
둥지,1994,13450,2014,3,24,84.9,1,비래동,18-21,30230,,,
백송,1997,6800,2014,3,24,53.226,8,읍내동,202,30230,,,
보람,1995,14700,2014,3,24,59.16,5,법동,191-1,30230,,,
비래동현대아파트,1986,11800,2014,3,24,72.82,4,비래동,47-1,30230,,,
삼익소월,1993,18700,2014,3,24,84.85,7,법동,190,30230,,,
삼익소월,1993,13100,2014,3,24,59.76,2,법동,190,30230,,,
삼익소월,1993,13200,2014,3,24,59.76,4,법동,190,30230,,,
선비마을3단지,1999,18800,2014,3,24,59.82,14,송촌동,461-1,30230,,,
선비마을3단지,1999,17900,2014,3,24,59.82,2,송촌동,461-1,30230,,,
선비마을4단지,1999,24000,2014,3,24,84.84,2,송촌동,462,30230,,,
선비마을5단지,1999,27150,2014,3,24,84.88,11,송촌동,494-1,30230,,,
선비마을아파트2단지,1999,18500,2014,3,24,59.76,14,송촌동,444,30230,,,
신동아,1990,17200,2014,3,24,84.56,13,오정동,635-1,30230,,,
양지마을,1999,18750,2014,3,24,84.81,8,오정동,55-5,30230,,,
주공,1987,6300,2014,3,24,39.72,1,신대동,179,30230,,,
현대,1991,9000,2014,3,24,55.89,18,읍내동,54,30230,,,
금강엑슬루타워,2012,37884,2014,3,25,141.366,46,석봉동,770,30230,,,
비래휴플러스,2006,22400,2014,3,25,84.9881,13,비래동,509-1,30230,,,
삼부덕암마을,2000,18200,2014,3,25,84.69,14,덕암동,45-2,30230,,,
새여울한신,1996,13750,2014,3,25,59.83,6,신탄진동,22-2,30230,,,
선비마을3단지,1999,18700,2014,3,25,59.82,7,송촌동,461-1,30230,,,
선비마을3단지,1999,28000,2014,3,25,84.9,11,송촌동,461-1,30230,,,
소라,1990,6500,2014,3,25,60.855,3,대화동,30-1,30230,,,
와동주공,1986,9700,2014,3,25,53.85,2,와동,39,30230,,,
와동주공,1986,10900,2014,3,25,61.77,5,와동,39,30230,,,
와동주공,1986,10011,2014,3,25,61.77,4,와동,39,30230,,,
주공,1987,6300,2014,3,25,39.72,4,신대동,179,30230,,,
평화로운,2007,15600,2014,3,25,59.8851,10,오정동,587-1,30230,,,
금강엑슬루타워,2012,33611,2014,3,26,141.366,6,석봉동,770,30230,,,
두레,2001,7100,2014,3,26,35.8818,9,대화동,31-36,30230,,,
