단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대주파크빌,2006,16000,2008,8,1,81.1171,7,가양동,652-1,30110,,,
동아아파트(201),1990,8750,2008,8,1,84.89,2,자양동,201,30110,,,
용방마을,2003,8500,2008,8,1,72.93,7,용운동,460,30110,,,
용방마을,2003,6632,2008,8,1,59.75,10,용운동,460,30110,,,
용방마을,2003,8895,2008,8,1,84.99,1,용운동,460,30110,,,
용방마을,2003,6523,2008,8,1,59.88,15,용운동,460,30110,,,
은어송마을2단지(코오롱하늘채),2007,23000,2008,8,1,102.819,1,대성동,130,30110,,,
주공,1985,7700,2008,8,1,49.22,2,용운동,297,30110,,,
주공2,1990,6000,2008,8,1,58.01,8,판암동,202,30110,,,
한밭자이,2006,18000,2008,8,1,84.9811,20,삼성동,479,30110,,,
석촌마을,2000,7000,2008,8,2,49.97,2,성남동,518,30110,,,
은어송마을2단지(코오롱하늘채),2007,20000,2008,8,2,84.9954,13,대성동,130,30110,,,
은어송마을2단지(코오롱하늘채),2007,26500,2008,8,2,102.819,3,대성동,130,30110,,,
은어송마을6단지(풍림2차),2007,19750,2008,8,2,84.39,7,가오동,497,30110,,,
정원,1997,6650,2008,8,2,59.88,11,용운동,423-15,30110,,,
해맞이아파트,2007,11800,2008,8,2,71.5876,4,가양동,84-10,30110,,,
현대,1987,9000,2008,8,2,79.27,3,인동,179-1,30110,,,
신동아,1990,9400,2008,8,3,84.56,14,용전동,1,30110,,,
신동아,1990,8480,2008,8,3,67.64,5,용전동,1,30110,,,
어진마을,2007,16000,2008,8,3,84.97,5,인동,353,30110,,,
부성한울,2003,7200,2008,8,4,50.0982,1,인동,73-1,30110,,,
빌라맨션,1980,12900,2008,8,4,172.94,5,삼성동,279-1,30110,,,
솔랑마을,2000,8500,2008,8,4,59.85,17,삼성동,369-1,30110,,,
신동아,1990,13000,2008,8,4,126.35,2,용전동,1,30110,,,
용방마을,2003,13000,2008,8,4,84.99,14,용운동,460,30110,,,
용방마을,2003,12400,2008,8,4,84.97,10,용운동,460,30110,,,
용방마을,2003,7918,2008,8,4,72.93,5,용운동,460,30110,,,
용방마을,2003,5196,2008,8,4,49.98,4,용운동,460,30110,,,
용방마을,2003,6500,2008,8,4,59.75,4,용운동,460,30110,,,
용방마을,2003,6570,2008,8,4,59.88,4,용운동,460,30110,,,
용방마을,2003,5587,2008,8,4,49.98,6,용운동,460,30110,,,
용방마을,2003,6648,2008,8,4,59.75,8,용운동,460,30110,,,
용방마을,2003,6648,2008,8,4,59.75,7,용운동,460,30110,,,
용방마을,2003,6372,2008,8,4,59.75,4,용운동,460,30110,,,
용방마을,2003,6416,2008,8,4,59.75,2,용운동,460,30110,,,
용방마을,2003,5560,2008,8,4,49.98,13,용운동,460,30110,,,
용방마을,2003,5449,2008,8,4,49.98,6,용운동,460,30110,,,
용방마을,2003,5363,2008,8,4,49.98,4,용운동,460,30110,,,
용방마을,2003,5424,2008,8,4,49.98,13,용운동,460,30110,,,
용방마을,2003,5560,2008,8,4,49.98,11,용운동,460,30110,,,
용방마을,2003,5560,2008,8,4,49.98,14,용운동,460,30110,,,
용방마을,2003,5391,2008,8,4,49.98,2,용운동,460,30110,,,
용방마을,2003,6632,2008,8,4,59.75,14,용운동,460,30110,,,
용방마을,2003,6632,2008,8,4,59.75,14,용운동,460,30110,,,
용방마을,2003,6533,2008,8,4,59.75,12,용운동,460,30110,,,
용방마을,2003,6500,2008,8,4,59.75,4,용운동,460,30110,,,
용방마을,2003,6304,2008,8,4,59.75,2,용운동,460,30110,,,
용방마을,2003,9607,2008,8,4,84.99,15,용운동,460,30110,,,
용방마을,2003,9656,2008,8,4,84.99,6,용운동,460,30110,,,
용방마을,2003,9796,2008,8,4,84.99,10,용운동,460,30110,,,
용방마을,2003,9649,2008,8,4,84.99,8,용운동,460,30110,,,
용방마을,2003,9730,2008,8,4,84.99,6,용운동,460,30110,,,
용방마을,2003,6688,2008,8,4,59.88,14,용운동,460,30110,,,
용방마을,2003,9391,2008,8,4,84.97,2,용운동,460,30110,,,
용방마을,2003,9512,2008,8,4,84.3,12,용운동,460,30110,,,
용방마을,2003,9512,2008,8,4,84.3,9,용운동,460,30110,,,
용방마을,2003,6656,2008,8,4,59.88,8,용운동,460,30110,,,
용방마을,2003,6690,2008,8,4,59.88,12,용운동,460,30110,,,
용방마을,2003,6656,2008,8,4,59.88,7,용운동,460,30110,,,
용방마을,2003,9732,2008,8,4,84.97,7,용운동,460,30110,,,
용방마을,2003,9305,2008,8,4,84.99,2,용운동,460,30110,,,
용방마을,2003,9649,2008,8,4,84.99,14,용운동,460,30110,,,
용방마을,2003,6704,2008,8,4,59.88,13,용운동,460,30110,,,
용방마을,2003,6302,2008,8,4,59.88,1,용운동,460,30110,,,
주공5,1992,3800,2008,8,4,38.64,9,판암동,236,30110,,,
동아아파트(201),1990,9000,2008,8,5,84.89,2,자양동,201,30110,,,
삼정하이츠,1990,8400,2008,8,5,72.42,3,용운동,363,30110,,,
신동아,1990,11700,2008,8,5,111.69,2,용전동,1,30110,,,
용방마을,2003,6785,2008,8,5,66.02,13,용운동,460,30110,,,
용방마을,2003,9796,2008,8,5,84.99,9,용운동,460,30110,,,
용방마을,2003,6591,2008,8,5,59.75,14,용운동,460,30110,,,
용방마을,2003,9643,2008,8,5,84.99,10,용운동,460,30110,,,
용방마을,2003,9649,2008,8,5,84.99,7,용운동,460,30110,,,
용방마을,2003,9535,2008,8,5,84.99,5,용운동,460,30110,,,
용방마을,2003,6288,2008,8,5,59.88,1,용운동,460,30110,,,
용방마을,2003,6656,2008,8,5,59.88,12,용운동,460,30110,,,
용방마을,2003,7130,2008,8,5,59.88,13,용운동,460,30110,,,
용방마을,2003,6648,2008,8,5,59.75,8,용운동,460,30110,,,
용방마을,2003,5560,2008,8,5,49.98,15,용운동,460,30110,,,
용방마을,2003,6690,2008,8,5,59.88,5,용운동,460,30110,,,
용방마을,2003,9692,2008,8,5,84.99,8,용운동,460,30110,,,
용방마을,2003,6602,2008,8,5,59.75,11,용운동,460,30110,,,
용방마을,2003,6591,2008,8,5,59.75,13,용운동,460,30110,,,
용방마을,2003,5587,2008,8,5,49.98,8,용운동,460,30110,,,
용방마을,2003,5535,2008,8,5,49.98,8,용운동,460,30110,,,
용방마을,2003,5587,2008,8,5,49.98,7,용운동,460,30110,,,
용방마을,2003,5441,2008,8,5,49.68,17,용운동,460,30110,,,
용방마을,2003,5560,2008,8,5,49.98,12,용운동,460,30110,,,
용방마을,2003,5587,2008,8,5,49.98,9,용운동,460,30110,,,
용방마을,2003,5441,2008,8,5,49.68,7,용운동,460,30110,,,
용방마을,2003,5355,2008,8,5,49.98,2,용운동,460,30110,,,
용방마을,2003,9796,2008,8,5,84.99,14,용운동,460,30110,,,
용방마을,2003,9730,2008,8,5,84.99,11,용운동,460,30110,,,
용방마을,2003,9730,2008,8,5,84.99,9,용운동,460,30110,,,
용방마을,2003,7918,2008,8,5,72.93,10,용운동,460,30110,,,
용방마을,2003,7720,2008,8,5,72.93,5,용운동,460,30110,,,
용방마을,2003,7641,2008,8,5,72.93,2,용운동,460,30110,,,
용방마을,2003,6656,2008,8,5,59.88,8,용운동,460,30110,,,
용방마을,2003,6656,2008,8,5,59.88,5,용운동,460,30110,,,
용방마을,2003,9512,2008,8,5,84.3,13,용운동,460,30110,,,
용방마을,2003,6688,2008,8,5,59.88,13,용운동,460,30110,,,
용방마을,2003,6688,2008,8,5,59.88,13,용운동,460,30110,,,
용방마을,2003,6688,2008,8,5,59.88,10,용운동,460,30110,,,
용방마을,2003,6287,2008,8,5,59.88,1,용운동,460,30110,,,
용방마을,2003,9839,2008,8,5,84.99,12,용운동,460,30110,,,
용방마을,2003,9632,2008,8,5,84.97,7,용운동,460,30110,,,
용방마을,2003,6125,2008,8,5,59.75,1,용운동,460,30110,,,
용방마을,2003,7767,2008,8,5,72.93,15,용운동,460,30110,,,
용방마을,2003,6512,2008,8,5,59.75,6,용운동,460,30110,,,
용방마을,2003,6602,2008,8,5,59.75,10,용운동,460,30110,,,
용방마을,2003,6690,2008,8,5,59.88,10,용운동,460,30110,,,
용방마을,2003,5216,2008,8,5,49.98,1,용운동,460,30110,,,
용방마을,2003,6416,2008,8,5,59.75,2,용운동,460,30110,,,
용방마을,2003,9632,2008,8,5,84.97,12,용운동,460,30110,,,
주공,1985,7950,2008,8,5,49.22,3,용운동,297,30110,,,
주공5,1992,3500,2008,8,5,38.64,1,판암동,236,30110,,,
현대,1987,8450,2008,8,5,63.99,9,인동,179-1,30110,,,
홍도,1996,3900,2008,8,5,42.015,3,홍도동,14-1,30110,,,
효동현대,1998,13500,2008,8,5,84.72,13,효동,135-1,30110,,,
효동현대,1998,11000,2008,8,5,84.6825,1,효동,135-1,30110,,,
효촌마을,2003,11500,2008,8,5,59.64,12,성남동,520,30110,,,
효촌마을,2003,8250,2008,8,5,46.2,12,성남동,520,30110,,,
효촌마을,2003,11600,2008,8,5,59.9,17,성남동,520,30110,,,
대주파크빌,2006,18500,2008,8,6,84.8236,12,가양동,652-1,30110,,,
신동아,1990,9450,2008,8,6,84.56,10,용전동,1,30110,,,
신동아,1990,12500,2008,8,6,111.69,13,용전동,1,30110,,,
