단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
광도푸른,1998,7500,2022,2,2,39.9675,12,갈마동,404-2,30170,중개거래,,
원앙마을2,1997,14500,2022,2,2,39.65,7,관저동,984,30170,중개거래,,
관저더샵2,2019,60000,2022,2,3,84.9967,25,관저동,1982,30170,중개거래,,
도안리슈빌,2014,54800,2022,2,3,84.9751,9,도안동,1369,30170,중개거래,,
둥지,1994,46400,2022,2,3,70.55,15,둔산동,912,30170,중개거래,,
럭키도마,1984,8600,2022,2,3,46.67,3,도마동,328-4,30170,중개거래,,
롯데,1994,29500,2022,2,3,71.93,11,내동,220,30170,중개거래,,
수팰리스,2018,21000,2022,2,3,48.7312,12,탄방동,781,30170,중개거래,,
오벨리스크,2001,3950,2022,2,3,26.01,5,갈마동,1436,30170,중개거래,,
우성,1993,28000,2022,2,3,84.935,8,정림동,584,30170,직거래,,
원앙마을2,1997,21800,2022,2,3,59.47,1,관저동,984,30170,중개거래,,
주공2단지(은뜰아파트),1993,22000,2022,2,3,49.77,5,월평동,218-7,30170,직거래,,
포도힐,2011,4000,2022,2,3,20.2937,4,변동,58-3,30170,중개거래,,
하나로,1993,20500,2022,2,3,51.03,2,월평동,311-1,30170,중개거래,,
도안리슈빌,2014,54000,2022,2,4,84.9751,31,도안동,1369,30170,중개거래,,
리베라스위트빌,2003,9350,2022,2,4,37.725,12,둔산동,1093,30170,중개거래,,
삼정하이츠,1992,14000,2022,2,4,56.655,7,정림동,290-1,30170,중개거래,,
시티팰리스8차(103동),2019,16000,2022,2,4,30.0034,12,갈마동,338-1,30170,중개거래,,
포도힐,2011,3850,2022,2,4,20.3147,8,변동,58-3,30170,중개거래,,
도안18단지린풀하우스,2014,68000,2022,2,5,84.9944,14,도안동,1564,30170,중개거래,,
동산아파트2,1989,27500,2022,2,5,84.11,2,갈마동,343-1,30170,직거래,,
산호,1996,48700,2022,2,5,84.945,5,탄방동,689,30170,중개거래,,
삼정하이츠(38),1986,12900,2022,2,5,73.2,5,도마동,38,30170,중개거래,,
신선마을,2000,45000,2022,2,5,99.97,13,관저동,1130,30170,중개거래,,
코오롱,1990,25800,2022,2,5,70.13,7,내동,151,30170,중개거래,,
갤러리빌,2004,13900,2022,2,7,49.47,10,둔산동,1141,30170,중개거래,,
메르하우젠,2004,8700,2022,2,7,42.44,6,둔산동,1119,30170,중개거래,,
백합,1993,45000,2022,2,7,71.205,11,월평동,266,30170,중개거래,,
서우2단지,1990,17400,2022,2,7,59.76,6,내동,167,30170,중개거래,,
쌍룡,1990,22000,2022,2,7,84.89,5,갈마동,402-2,30170,중개거래,,
양지타운,1992,9000,2022,2,7,53.94,2,도마동,359-20,30170,중개거래,,
초원,1995,41300,2022,2,7,59.89,11,만년동,1-1,30170,중개거래,,
