단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
가나파로스빌1차,2004,13500,2021,1,1,49.4,12,지족동,898-1,30200,,,
가나파로스빌1차,2004,13500,2021,1,1,49.4,12,지족동,898-1,30200,,,
엑스포,1994,45600,2021,1,1,84.173,9,전민동,464-1,30200,,,
엑스포,1994,59000,2021,1,1,133.11,3,전민동,464-1,30200,,,
죽동금성백조예미지,2016,89000,2021,1,1,101.4175,20,죽동,688,30200,,,
진잠타운,1995,11500,2021,1,1,49.5,2,원내동,383,30200,,,
노은해랑숲마을5단지,2014,42000,2021,1,2,74.96,15,지족동,1033,30200,,,
대전노은4지구한화꿈에그린1블록,2014,60000,2021,1,2,84.721,6,지족동,1089,30200,,,
엑스포,1994,40800,2021,1,2,84.173,16,전민동,464-1,30200,,,
"열매마을4단지(계룡,현대)",2001,33500,2021,1,2,59.982,12,지족동,858,30200,,,
"열매마을4단지(계룡,현대)",2001,34500,2021,1,2,59.816,5,지족동,858,30200,,,
"열매마을4단지(계룡,현대)",2001,35000,2021,1,2,59.982,15,지족동,858,30200,,,
운암네오미아,2006,54500,2021,1,2,84.45,13,관평동,672,30200,,,
유성세움펠리피아주상복합,2014,16900,2021,1,2,54.6547,7,봉명동,466-2,30200,,,
자연,1998,15700,2021,1,2,59.988,11,궁동,393-3,30200,,,
진잠타운,1995,16200,2021,1,2,59.996,10,원내동,383,30200,,,
청솔뉴서울,1995,14350,2021,1,2,59.2925,7,송강동,8-2,30200,,,
트리풀시티(5단지),2014,74700,2021,1,2,84.89,18,상대동,464,30200,,,
한울,1992,34800,2021,1,2,117.295,16,신성동,160-1,30200,,,
금성백조예미지7단지아파트,2007,53000,2021,1,3,84.9363,9,관평동,892,30200,,,
다솔,1995,23500,2021,1,3,69.98,6,궁동,395-3,30200,,,
대림두레,1993,30900,2021,1,3,84.945,9,신성동,152-1,30200,,,
자연,1998,15500,2021,1,3,59.988,8,궁동,393-3,30200,,,
죽동금성백조예미지,2016,66000,2021,1,3,74.9973,15,죽동,688,30200,,,
경남아너스빌2차,2005,25500,2021,1,4,84.97,3,지족동,905-5,30200,,,
금성백조예미지8단지,2007,61000,2021,1,4,84.9363,10,관평동,896,30200,,,
드리움1단지,2004,29800,2021,1,4,84.65,6,대정동,316-1,30200,,,
드리움1단지,2004,27000,2021,1,4,84.65,9,대정동,316-1,30200,,,
베르디움,2014,94000,2021,1,4,84.9317,19,봉명동,1021,30200,,,
세종,1994,27000,2021,1,4,75.29,4,전민동,462-5,30200,,,
세종,1994,27000,2021,1,4,75.29,4,전민동,462-5,30200,,,
세종,1994,22000,2021,1,4,59.14,5,전민동,462-5,30200,,,
스마트시티2단지,2008,195000,2021,1,4,205.1436,32,도룡동,4-6,30200,,,
스카이뷰리브,2019,18000,2021,1,4,48.499,7,구암동,611-31,30200,,,
"열매마을4단지(계룡,현대)",2001,32000,2021,1,4,59.816,10,지족동,858,30200,,,
진잠타운,1995,8400,2021,1,4,39.84,14,원내동,383,30200,,,
진잠타운,1995,9700,2021,1,4,49.5,3,원내동,383,30200,,,
투유2,2004,8600,2021,1,4,41.45,11,봉명동,662-1,30200,,,
트리풀시티,2011,109900,2021,1,4,119.77,1,상대동,487,30200,,,
한빛,1992,41000,2021,1,4,84.93,5,어은동,99,30200,,,
한솔아파트,1995,13800,2021,1,4,58.74,12,송강동,200-1,30200,,,
한울,1992,32000,2021,1,4,117.295,9,신성동,160-1,30200,,,
한울,1992,25000,2021,1,4,84.93,5,신성동,160-1,30200,,,
경남아너스빌2단지,2008,62700,2021,1,5,163.786,2,용산동,719,30200,,,
경남아너스빌2단지,2008,62700,2021,1,5,163.786,2,용산동,719,30200,,,
노블레스타워,2006,24200,2021,1,5,114.96,6,봉명동,536-10,30200,,,
드리움1단지,2004,29000,2021,1,5,84.65,12,대정동,316-1,30200,,,
드리움1단지,2004,21000,2021,1,5,59.73,5,대정동,316-1,30200,,,
드림월드,2002,40500,2021,1,5,84.7352,3,장대동,344,30200,,,
목련1,2000,28800,2021,1,5,59.93,5,상대동,445,30200,,,
목련2,2000,30000,2021,1,5,84.98,3,상대동,444,30200,,,
반석마을2단지(계룡리슈빌),2005,74200,2021,1,5,97.366,3,지족동,978,30200,,,
샘물타운,1996,22000,2021,1,5,84.94,1,원내동,394,30200,,,
샘물타운,1996,16200,2021,1,5,60,6,원내동,394,30200,,,
엑스포,1994,40000,2021,1,5,84.173,8,전민동,464-1,30200,,,
"열매마을4단지(계룡,현대)",2001,32000,2021,1,5,59.982,10,지족동,858,30200,,,
유성세움펠리피아주상복합,2014,21000,2021,1,5,65.1999,22,봉명동,466-2,30200,,,
유성숲오투그란데3차,2019,28000,2021,1,5,59.7564,12,덕명동,614,30200,,,
트리풀시티(5단지),2014,80000,2021,1,5,84.89,10,상대동,464,30200,,,
하이랜드,2011,3700,2021,1,5,15.4518,7,봉명동,640-2,30200,,,
한솔아파트,1995,14000,2021,1,5,58.74,2,송강동,200-1,30200,,,
한울,1992,36000,2021,1,5,117.295,7,신성동,160-1,30200,,,
한일유앤아이,2005,40500,2021,1,5,122.7835,5,장대동,382,30200,,,
한화꿈에그린3차,2008,57000,2021,1,5,84.654,1,관평동,1280,30200,,,
노은새미래숲2단지,2015,40000,2021,1,6,59.89,9,지족동,1042,30200,,,
노은스타돔,2005,24000,2021,1,6,82.71,3,노은동,553-8,30200,,,
대림두레,1993,45000,2021,1,6,119.76,14,신성동,152-1,30200,,,
대림두레,1993,29250,2021,1,6,84.945,6,신성동,152-1,30200,,,
반석마을7단지(삼부르네상스1단지),2004,52700,2021,1,6,84.903,10,반석동,612,30200,,,
송림마을5단지(E-그리운),2006,31200,2021,1,6,59.9522,1,하기동,545,30200,,,
열매마을7단지(현대1차),2000,53500,2021,1,6,84.716,14,지족동,919,30200,,,
죽동금성백조예미지,2016,75000,2021,1,6,84.9553,8,죽동,688,30200,,,
진잠타운,1995,16600,2021,1,6,59.996,12,원내동,383,30200,,,
