단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
미르마을,2005,16400,2013,1,1,49.85,16,용두동,39,30140,,,
파라곤,2005,25100,2013,1,1,84.236,21,태평동,389-5,30140,,,
한밭가든,1991,15600,2013,1,2,84.88,8,산성동,78-5,30140,,,
미르마을,2005,24000,2013,1,3,84.98,17,용두동,39,30140,,,
삼부1,1978,8900,2013,1,3,57.79,1,태평동,383-1,30140,,,
삼부3,1985,18500,2013,1,3,111.57,6,태평동,403-1,30140,,,
삼부5,1991,16800,2013,1,3,84.38,10,태평동,408-1,30140,,,
파라곤,2005,39000,2013,1,3,130.55,23,태평동,389-5,30140,,,
나이스타운,2012,5800,2013,1,4,15.2703,6,오류동,171-20,30140,,,
버드내1,2000,17700,2013,1,4,59.89,12,태평동,422-7,30140,,,
버드내마을아파트2단지,2000,24400,2013,1,4,84.994,9,태평동,551,30140,,,
사랑드림(160-9),2012,12350,2013,1,4,59.9098,6,산성동,160-9,30140,,,
삼부4,1986,20700,2013,1,4,133.5,8,태평동,393,30140,,,
유천현대아파트,1990,17500,2013,1,4,84.945,8,유천동,10,30140,,,
창조,1992,6800,2013,1,4,53.58,1,부사동,298-10,30140,,,
태평,2000,16000,2013,1,4,59.98,6,태평동,317,30140,,,
버드내1,2000,22000,2013,1,5,84.93,8,태평동,422-7,30140,,,
성산마을우남스타원,2006,19000,2013,1,6,84.9591,3,사정동,487,30140,,,
나이스타운,2012,8000,2013,1,7,36.1653,9,태평동,382-4,30140,,,
목양마을,2003,23000,2013,1,7,84.82,10,목동,24,30140,,,
사랑드림(160-9),2012,12570,2013,1,7,60.1434,5,산성동,160-9,30140,,,
유천현대아파트,1990,16000,2013,1,7,84.945,14,유천동,10,30140,,,
유천현대아파트,1990,14700,2013,1,7,84.945,1,유천동,10,30140,,,
푸른뫼,1999,17500,2013,1,7,84.99,3,태평동,254-4,30140,,,
푸른뫼,1999,17000,2013,1,7,84.99,12,태평동,254-4,30140,,,
한밭가든,1991,12163,2013,1,7,84.88,2,산성동,78-5,30140,,,
대전목동더샵,2010,23800,2013,1,8,59.9091,6,목동,360,30140,,,
버드내1,2000,24300,2013,1,8,84.93,12,태평동,422-7,30140,,,
우성,1989,10909,2013,1,8,84.95,1,산성동,37-1,30140,,,
하우스토리2차,2010,41818,2013,1,8,167.49,28,문화동,1-31,30140,,,
한밭우성,1995,13500,2013,1,8,59.9,4,문화동,141,30140,,,
한밭우성,1995,14000,2013,1,8,59.9,10,문화동,141,30140,,,
삼성,1986,21200,2013,1,9,84.78,6,오류동,175-1,30140,,,
유등마을쌍용아파트,2000,16700,2013,1,9,59.92,12,태평동,253-1,30140,,,
현대,1987,12000,2013,1,9,63.99,10,중촌동,16-1,30140,,,
대전목동더샵,2010,39000,2013,1,10,114.9543,18,목동,360,30140,,,
목양마을,2003,26000,2013,1,10,117.46,3,목동,24,30140,,,
문화마을2단지,2004,30700,2013,1,10,84.781,4,문화동,1-38,30140,,,
버드내1,2000,31700,2013,1,10,134.94,8,태평동,422-7,30140,,,
버드내1,2000,24000,2013,1,10,84.93,16,태평동,422-7,30140,,,
현대(132-2),1991,15000,2013,1,10,84.945,9,목동,132-2,30140,,,
나이스타운,2012,5800,2013,1,11,15.2703,9,오류동,171-20,30140,,,
미르마을,2005,16000,2013,1,11,49.85,18,용두동,39,30140,,,
유천현대아파트,1990,19000,2013,1,11,84.945,5,유천동,10,30140,,,
주공3,1994,7500,2013,1,11,39.87,15,문화동,757,30140,,,
현대1,1987,10000,2013,1,11,54.675,13,대흥동,22-7,30140,,,
목양마을,2003,23200,2013,1,12,84.82,9,목동,24,30140,,,
삼부5,1991,17000,2013,1,12,84.38,8,태평동,408-1,30140,,,
삼익,1978,14500,2013,1,12,73.98,7,문화동,311-4,30140,,,
쌍용예가,2008,27700,2013,1,12,84.9112,13,태평동,554,30140,,,
아르젠,2005,10300,2013,1,12,59.97,10,선화동,159-5,30140,,,
하나,1997,11100,2013,1,12,59.99,13,유천동,319-1,30140,,,
드림시티,2012,6300,2013,1,13,18.2186,3,대흥동,437,30140,,,
문화마을1단지,2004,29500,2013,1,13,84.781,10,문화동,1-43,30140,,,
센트럴파크3단지,2007,36700,2013,1,13,101.9833,24,문화동,1-3,30140,,,
주공2,1994,9300,2013,1,13,49.77,6,문화동,775,30140,,,
나이스타운,2012,9200,2013,1,14,38.0646,6,태평동,382-4,30140,,,
목양마을,2003,29200,2013,1,14,135.34,18,목동,24,30140,,,
문화마을2단지,2004,39000,2013,1,14,134.6803,11,문화동,1-38,30140,,,
주공3,1994,8250,2013,1,14,39.87,11,문화동,757,30140,,,
극동,1992,17000,2013,1,15,114.3,8,문화동,584-4,30140,,,
목양마을,2003,23500,2013,1,15,84.82,11,목동,24,30140,,,
삼부5,1991,17800,2013,1,15,122.31,13,태평동,408-1,30140,,,
성산마을우남스타원,2006,17800,2013,1,15,84.9591,2,사정동,487,30140,,,
아이비,2005,6700,2013,1,15,37.39,9,부사동,101-1,30140,,,
주공,1983,13250,2013,1,15,55.8,1,중촌동,21,30140,,,
주공2,1994,9200,2013,1,15,49.77,2,문화동,775,30140,,,
주공2,1994,10000,2013,1,15,49.77,14,문화동,775,30140,,,
금호아파트,1989,14500,2013,1,16,70.38,9,중촌동,10-2,30140,,,
목양마을,2003,22700,2013,1,16,84.82,9,목동,24,30140,,,
버드내1,2000,21500,2013,1,16,84.93,7,태평동,422-7,30140,,,
삼창,1990,10000,2013,1,16,77.99,1,산성동,301-5,30140,,,
한밭가든,1991,11010,2013,1,16,84.88,1,산성동,78-5,30140,,,
한밭우성,1995,18300,2013,1,16,84.94,10,문화동,141,30140,,,
한신휴플러스보르미1단지,2006,27000,2013,1,16,84.99,7,문화동,311-3,30140,,,
버드내1,2000,18850,2013,1,17,59.89,21,태평동,422-7,30140,,,
샛뜸,2002,12500,2013,1,17,84.9252,3,사정동,439-14,30140,,,
주공3,1994,7850,2013,1,17,39.87,11,문화동,757,30140,,,
태평,2000,17500,2013,1,17,59.98,17,태평동,317,30140,,,
벽산한사랑,1994,13000,2013,1,18,59.99,2,유천동,10-2,30140,,,
쌍용예가,2008,27000,2013,1,18,84.9646,9,태평동,554,30140,,,
올리브힐,2011,33400,2013,1,18,108.24,13,목동,362,30140,,,
유천현대아파트,1990,18000,2013,1,18,101.28,18,유천동,10,30140,,,
하우스토리2차,2010,37165,2013,1,18,146.26,18,문화동,1-31,30140,,,
광흥,1986,5500,2013,1,19,51.12,3,용두동,166-2,30140,,,
금호한사랑,2001,15100,2013,1,19,59.76,4,목동,111-12,30140,,,
미르마을,2005,19300,2013,1,19,59.78,10,용두동,39,30140,,,
버드내1,2000,25200,2013,1,19,84.93,18,태평동,422-7,30140,,,
버드내1,2000,16000,2013,1,19,59.89,15,태평동,422-7,30140,,,
버드내1,2000,22000,2013,1,19,84.93,23,태평동,422-7,30140,,,
삼부1,1978,9900,2013,1,19,69.85,3,태평동,383-1,30140,,,
센트럴파크2단지,2007,31000,2013,1,19,84.9614,10,문화동,1-253,30140,,,
유천현대아파트,1990,17500,2013,1,19,84.945,12,유천동,10,30140,,,
유천현대아파트,1990,20800,2013,1,19,129.73,2,유천동,10,30140,,,
태평,2000,16000,2013,1,19,59.98,17,태평동,317,30140,,,
푸른뫼,1999,15900,2013,1,19,84.99,2,태평동,254-4,30140,,,
금호아파트,1989,14600,2013,1,20,70.38,5,중촌동,10-2,30140,,,
미르마을,2005,22500,2013,1,20,84.98,2,용두동,39,30140,,,
버드내1,2000,34000,2013,1,20,134.94,21,태평동,422-7,30140,,,
현대,1987,16200,2013,1,20,84.94,9,중촌동,16-1,30140,,,
유등마을쌍용아파트,2000,17500,2013,1,21,59.92,23,태평동,253-1,30140,,,
쉐리움,2005,14500,2013,1,22,73.91,9,오류동,171-13,30140,,,
효성상아맨션,1984,11300,2013,1,22,46.66,4,문화동,1-46,30140,,,
나이스타운,2012,6600,2013,1,23,17.8233,9,오류동,171-20,30140,,,
나이스타운,2012,5800,2013,1,23,15.7902,6,오류동,171-20,30140,,,
버드내1,2000,23000,2013,1,23,84.93,5,태평동,422-7,30140,,,
푸른뫼,1999,18300,2013,1,23,84.99,11,태평동,254-4,30140,,,
한밭가든,1991,14200,2013,1,23,84.88,15,산성동,78-5,30140,,,
현대,1987,14000,2013,1,23,79.27,11,중촌동,16-1,30140,,,
