단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
명지두산위브포세이돈,2013,27500,2018,10,2,84.9807,14,명지동,3234,26440,,,
지사금강펜테리움,2013,13000,2018,10,2,59.9843,6,지사동,1184-1,26440,,,
협성·DS엘리시안,2015,16500,2018,10,2,59.9588,3,지사동,1186,26440,,,
명지두산위브포세이돈,2013,30200,2018,10,3,84.9819,3,명지동,3234,26440,,,
에일린의 뜰,2015,32800,2018,10,4,75.2857,20,명지동,3361,26440,,,
협성·DS엘리시안,2015,15500,2018,10,5,59.9588,6,지사동,1186,26440,,,
퀸덤1차에디슨타운,2009,40200,2018,10,6,117.27,13,명지동,3230-11,26440,,,
극동스타클래스,2008,45000,2018,10,8,133.77,9,명지동,3233,26440,,,
롯데캐슬,2008,28000,2018,10,8,84.94,13,명지동,3244,26440,,,
엘크루솔마레,2014,33000,2018,10,8,84.987,6,명지동,3235,26440,,,
지사금강펜테리움,2013,12800,2018,10,8,59.9875,4,지사동,1184-1,26440,,,
명지국제신도시호반베르디움1차,2016,31000,2018,10,9,66.9173,4,명지동,3415,26440,,,
명지국제신도시호반베르디움2차,2017,38300,2018,10,9,84.8015,17,명지동,3344,26440,,,
명지대방노블랜드오션뷰1차,2015,40800,2018,10,9,84.9145,13,명지동,3423,26440,,,
부산신호윌더하임,2005,21800,2018,10,9,127.639,1,신호동,205-1,26440,,,
에일린의 뜰,2015,30500,2018,10,9,66.9377,13,명지동,3361,26440,,,
에일린의 뜰,2015,34000,2018,10,9,75.7034,8,명지동,3361,26440,,,
협성·DS엘리시안,2015,17400,2018,10,9,68.1307,11,지사동,1186,26440,,,
극동스타클래스,2008,30000,2018,10,10,84.97,14,명지동,3233,26440,,,
명지1차 금강펜테리움 센트럴파크,2015,30800,2018,10,10,61.2559,2,명지동,3354,26440,,,
명지국제신도시호반베르디움2차,2017,32000,2018,10,10,70.8176,9,명지동,3344,26440,,,
엘크루블루오션,2012,110000,2018,10,10,244.19,3,명지동,3243,26440,,,
퀸덤1차에디슨타운,2009,27500,2018,10,10,84.97,4,명지동,3230-11,26440,,,
극동스타클래스,2008,34400,2018,10,11,101.96,13,명지동,3233,26440,,,
명지2차금강펜테리움센트럴파크,2016,36000,2018,10,12,84.2513,22,명지동,3343,26440,,,
롯데캐슬,2008,26800,2018,10,13,84.93,5,명지동,3244,26440,,,
명지1차 금강펜테리움 센트럴파크,2015,28100,2018,10,13,61.2559,10,명지동,3354,26440,,,
명지1차 금강펜테리움 센트럴파크,2015,27000,2018,10,13,61.254,5,명지동,3354,26440,,,
명지국제신도시호반베르디움1차,2016,34800,2018,10,13,74.9342,11,명지동,3415,26440,,,
에일린의 뜰,2015,38200,2018,10,13,84.995,18,명지동,3361,26440,,,
지사금강펜테리움,2013,13500,2018,10,13,59.9372,15,지사동,1184-1,26440,,,
명지2차금강펜테리움센트럴파크,2016,30000,2018,10,14,66.6612,19,명지동,3343,26440,,,
부산신호윌더하임,2005,19500,2018,10,14,84.998,12,신호동,205-1,26440,,,
롯데캐슬,2008,27000,2018,10,15,84.93,6,명지동,3244,26440,,,
명진파크뷰,2016,11270,2018,10,16,34.4202,4,지사동,1182-2,26440,,,
명진파크뷰,2016,11270,2018,10,16,34.4202,5,지사동,1182-2,26440,,,
명진파크뷰,2016,11270,2018,10,16,34.4202,6,지사동,1182-2,26440,,,
명진파크뷰,2016,11730,2018,10,16,34.4202,11,지사동,1182-2,26440,,,
명진파크뷰,2016,11730,2018,10,16,34.4202,12,지사동,1182-2,26440,,,
명진파크뷰,2016,11730,2018,10,16,34.4202,13,지사동,1182-2,26440,,,
명진파크뷰,2016,11730,2018,10,16,34.4202,14,지사동,1182-2,26440,,,
명진파크뷰,2016,7270,2018,10,16,21.2009,4,지사동,1182-2,26440,,,
명진파크뷰,2016,7270,2018,10,16,21.2009,5,지사동,1182-2,26440,,,
명진파크뷰,2016,7270,2018,10,16,21.2009,6,지사동,1182-2,26440,,,
명진파크뷰,2016,7410,2018,10,16,21.2009,7,지사동,1182-2,26440,,,
명진파크뷰,2016,7410,2018,10,16,21.2009,8,지사동,1182-2,26440,,,
명진파크뷰,2016,7410,2018,10,16,21.2009,10,지사동,1182-2,26440,,,
엘크루블루오션,2012,56000,2018,10,16,124.47,7,명지동,3243,26440,,,
엘크루블루오션,2012,56000,2018,10,16,147.97,4,명지동,3243,26440,,,
명지국제신도시호반베르디움1차,2016,34000,2018,10,17,66.9173,16,명지동,3415,26440,,,
부산신호윌더하임,2005,18750,2018,10,17,84.998,9,신호동,205-1,26440,,,
명지1차 금강펜테리움 센트럴파크,2015,26000,2018,10,19,61.2559,1,명지동,3354,26440,,,
명지두산위브포세이돈,2013,27400,2018,10,19,84.9807,9,명지동,3234,26440,,,
극동스타클래스,2008,30000,2018,10,20,84.99,7,명지동,3233,26440,,,
엘크루블루오션,2012,65700,2018,10,20,210.74,2,명지동,3243,26440,,,
퀸덤1차아인슈타인타운,2009,26800,2018,10,20,84.85,14,명지동,3232,26440,,,
명지국제신도시호반베르디움1차,2016,35000,2018,10,21,74.8162,2,명지동,3415,26440,,,
에일린의 뜰,2015,30100,2018,10,21,75.2857,8,명지동,3361,26440,,,
명지대방노블랜드오션뷰1차,2015,40500,2018,10,22,84.9341,7,명지동,3423,26440,,,
명지오션시티한신휴플러스,2014,30700,2018,10,22,84.99,6,명지동,3236,26440,,,
엘크루블루오션,2012,78000,2018,10,22,210.74,2,명지동,3243,26440,,,
퀸덤1차링컨타운,2009,35000,2018,10,22,101.4,1,명지동,3231,26440,,,
협성·DS엘리시안,2015,15000,2018,10,22,59.9931,6,지사동,1186,26440,,,
명지2차금강펜테리움센트럴파크,2016,30400,2018,10,24,66.6612,12,명지동,3343,26440,,,
명지대방노블랜드오션뷰2차,2016,43000,2018,10,24,84.9975,1,명지동,3417,26440,,,
에일린의 뜰,2015,38500,2018,10,24,84.995,11,명지동,3361,26440,,,
퀸덤1차링컨타운,2009,28500,2018,10,24,84.85,14,명지동,3231,26440,,,
명지1차 금강펜테리움 센트럴파크,2015,35000,2018,10,25,84.2591,10,명지동,3354,26440,,,
퀸덤1차아인슈타인타운,2009,26000,2018,10,25,84.97,2,명지동,3232,26440,,,
명지두산위브포세이돈,2013,33500,2018,10,26,84.9819,5,명지동,3234,26440,,,
명지협성휴포레,2016,27400,2018,10,26,59.9566,15,명지동,3328,26440,,,
퀸덤1차링컨타운,2009,32900,2018,10,26,101.4,5,명지동,3231,26440,,,
명지대방노블랜드오션뷰1차,2015,42800,2018,10,27,84.9145,1,명지동,3423,26440,,,
명지오션시티한신휴플러스,2014,28000,2018,10,27,74.74,4,명지동,3236,26440,,,
부산신호윌더하임,2005,20700,2018,10,27,84.998,11,신호동,205-1,26440,,,
명지1차 금강펜테리움 센트럴파크,2015,26400,2018,10,29,61.2559,8,명지동,3354,26440,,,
퀸덤1차링컨타운,2009,34850,2018,10,29,101.4,4,명지동,3231,26440,,,
