단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
구서동롯데캐슬골드2단지(1049),2006,46400,2016,7,1,110.72,14,구서동,1049,26410,,,
구서동쌍용예가2단지,2010,44700,2016,7,1,84.9998,7,구서동,1059,26410,,,
구서우성,1994,22800,2016,7,1,84.97,5,구서동,1027-1,26410,,,
금성타운,2012,19300,2016,7,1,70.435,6,회동동,551,26410,,,
금정산2차쌍용예가,2014,44400,2016,7,1,84.964,7,장전동,739,26410,,,
금정산쌍용예가,2012,42000,2016,7,1,84.9024,10,장전동,732,26410,,,
쌍용,2000,45000,2016,7,1,140.293,8,부곡동,224-1,26410,,,
태평양,1994,17300,2016,7,1,84.72,1,구서동,75,26410,,,
금정산쌍용예가,2012,44000,2016,7,2,84.9468,11,장전동,732,26410,,,
금정산쌍용예가,2012,49000,2016,7,2,114.7042,5,장전동,732,26410,,,
동원로얄듀크,2005,45000,2016,7,2,136.7536,4,부곡동,224-5,26410,,,
벽산블루밍장전디자인시티2단지,2012,41700,2016,7,2,84.99,16,장전동,717,26410,,,
부산대역삼정그린코아마운틴동,2013,10700,2016,7,2,19.577,10,부곡동,297-13,26410,,,
쌍용,2000,40000,2016,7,3,107.93,14,부곡동,224-1,26410,,,
경동,1997,21000,2016,7,4,59.79,8,청룡동,350,26410,,,
구서우성,1994,21000,2016,7,4,84.97,4,구서동,1027-1,26410,,,
금정산쌍용예가,2012,43900,2016,7,4,84.86,14,장전동,732,26410,,,
벽산블루밍장전디자인시티2단지,2012,40700,2016,7,4,84.99,17,장전동,717,26410,,,
산들파르테,2016,17500,2016,7,4,49.205,3,구서동,201-9,26410,,,
삼한사랑채,2015,21430,2016,7,4,61.1282,2,부곡동,971,26410,,,
서동로얄맨션,1978,7550,2016,7,4,37.48,1,서동,237-1,26410,,,
에스케이아파트,1998,28100,2016,7,4,59.813,13,부곡동,63-11,26410,,,
에스케이아파트,1998,36200,2016,7,4,84.93,8,부곡동,63-11,26410,,,
용진마이스터,2016,29266,2016,7,4,78.17,11,장전동,613-14,26410,,,
용진마이스터,2016,28233,2016,7,4,78.17,4,장전동,613-14,26410,,,
장전경보,1997,28500,2016,7,4,82.245,17,장전동,581,26410,,,
장전경보,1997,20600,2016,7,4,59.95,11,장전동,581,26410,,,
구서동쌍용예가2단지,2010,59800,2016,7,5,132.3946,18,구서동,1059,26410,,,
금정맨션,1978,17250,2016,7,5,82.64,5,장전동,541-6,26410,,,
금정산2차쌍용예가,2014,46200,2016,7,5,84.964,17,장전동,739,26410,,,
금정산쌍용예가,2012,39900,2016,7,5,84.9024,2,장전동,732,26410,,,
라경유닉스빌라트,2002,35500,2016,7,5,118.075,4,구서동,458-1,26410,,,
무지개타운,1986,14000,2016,7,5,54.36,4,부곡동,783,26410,,,
엘지금정,1997,27000,2016,7,5,84.82,15,장전동,482-14,26410,,,
온천장역삼정그린코아,2014,9700,2016,7,5,23.5744,10,장전동,652-45,26410,,,
용진마이스터,2016,28921,2016,7,5,78.17,8,장전동,613-14,26410,,,
장전경보,1997,19400,2016,7,5,59.95,12,장전동,581,26410,,,
장전동금정산SKVIEW,2010,43300,2016,7,5,84.997,2,장전동,713,26410,,,
구서 협성 엠파이어,2013,34900,2016,7,6,84.977,13,구서동,183-2,26410,,,
구서신동아,1997,30800,2016,7,6,84.81,11,구서동,165-1,26410,,,
구서우성,1994,21800,2016,7,6,84.97,3,구서동,1027-1,26410,,,
금정산롯데인벤스84,2004,40500,2016,7,6,164.4796,13,청룡동,128,26410,,,
대우,1999,30000,2016,7,6,59.93,21,부곡동,244-7,26410,,,
동양부곡,1977,12000,2016,7,6,55.34,5,부곡동,337-3,26410,,,
벽산블루밍장전디자인시티2단지,2012,45300,2016,7,6,104.86,4,장전동,717,26410,,,
부곡동대동다:숲,2007,34000,2016,7,6,84.9788,9,부곡동,788,26410,,,
산들파르테,2016,16000,2016,7,6,48.99,4,구서동,201-9,26410,,,
선경3,1989,29000,2016,7,6,84.96,14,구서동,1006-2,26410,,,
장전동금정산SKVIEW,2010,67000,2016,7,6,164.983,14,장전동,713,26410,,,
현대,1989,18800,2016,7,6,84.845,3,부곡동,364-15,26410,,,
구서동롯데캐슬골드2단지(1049),2006,36000,2016,7,7,84.98,3,구서동,1049,26410,,,
금정산2차쌍용예가,2014,45000,2016,7,7,84.964,21,장전동,739,26410,,,
금정산경동메르빌아파트,2007,35900,2016,7,7,128.8988,1,청룡동,380-5,26410,,,
금정산쌍용예가,2012,52000,2016,7,7,114.7042,12,장전동,732,26410,,,
대우,1999,31500,2016,7,7,84.962,1,부곡동,244-7,26410,,,
반도맨션,1985,19300,2016,7,7,68.52,9,부곡동,780,26410,,,
벽산블루밍장전디자인시티1단지,2012,41250,2016,7,7,84.99,7,장전동,718,26410,,,
벽산블루밍장전디자인시티2단지,2012,40500,2016,7,7,84.99,14,장전동,717,26410,,,
벽산블루밍장전디자인시티3단지,2012,39800,2016,7,7,84.99,3,장전동,721,26410,,,
일신,1990,19250,2016,7,7,79.2,3,구서동,1025,26410,,,
장전동금정산SKVIEW,2010,45000,2016,7,7,84.997,23,장전동,713,26410,,,
한진아파트,1992,22700,2016,7,7,84.51,10,구서동,265-1,26410,,,
경남한신,1995,31000,2016,7,8,84.95,8,부곡동,225-6,26410,,,
부곡늘푸른아파트,1991,13900,2016,7,8,57.15,2,부곡동,958,26410,,,
산들파르테,2016,17650,2016,7,8,49.205,5,구서동,201-9,26410,,,
선경3,1989,27900,2016,7,8,84.82,6,구서동,1006-2,26410,,,
신풍주택,1991,13400,2016,7,8,75.085,6,남산동,988-10,26410,,,
용진마이스터,2016,28500,2016,7,8,78.17,5,장전동,613-14,26410,,,
장전현대,2006,15900,2016,7,8,59.7,7,장전동,74-77,26410,,,
장전현대,2006,16800,2016,7,8,73.74,4,장전동,74-77,26410,,,
경남한신,1995,39400,2016,7,9,115.51,10,부곡동,225-6,26410,,,
금정산2차쌍용예가,2014,45000,2016,7,9,84.964,9,장전동,739,26410,,,
동원,1981,16600,2016,7,9,65.52,5,부곡동,296-15,26410,,,
삼창,1985,18500,2016,7,9,65.43,4,남산동,3-1,26410,,,
성원빌라트,2001,16000,2016,7,9,59.4292,6,남산동,105-2,26410,,,
용진마이스터,2016,28233,2016,7,9,78.17,4,장전동,613-14,26410,,,
장전경보,1997,30200,2016,7,9,84.705,5,장전동,581,26410,,,
장전동금정산SKVIEW,2010,42600,2016,7,9,84.997,5,장전동,713,26410,,,
SG이너스Ⅱ,2014,8100,2016,7,11,19.083,5,부곡동,895-17,26410,,,
SG이너스Ⅱ,2014,8500,2016,7,11,19.083,15,부곡동,895-17,26410,,,
경남한신,1995,32200,2016,7,11,84.95,22,부곡동,225-6,26410,,,
경남한신,1995,22950,2016,7,11,59.99,24,부곡동,225-6,26410,,,
구서동롯데캐슬골드2단지(1049),2006,32400,2016,7,11,59.81,15,구서동,1049,26410,,,
구서동롯데캐슬골드2단지(1049),2006,37000,2016,7,11,77.1,6,구서동,1049,26410,,,
구서우성,1994,24000,2016,7,11,84.97,10,구서동,1027-1,26410,,,
금강부광,1997,23700,2016,7,11,84.8,12,구서동,563-40,26410,,,
금정산쌍용예가,2012,39000,2016,7,11,74.0446,15,장전동,732,26410,,,
금정산쌍용예가,2012,42900,2016,7,11,84.9468,10,장전동,732,26410,,,
금정산한신,1997,19000,2016,7,11,59.925,13,장전동,521-62,26410,,,
뉴그린1,1990,15000,2016,7,11,57.33,10,부곡동,962,26410,,,
뉴그린1,1990,13700,2016,7,11,54.9,5,부곡동,962,26410,,,
동광세화맨션,1985,13500,2016,7,11,63.18,2,남산동,39-1,26410,,,
산들파르테,2016,17500,2016,7,11,49.205,4,구서동,201-9,26410,,,
산들파르테,2016,17500,2016,7,11,49.205,12,구서동,201-9,26410,,,
산들파르테,2016,15000,2016,7,11,48.99,2,구서동,201-9,26410,,,
삼한,1992,17300,2016,7,11,84.61,9,금사동,561-1,26410,,,
선경에이스하임,2003,16900,2016,7,11,63.8,6,장전동,227-5,26410,,,
온천화목,1986,17100,2016,7,11,65.06,5,장전동,618-1,26410,,,
구서신동아,1997,22500,2016,7,12,59.79,11,구서동,165-1,26410,,,
금성타운,2012,21400,2016,7,12,82.4519,9,회동동,551,26410,,,
금정산한신,1997,24850,2016,7,12,84.645,6,장전동,521-62,26410,,,
뉴그린1,1990,13800,2016,7,12,54.9,13,부곡동,962,26410,,,
대우,1999,40000,2016,7,12,134.64,25,부곡동,244-7,26410,,,
부곡늘푸른아파트,1991,8300,2016,7,12,40.23,1,부곡동,958,26410,,,
부곡롯데캐슬디아망,2010,31800,2016,7,12,72.8072,16,부곡동,970,26410,,,
세진빌라,2002,21000,2016,7,12,84.68,5,구서동,445-16,26410,,,
온천장역삼정그린코아,2014,9950,2016,7,12,23.5744,21,장전동,652-45,26410,,,
유림노르웨이아침,2004,25400,2016,7,12,83.64,25,구서동,420-12,26410,,,
학산코스모빌라,1993,25000,2016,7,12,157.75,6,남산동,981-8,26410,,,
구서우성,1994,21750,2016,7,13,84.97,13,구서동,1027-1,26410,,,
나경유닉스빌라트,2003,29000,2016,7,13,94.92,10,남산동,989-8,26410,,,
남산동신화하니엘,2014,18150,2016,7,13,56.64,8,남산동,23-2,26410,,,
대우,1999,33700,2016,7,13,84.962,5,부곡동,244-7,26410,,,
벽산블루밍장전디자인시티2단지,2012,39000,2016,7,13,84.99,6,장전동,717,26410,,,
삼성부곡,1982,9400,2016,7,13,43.01,1,부곡동,278-3,26410,,,
신동아,1995,26000,2016,7,13,84.96,11,부곡동,386-1,26410,,,
쌍용,2000,42500,2016,7,13,107.93,12,부곡동,224-1,26410,,,
에스케이아파트,1998,27500,2016,7,13,59.91,7,부곡동,63-11,26410,,,
용진마이스터,2016,28233,2016,7,13,78.17,3,장전동,613-14,26410,,,
구서신동아,1997,30000,2016,7,14,84.81,13,구서동,165-1,26410,,,
금정산경동메르빌아파트,2007,38000,2016,7,14,128.8988,9,청룡동,380-5,26410,,,
동원로얄듀크,2005,45500,2016,7,14,136.7536,10,부곡동,224-5,26410,,,
벽산블루밍장전디자인시티2단지,2012,56000,2016,7,14,147.27,22,장전동,717,26410,,,
벽산블루밍장전디자인시티2단지,2012,35500,2016,7,14,67.41,8,장전동,717,26410,,,
부곡동푸르지오,2007,40600,2016,7,14,107.89,20,부곡동,268-2,26410,,,
부영벽산,1993,29500,2016,7,14,84.76,16,구서동,166-1,26410,,,
서동현대,1989,7550,2016,7,14,49.085,4,서동,255,26410,,,
에스케이아파트,1998,28300,2016,7,14,59.91,22,부곡동,63-11,26410,,,
우남이채롬,2005,31700,2016,7,14,84.976,23,장전동,205-2,26410,,,
정구팰리스,1999,22000,2016,7,14,84.985,4,남산동,117-9,26410,,,
금정산2차쌍용예가,2014,41500,2016,7,15,75.9769,9,장전동,739,26410,,,
금정산2차쌍용예가,2014,41000,2016,7,15,84.9428,3,장전동,739,26410,,,
금정산2차쌍용예가,2014,46300,2016,7,15,84.964,16,장전동,739,26410,,,
동광세화맨션,1985,11800,2016,7,15,51.66,6,남산동,39-1,26410,,,
럭키남산,1991,20750,2016,7,15,71.3,13,남산동,115-30,26410,,,
벽산블루밍장전디자인시티2단지,2012,41200,2016,7,15,84.99,10,장전동,717,26410,,,
삼보하이빌,2003,21900,2016,7,15,79.76,7,남산동,73-4,26410,,,
선경2,1988,32850,2016,7,15,84.96,8,구서동,185-1,26410,,,
일신,1990,18000,2016,7,15,79.2,6,구서동,1025,26410,,,
구서동롯데캐슬골드1단지(1051),2006,41800,2016,7,16,84.98,15,구서동,1051,26410,,,
구서동쌍용예가2단지,2010,42000,2016,7,16,84.9998,2,구서동,1059,26410,,,
금정산2차쌍용예가,2014,42500,2016,7,16,84.964,3,장전동,739,26410,,,
뉴그린1,1990,14200,2016,7,16,57.33,8,부곡동,962,26410,,,
대우,1999,20300,2016,7,16,40.95,23,부곡동,244-7,26410,,,
동산오챠드힐,2002,17700,2016,7,16,69.51,4,청룡동,33-4,26410,,,
벽산블루밍장전디자인시티2단지,2012,59970,2016,7,16,164.72,13,장전동,717,26410,,,
부곡동푸르지오,2007,47200,2016,7,16,145.64,34,부곡동,268-2,26410,,,
해피투모로우,2009,30100,2016,7,16,84.96,19,부곡동,269-3,26410,,,
벽산블루밍장전디자인시티2단지,2012,59800,2016,7,17,132.21,21,장전동,717,26410,,,
선경2,1988,31450,2016,7,17,84.96,9,구서동,185-1,26410,,,
SG이너스Ⅱ,2014,8100,2016,7,18,19.083,5,부곡동,895-17,26410,,,
SG이너스Ⅱ,2014,8300,2016,7,18,19.083,7,부곡동,895-17,26410,,,
SG이너스Ⅱ,2014,8100,2016,7,18,19.083,6,부곡동,895-17,26410,,,
금정산쌍용예가,2012,42000,2016,7,18,84.86,17,장전동,732,26410,,,
