단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
일광신도시비스타동원2차,2020,82500,2023,10,1,104.206,16,일광읍 이천리,944,26710,중개거래,,
태영,1995,15200,2023,10,2,59.75,17,기장읍 교리,14-5,26710,중개거래,,
e편한세상일광,2020,50000,2023,10,4,84.9868,10,일광읍 삼성리,773,26710,중개거래,,
동산백조,1991,11500,2023,10,4,71.61,4,기장읍 동부리,377-2,26710,중개거래,,
이지더원,2011,25000,2023,10,4,84.7808,15,정관읍 모전리,723,26710,중개거래,,
정관롯데캐슬2차,2013,39750,2023,10,4,101.8124,17,정관읍 모전리,759,26710,중개거래,,
정관롯데캐슬2차,2013,36700,2023,10,4,101.5883,3,정관읍 모전리,759,26710,중개거래,,
일광신도시비스타동원2차,2020,70100,2023,10,5,104.206,5,일광읍 이천리,944,26710,중개거래,,
정관동일스위트1차,2012,27800,2023,10,5,74.258,18,정관읍 용수리,1387,26710,중개거래,,
한신,1995,26000,2023,10,5,84.985,14,기장읍 동부리,151-5,26710,중개거래,,
한신,1995,16150,2023,10,6,59.85,1,기장읍 동부리,151-5,26710,중개거래,,
씨앤스타빌,2014,6000,2023,10,7,24.58,10,기장읍 청강리,258,26710,중개거래,,
담덕기장센텀,2014,13750,2023,10,8,48.54,15,기장읍 대라리,126-2,26710,중개거래,,
서희스타힐스,2011,18400,2023,10,8,59.95,3,정관읍 방곡리,385,26710,중개거래,,
정관1차동원로얄듀크,2013,22500,2023,10,9,59.997,12,정관읍 달산리,1207,26710,중개거래,,
정관신도시한진해모로,2008,41800,2023,10,9,109.6398,9,정관읍 용수리,1403,26710,중개거래,,
우신네오빌,2003,23000,2023,10,10,84.9888,10,기장읍 청강리,144,26710,중개거래,,
이진테마빌,2000,13000,2023,10,10,59.0604,21,기장읍 서부리,402,26710,중개거래,,
정관동일스위트1차,2012,33500,2023,10,10,84.8734,19,정관읍 용수리,1387,26710,중개거래,,
정관동일스위트2차,2013,26000,2023,10,10,84.9864,1,정관읍 모전리,776,26710,직거래,,
가화일광타워,2011,27400,2023,10,11,59.8654,15,일광읍 이천리,921-1,26710,중개거래,,
기장유림노르웨이숲,2021,30000,2023,10,11,68.2421,12,기장읍 교리,371,26710,중개거래,,
이지더원3차,2015,30000,2023,10,11,84.97,9,정관읍 모전리,730,26710,중개거래,,
이지더원,2011,25500,2023,10,12,84.7808,9,정관읍 모전리,723,26710,중개거래,,
이지더원1차오션포레,2020,34800,2023,10,12,59.6231,4,일광읍 삼성리,746,26710,중개거래,,
일광한신더휴센트럴포레1단지,2020,53000,2023,10,12,84.9371,23,일광읍 삼성리,794,26710,직거래,,
정관동일스위트2차,2013,18900,2023,10,12,59.9337,3,정관읍 모전리,776,26710,중개거래,,
정관현진에버빌,2009,35300,2023,10,12,116.024,9,정관읍 모전리,755,26710,중개거래,,
e편한세상일광,2020,55400,2023,10,13,84.9868,21,일광읍 삼성리,773,26710,중개거래,,
정관동일스위트1차,2012,32300,2023,10,13,84.9971,4,정관읍 용수리,1387,26710,중개거래,,
태영,1995,17100,2023,10,13,59.75,2,기장읍 교리,14-5,26710,중개거래,,
우신네오빌,2003,23250,2023,10,14,84.9888,25,기장읍 청강리,144,26710,중개거래,,
이지더원2차,2012,19900,2023,10,14,59.8935,15,정관읍 모전리,735,26710,중개거래,,
정관1차동원로얄듀크,2013,26500,2023,10,14,79.6089,1,정관읍 달산리,1207,26710,중개거래,,
정관동일스위트1차,2012,26000,2023,10,14,59.8245,19,정관읍 용수리,1387,26710,중개거래,,
정관동일스위트1차,2012,30000,2023,10,14,84.8734,10,정관읍 용수리,1387,26710,중개거래,,
정관동일스위트1차,2012,26000,2023,10,14,59.8245,19,정관읍 용수리,1387,26710,중개거래,,
청강주공,1990,14850,2023,10,14,39.69,4,기장읍 청강리,333,26710,중개거래,,
청강주공,1990,14600,2023,10,14,39.69,4,기장읍 청강리,333,26710,중개거래,,
태영,1995,15000,2023,10,14,59.75,14,기장읍 교리,14-5,26710,중개거래,,
현대프라힐스 동부산,2016,27500,2023,10,14,74.78,1,철마면 고촌리,668,26710,중개거래,,
e편한세상일광,2020,51800,2023,10,15,79.9871,17,일광읍 삼성리,773,26710,중개거래,,
이지더원1차오션포레,2020,36200,2023,10,15,59.6231,8,일광읍 삼성리,746,26710,중개거래,,
정관2차동원로얄듀크,2013,37500,2023,10,15,84.999,15,정관읍 매학리,723,26710,중개거래,,
청강주공,1990,14500,2023,10,15,39.99,4,기장읍 청강리,333,26710,중개거래,,
이지더원1차오션포레,2020,33000,2023,10,16,59.6231,14,일광읍 삼성리,746,26710,중개거래,,
현대,1993,30500,2023,10,16,84.69,11,기장읍 청강리,18-2,26710,중개거래,,
비룡벨로스텔라,2014,20500,2023,10,17,65.68,6,기장읍 청강리,114-1,26710,중개거래,,
이진캐스빌블루1차,2011,39000,2023,10,17,84.9753,24,기장읍 교리,2,26710,중개거래,,
이진캐스빌블루2차,2011,37600,2023,10,17,82.0761,23,기장읍 교리,367-1,26710,중개거래,,
일광자이푸르지오2단지,2020,62000,2023,10,17,84.9677,19,일광읍 삼성리,785,26710,중개거래,,
정관동일스위트2차,2013,30000,2023,10,17,84.9864,6,정관읍 모전리,776,26710,중개거래,,
정관신도시롯데캐슬,2008,30300,2023,10,17,84.85,15,정관읍 용수리,1364,26710,중개거래,,
정관협성르네상스타운,2013,50900,2023,10,17,126.2039,4,정관읍 용수리,1318,26710,중개거래,,
한신,1995,18000,2023,10,17,59.85,4,기장읍 동부리,151-5,26710,중개거래,,
이진캐스빌블루1차,2011,41500,2023,10,18,84.9753,23,기장읍 교리,2,26710,중개거래,,
일광자이푸르지오1단지,2020,58300,2023,10,18,84.9062,29,일광읍 삼성리,783,26710,중개거래,,
정관양우내안愛,2016,20000,2023,10,18,59.8986,2,정관읍 용수리,1275,26710,중개거래,,
가화일광타워,2011,15792,2023,10,19,59.8654,2,일광읍 이천리,921-1,26710,직거래,,
담덕기장센텀,2014,13750,2023,10,19,48.54,15,기장읍 대라리,126-2,26710,중개거래,,
이지더원1차오션포레,2020,32500,2023,10,19,59.6181,2,일광읍 삼성리,746,26710,중개거래,,
정관롯데캐슬2차,2013,35700,2023,10,19,101.8124,10,정관읍 모전리,759,26710,직거래,,
이지더원3차,2015,25000,2023,10,20,65.6536,12,정관읍 모전리,730,26710,중개거래,,
정관동일스위트2차,2013,33000,2023,10,20,84.9864,8,정관읍 모전리,776,26710,직거래,,
정관협성르네상스타운,2013,52000,2023,10,20,126.2039,8,정관읍 용수리,1318,26710,중개거래,,
가화일광타워,2011,24700,2023,10,21,59.8905,4,일광읍 이천리,921-1,26710,중개거래,,
동부산쏠마레,2014,15500,2023,10,21,49.0658,2,일광읍 이천리,472,26710,중개거래,,
동산그린타워,1992,17400,2023,10,21,83.48,9,기장읍 동부리,374-11,26710,중개거래,,
이지더원3차,2015,31000,2023,10,21,84.97,5,정관읍 모전리,730,26710,중개거래,,
이진캐스빌,2014,44000,2023,10,21,84.9281,15,정관읍 용수리,1336,26710,중개거래,,
일광신도시비스타동원2차,2020,78500,2023,10,21,104.206,10,일광읍 이천리,944,26710,중개거래,,
일광자이푸르지오1단지,2020,52500,2023,10,21,84.9062,21,일광읍 삼성리,783,26710,중개거래,,
일광자이푸르지오1단지,2020,52500,2023,10,21,84.9062,21,일광읍 삼성리,783,26710,중개거래,,
일광자이푸르지오2단지,2020,59500,2023,10,21,84.9849,20,일광읍 삼성리,785,26710,중개거래,,
전원그린맨션B동,1993,15000,2023,10,21,84.92,3,기장읍 교리,361-1,26710,중개거래,,
정관2차동원로얄듀크,2013,37200,2023,10,21,84.9993,12,정관읍 매학리,723,26710,중개거래,,
정관동일스위트2차,2013,30000,2023,10,21,84.9803,13,정관읍 모전리,776,26710,중개거래,,
정관동일스위트2차,2013,21500,2023,10,21,59.9337,18,정관읍 모전리,776,26710,중개거래,,
정관롯데캐슬2차,2013,41500,2023,10,21,101.5883,10,정관읍 모전리,759,26710,직거래,,
정관신도시계룡리슈빌,2008,31400,2023,10,21,84.836,2,정관읍 용수리,1330,26710,중개거래,,
정관신도시롯데캐슬,2008,59800,2023,10,21,146.81,13,정관읍 용수리,1364,26710,중개거래,,
정관현진에버빌,2009,34000,2023,10,21,84.988,5,정관읍 모전리,755,26710,중개거래,,
한신,1995,15000,2023,10,21,59.85,1,기장읍 동부리,151-5,26710,중개거래,,
일광신도시비스타동원1차,2020,64500,2023,10,22,104.2061,2,일광읍 삼성리,820,26710,중개거래,,
가화만사성정관타운,2014,29300,2023,10,23,84.7768,8,정관읍 방곡리,380,26710,중개거래,,
이진캐스빌블루1차,2011,36500,2023,10,23,84.9005,23,기장읍 교리,2,26710,중개거래,,
일광한신더휴센트럴포레2단지,2020,32000,2023,10,23,59.8167,21,일광읍 삼성리,792,26710,중개거래,,
정관2차동원로얄듀크,2013,37300,2023,10,23,84.9993,5,정관읍 매학리,723,26710,중개거래,,
정관동일스위트1차,2012,21000,2023,10,23,59.6502,3,정관읍 용수리,1387,26710,중개거래,,
정관롯데캐슬2차,2013,45400,2023,10,23,127.2641,16,정관읍 모전리,759,26710,중개거래,,
정관현진에버빌,2009,33150,2023,10,23,84.981,6,정관읍 모전리,755,26710,중개거래,,
기장유림노르웨이숲,2021,23000,2023,10,24,53.0447,12,기장읍 교리,371,26710,중개거래,,
문화그린맨션,1993,15000,2023,10,24,84.135,10,기장읍 교리,65,26710,직거래,,
부전타워,1992,12000,2023,10,24,59.38,2,기장읍 교리,268,26710,중개거래,,
이지더원,2011,25500,2023,10,24,84.7808,13,정관읍 모전리,723,26710,중개거래,,
이지더원3차,2015,31500,2023,10,24,84.97,18,정관읍 모전리,730,26710,중개거래,,
동부산쏠마레,2014,17250,2023,10,25,49.0658,8,일광읍 이천리,472,26710,중개거래,,
부산기장포스코더샵,2004,35700,2023,10,25,84.9056,19,기장읍 동부리,364-2,26710,중개거래,,
월가아델리스,2015,23500,2023,10,25,69.8359,5,기장읍 대라리,1000,26710,중개거래,,
정관동일스위트1차,2012,33000,2023,10,25,84.9971,2,정관읍 용수리,1387,26710,중개거래,,
정관동일스위트1차,2012,22000,2023,10,25,59.6502,18,정관읍 용수리,1387,26710,중개거래,,
e편한세상일광,2020,51000,2023,10,26,84.9868,3,일광읍 삼성리,773,26710,중개거래,,
이지더원3차,2015,33000,2023,10,26,84.97,15,정관읍 모전리,730,26710,중개거래,,
정관1차동원로얄듀크,2013,22800,2023,10,26,59.997,20,정관읍 달산리,1207,26710,중개거래,,
정관동일스위트1차,2012,22900,2023,10,26,59.8302,9,정관읍 용수리,1387,26710,중개거래,,
정관신도시계룡리슈빌,2008,38700,2023,10,26,84.836,16,정관읍 용수리,1330,26710,중개거래,,
정관신도시계룡리슈빌,2008,31400,2023,10,26,84.836,2,정관읍 용수리,1330,26710,중개거래,,
정관신도시롯데캐슬,2008,29800,2023,10,26,84.85,10,정관읍 용수리,1364,26710,중개거래,,
현대,1993,22800,2023,10,26,59.95,11,기장읍 청강리,18-2,26710,중개거래,,
동일스위트3차,2014,28400,2023,10,27,84.9938,9,정관읍 모전리,728,26710,중개거래,,
동일스위트3차,2014,28900,2023,10,27,84.9938,11,정관읍 모전리,728,26710,중개거래,,
선우,1991,17600,2023,10,27,68.75,6,일광읍 삼성리,713-1,26710,중개거래,,
이지더원,2011,25700,2023,10,27,84.7808,4,정관읍 모전리,723,26710,중개거래,,
이지더원,2011,24800,2023,10,27,84.8834,9,정관읍 모전리,723,26710,중개거래,,
정관2차동원로얄듀크,2013,40750,2023,10,27,84.999,6,정관읍 매학리,723,26710,중개거래,,
정관동일스위트1차,2012,31350,2023,10,27,84.8734,5,정관읍 용수리,1387,26710,중개거래,,
정관신도시롯데캐슬,2008,29000,2023,10,27,84.85,13,정관읍 용수리,1364,26710,중개거래,,
일광자이푸르지오2단지,2020,56000,2023,10,28,84.9849,17,일광읍 삼성리,785,26710,중개거래,,
정관2차동원로얄듀크,2013,39500,2023,10,28,84.999,10,정관읍 매학리,723,26710,중개거래,,
가화만사성,2004,15000,2023,10,30,53.4307,11,기장읍 교리,343-1,26710,직거래,,
일광한신더휴센트럴포레2단지,2020,49450,2023,10,30,75.9504,24,일광읍 삼성리,792,26710,중개거래,,
이지더원3차,2015,28500,2023,10,31,74.1653,13,정관읍 모전리,730,26710,중개거래,,
이진캐스빌블루2차,2011,38000,2023,10,31,82.0761,19,기장읍 교리,367-1,26710,직거래,,
