단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
광원문현맨션,1991,10300,2013,2,1,50.99,11,문현동,18,26290,,,
대연동동일스위트,2004,10000,2013,2,1,31.8492,16,대연동,74-2,26290,,,
동일스위트,2005,17500,2013,2,1,59.9925,11,감만동,73-212,26290,,,
엘지메트로시티4-1(201-214),2003,55000,2013,2,1,196.858,3,용호동,176-30,26290,,,
오륙도에스케이뷰,2008,40500,2013,2,1,149.5497,23,용호동,944,26290,,,
오륙도에스케이뷰,2008,40500,2013,2,1,149.5497,22,용호동,944,26290,,,
오륙도에스케이뷰,2008,40500,2013,2,1,149.5497,21,용호동,944,26290,,,
오륙도에스케이뷰,2008,40500,2013,2,1,149.5497,17,용호동,944,26290,,,
오륙도에스케이뷰,2008,45000,2013,2,1,126.611,25,용호동,944,26290,,,
오륙도에스케이뷰,2008,33000,2013,2,1,84.9636,27,용호동,944,26290,,,
자유2,1993,13000,2013,2,1,61.38,9,우암동,25-1,26290,,,
대연동에스케이뷰201동,2007,18900,2013,2,2,59.9253,3,대연동,1776-1,26290,,,
도시타워,1993,9900,2013,2,2,59.99,9,용호동,538-40,26290,,,
한진훼미리타운,1996,9600,2013,2,2,48.72,19,용호동,537-13,26290,,,
문현이안,2007,28500,2013,2,3,84.98,10,문현동,374-1,26290,,,
시티프라자,1999,22700,2013,2,3,84.915,23,문현동,363-1,26290,,,
오륙도에스케이뷰,2008,25000,2013,2,3,84.9636,10,용호동,944,26290,,,
감만현대3,1997,10600,2013,2,4,52.29,12,감만동,233-1,26290,,,
시티프라자,1999,11600,2013,2,4,42.499,13,문현동,363-1,26290,,,
엘지메트로시티1,2001,40500,2013,2,4,188.08,5,용호동,176-30,26290,,,
엘지메트로시티1,2001,25000,2013,2,4,84.98,4,용호동,176-30,26290,,,
오륙도에스케이뷰,2008,40500,2013,2,4,149.5497,20,용호동,944,26290,,,
현대2,1996,14800,2013,2,4,74.01,16,감만동,498-2,26290,,,
협진태양,1988,5900,2013,2,4,44.59,4,용호동,536-18,26290,,,
골든밸류빌,2005,22000,2013,2,5,84.89,2,문현동,765-1,26290,,,
동방파크,1989,9000,2013,2,5,63.43,5,용호동,481-8,26290,,,
동원로얄듀크,2005,44500,2013,2,5,128.0544,13,대연동,1272-2,26290,,,
삼익그린,2001,15300,2013,2,5,59.99,15,대연동,245-23,26290,,,
상경전원,1993,18000,2013,2,5,114.87,5,우암동,216,26290,,,
시티프라자,1999,18000,2013,2,5,59.63,14,문현동,363-1,26290,,,
엘지메트로시티1,2001,19500,2013,2,5,59.97,5,용호동,176-30,26290,,,
엘지메트로시티1,2001,24500,2013,2,5,84.98,1,용호동,176-30,26290,,,
오륙도에스케이뷰,2008,26800,2013,2,5,98.4097,3,용호동,944,26290,,,
오륙도에스케이뷰,2008,38200,2013,2,5,123.307,10,용호동,944,26290,,,
용당창조,1994,7650,2013,2,5,45.83,5,용당동,580-10,26290,,,
한맥현대,1996,13000,2013,2,5,59.99,5,문현동,145-31,26290,,,
한화꿈에그린,2006,29000,2013,2,5,84.9512,30,문현동,402-70,26290,,,
현대,1998,21100,2013,2,5,84.846,18,문현동,73-1,26290,,,
도시타워,1993,12400,2013,2,6,62.78,12,용호동,538-40,26290,,,
동일스위트,2005,16600,2013,2,6,59.9104,10,감만동,73-212,26290,,,
삼성맨션,1978,6500,2013,2,6,62.61,1,대연동,285-2,26290,,,
엘지메트로시티1,2001,24000,2013,2,6,85,1,용호동,176-30,26290,,,
엘지메트로시티4-1(201-214),2003,33600,2013,2,6,103.528,20,용호동,176-30,26290,,,
엘지메트로시티4-2(215~220동),2003,21000,2013,2,6,63.238,4,용호동,176-30,26290,,,
오륙도에스케이뷰,2008,40500,2013,2,6,149.5497,24,용호동,944,26290,,,
경천골드빌,2004,14000,2013,2,7,84.17,2,대연동,894-14,26290,,,
엘지메트로시티1,2001,25200,2013,2,7,84.98,4,용호동,176-30,26290,,,
엘지메트로시티1,2001,37500,2013,2,7,144.48,7,용호동,176-30,26290,,,
엘지메트로시티5,2004,21900,2013,2,7,59.99,18,용호동,176-30,26290,,,
엘지메트로시티5,2004,21700,2013,2,7,59.99,18,용호동,176-30,26290,,,
오륙도에스케이뷰,2008,28500,2013,2,7,84.9636,34,용호동,944,26290,,,
자유1,1991,12800,2013,2,7,61.38,14,우암동,25,26290,,,
진송드림빌,2003,16000,2013,2,7,88.47,2,대연동,40-5,26290,,,
대승하이아트,1999,14000,2013,2,8,59.94,4,우암동,10,26290,,,
