단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
화신1,1986,10000,2015,11,1,54.18,1,초량동,865-166,26170,,,
대근아트빌라(106-11),2003,19400,2015,11,2,67.28,4,초량동,106-11,26170,,,
부산역유림로미오,2014,8450,2015,11,2,16.795,16,초량동,1165-1,26170,,,
부성,1974,10900,2015,11,2,46.28,4,초량동,91-12,26170,,,
전원파크맨션아파트,1985,16330,2015,11,2,84.87,2,초량동,890-1,26170,,,
부산역유림줄리엣,2014,9500,2015,11,3,16.724,8,초량동,1165-11,26170,,,
한성기린,1997,16700,2015,11,3,60,15,범일동,62-720,26170,,,
필우빌라맨션,1990,10000,2015,11,5,57.3,2,수정동,609-1,26170,,,
두산위브포세이돈2,2006,42500,2015,11,6,150.59,17,범일동,825-7,26170,,,
센트럴베이동원로얄듀크비스타,2011,30000,2015,11,6,84.963,8,초량동,1166-1,26170,,,
부산역유림로미오,2014,8750,2015,11,7,16.795,17,초량동,1165-1,26170,,,
두산위브포세이돈2,2006,44000,2015,11,9,150.59,42,범일동,825-7,26170,,,
문화,1962,4900,2015,11,9,39.67,5,좌천동,728-3,26170,,,
부성,1974,10000,2015,11,9,46.28,2,초량동,91-12,26170,,,
화신1,1986,15500,2015,11,9,79.83,5,초량동,865-166,26170,,,
반도보라스카이뷰,2006,29500,2015,11,10,75.585,23,초량동,1155,26170,,,
반도보라스카이뷰,2006,35750,2015,11,10,84.795,22,초량동,1155,26170,,,
봄여름가을겨울,2013,31000,2015,11,11,84.982,20,범일동,830-77,26170,,,
봄여름가을겨울,2013,32300,2015,11,12,84.944,19,범일동,830-77,26170,,,
덕림아파트,1978,9350,2015,11,13,59.74,5,수정동,1048-4,26170,,,
부성,1974,10900,2015,11,13,46.28,4,초량동,91-12,26170,,,
수성아파트(440-0),1962,6300,2015,11,14,49.59,5,수정동,440,26170,,,
진흥마제스타워범일,2010,32650,2015,11,14,84.838,35,범일동,830-296,26170,,,
필우파크,1989,7300,2015,11,14,52.56,1,수정동,773-1,26170,,,
한성기린,1997,22000,2015,11,14,84.21,13,범일동,62-720,26170,,,
두산위브포세이돈2,2006,30500,2015,11,16,84.99,15,범일동,825-7,26170,,,
한양아파트,1978,21000,2015,11,16,67.31,2,범일동,830-90,26170,,,
한양아파트,1978,32000,2015,11,16,98.68,13,범일동,830-90,26170,,,
두산위브포세이돈2,2006,30600,2015,11,17,84.99,25,범일동,825-7,26170,,,
진흥마제스타워범일,2010,37800,2015,11,17,120.995,5,범일동,830-296,26170,,,
화신1,1986,7900,2015,11,17,42.84,2,초량동,865-166,26170,,,
두산위브포세이돈2,2006,36100,2015,11,18,127.05,31,범일동,825-7,26170,,,
두산위브포세이돈2,2006,31500,2015,11,18,84.99,40,범일동,825-7,26170,,,
두산위브포세이돈2,2006,36000,2015,11,19,127.05,11,범일동,825-7,26170,,,
두산위브포세이돈2,2006,30500,2015,11,20,84.95,7,범일동,825-7,26170,,,
두산위브포세이돈2,2006,35900,2015,11,20,127.05,28,범일동,825-7,26170,,,
진흥마제스타워범일,2010,33500,2015,11,20,84.838,39,범일동,830-296,26170,,,
두산위브범일뉴타운,2006,26900,2015,11,24,84.9959,12,좌천동,1168,26170,,,
부산역유림줄리엣,2014,8250,2015,11,24,16.724,5,초량동,1165-11,26170,,,
필우빌라맨션,1990,8700,2015,11,24,57.3,5,수정동,609-1,26170,,,
협성파크,1989,10000,2015,11,25,63.84,6,수정동,771-11,26170,,,
진흥마제스타워범일,2010,32200,2015,11,27,84.698,32,범일동,830-296,26170,,,
베스안하우스2동,2015,19900,2015,11,30,68.97,2,수정동,290,26170,,,
한울시너스,2013,10600,2015,11,30,30.69,7,초량동,1053-22,26170,,,
