단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
경보이리스힐,2004,15400,2009,10,1,84.9869,10,온천동,1241-1,26260,,,
대동타운,1998,10000,2009,10,1,84.95,1,온천동,1129-4,26260,,,
동남파크나,1983,6100,2009,10,1,71.91,1,명장동,497-38,26260,,,
동래럭키,1983,40300,2009,10,1,163.967,8,온천동,707,26260,,,
동래우성,1997,10750,2009,10,1,59.64,3,낙민동,83-1,26260,,,
로얄1,1983,13000,2009,10,1,67.99,1,사직동,634-1,26260,,,
사직쌍용예가,2006,22250,2009,10,1,84.965,2,사직동,1017,26260,,,
사직쌍용예가,2006,16500,2009,10,1,59.937,13,사직동,1017,26260,,,
사직쌍용예가,2006,32800,2009,10,1,119.009,11,사직동,1017,26260,,,
삼성타운,1996,13700,2009,10,1,84.75,22,명장동,63-9,26260,,,
삼익,1978,16100,2009,10,1,82.68,2,온천동,397-6,26260,,,
새동래2마동,1980,13750,2009,10,1,53.26,5,수안동,2-6,26260,,,
안락뜨란채1단지,2005,21400,2009,10,1,84.92,10,안락동,1240,26260,,,
온천프라자,1996,10400,2009,10,1,59.4,11,온천동,435-1,26260,,,
한신,1999,14800,2009,10,1,84.94,8,사직동,597,26260,,,
협성스카이라인80,2004,6500,2009,10,1,25.96,15,온천동,172-35,26260,,,
화인,1992,10500,2009,10,1,84.88,12,온천동,1119,26260,,,
반도보라스카이뷰,2006,24500,2009,10,2,84.9501,29,온천동,1412-1,26260,,,
새온천화신동영,1995,8100,2009,10,2,59.4,8,온천동,1600,26260,,,
온천화신아파트,1991,9400,2009,10,2,84.64,4,온천동,1129-2,26260,,,
목영해돋이,2005,12600,2009,10,4,84.72,3,온천동,200-27,26260,,,
76시영,1977,7100,2009,10,5,45.85,1,사직동,10-2,26260,,,
경보이리스힐,2004,15800,2009,10,5,84.9869,6,온천동,1241-1,26260,,,
동래SKVIEW2차,2008,57443,2009,10,5,155.0917,9,온천동,423-2,26260,,,
동래SKVIEW2차,2008,58483,2009,10,5,155.0917,13,온천동,423-2,26260,,,
동래럭키,1983,53000,2009,10,5,190.555,6,온천동,707,26260,,,
명륜한신,1985,12000,2009,10,5,78.93,4,명륜동,693,26260,,,
