단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
개금우드빌,1994,4700,2007,2,1,44.87,1,개금동,1-7,26230,,,
개금우드빌,1994,5530,2007,2,1,44.87,16,개금동,1-7,26230,,,
개금주공3단지,1989,8500,2007,2,1,58.01,4,당감동,516,26230,,,
경동,2005,10500,2007,2,1,59.7626,6,연지동,381,26230,,,
동남주상복합,2003,10000,2007,2,1,84.93,4,당감동,623-2,26230,,,
동일스위트,2005,10500,2007,2,1,59.9926,10,당감동,807-4,26230,,,
동조리젠시,2003,9300,2007,2,1,78.86,5,범천동,980-4,26230,,,
백산,1988,6250,2007,2,1,51.32,4,당감동,768-1,26230,,,
벽산블루밍,2006,20950,2007,2,1,84.3263,28,당감동,128-2,26230,,,
벽산블루밍,2006,19950,2007,2,1,84.7287,27,당감동,128-2,26230,,,
벽산블루밍,2006,20450,2007,2,1,84.7287,14,당감동,128-2,26230,,,
시영(12~17동),1975,4900,2007,2,1,39.67,2,개금동,629-1,26230,,,
일산(317-40),1981,5700,2007,2,1,53.02,5,전포동,317-40,26230,,,
일성인포,1997,10500,2007,2,1,76.2,22,부암동,55-6,26230,,,
일성인포,1997,8150,2007,2,1,59.82,7,부암동,55-6,26230,,,
현대2차,1998,16500,2007,2,1,84.99,6,양정동,458-20,26230,,,
개금아이파크,2002,10700,2007,2,2,59.76,12,개금동,618-2,26230,,,
백양푸른채,1999,7900,2007,2,2,59.54,10,당감동,794,26230,,,
벽산블루밍,2006,20950,2007,2,2,84.3263,9,당감동,128-2,26230,,,
삼우,1981,6750,2007,2,2,61.49,2,가야동,160,26230,,,
서면롯데캐슬스카이,2004,6950,2007,2,2,33.7495,5,전포동,587,26230,,,
당감뜨란채,2005,12000,2007,2,3,59.98,19,부암동,725,26230,,,
백양푸른채,1999,7800,2007,2,3,59.91,5,당감동,794,26230,,,
벽산2,1992,15700,2007,2,3,122.57,6,가야동,669-9,26230,,,
삼익9동,1978,15500,2007,2,3,92.74,2,당감동,447-1,26230,,,
삼익아파트,1978,8600,2007,2,3,64.44,9,당감동,175-2,26230,,,
영진(5-43),1980,10000,2007,2,3,104.93,2,가야동,5-43,26230,,,
우성,1989,10250,2007,2,3,95.53,1,개금동,57,26230,,,
