단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
금곡3단지주공,1994,13200,2021,12,1,58.65,3,금곡동,57-1,26320,중개거래,,
대림타운,1998,27000,2021,12,1,59.8,6,화명동,1170-1,26320,중개거래,,
대림타운,1998,25500,2021,12,1,59.8,12,화명동,1170-1,26320,중개거래,,
대림타운,1998,37800,2021,12,1,111.74,5,화명동,1170-1,26320,중개거래,,
동원로얄듀크,2004,41000,2021,12,1,84.9949,8,화명동,1150,26320,중개거래,,
동일,1998,20000,2021,12,1,59.94,13,만덕동,658,26320,중개거래,,
협진태양·조성아파트,1994,16250,2021,12,1,67.97,2,금곡동,97-11,26320,중개거래,,
화명뜨란채,2004,31000,2021,12,1,59.77,12,금곡동,1895,26320,중개거래,,
화명리버빌2차,2003,39200,2021,12,1,83.11,17,금곡동,1885,26320,중개거래,,
경원골든,1993,8100,2021,12,2,71.04,17,구포동,857-10,26320,중개거래,,
구포현대,1994,32700,2021,12,2,84.91,11,구포동,1103-2,26320,중개거래,,
대림쌍용강변타운,2004,47900,2021,12,2,59.89,16,화명동,2306,26320,중개거래,,
대림타운,1998,33200,2021,12,2,84.99,8,화명동,1170-1,26320,중개거래,,
대림타운,1998,33200,2021,12,2,84.99,8,화명동,1170-1,26320,중개거래,,
청우파크맨션,1993,19500,2021,12,2,84.52,11,덕천동,811,26320,중개거래,,
금곡3단지주공,1994,8000,2021,12,3,41.85,3,금곡동,57-1,26320,중개거래,,
대림쌍용강변타운,2004,55300,2021,12,3,84.97,11,화명동,2306,26320,중개거래,,
대림타운,1998,27800,2021,12,3,59.8,15,화명동,1170-1,26320,중개거래,,
럭키,1991,20800,2021,12,3,79.195,7,만덕동,774,26320,중개거래,,
롯데,2004,29000,2021,12,3,84.7504,23,덕천동,132-65,26320,중개거래,,
유림노르웨이숲,2005,18500,2021,12,3,59.8889,7,구포동,1293,26320,직거래,,
한성,1983,15000,2021,12,3,42.35,1,덕천동,406,26320,직거래,,
곡산주택,1992,10600,2021,12,4,84.96,4,구포동,857-5,26320,중개거래,,
구포동원로얄듀크비스타,2014,57000,2021,12,4,84.9869,42,구포동,1296,26320,중개거래,,
금곡3단지주공,1994,11250,2021,12,4,49.77,4,금곡동,57-1,26320,중개거래,,
금곡8단지주공,1996,12000,2021,12,4,48.85,11,금곡동,810,26320,중개거래,,
대림타운,1998,27800,2021,12,4,59.8,15,화명동,1170-1,26320,중개거래,,
덕화,1985,12150,2021,12,4,59.31,2,만덕동,759-11,26320,중개거래,,
동원,1992,28100,2021,12,4,77.82,7,만덕동,925-1,26320,중개거래,,
동원로얄듀크,2004,39700,2021,12,4,84.9949,3,화명동,1150,26320,중개거래,,
만덕대진,1979,25500,2021,12,4,47.14,1,만덕동,670,26320,중개거래,,
백양디이스트(3단지),2015,33200,2021,12,4,59.1416,5,만덕동,956,26320,중개거래,,
벽산라인타운,1998,17900,2021,12,4,59.67,8,만덕동,774-7,26320,중개거래,,
화명뜨란채,2004,33800,2021,12,4,59.77,14,금곡동,1895,26320,중개거래,,
구포현대,1994,21900,2021,12,5,61.2,7,구포동,1103-2,26320,중개거래,,
화명롯데캐슬카이저,2012,85000,2021,12,5,115.95,6,화명동,2324,26320,중개거래,,
금곡3단지주공,1994,11800,2021,12,6,58.65,9,금곡동,57-1,26320,직거래,,
금곡6단지주공,1995,13280,2021,12,6,48.89,3,금곡동,1110,26320,중개거래,,
금곡6단지주공,1995,13280,2021,12,6,48.89,3,금곡동,1110,26320,중개거래,,
대성타워,1991,27700,2021,12,6,84.92,19,만덕동,927-1,26320,중개거래,,
더 래디언트 금정산,2019,41500,2021,12,6,59.98,9,만덕동,960,26320,중개거래,,
삼한힐파크,2003,28500,2021,12,6,84.994,8,화명동,732,26320,중개거래,,
아남프라자,2000,25500,2021,12,6,97.65,16,덕천동,397-1,26320,중개거래,,
유림2차(1),1994,32700,2021,12,6,119.47,12,금곡동,96-1,26320,중개거래,,
금곡9단지주공,1996,4200,2021,12,7,39.43,1,금곡동,810,26320,직거래,,
유림노르웨이숲,2005,17500,2021,12,7,59.8889,9,구포동,1293,26320,중개거래,,
코오롱하늘채1차,2002,75000,2021,12,7,147.198,15,화명동,2290,26320,중개거래,,
금곡9단지주공,1996,7500,2021,12,8,39.41,3,금곡동,810,26320,중개거래,,
금곡9단지주공,1996,7300,2021,12,8,39.41,3,금곡동,810,26320,중개거래,,
유림노르웨이숲,2005,17900,2021,12,8,59.8889,14,구포동,1293,26320,중개거래,,
리버파크반도유보라,2021,44000,2021,12,9,59.9466,6,구포동,1300,26320,중개거래,,
백양디이스트(1단지),2015,25000,2021,12,9,70.1847,24,만덕동,955,26320,직거래,,
벽산라인타운,1998,19000,2021,12,9,59.67,11,만덕동,774-7,26320,중개거래,,
대림쌍용강변타운,2004,73500,2021,12,10,128.32,28,화명동,2306,26320,중개거래,,
대림쌍용강변타운,2004,73500,2021,12,10,128.32,28,화명동,2306,26320,중개거래,,
동원로얄듀크,2004,32000,2021,12,10,59.9905,2,화명동,1150,26320,직거래,,
신화명리버뷰자이,2015,47500,2021,12,10,84.99,8,금곡동,1918,26320,중개거래,,
유림노르웨이숲,2005,24800,2021,12,10,84.9149,7,구포동,1293,26320,중개거래,,
삼한힐파크,2003,33000,2021,12,11,84.994,12,화명동,732,26320,중개거래,,
아남프라자,2000,26000,2021,12,11,97.65,6,덕천동,397-1,26320,중개거래,,
화명한일유앤아이,2002,40000,2021,12,11,83.5,15,금곡동,1898,26320,직거래,,
대림타운,1998,27400,2021,12,12,59.8,21,화명동,1170-1,26320,중개거래,,
도시화명그린(313),1996,16000,2021,12,12,59.82,10,화명동,313,26320,중개거래,,
롯데,2004,30000,2021,12,12,84.7504,11,덕천동,132-65,26320,중개거래,,
신화명리버뷰자이,2015,51000,2021,12,12,84.99,26,금곡동,1918,26320,중개거래,,
유림노르웨이숲,2005,23800,2021,12,12,84.9149,4,구포동,1293,26320,중개거래,,
지움포유,2016,16000,2021,12,12,49.69,6,구포동,431-1,26320,중개거래,,
대우이안,2002,46500,2021,12,13,59.9011,15,화명동,2262,26320,중개거래,,
벽산라인타운,1998,17400,2021,12,13,59.67,1,만덕동,774-7,26320,중개거래,,
유림노르웨이숲,2005,26000,2021,12,13,84.9149,21,구포동,1293,26320,중개거래,,
유림노르웨이숲,2003,16900,2021,12,13,60,7,만덕동,390,26320,중개거래,,
금곡5단지주공,1994,9900,2021,12,14,41.85,2,금곡동,1112-2,26320,중개거래,,
대림타운,1998,34300,2021,12,14,84.99,7,화명동,1170-1,26320,중개거래,,
대림타운,1998,34300,2021,12,14,84.99,7,화명동,1170-1,26320,중개거래,,
덕천주공1,1991,13000,2021,12,14,36.16,15,덕천동,802,26320,직거래,,
도시화명그린(295),1996,12100,2021,12,14,49.42,13,화명동,295,26320,중개거래,,
백양디이스트(1단지),2015,39500,2021,12,14,70.1847,19,만덕동,955,26320,중개거래,,
백양디이스트(1단지),2015,33000,2021,12,14,59.1416,3,만덕동,955,26320,중개거래,,
보경그린,1998,13600,2021,12,14,63.33,13,화명동,886,26320,중개거래,,
유림노르웨이숲,2003,23000,2021,12,14,85,2,만덕동,390,26320,중개거래,,
화명그린힐,2003,19000,2021,12,14,55.38,14,화명동,754,26320,중개거래,,
금곡8단지주공,1996,9000,2021,12,15,42.29,5,금곡동,810,26320,중개거래,,
성훈강변,2003,14500,2021,12,15,73.56,12,덕천동,539-7,26320,중개거래,,
엘가,2014,11800,2021,12,15,26.135,12,화명동,2274-4,26320,중개거래,,
엘가,2014,11800,2021,12,15,26.135,12,화명동,2274-4,26320,중개거래,,
화명2차현대,2001,48300,2021,12,15,84.9943,10,화명동,2307,26320,중개거래,,
동원,1992,20000,2021,12,16,59.84,13,만덕동,925-1,26320,중개거래,,
상록한신휴플러스,2006,33200,2021,12,16,84.992,14,만덕동,943-1,26320,중개거래,,
신화명리버뷰자이,2015,50000,2021,12,16,84.9646,15,금곡동,1918,26320,중개거래,,
유림노르웨이숲,2003,22500,2021,12,16,85,6,만덕동,390,26320,중개거래,,
화명한일유앤아이,2002,43000,2021,12,16,83.5,12,금곡동,1898,26320,중개거래,,
