단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
1차삼성,1997,12100,2016,2,1,49.14,5,학장동,574-111,26530,,,
덕포동벽산블루밍,2006,28000,2016,2,1,84.9595,15,덕포동,386-3,26530,,,
모라벽산,2001,30000,2016,2,1,121.83,17,모라동,203,26530,,,
백양그린,1992,11500,2016,2,1,49.94,13,모라동,552,26530,,,
엄궁대림,1999,25000,2016,2,1,131.98,9,엄궁동,669-2,26530,,,
주공4,1993,8300,2016,2,1,41.3,4,모라동,75,26530,,,
코오롱,1999,27300,2016,2,1,105.42,15,엄궁동,680-1,26530,,,
한일유엔아이,2005,21200,2016,2,1,59.67,9,주례동,239,26530,,,
현대,1989,20000,2016,2,1,84.99,4,주례동,305,26530,,,
덕포늘푸른,1996,19950,2016,2,2,73.94,16,덕포동,386-1,26530,,,
엄궁2차한신,1999,14500,2016,2,2,59.98,3,엄궁동,683-3,26530,,,
우신모라,1992,13000,2016,2,2,47.37,12,모라동,1362,26530,,,
청파,1985,8350,2016,2,2,48.96,5,학장동,574-13,26530,,,
학장동2차삼성,1999,16200,2016,2,2,59.946,4,학장동,574-57,26530,,,
한일유엔아이,2005,30800,2016,2,2,84.36,21,주례동,239,26530,,,
한일유엔아이,2005,27800,2016,2,2,84.36,18,주례동,239,26530,,,
구학마을,1992,9400,2016,2,3,46.32,12,학장동,168-8,26530,,,
무학,1990,18100,2016,2,3,84.57,9,모라동,1366-1,26530,,,
반도보라,1996,17000,2016,2,3,59.76,19,주례동,10-21,26530,,,
반도보라,1996,22400,2016,2,3,84.99,13,주례동,10-21,26530,,,
백양그린,1992,9000,2016,2,3,41.3,14,모라동,552,26530,,,
사상강변동원,1999,31000,2016,2,3,84.86,12,괘법동,519-1,26530,,,
삼성타워,1993,15000,2016,2,3,84.54,9,엄궁동,1-10,26530,,,
섬진4차,2005,20700,2016,2,3,84.89,8,엄궁동,567-6,26530,,,
괘법한신2,1998,23400,2016,2,4,59.84,16,괘법동,516-3,26530,,,
남영,1993,7800,2016,2,4,37.62,7,덕포동,789,26530,,,
럭키주례2,1989,16500,2016,2,4,59.86,5,주례동,595-4,26530,,,
모라벽산,2001,17500,2016,2,4,59.88,11,모라동,203,26530,,,
엄궁2차한신,1999,20900,2016,2,4,84.9,10,엄궁동,683-3,26530,,,
엄궁2차한신,1999,20000,2016,2,4,84.9,5,엄궁동,683-3,26530,,,
우신모라,1992,13000,2016,2,4,59.99,2,모라동,1362,26530,,,
주례청구,2002,18500,2016,2,4,59.99,18,주례동,955-2,26530,,,
한주,2004,15500,2016,2,4,81.67,6,감전동,262-1,26530,,,
1차삼성,1997,11300,2016,2,5,49.14,22,학장동,574-111,26530,,,
덕포청구,2001,23800,2016,2,5,101.85,13,덕포동,58,26530,,,
동양한신,1995,16150,2016,2,5,59.99,3,삼락동,418-8,26530,,,
