단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
부영벽산파라빌,2002,24000,2022,5,1,84.9939,1,감천동,567,26380,중개거래,,
하단동에스케이뷰,2004,30000,2022,5,1,59.6715,23,하단동,1217-1,26380,중개거래,,
혜성,1996,13000,2022,5,1,59.91,7,당리동,17-2,26380,중개거래,,
국제그린,1995,8600,2022,5,2,45.5,22,다대동,94-2,26380,중개거래,,
국제그린,1995,8600,2022,5,2,45.5,8,다대동,94-2,26380,중개거래,,
다대푸르지오,2012,41500,2022,5,2,84.9928,27,다대동,1667,26380,중개거래,,
당리형제,1998,15500,2022,5,2,84.79,15,당리동,39-18,26380,중개거래,,
대우,1998,44500,2022,5,2,99.92,16,다대동,1552,26380,중개거래,,
로즈빌라,1996,17500,2022,5,2,164.37,5,괴정동,352-104,26380,중개거래,,
몰운대,1996,12000,2022,5,2,49.08,5,다대동,1550,26380,중개거래,,
부영벽산블루밍,2011,30500,2022,5,2,84.9636,7,당리동,66,26380,중개거래,,
부영벽산파라빌,2002,16000,2022,5,2,59.862,18,감천동,567,26380,중개거래,,
신괴정화신아파트,1990,17500,2022,5,2,84.99,10,괴정동,398-23,26380,중개거래,,
신평협성엠파이어,2012,20800,2022,5,2,69.2108,14,신평동,11-6,26380,중개거래,,
하단동에스케이뷰,2004,60000,2022,5,2,124.2312,5,하단동,1217-1,26380,중개거래,,
한신,1993,15000,2022,5,2,84.96,21,신평동,425,26380,중개거래,,
헤리츠리더스하단,2021,27000,2022,5,2,49.6903,27,하단동,618-1,26380,직거래,,
헤리츠리더스하단,2021,26900,2022,5,2,49.637,26,하단동,618-1,26380,직거래,,
다대포현대,1993,34500,2022,5,3,115.53,8,다대동,120-1,26380,중개거래,,
다대푸르지오,2012,50000,2022,5,3,104.6621,26,다대동,1667,26380,중개거래,,
동원베네스트2차,2006,34500,2022,5,3,127.093,3,당리동,16-12,26380,중개거래,,
동해,1982,8900,2022,5,3,52.5,3,장림동,187-5,26380,중개거래,,
신평한성임호,1993,21700,2022,5,3,122.96,2,신평동,100,26380,중개거래,,
장림삼경아파트,1993,8000,2022,5,3,65.188,9,장림동,60-20,26380,중개거래,,
장림우림그린맨션,1992,9000,2022,5,3,66.42,6,장림동,244-6,26380,중개거래,,
평생골드타운,1996,9400,2022,5,3,59.4,4,장림동,850,26380,직거래,,
감천현대,1994,23000,2022,5,4,113.64,15,감천동,682-1,26380,중개거래,,
괴정동천아하늘정원2차,2016,47800,2022,5,4,49.54,9,괴정동,550-7,26380,중개거래,,
누리아띠,2013,10000,2022,5,4,50,10,장림동,325-89,26380,직거래,,
동일,1987,7500,2022,5,4,39.03,6,감천동,648,26380,중개거래,,
삼환2,1999,23000,2022,5,4,84.99,15,다대동,94,26380,중개거래,,
섬진2,2002,21300,2022,5,4,84.78,12,하단동,893-2,26380,중개거래,,
신평한성임호,1993,15000,2022,5,4,82.44,5,신평동,100,26380,중개거래,,
하단동에스케이뷰,2004,29000,2022,5,4,59.6715,12,하단동,1217-1,26380,중개거래,,
한신,1993,21700,2022,5,4,141.13,2,신평동,425,26380,중개거래,,
남성타워,1994,9900,2022,5,5,59.43,2,감천동,315-2,26380,직거래,,
덕경네오빌,2003,16800,2022,5,5,83.67,5,신평동,408-10,26380,중개거래,,
부산구평동한신휴플러스,2013,17700,2022,5,5,59.7627,10,구평동,497,26380,중개거래,,
부산구평동한신휴플러스,2013,17700,2022,5,5,59.7627,10,구평동,497,26380,중개거래,,
하단동에스케이뷰,2004,30800,2022,5,5,59.6715,12,하단동,1217-1,26380,중개거래,,
한신,1993,17600,2022,5,5,84.96,10,신평동,425,26380,중개거래,,
가락타운2,1992,35250,2022,5,6,84.93,6,하단동,1175,26380,중개거래,,
국제그린,1995,8800,2022,5,6,45.5,3,다대동,94-2,26380,중개거래,,
국제그린,1995,9500,2022,5,6,45.5,22,다대동,94-2,26380,중개거래,,
다대포현대,1993,27000,2022,5,6,84.88,3,다대동,120-1,26380,중개거래,,
당리경보이리스힐,2017,22300,2022,5,6,66.0265,13,당리동,577,26380,중개거래,,
당리푸르지오,2013,82000,2022,5,6,124.9414,18,당리동,572,26380,중개거래,,
삼익,1978,53000,2022,5,6,78.31,10,괴정동,550-12,26380,중개거래,,
삼환,1996,19000,2022,5,6,59.76,4,다대동,120-10,26380,중개거래,,
하단지오피아,2006,24600,2022,5,6,59.5955,5,하단동,520-1,26380,중개거래,,
가락타운3,1992,28700,2022,5,7,84.93,1,하단동,1175,26380,중개거래,,
