단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
고려빌라맨션,1985,19500,2017,3,1,84.07,4,암남동,350-1,26140,,,
동대센츄럴타운,2003,27000,2017,3,1,82.87,7,동대신동3가,190,26140,,,
송도현대,1992,17000,2017,3,1,84.865,15,암남동,611-5,26140,,,
헤리츠아파트2차,2015,31316,2017,3,1,84.96,6,토성동5가,21-1,26140,,,
대림e편한세상,1998,31000,2017,3,2,101.94,21,서대신동3가,19-9,26140,,,
대신공원한신휴플러스,2014,40500,2017,3,3,84.8759,7,서대신동3가,752,26140,,,
송도혜성주상복합빌딩,2002,24100,2017,3,3,72.63,7,암남동,334-10,26140,,,
유니온캐슬2차,2004,20000,2017,3,3,67.52,9,서대신동1가,54-17,26140,,,
아미전원빌라,1998,13000,2017,3,4,75.995,11,아미동2가,261-128,26140,,,
대신롯데캐슬,2014,43200,2017,3,5,84.995,6,서대신동3가,762,26140,,,
대신롯데캐슬,2014,32700,2017,3,5,59.8839,9,서대신동3가,762,26140,,,
미소드림,2017,21503,2017,3,5,49.1956,9,서대신동1가,50-3,26140,,,
한우리타워4차,2017,25000,2017,3,5,62.56,3,서대신동3가,360-5,26140,,,
송도자유비치,1997,8300,2017,3,6,48.63,18,암남동,81-12,26140,,,
송도자유비치,1997,12400,2017,3,6,59.79,10,암남동,81-12,26140,,,
현대타운,1999,20000,2017,3,6,59.85,21,남부민동,685,26140,,,
대신롯데캐슬,2014,51800,2017,3,7,102.7835,13,서대신동3가,762,26140,,,
송도삼정비치맨션,1988,14350,2017,3,7,46.44,7,암남동,206-1,26140,,,
송도현대,1992,16500,2017,3,7,84.865,5,암남동,611-5,26140,,,
일원타워맨션,1992,17000,2017,3,7,83.67,10,암남동,552-2,26140,,,
하나로5차,2003,25800,2017,3,7,80.85,11,서대신동1가,2-5,26140,,,
한신,1984,18800,2017,3,7,109.93,2,서대신동3가,33-7,26140,,,
금호어울림,2004,35500,2017,3,8,110.7,14,서대신동3가,31-57,26140,,,
대진타워맨션,1985,17700,2017,3,8,84.915,14,남부민동,653,26140,,,
리치W도시형생활주택,2010,6500,2017,3,8,17.7539,10,서대신동1가,33-3,26140,,,
리치W도시형생활주택,2010,5000,2017,3,8,13.2254,10,서대신동1가,33-3,26140,,,
리치W도시형생활주택,2010,6500,2017,3,8,19.4457,10,서대신동1가,33-3,26140,,,
송도정림비치타운,1993,16000,2017,3,8,107.08,6,암남동,64-2,26140,,,
송도탑스빌,2000,45700,2017,3,8,121.52,16,암남동,255-1,26140,,,
송천,1976,10500,2017,3,8,76.99,4,서대신동3가,544-2,26140,,,
해오름,2006,28800,2017,3,8,84.63,6,토성동5가,34-3,26140,,,
협성르네상스,2001,44500,2017,3,8,126.58,18,서대신동3가,694-1,26140,,,
골든캐슬,2005,18500,2017,3,9,57.98,10,동대신동2가,367,26140,,,
서원블루오션B동,2014,28600,2017,3,9,81.83,9,토성동5가,45-6,26140,,,
서원스위트홈,2004,19200,2017,3,9,68.02,5,토성동5가,32,26140,,,
구덕,1979,17350,2017,3,10,98.65,1,서대신동3가,453-2,26140,,,
민송베른시티,2016,33750,2017,3,10,84.9,10,남부민동,643-13,26140,,,
대림비치,2003,27300,2017,3,11,84.77,15,남부민동,523-1,26140,,,
대신공원한신휴플러스,2014,32700,2017,3,11,59.6934,21,서대신동3가,752,26140,,,
부민e편한세상,2004,29200,2017,3,11,85,16,부민동3가,76,26140,,,
위너스빌,2003,24500,2017,3,11,84.23,10,서대신동2가,102,26140,,,
하나로5차,2003,25700,2017,3,11,78.44,11,서대신동1가,2-5,26140,,,
경남비,2004,24600,2017,3,13,84.84,4,서대신동2가,52,26140,,,
기산비치타운,1996,35000,2017,3,13,99.82,6,암남동,354-1,26140,,,
대륙천마A,1996,16000,2017,3,13,59.9,7,충무동2가,33-6,26140,,,
천우그린빌라,2000,19750,2017,3,13,84.92,7,부민동1가,26-1,26140,,,
부민e편한세상,2004,39450,2017,3,14,117.592,7,부민동3가,76,26140,,,
서원스위트홈,2004,24500,2017,3,14,78.05,6,토성동5가,32,26140,,,
자유,1993,13600,2017,3,14,56.37,2,서대신동2가,473-2,26140,,,
한신,1984,21500,2017,3,15,109.93,3,서대신동3가,33-7,26140,,,
효정골든빌,2004,20000,2017,3,15,84.33,4,서대신동1가,114-1,26140,,,
