단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
광안동일스위트,2005,13000,2007,10,1,62.5528,11,광안동,1069-3,26500,,,
망미한신,1989,9450,2007,10,1,84.44,1,망미동,880-84,26500,,,
비치-그린아파트,1996,9250,2007,10,1,59.76,21,광안동,529,26500,,,
삼익비치,1979,16000,2007,10,1,60.83,7,남천동,148-4,26500,,,
현대,1988,18500,2007,10,1,68.76,13,수영동,541,26500,,,
현대망미,1992,9500,2007,10,1,84.93,15,망미동,411-1,26500,,,
광안동일스위트,2005,12500,2007,10,2,62.5528,1,광안동,1069-3,26500,,,
수영만아이파크,2006,88000,2007,10,2,186.1572,3,민락동,336-36,26500,,,
정원부르네오,2007,13000,2007,10,2,84.95,3,광안동,734-2,26500,,,
진주,1986,11000,2007,10,2,84.15,2,남천동,3-11,26500,,,
남강하이츠,2005,13300,2007,10,3,81.76,4,광안동,139-16,26500,,,
삼익타워,1977,10200,2007,10,3,43.71,2,남천동,148-22,26500,,,
이편한세상1차,2004,20000,2007,10,3,84.9357,17,망미동,1154,26500,,,
광안동에스케이뷰,2006,28500,2007,10,4,111.862,25,광안동,473-2,26500,,,
광안파크1,1981,7900,2007,10,4,45.52,2,광안동,1254,26500,,,
금보빌라타운,1988,9570,2007,10,4,83.14,3,광안동,1258-6,26500,,,
수영협성르네상스타운,2004,27700,2007,10,4,84.9468,10,수영동,432-1,26500,,,
현대,1988,15700,2007,10,4,68.76,1,수영동,541,26500,,,
비치-그린아파트,1996,14300,2007,10,6,84.9,12,광안동,529,26500,,,
산호맨션,1986,9700,2007,10,6,84.15,2,망미동,834-3,26500,,,
삼성,1991,10500,2007,10,6,84.86,2,망미동,777,26500,,,
삼정그린코아,2005,25000,2007,10,6,112.818,10,광안동,172-1,26500,,,
수영협성르네상스타운,2004,18890,2007,10,6,59.9973,19,수영동,432-1,26500,,,
삼성,1991,19500,2007,10,7,147.895,14,망미동,777,26500,,,
이편한세상2차,2004,12500,2007,10,7,59.901,8,망미동,1128,26500,,,
이편한세상2차,2004,20000,2007,10,7,84.939,17,망미동,1128,26500,,,
광안동에스케이뷰,2006,24945,2007,10,8,111.862,6,광안동,473-2,26500,,,
삼성,1991,19500,2007,10,8,147.895,12,망미동,777,26500,,,
신익탑스빌,1997,9800,2007,10,8,59.97,6,수영동,50-3,26500,,,
이편한세상1차,2004,20000,2007,10,8,84.9357,12,망미동,1154,26500,,,
진로비치(101~103동),1997,8000,2007,10,8,59.36,2,민락동,113-23,26500,,,
현대,1988,24000,2007,10,8,84.21,13,수영동,541,26500,,,
광안동일스위트,2005,13000,2007,10,9,62.5528,4,광안동,1069-3,26500,,,
광안파크1,1981,7360,2007,10,9,45.52,1,광안동,1254,26500,,,
남강스위트홈,2004,12600,2007,10,9,84.39,4,광안동,736-1,26500,,,
동림,1982,9600,2007,10,9,49.26,2,망미동,208-1,26500,,,
센텀비치푸르지오,2003,21700,2007,10,9,84.97,26,민락동,108-1,26500,,,
센텀비치푸르지오,2003,27500,2007,10,9,84.97,24,민락동,108-1,26500,,,
협진태양,1979,7000,2007,10,9,70.48,4,광안동,191-1,26500,,,
삼익비치,1979,42700,2007,10,10,131.27,7,남천동,148-4,26500,,,
이편한세상3차,2005,17500,2007,10,10,84.977,25,망미동,1136,26500,,,
태평양하이츠,1997,7500,2007,10,10,59.99,15,광안동,182-4,26500,,,
로얄베스토피아,1993,13800,2007,10,11,117.62,6,망미동,941-1,26500,,,
비치-그린아파트,1996,8050,2007,10,11,59.76,7,광안동,529,26500,,,
비치-그린아파트,1996,9450,2007,10,11,59.76,20,광안동,529,26500,,,
비치-그린아파트,1996,8400,2007,10,11,59.76,9,광안동,529,26500,,,
센텀비치푸르지오,2003,26900,2007,10,11,98.94,18,민락동,108-1,26500,,,
센텀비치푸르지오,2003,37000,2007,10,11,131.18,20,민락동,108-1,26500,,,
남강하이츠,2005,12000,2007,10,12,81.76,3,광안동,139-16,26500,,,
남강하이츠,2005,12000,2007,10,12,81.76,4,광안동,139-16,26500,,,
남천동원로얄듀크,2000,16200,2007,10,12,84.92,13,남천동,490,26500,,,
로얄베스토피아,1993,8400,2007,10,12,78.92,9,망미동,941-1,26500,,,
산호맨션,1986,12500,2007,10,12,84.87,3,망미동,834-3,26500,,,
삼성,1991,13850,2007,10,12,84.95,14,망미동,777,26500,,,
삼익비치,1979,34500,2007,10,12,115.6,3,남천동,148-4,26500,,,
우성보라,1989,17300,2007,10,12,84.95,5,남천동,171,26500,,,
이편한세상1차,2004,19000,2007,10,12,84.9357,5,망미동,1154,26500,,,
이편한세상2차,2004,13500,2007,10,12,59.901,21,망미동,1128,26500,,,
화목타운,1984,12300,2007,10,12,84.9,9,남천동,47-1,26500,,,
삼익비치,1979,25500,2007,10,13,84.83,5,남천동,148-4,26500,,,
센텀비치푸르지오,2003,18500,2007,10,13,84.88,5,민락동,108-1,26500,,,
진주,1986,11000,2007,10,13,84.15,1,남천동,3-11,26500,,,
"협성엠파이어(101,102동)",2005,23750,2007,10,13,84.987,17,광안동,742-2,26500,,,
삼익비치,1979,15000,2007,10,14,60.83,12,남천동,148-4,26500,,,
광안동일스위트,2005,20500,2007,10,15,84.7269,16,광안동,1069-3,26500,,,
광원,1995,14000,2007,10,15,84.99,17,광안동,526-1,26500,,,
광원,1995,9500,2007,10,15,59.94,15,광안동,526-1,26500,,,
