단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
연산자이,2010,89500,2023,12,1,182.7637,20,연산동,2262,26470,중개거래,,
연제SKVIEWCentral,2023,50680,2023,12,1,78.1676,23,연산동,2397,26470,중개거래,,
거제1차현대홈타운,2001,50500,2023,12,2,84.93,2,거제동,1481,26470,중개거래,,
거제센트럴자이,2018,56000,2023,12,2,59.9635,24,거제동,1519,26470,중개거래,,
삼원,1984,24500,2023,12,2,81.18,2,연산동,1123-5,26470,중개거래,,
아시아드코오롱하늘채,2019,84500,2023,12,2,84.549,41,거제동,1528,26470,중개거래,,
연산엘지,1999,27300,2023,12,2,60,11,연산동,243-18,26470,중개거래,,
연제SKVIEWCentral,2023,50600,2023,12,2,78.0669,18,연산동,2397,26470,중개거래,,
힐스테이트연산,2021,47000,2023,12,2,59.9797,30,연산동,2382,26470,중개거래,,
다뉴브,1993,27500,2023,12,3,84.9,6,거제동,1088-5,26470,중개거래,,
거제동월드메르디앙,2005,62500,2023,12,4,84.9953,15,거제동,1468-1,26470,중개거래,,
부산센텀푸르지오,2015,42000,2023,12,4,74.6236,5,연산동,2307,26470,중개거래,,
부산센텀푸르지오,2015,42000,2023,12,4,74.6236,5,연산동,2307,26470,중개거래,,
연산엘지,1999,33000,2023,12,4,84.99,5,연산동,243-18,26470,중개거래,,
유림아시아드,2001,35000,2023,12,4,84.3812,7,거제동,714-144,26470,중개거래,,
거제동월드메르디앙,2005,70000,2023,12,5,127.165,9,거제동,1468-1,26470,직거래,,
연산동일동미라주더스타,2017,45000,2023,12,5,77.3526,21,연산동,2335,26470,중개거래,,
연산엘지,1999,32000,2023,12,5,84.99,12,연산동,243-18,26470,중개거래,,
연산엘지,1999,32000,2023,12,5,84.99,12,연산동,243-18,26470,중개거래,,
전원덕수궁빌,2002,15000,2023,12,5,84.93,6,연산동,1259-26,26470,직거래,,
연산롯데캐슬골드포레,2020,54000,2023,12,6,59.849,21,연산동,2367,26470,중개거래,,
현대,1986,47000,2023,12,6,84.96,11,거제동,840,26470,중개거래,,
동덕현대,1994,25800,2023,12,7,75.33,14,연산동,1829-1,26470,중개거래,,
연산동한솔솔파크,2007,34000,2023,12,7,84.9983,19,연산동,406-10,26470,중개거래,,
연산더샵,2019,60000,2023,12,8,84.7832,21,연산동,2352,26470,중개거래,,
연산역휴그린,2016,18500,2023,12,8,61.3343,11,연산동,1259-12,26470,중개거래,,
한성기린,1993,32100,2023,12,8,84.84,11,연산동,584-1,26470,중개거래,,
부산더샵시티애비뉴,2015,61500,2023,12,10,84.98,15,연산동,1361-7,26470,중개거래,,
브라운스톤연제2단지,2016,53000,2023,12,10,84.9558,19,연산동,2331,26470,중개거래,,
센텀리버SKVIEW,2017,48800,2023,12,10,84.9972,3,연산동,2317,26470,중개거래,,
동원타워,1996,34500,2023,12,11,84.98,20,거제동,1029-2,26470,중개거래,,
효성,1983,22000,2023,12,11,69.57,7,연산동,1643-2,26470,중개거래,,
더라임시티뷰,2019,13800,2023,12,12,28.07,20,연산동,704-9,26470,중개거래,,
동원베네스트,2006,32000,2023,12,12,84.4977,14,연산동,346-11,26470,중개거래,,
센텀리버SKVIEW,2017,42800,2023,12,12,64.0118,28,연산동,2317,26470,중개거래,,
연산자이,2010,94000,2023,12,12,182.7637,8,연산동,2262,26470,중개거래,,
전원빌리지,2002,24000,2023,12,12,82.72,5,거제동,1470-12,26470,직거래,,
힐스테이트연산,2021,55700,2023,12,12,74.6718,6,연산동,2382,26470,중개거래,,
거제1차현대홈타운,2001,96500,2023,12,13,179.77,14,거제동,1481,26470,중개거래,,
부산센텀푸르지오,2015,32000,2023,12,13,59.9723,1,연산동,2307,26470,중개거래,,
성일이안시티,2016,24300,2023,12,13,60.7646,10,연산동,867-2,26470,중개거래,,
성일이안시티,2016,21000,2023,12,13,60.7646,10,연산동,867-2,26470,중개거래,,
연산더샵,2019,62000,2023,12,13,84.9819,18,연산동,2352,26470,중개거래,,
연산동일동미라주더스타,2017,44600,2023,12,13,77.3526,16,연산동,2335,26470,중개거래,,
주공,1986,50000,2023,12,13,69.08,12,연산동,2220,26470,중개거래,,
진명드림빌,2002,15600,2023,12,13,77.48,4,연산동,469-6,26470,중개거래,,
한성기린,1993,23800,2023,12,13,59.12,16,연산동,584-1,26470,중개거래,,
더샵파크시티,2015,61000,2023,12,14,84.98,29,연산동,2311,26470,중개거래,,
힐스테이트연산,2021,44000,2023,12,14,59.9797,4,연산동,2382,26470,중개거래,,
시청역이즈팰리스1차,2016,23900,2023,12,15,49.9372,19,연산동,1355-6,26470,중개거래,,
한일유앤아이,2006,34000,2023,12,15,84.898,9,연산동,1136-5,26470,중개거래,,
거제센트럴자이,2018,64900,2023,12,16,84.9542,9,거제동,1519,26470,중개거래,,
성일이안시티,2016,20500,2023,12,16,47.7232,10,연산동,867-2,26470,중개거래,,
아시아드푸르지오,2010,81300,2023,12,16,142.5818,22,거제동,1506,26470,중개거래,,
연산동일동미라주더스타,2017,47500,2023,12,16,77.3526,28,연산동,2335,26470,중개거래,,
연산동일동미라주더스타,2017,43600,2023,12,16,70.9956,25,연산동,2335,26470,중개거래,,
연산자이,2010,57000,2023,12,16,84.5157,23,연산동,2262,26470,중개거래,,
연산자이,2010,55800,2023,12,16,84.5157,7,연산동,2262,26470,중개거래,,
e편한세상연산더퍼스트,2021,56500,2023,12,17,84.9014,33,연산동,2380,26470,중개거래,,
