단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
미광마린타워,1992,33000,2016,1,1,189.85,1,봉래동2가,112,26200,,,
함지그린,1994,8500,2016,1,1,45.5,3,동삼동,1124,26200,,,
미주비치,1999,11900,2016,1,5,59.95,2,청학동,69-83,26200,,,
절영아파트(208동-214동),1995,11000,2016,1,5,46.27,16,동삼동,510-2,26200,,,
영도신도브래뉴,2009,38500,2016,1,6,118.7116,18,청학동,536,26200,,,
영도일동미라주브라이튼(1단지),2014,34500,2016,1,6,84.9167,11,동삼동,1170,26200,,,
절영아파트(208동-214동),1995,10700,2016,1,6,46.27,10,동삼동,510-2,26200,,,
조양비취맨션,1985,9150,2016,1,6,52.05,2,동삼동,656,26200,,,
동삼그린힐,1993,12350,2016,1,7,58.46,10,동삼동,1123,26200,,,
조양비취맨션,1985,8000,2016,1,7,48.45,5,동삼동,656,26200,,,
화신,1983,13000,2016,1,7,67.77,1,청학동,135,26200,,,
미광마린타워,1992,36500,2016,1,8,149.22,18,봉래동2가,112,26200,,,
신흥동백맨션8,1988,11700,2016,1,8,78.01,4,동삼동,356-20,26200,,,
에덴금호,1995,10600,2016,1,8,59.22,17,동삼동,680-12,26200,,,
동삼그린힐,1993,11400,2016,1,9,49.94,8,동삼동,1123,26200,,,
미광마린타워,1992,36800,2016,1,9,122.74,19,봉래동2가,112,26200,,,
벽산비치,1995,30900,2016,1,9,140.53,3,동삼동,510-27,26200,,,
절영아파트(215동-217동),1995,9950,2016,1,9,46.27,16,동삼동,510-11,26200,,,
한일유앤아이,2005,21000,2016,1,10,84.4042,8,청학동,69-93,26200,,,
동삼그린힐,1993,8350,2016,1,11,41.3,5,동삼동,1123,26200,,,
시영(169-1),1976,4450,2016,1,11,42.98,3,봉래동5가,169-1,26200,,,
영도신도브래뉴,2009,28700,2016,1,11,84.961,2,청학동,536,26200,,,
국제마마뉴비치타운,1995,19350,2016,1,12,85.76,4,동삼동,510-33,26200,,,
벽산비치,1995,28700,2016,1,12,118.105,11,동삼동,510-27,26200,,,
신영도롯데낙천대,2005,17800,2016,1,12,59.9675,19,청학동,99-294,26200,,,
미광마린타워,1992,28500,2016,1,13,84.92,10,봉래동2가,112,26200,,,
벽산비치,1995,28800,2016,1,13,140.53,1,동삼동,510-27,26200,,,
봉래,1969,3600,2016,1,13,36.36,2,봉래동3가,62-1,26200,,,
조양비취맨션,1985,9100,2016,1,13,48.45,2,동삼동,656,26200,,,
청학스카이파크,2003,17000,2016,1,13,83.33,5,청학동,446-4,26200,,,
국제마마뉴비치타운,1995,19600,2016,1,14,85.76,1,동삼동,510-33,26200,,,
신영도롯데낙천대,2005,21500,2016,1,14,84.97,7,청학동,99-294,26200,,,
태림,1980,12500,2016,1,14,73.06,3,동삼동,314,26200,,,
동삼그린힐,1993,12700,2016,1,15,58.46,11,동삼동,1123,26200,,,
동삼그린힐,1993,13000,2016,1,15,58.46,6,동삼동,1123,26200,,,
동삼동삼창그린타운(679-1),1996,10500,2016,1,15,59.625,3,동삼동,679-1,26200,,,
에덴금호,1995,16600,2016,1,15,83.52,10,동삼동,680-12,26200,,,
절영아파트(208동-214동),1995,9300,2016,1,15,46.27,8,동삼동,510-2,26200,,,
조양비취맨션,1985,9900,2016,1,15,53.85,4,동삼동,656,26200,,,
조양비취맨션,1985,9700,2016,1,15,58.8,5,동삼동,656,26200,,,
에덴금호,1995,16800,2016,1,16,83.52,15,동삼동,680-12,26200,,,
절영아파트(215동-217동),1995,11100,2016,1,16,46.27,14,동삼동,510-11,26200,,,
절영아파트(215동-217동),1995,9800,2016,1,16,46.27,8,동삼동,510-11,26200,,,
동삼그린힐,1993,11500,2016,1,18,49.94,14,동삼동,1123,26200,,,
동삼그린힐,1993,10400,2016,1,18,49.94,8,동삼동,1123,26200,,,
신선,1969,2000,2016,1,18,36.36,1,신선동2가,141-1,26200,,,
신흥동백맨션8,1988,9000,2016,1,18,64.75,1,동삼동,356-20,26200,,,
조양비취맨션,1985,8300,2016,1,18,48.45,5,동삼동,656,26200,,,
국제마마뉴비치타운,1995,21650,2016,1,19,85.76,13,동삼동,510-33,26200,,,
동삼그린힐,1993,11100,2016,1,19,49.94,11,동삼동,1123,26200,,,
영도대원,1991,17600,2016,1,19,78.01,10,영선동4가,245-1,26200,,,
절영아파트(208동-214동),1995,9300,2016,1,19,46.27,12,동삼동,510-2,26200,,,
절영아파트(215동-217동),1995,10800,2016,1,19,46.27,17,동삼동,510-11,26200,,,
조양비취맨션,1985,7300,2016,1,19,48.45,3,동삼동,656,26200,,,
함지그린,1994,9600,2016,1,19,45.5,16,동삼동,1124,26200,,,
동삼동삼창그린타운(679-1),1996,11500,2016,1,20,59.625,7,동삼동,679-1,26200,,,
함지그린,1994,14250,2016,1,20,57.09,11,동삼동,1124,26200,,,
동삼그린힐,1993,8730,2016,1,22,41.3,8,동삼동,1123,26200,,,
동삼동한진로즈힐,2004,18700,2016,1,22,59.9793,6,동삼동,510-34,26200,,,
반도보라,2000,20700,2016,1,22,59.7,10,영선동4가,186-46,26200,,,
에덴금호,1995,10900,2016,1,22,59.22,1,동삼동,680-12,26200,,,
조양비취맨션,1985,8100,2016,1,22,48.45,5,동삼동,656,26200,,,
동삼그린힐,1993,9000,2016,1,23,41.3,10,동삼동,1123,26200,,,
에덴금호,1995,11500,2016,1,23,59.22,8,동삼동,680-12,26200,,,
절영아파트(208동-214동),1995,11250,2016,1,23,46.27,13,동삼동,510-2,26200,,,
절영아파트(215동-217동),1995,10650,2016,1,23,46.27,8,동삼동,510-11,26200,,,
미주비치,1999,12300,2016,1,26,59.95,18,청학동,69-83,26200,,,
오양대교맨션,1991,6600,2016,1,26,27.04,6,봉래동3가,137,26200,,,
조양비취맨션,1985,8500,2016,1,27,48.45,4,동삼동,656,26200,,,
