단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대암보수맨션,1982,9000,2022,1,5,72,3,보수동1가,146-16,26110,직거래,,
용두산맨션,1975,36000,2022,1,5,138.84,5,신창동1가,4,26110,중개거래,,
용두산맨션,1975,27900,2022,1,7,115.7,5,신창동1가,4,26110,중개거래,,
동아(92-0),1998,23400,2022,1,10,84.7,8,영주동,92,26110,중개거래,,
용두산맨션,1975,44900,2022,1,11,164.96,10,신창동1가,4,26110,중개거래,,
코모도에스테이트,2013,9000,2022,1,12,25.36,12,대청동1가,37-1,26110,중개거래,,
동아(160-0),1998,22000,2022,1,13,84.72,15,영주동,160,26110,중개거래,,
동아(92-0),1998,18300,2022,1,18,73.56,4,영주동,92,26110,중개거래,,
금호,1997,18300,2022,1,19,76.83,1,영주동,161,26110,중개거래,,
동남파크,1988,11000,2022,1,20,66.885,6,영주동,1-92,26110,중개거래,,
보수허브센티움,2016,28000,2022,1,20,73.0575,9,보수동3가,56,26110,중개거래,,
새들맨션,1981,37000,2022,1,22,84.13,3,대청동4가,79-1,26110,중개거래,,
