단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대림,1996,10600,2008,11,1,59.816,2,좌동,1396,26350,,,
두산1차아파트,1996,17000,2008,11,1,84.9,16,좌동,1394,26350,,,
삼안스튜디오2차,1990,3300,2008,11,1,42.96,6,중동,1493-12,26350,,,
삼정코아,2003,16000,2008,11,1,59.9389,14,좌동,1315,26350,,,
삼한2,1997,6900,2008,11,1,59.92,3,반송동,872,26350,,,
센텀SKVIEW아파트,2001,9200,2008,11,1,59.91,2,반여동,1174-1,26350,,,
센텀SKVIEW아파트,2001,10500,2008,11,1,59.91,23,반여동,1174-1,26350,,,
센텀골든파크,1995,6000,2008,11,1,84.54,7,재송동,1157-1,26350,,,
센텀우신골든빌,2006,10300,2008,11,1,59.6054,10,재송동,1048-3,26350,,,
현대(1051-2),1988,6800,2008,11,1,50.805,9,재송동,1051-2,26350,,,
장산동국,1993,8750,2008,11,2,84.93,13,재송동,1182-1,26350,,,
현대(1042-2),1995,7250,2008,11,2,59.66,3,재송동,1042-2,26350,,,
현대일성2,1994,10200,2008,11,2,111.07,19,반여동,1291-1446,26350,,,
남성선파크,1988,2800,2008,11,3,42.05,6,재송동,1151-2,26350,,,
대림,1996,13000,2008,11,3,59.816,3,좌동,1396,26350,,,
두산1차아파트,1996,10000,2008,11,3,59.94,3,좌동,1394,26350,,,
롯데,1993,47500,2008,11,3,202.68,2,우동,938,26350,,,
삼한3차301동,1999,9200,2008,11,3,84.6,15,반송동,883,26350,,,
센텀글로리아,1989,4250,2008,11,3,55.02,3,재송동,1160-12,26350,,,
센텀삼익아파트,1981,8500,2008,11,3,70.582,3,재송동,1023,26350,,,
센텀한보미도,1992,7250,2008,11,3,84.98,14,재송동,1123-3,26350,,,
아시아선수촌아파트,2002,18500,2008,11,3,84.8,18,반여동,1638,26350,,,
아크로뷰,2004,5000,2008,11,3,24.93,6,중동,1554,26350,,,
우신,2001,7492,2008,11,3,59.8,16,반여동,585,26350,,,
우신,2001,7367,2008,11,3,59.8,4,반여동,585,26350,,,
장산동국,1993,5950,2008,11,3,59.64,13,재송동,1182-1,26350,,,
참빛마을2,2002,7690,2008,11,3,84.71,1,재송동,1057-14,26350,,,
한영비치,1991,7150,2008,11,3,73.44,7,재송동,1121-7,26350,,,
현대,1996,13000,2008,11,3,59.445,6,좌동,1337,26350,,,
동삼초원,1993,4900,2008,11,4,59.79,10,반송동,638-5,26350,,,
동삼초원,1993,5500,2008,11,4,59.79,6,반송동,638-5,26350,,,
롯데3차,1997,14000,2008,11,4,59.6,2,좌동,1300,26350,,,
센텀그린타워,1993,5600,2008,11,4,59.99,2,재송동,1187,26350,,,
센텀글로리아,1989,5400,2008,11,4,59.62,3,재송동,1160-12,26350,,,
시영79년,1980,6000,2008,11,4,40.13,2,재송동,1030,26350,,,
시영79년,1980,4000,2008,11,4,40.13,2,재송동,1030,26350,,,
신화코스탈빌라,1992,15000,2008,11,4,136.11,2,중동,1496-1,26350,,,
에덴동산타운,1993,5500,2008,11,4,59.1,15,반여동,1291-1414,26350,,,
우방신세계타운,2002,12600,2008,11,4,77.67,16,반여동,1190-1,26350,,,
우신,2001,10255,2008,11,4,84.975,8,반여동,585,26350,,,
우신,2001,10255,2008,11,4,84.975,9,반여동,585,26350,,,
재송그린,1984,4500,2008,11,4,36.33,4,재송동,1146-1,26350,,,
해운대 센트럴파크,1998,8500,2008,11,4,39.95,11,좌동,1282,26350,,,
해운대비치베르빌,2005,25800,2008,11,4,103.035,28,중동,1199-5,26350,,,
현대(1051-2),1988,6000,2008,11,4,41.235,3,재송동,1051-2,26350,,,
현대3,1995,6150,2008,11,4,59.97,15,반여동,1291-1460,26350,,,
광하주택3,1990,4300,2008,11,5,55.745,4,반송동,93-6,26350,,,
남성선파크,1988,7400,2008,11,5,70.61,4,재송동,1151-2,26350,,,
대동타운,1996,10000,2008,11,5,59.95,14,좌동,1288,26350,,,
두산1차아파트,1996,25175,2008,11,5,101.7,3,좌동,1394,26350,,,
센텀이편한세상,2006,21000,2008,11,5,73.405,23,재송동,939-2,26350,,,
센텀한보미도,1992,7550,2008,11,5,84.85,6,재송동,1123-3,26350,,,
시영80년,1981,5700,2008,11,5,46.94,3,재송동,1026-1,26350,,,
신춘하나빌,2004,12600,2008,11,5,84.54,9,우동,506-1,26350,,,
엘리트빌라,1997,13800,2008,11,5,138.66,2,중동,1533-8,26350,,,
우방신세계타운,2002,14470,2008,11,5,84.92,22,반여동,1190-1,26350,,,
우방신세계타운,2002,10280,2008,11,5,59.96,18,반여동,1190-1,26350,,,
일동미라주,2001,7700,2008,11,5,56.9704,8,반여동,1192-3,26350,,,
