단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
서광아파트,1998,200000,2025,1,1,84.9,3,삼성동,2,11680,중개거래,개인,개인
래미안그레이튼,2009,338000,2025,1,2,142.06,7,역삼동,763-16,11680,중개거래,개인,개인
래미안대치팰리스,2015,529000,2025,1,2,114.15,29,대치동,1027,11680,중개거래,개인,개인
래미안도곡카운티,2016,274000,2025,1,2,71.85,13,도곡동,538-3,11680,중개거래,개인,개인
테헤란아이파크,2014,289000,2025,1,2,92.6232,20,역삼동,709-5,11680,중개거래,개인,법인
대우아이빌명문가(891-23),2004,25000,2025,1,3,34.2,8,대치동,891-23,11680,중개거래,개인,개인
대치삼성,2000,281000,2025,1,3,97.35,2,대치동,1014-3,11680,중개거래,개인,개인
동부센트레빌,2005,585000,2025,1,3,161.47,22,대치동,670,11680,중개거래,개인,개인
동부센트레빌,2005,530000,2025,1,3,145.83,10,대치동,670,11680,중개거래,개인,개인
래미안도곡카운티,2016,267000,2025,1,3,71.85,2,도곡동,538-3,11680,중개거래,개인,개인
삼성청담공원아파트,1999,229000,2025,1,3,107.22,9,청담동,60,11680,중개거래,개인,개인
아크로힐스논현,2014,240000,2025,1,3,84.074,18,논현동,276-1,11680,중개거래,개인,개인
우성7,1987,260000,2025,1,3,83.69,8,일원동,615,11680,중개거래,개인,개인
우성7,1987,244000,2025,1,3,84.06,2,일원동,615,11680,중개거래,개인,개인
은마,1979,276000,2025,1,3,76.79,8,대치동,316,11680,중개거래,개인,개인
타워팰리스3,2004,730000,2025,1,3,244.224,67,도곡동,467-29,11680,중개거래,개인,개인
한보미도맨션2,1985,370000,2025,1,3,115.05,12,대치동,511,11680,중개거래,개인,개인
까치마을,1993,130000,2025,1,4,49.5,11,수서동,746,11680,중개거래,개인,개인
도곡3차아이파크,2007,287000,2025,1,4,187.215,2,도곡동,970,11680,중개거래,개인,개인
도곡우성아파트,1986,188000,2025,1,4,76.38,14,도곡동,934-10,11680,중개거래,개인,개인
디에이치자이개포,2021,330000,2025,1,4,84.94,20,일원동,743,11680,중개거래,개인,개인
래미안도곡카운티,2016,325000,2025,1,4,84.67,18,도곡동,538-3,11680,중개거래,개인,개인
성원대치2단지아파트,1992,120000,2025,1,4,39.53,5,개포동,12,11680,중개거래,개인,개인
신현대9차,1982,505000,2025,1,4,109.24,2,압구정동,426,11680,중개거래,개인,개인
신현대9차,1982,510000,2025,1,4,108.88,3,압구정동,426,11680,중개거래,개인,개인
청담대림이-편한세상,2002,225000,2025,1,4,113.57,2,청담동,30-33,11680,중개거래,개인,개인
타워팰리스1,2002,440000,2025,1,4,164.97,50,도곡동,467,11680,중개거래,개인,개인
현대아파트,1988,170000,2025,1,4,84.92,1,청담동,23,11680,중개거래,개인,개인
개포우성1,1983,430000,2025,1,6,127.61,6,대치동,503,11680,중개거래,개인,개인
개포우성2,1984,453000,2025,1,6,127.78,6,대치동,500,11680,중개거래,개인,개인
경남,2005,167500,2025,1,6,59.76,19,도곡동,967,11680,중개거래,개인,개인
까치마을,1993,118000,2025,1,6,49.5,1,수서동,746,11680,중개거래,개인,개인
도곡우성아파트,1986,205000,2025,1,6,84.83,6,도곡동,934-10,11680,중개거래,개인,개인
도곡우성아파트,1986,205000,2025,1,6,84.83,6,도곡동,934-10,11680,중개거래,개인,개인
래미안대치팰리스,2015,415000,2025,1,6,94.49,20,대치동,1027,11680,중개거래,개인,개인
래미안블레스티지,2019,388000,2025,1,6,113.808,11,개포동,1280,11680,중개거래,개인,개인
성원대치2단지아파트,1992,121000,2025,1,6,39.53,15,개포동,12,11680,중개거래,개인,개인
아이파크,2004,608000,2025,1,6,156.857,15,삼성동,87,11680,중개거래,개인,개인
한양1차(영동한양),1977,420000,2025,1,6,78.05,12,압구정동,490,11680,중개거래,개인,개인
한양1차(영동한양),1977,412500,2025,1,6,78.05,12,압구정동,490,11680,중개거래,개인,개인
"현대14차(203,204,205,206동)",1987,460000,2025,1,6,84.98,1,압구정동,447,11680,중개거래,개인,개인
강남데시앙포레,2014,153500,2025,1,7,59.81,10,수서동,795,11680,중개거래,개인,개인
도곡렉슬,2006,465000,2025,1,7,134.9023,15,도곡동,527,11680,중개거래,개인,개인
삼익,1992,157500,2025,1,7,60,8,수서동,708,11680,중개거래,개인,개인
석탑아파트101동,1996,162500,2025,1,7,59.82,8,삼성동,3-3,11680,중개거래,개인,개인
세곡푸르지오,2012,140000,2025,1,7,74.74,2,세곡동,533,11680,중개거래,개인,개인
"쌍용대치아파트1동,2동,3동,5동,6동",1983,398000,2025,1,7,148.8,5,대치동,66,11680,중개거래,개인,개인
우성7,1987,250000,2025,1,7,83.69,2,일원동,615,11680,중개거래,개인,개인
한일,2001,180000,2025,1,7,80.29,2,삼성동,48,11680,중개거래,개인,개인
미성1차,1982,400000,2025,1,8,105.62,3,압구정동,414,11680,중개거래,개인,개인
삼성청담공원아파트,1999,218000,2025,1,8,107.22,10,청담동,60,11680,중개거래,개인,개인
청담신원아침도시마인,2013,60000,2025,1,8,48.7395,6,청담동,122-35,11680,중개거래,개인,개인
청담자이,2011,229000,2025,1,8,49.618,33,청담동,134-38,11680,중개거래,개인,개인
래미안그레이튼(진달래2차),2010,222500,2025,1,9,59.91,11,역삼동,762-3,11680,중개거래,개인,개인
래미안대치팰리스,2015,429300,2025,1,9,94.49,11,대치동,1027,11680,중개거래,개인,개인
신현대9차,1982,520000,2025,1,9,111.38,6,압구정동,426,11680,중개거래,개인,개인
쌍용대치2,1983,294000,2025,1,9,84.49,11,대치동,65,11680,중개거래,개인,개인
은마,1979,304000,2025,1,9,84.43,4,대치동,316,11680,중개거래,개인,개인
"현대1차(12,13,21,22,31,32,33동)",1976,605000,2025,1,9,131.48,8,압구정동,369-1,11680,중개거래,개인,개인
e-편한세상,2005,233000,2025,1,10,59.606,12,역삼동,755-4,11680,중개거래,개인,개인
개포우성2,1984,427000,2025,1,10,127.78,8,대치동,500,11680,중개거래,개인,개인
까치마을,1993,103800,2025,1,10,39.6,11,수서동,746,11680,중개거래,개인,개인
대우유로카운티,2004,300000,2025,1,10,121.48,10,청담동,50-5,11680,중개거래,개인,개인
도곡우성아파트,1986,170000,2025,1,10,84.83,13,도곡동,934-10,11680,직거래,개인,개인
수서,1992,85000,2025,1,10,39.98,2,일원동,711,11680,중개거래,개인,개인
한보미도맨션2,1985,410000,2025,1,10,126.33,10,대치동,511,11680,중개거래,개인,개인
한양4,1978,770000,2025,1,10,208.65,10,압구정동,486,11680,중개거래,개인,개인
"현대2차(10,11,20,23,24,25동)",1976,900000,2025,1,10,196.84,11,압구정동,369-1,11680,중개거래,개인,개인
