단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
LIGA,2008,56818,2009,7,1,125.35,13,성내동,244-12,11740,,,
LIGA,2008,56818,2009,7,1,125.35,12,성내동,244-12,11740,,,
강동한신휴플러스,2006,34000,2009,7,1,84.61,6,길동,414-10,11740,,,
강일리버파크1단지,2009,18687,2009,7,1,59.87,5,강일동,665,11740,,,
강일리버파크3단지,2009,36157,2009,7,1,84.53,7,강일동,674,11740,,,
강일리버파크7단지,2009,20300,2009,7,1,59.83,11,강일동,686,11740,,,
고덕시영,1984,44000,2009,7,1,34.01,2,고덕동,492,11740,,,
광남캐스빌(389-9),2005,34800,2009,7,1,84.51,9,길동,389-9,11740,,,
금광포란재,2007,44000,2009,7,1,114.31,1,성내동,604,11740,,,
둔촌주공1단지,1980,67900,2009,7,1,58.21,4,둔촌동,170-1,11740,,,
둔촌주공3단지,1980,95000,2009,7,1,99.61,5,둔촌동,174-1,11740,,,
둔촌하이츠,1998,27500,2009,7,1,59.79,16,둔촌동,545,11740,,,
롯데캐슬퍼스트,2008,48000,2009,7,1,59.99,4,암사동,414-2,11740,,,
롯데캐슬퍼스트,2008,63700,2009,7,1,84.98,12,암사동,414-2,11740,,,
선사현대아파트,2000,54900,2009,7,1,83.67,5,암사동,509,11740,,,
선사현대아파트,2000,36500,2009,7,1,59.64,20,암사동,509,11740,,,
성안마을청구,2002,49000,2009,7,1,84.96,16,성내동,295,11740,,,
신동아,1986,78100,2009,7,1,112.93,9,명일동,44,11740,,,
신동아,1983,34800,2009,7,1,72.29,8,길동,160,11740,,,
아남1,1996,42500,2009,7,1,84.91,3,고덕동,486,11740,,,
주공3,1983,58000,2009,7,1,48.6,3,상일동,121,11740,,,
주공3,1983,54000,2009,7,1,48.85,1,상일동,121,11740,,,
한강현대,1999,42000,2009,7,1,71.91,5,암사동,442-1,11740,,,
한솔브리즈,2004,42000,2009,7,1,125.04,4,길동,415-11,11740,,,
현대1,1996,26000,2009,7,1,59.94,13,길동,470,11740,,,
현대홈타운,2004,55500,2009,7,1,84.98,3,암사동,400,11740,,,
강일리버파크3단지,2009,36043,2009,7,2,84.83,6,강일동,674,11740,,,
고덕주공9,1985,54600,2009,7,2,83.52,9,명일동,257,11740,,,
둔촌주공3단지,1980,80000,2009,7,2,96.75,10,둔촌동,174-1,11740,,,
둔촌주공4단지,1980,92500,2009,7,2,99.61,10,둔촌동,170-1,11740,,,
삼익가든,1984,40900,2009,7,2,66.87,6,명일동,270,11740,,,
삼익가든,1984,40000,2009,7,2,66.87,13,명일동,270,11740,,,
선사현대아파트,2000,34000,2009,7,2,58.68,17,암사동,509,11740,,,
신동아,1983,28000,2009,7,2,60.42,9,길동,160,11740,,,
신동아,1983,35000,2009,7,2,72.44,7,길동,160,11740,,,
신동아3,1983,39500,2009,7,2,85.28,8,길동,43,11740,,,
아남1,1996,45000,2009,7,2,84.91,7,고덕동,486,11740,,,
아남1,1996,41000,2009,7,2,84.91,7,고덕동,486,11740,,,
에스케이허브진,2004,18000,2009,7,2,33.71,13,성내동,194,11740,,,
우정에쉐르(101동),2004,28750,2009,7,2,84.24,8,천호동,163-34,11740,,,
주공2,1982,59300,2009,7,2,46.93,1,고덕동,212,11740,,,
주공3,1983,58000,2009,7,2,48.85,3,상일동,121,11740,,,
주공6,1983,54000,2009,7,2,55.44,5,상일동,124,11740,,,
주공6,1983,63000,2009,7,2,65.16,5,상일동,124,11740,,,
주공7,1983,66300,2009,7,2,65.16,5,상일동,187,11740,,,
중앙하이츠,1992,32000,2009,7,2,59.94,9,상일동,476,11740,,,
청원파크빌,2003,41500,2009,7,2,109.11,4,둔촌동,90,11740,,,
태천해오름15차,2003,26900,2009,7,2,66.68,11,성내동,422,11740,,,
현대(명일),1988,29000,2009,7,2,57.09,11,명일동,251-1,11740,,,
현대2,1988,42500,2009,7,2,79.79,4,둔촌동,70-5,11740,,,
강동LG자이,2003,85000,2009,7,3,147.17,11,길동,474,11740,,,
강동역두산위브센티움,2004,27200,2009,7,3,59.96,15,천호동,155-5,11740,,,
강동한신휴플러스,2006,32000,2009,7,3,84.98,8,길동,414-10,11740,,,
강일리버파크10단지,2009,33086,2009,7,3,84.83,6,강일동,695,11740,,,
강일리버파크1단지,2009,33988,2009,7,3,84.53,9,강일동,665,11740,,,
강일리버파크3단지,2009,35957,2009,7,3,84.53,14,강일동,674,11740,,,
강일리버파크7단지,2009,35954,2009,7,3,84.74,13,강일동,686,11740,,,
강일리버파크7단지,2009,34415,2009,7,3,84.83,8,강일동,686,11740,,,
고덕시영,1984,54700,2009,7,3,43,5,고덕동,492,11740,,,
고덕시영,1984,55000,2009,7,3,43,5,고덕동,492,11740,,,
고덕시영,1984,44000,2009,7,3,34.01,5,고덕동,492,11740,,,
금호아파트,1987,15500,2009,7,3,27.61,2,천호동,44,11740,,,
다성이즈빌(437-22),2004,40600,2009,7,3,78.33,7,천호동,437-22,11740,,,
두산위브센티움,2004,14000,2009,7,3,39.17,7,천호동,414,11740,,,
둔촌주공4단지,1980,92500,2009,7,3,99.61,7,둔촌동,170-1,11740,,,
둔촌주공4단지,1980,80000,2009,7,3,97.72,8,둔촌동,170-1,11740,,,
보람아파트,2005,32000,2009,7,3,83.14,7,천호동,287-25,11740,,,
삼익그린1차,1980,34600,2009,7,3,56.46,10,명일동,294,11740,,,
선사현대아파트,2000,43250,2009,7,3,72.85,14,암사동,509,11740,,,
선사현대아파트,2000,58400,2009,7,3,83.67,19,암사동,509,11740,,,
이안강동,2006,30500,2009,7,3,77.49,10,성내동,25-1,11740,,,
주공3,1983,48200,2009,7,3,41.62,5,상일동,121,11740,,,
태천해오름101동,2004,29990,2009,7,3,84.53,6,명일동,355,11740,,,
프라자,1984,56500,2009,7,3,109.07,12,둔촌동,603,11740,,,
한빛골드빌1차,2001,25500,2009,7,3,72.41,11,길동,384-1,11740,,,
강일리버파크2단지,2009,33574,2009,7,4,84.74,4,강일동,668,11740,,,
강일리버파크3단지,2009,38657,2009,7,4,84.53,12,강일동,674,11740,,,
고덕시영,1984,62500,2009,7,4,49.135,4,고덕동,492,11740,,,
고덕시영,1984,44500,2009,7,4,34.01,1,고덕동,492,11740,,,
고덕시영,1984,61500,2009,7,4,49.032,2,고덕동,492,11740,,,
길동우성,1994,29400,2009,7,4,57.1,11,길동,400,11740,,,
다성이즈빌(명일4차),2005,28800,2009,7,4,84.02,4,명일동,348-1,11740,,,
둔촌주공4단지,1980,95000,2009,7,4,99.61,8,둔촌동,170-1,11740,,,
명일우성,1986,79000,2009,7,4,133.65,10,명일동,42,11740,,,
삼익가든,1984,40300,2009,7,4,66.87,11,명일동,270,11740,,,
삼익그린2차,1983,52000,2009,7,4,66.87,3,명일동,15,11740,,,
삼환,1992,50500,2009,7,4,84.93,2,명일동,47,11740,,,
선사현대아파트,2000,44500,2009,7,4,72.85,21,암사동,509,11740,,,
선사현대아파트,2000,35000,2009,7,4,58.68,14,암사동,509,11740,,,
신동아,1986,76000,2009,7,4,112.93,6,명일동,44,11740,,,
신동아파밀리에,2002,33000,2009,7,4,59.4,9,둔촌동,555,11740,,,
아남1,1996,39500,2009,7,4,78.3,6,고덕동,486,11740,,,
에스케이허브진,2004,25000,2009,7,4,47.36,10,성내동,194,11740,,,
주공3,1983,50000,2009,7,4,41.62,5,상일동,121,11740,,,
주공3,1983,58200,2009,7,4,48.6,1,상일동,121,11740,,,
