단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
번동솔그린,1999,22000,2010,10,1,59.82,12,번동,136,11305,,,
번동한양아파트,1992,31600,2010,10,1,84.67,9,번동,133-1,11305,,,
신일해피트리,2006,30500,2010,10,1,83.72,7,미아동,1358,11305,,,
미아동부센트레빌,2006,45000,2010,10,2,84.93,10,미아동,474,11305,,,
벽산라이브파크,2004,33000,2010,10,2,84.89,18,미아동,1354,11305,,,
주공1단지,1991,30000,2010,10,2,79.07,3,번동,242,11305,,,
벽산라이브파크,2004,30900,2010,10,4,84.89,6,미아동,1354,11305,,,
삼각산아이원,2003,35000,2010,10,4,84.705,23,미아동,1357,11305,,,
에스케이북한산시티,2004,33500,2010,10,4,84.76,12,미아동,1353,11305,,,
에스케이북한산시티,2004,42700,2010,10,4,114.85,7,미아동,1353,11305,,,
주공1단지,1991,16500,2010,10,4,41.3,5,번동,242,11305,,,
래미안수유,2001,35500,2010,10,5,84.993,15,수유동,730,11305,,,
삼각산아이원,2003,33300,2010,10,5,84.705,7,미아동,1357,11305,,,
수유벽산1차,1993,25850,2010,10,6,63.78,11,수유동,205,11305,,,
에스케이북한산시티,2004,24100,2010,10,6,59.98,2,미아동,1353,11305,,,
경남아너스빌(1356-0),2003,25000,2010,10,7,59.964,12,미아동,1356,11305,,,
삼각산아이원,2003,26900,2010,10,7,59.758,12,미아동,1357,11305,,,
수유벽산1차,1993,30500,2010,10,8,84.95,3,수유동,205,11305,,,
신원,2000,21000,2010,10,8,59.96,1,번동,204,11305,,,
래미안트리베라1단지,2010,47400,2010,10,9,84.97,11,미아동,813,11305,,,
벽산라이브파크,2004,23000,2010,10,9,60,15,미아동,1354,11305,,,
에스케이북한산시티,2004,42000,2010,10,9,114.85,12,미아동,1353,11305,,,
에스케이북한산시티,2004,30500,2010,10,9,84.86,19,미아동,1353,11305,,,
한진,2000,23000,2010,10,9,58.65,6,번동,658,11305,,,
해모로아파트,2003,26500,2010,10,9,59.98,5,번동,139,11305,,,
에스케이북한산시티,2004,33500,2010,10,11,84.71,7,미아동,1353,11305,,,
번동한양아파트,1992,25000,2010,10,12,84.67,8,번동,133-1,11305,,,
래미안수유,2001,47000,2010,10,13,114.78,18,수유동,730,11305,,,
래미안수유,2001,37000,2010,10,13,84.993,13,수유동,730,11305,,,
주공4단지,1991,21500,2010,10,14,49.94,13,번동,234,11305,,,
수유벽산1차,1993,23000,2010,10,15,63.78,3,수유동,205,11305,,,
에스케이북한산시티,2004,24300,2010,10,15,59.98,19,미아동,1353,11305,,,
태솔타워,2010,34000,2010,10,15,78.55,8,수유동,51-7,11305,,,
태솔타워,2010,34000,2010,10,15,78.55,9,수유동,51-7,11305,,,
미아1차래미안,2006,29800,2010,10,16,59.9,1,미아동,797,11305,,,
