단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
관악드림(동아),2003,29500,2011,11,1,59.85,18,봉천동,1712,11620,,,
봉천동아,2000,41000,2011,11,1,84.87,9,봉천동,1703,11620,,,
봉천우성,2000,30500,2011,11,1,59.76,24,봉천동,1706,11620,,,
신림푸르지오,2005,49900,2011,11,1,84.79,21,신림동,1730,11620,,,
신림푸르지오,2005,57500,2011,11,1,114.84,19,신림동,1730,11620,,,
관악드림(동아),2003,42000,2011,11,2,84.96,13,봉천동,1712,11620,,,
관악드림(삼성),2003,30500,2011,11,2,59.85,26,봉천동,1712,11620,,,
국제산장,1993,28200,2011,11,2,84.15,15,신림동,1693,11620,,,
보라매삼성,1996,42800,2011,11,2,84.84,14,봉천동,1698-1,11620,,,
삼성산주공(주공3단지),2000,31000,2011,11,2,83.21,5,신림동,1714,11620,,,
신림현대,1993,44000,2011,11,2,119.49,8,신림동,1694,11620,,,
한일유앤아이2차,2006,38000,2011,11,2,84.99,5,남현동,1077-1,11620,,,
반석푸른숲,2006,47500,2011,11,3,84.12,3,봉천동,1723,11620,,,
그대家,2003,38700,2011,11,4,119.96,2,신림동,1727,11620,,,
성우,1998,26800,2011,11,6,59.97,3,신림동,10-622,11620,,,
신림동부센트레빌,2006,44500,2011,11,6,84.93,4,신림동,1734,11620,,,
그대家,2003,25200,2011,11,7,59.6,17,신림동,1727,11620,,,
낙성대현대아파트,1988,33000,2011,11,7,61.74,5,봉천동,179-58,11620,,,
봉천동아,2000,41500,2011,11,7,84.87,13,봉천동,1703,11620,,,
신림푸르지오,2005,59000,2011,11,7,114.84,14,신림동,1730,11620,,,
관악드림(동아),2003,50000,2011,11,8,114.75,3,봉천동,1712,11620,,,
라이프미성,1982,28500,2011,11,8,71.31,4,신림동,1656,11620,,,
건영4,1997,36000,2011,11,9,84.89,9,신림동,1702-1,11620,,,
삼성산주공(주공3단지),2000,32000,2011,11,10,83.21,17,신림동,1714,11620,,,
신림현대,1993,33800,2011,11,10,82.2,13,신림동,1694,11620,,,
신림현대,1993,32000,2011,11,10,82.2,11,신림동,1694,11620,,,
관악푸르지오,2004,31000,2011,11,11,59.58,21,봉천동,1717,11620,,,
동부,1993,26500,2011,11,11,60.38,1,신림동,1695,11620,,,
벽산블루밍,2005,30000,2011,11,11,59.99,13,봉천동,1718,11620,,,
우림루미아트,2004,46000,2011,11,11,84.51,2,남현동,1135,11620,,,
관악드림(삼성),2003,41700,2011,11,12,84.96,3,봉천동,1712,11620,,,
관악산휴먼시아1단지,2008,41000,2011,11,12,84.97,16,신림동,1735-1,11620,,,
관악산휴먼시아2단지,2008,39500,2011,11,12,84.97,16,신림동,1735,11620,,,
