단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
구의현대2단지,1996,53200,2014,11,1,84.75,23,구의동,611,11215,,,
구의현대하이엘,2005,37000,2014,11,1,59.4,8,자양동,779-11,11215,,,
금호베스트빌,2001,57000,2014,11,1,84.91,9,광장동,578,11215,,,
워커힐,1978,130000,2014,11,2,226.45,2,광장동,145-8,11215,,,
더샵스타시티,2007,82000,2014,11,3,100.32,3,자양동,227-7,11215,,,
주성힐스톤,2014,40800,2014,11,3,70.96,3,구의동,664,11215,,,
청구,1996,39400,2014,11,3,59.95,5,광장동,566,11215,,,
청구,1996,55700,2014,11,3,84.86,21,광장동,566,11215,,,
광장현대9단지,1999,64500,2014,11,4,84.96,8,광장동,576,11215,,,
광진코지웰,2014,14400,2014,11,4,16.53,7,화양동,113-1,11215,,,
신동아파밀리에,2007,61000,2014,11,4,84.69,6,광장동,250,11215,,,
자양8차현대홈타운,2002,61500,2014,11,4,80.47,14,자양동,789,11215,,,
더샵스타시티,2007,88500,2014,11,5,127.95,9,자양동,227-7,11215,,,
현대3,1990,54000,2014,11,5,74.92,19,광장동,484,11215,,,
현대3,1990,53300,2014,11,5,74.92,11,광장동,484,11215,,,
현대3,1990,39000,2014,11,5,59.67,3,광장동,484,11215,,,
현대프라임,1997,105000,2014,11,5,126.66,11,구의동,631-1,11215,,,
광장현대9단지,1999,60000,2014,11,6,84.96,4,광장동,576,11215,,,
구의현대2단지,1996,51800,2014,11,6,84.75,26,구의동,611,11215,,,
구의현대2단지,1996,58500,2014,11,6,84.91,21,구의동,611,11215,,,
극동2,1989,51900,2014,11,6,84.55,1,광장동,218-1,11215,,,
워커힐푸르지오,1987,49000,2014,11,6,69,9,광장동,148-4,11215,,,
삼민,1995,35000,2014,11,7,90.3,2,중곡동,609,11215,,,
청구,1996,59900,2014,11,7,84.86,14,광장동,566,11215,,,
"현대8(801동,802동)",1995,62700,2014,11,7,84.92,18,광장동,565,11215,,,
구의강변우성아파트,1992,52700,2014,11,8,84.76,16,구의동,546-7,11215,,,
극동1,1985,66500,2014,11,8,84.55,12,광장동,218-1,11215,,,
아차산한라아파트,2009,45000,2014,11,8,80.55,2,구의동,662,11215,,,
일성파크,1996,43300,2014,11,8,84.96,15,군자동,99,11215,,,
자양10차현대홈타운,2002,59000,2014,11,8,84.46,3,자양동,792,11215,,,
자양10차현대홈타운,2002,62000,2014,11,8,84.46,7,자양동,792,11215,,,
자양7차현대홈타운,2001,43700,2014,11,8,59.94,15,자양동,788,11215,,,
자양우성7,1998,44000,2014,11,8,59.94,7,자양동,783-1,11215,,,
청구,1996,55000,2014,11,8,84.86,23,광장동,566,11215,,,
한솔리베르,2002,47000,2014,11,8,83.31,12,자양동,672,11215,,,
현대3,1990,39800,2014,11,8,59.67,4,광장동,484,11215,,,
현대프라임,1997,42400,2014,11,8,59.82,3,구의동,631-1,11215,,,
신동아파밀리에,2007,66550,2014,11,9,84.78,8,광장동,250,11215,,,
경남,1999,29500,2014,11,10,59.96,1,자양동,641,11215,,,
구의현대2단지,1996,58000,2014,11,10,84.91,14,구의동,611,11215,,,
더샵스타시티,2007,81000,2014,11,10,100.32,4,자양동,227-7,11215,,,
아차산포레안,2010,44000,2014,11,10,59.63,7,구의동,663,11215,,,
자양현대6,1999,39700,2014,11,10,59.98,3,자양동,786,11215,,,
주성힐스톤,2014,40600,2014,11,10,70.96,2,구의동,664,11215,,,
현대3,1990,46500,2014,11,10,59.67,9,광장동,484,11215,,,
현대5,1989,57500,2014,11,10,74.88,8,광장동,554-7,11215,,,
현대프라임,1997,41500,2014,11,10,59.82,2,구의동,631-1,11215,,,
구의현대홈시티,2006,48000,2014,11,11,84.9,14,자양동,779-8,11215,,,
신동아파밀리에,2007,70000,2014,11,11,84.78,8,광장동,250,11215,,,
자양10차현대홈타운,2002,52500,2014,11,11,84.46,1,자양동,792,11215,,,
현대프라임,1997,43500,2014,11,11,59.82,14,구의동,631-1,11215,,,
구의현대2단지,1996,57000,2014,11,12,84.91,8,구의동,611,11215,,,
구의현대6단지,1994,53000,2014,11,12,84.92,5,구의동,610,11215,,,
극동2,1989,61000,2014,11,12,84.55,8,광장동,218-1,11215,,,
성동강변파크빌101(강변타워),2001,33200,2014,11,12,59.92,13,구의동,657,11215,,,
신덕하이빌,2001,32000,2014,11,12,78.7,2,구의동,224-7,11215,,,
