단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
SKVIEW,2006,40500,2007,1,2,84.96,28,신도림동,432-1,11530,,,
대상,1999,21800,2007,1,2,84.98,21,개봉동,477,11530,,,
보성,1997,8500,2007,1,2,59.76,1,구로동,745-28,11530,,,
삼익(1단지),2001,16800,2007,1,2,59.82,11,고척동,330,11530,,,
성호메이플라워멤버스빌,2002,9000,2007,1,2,41.4,6,구로동,104-9,11530,,,
센츄리,1994,34000,2007,1,2,84.56,3,고척동,320,11530,,,
영풍마드레빌,2002,27000,2007,1,2,84.741,2,오류동,342,11530,,,
구로두산위브,2006,13500,2007,1,3,36.88,11,구로동,1278,11530,,,
금강(343),2003,45000,2007,1,3,84.983,3,오류동,343,11530,,,
대림2,2001,74000,2007,1,3,134.99,11,신도림동,642,11530,,,
두산,1997,23700,2007,1,3,84.96,1,개봉동,472,11530,,,
삼천리,1998,18300,2007,1,3,59.73,5,오류동,340,11530,,,
순영웰라이빌2차,2005,17700,2007,1,3,66.63,16,구로동,97-2,11530,,,
우성2,1996,43900,2007,1,3,84.94,12,신도림동,639,11530,,,
한신플러스타운,2002,35000,2007,1,3,84.96,10,오류동,341,11530,,,
한진,2000,19300,2007,1,3,59.95,8,개봉동,478,11530,,,
현대연예인,1989,15500,2007,1,3,54.86,2,구로동,685-70,11530,,,
현대홈타운,2001,21900,2007,1,3,59.49,25,개봉동,480,11530,,,
(749-49),1995,6500,2007,1,4,36.66,1,구로동,749-49,11530,,,
신도림롯데아파트,1999,76000,2007,1,4,170.3,9,구로동,1263,11530,,,
우민늘푸른,2004,20900,2007,1,4,66.122,12,구로동,1279,11530,,,
우원그린빌,2001,20000,2007,1,4,84.206,2,구로동,110-9,11530,,,
주공2,1987,16000,2007,1,4,41.3,8,구로동,685-223,11530,,,
중앙하이츠,1987,25750,2007,1,4,70.52,6,구로동,685-124,11530,,,
한신,1988,9350,2007,1,4,35.277,4,구로동,642-9,11530,,,
한진,2000,29500,2007,1,4,84.96,6,개봉동,478,11530,,,
현대,2001,38500,2007,1,4,84.99,4,개봉동,481,11530,,,
현대연예인,1989,27000,2007,1,4,74.66,8,구로동,685-70,11530,,,
(744-47),1996,6400,2007,1,5,34.76,2,구로동,744-47,11530,,,
