단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
가산양우내안에애플,2013,19000,2022,6,2,15.73,12,가산동,141-2,11545,직거래,,
금천롯데캐슬골드파크1차,2016,125000,2022,6,2,84.4623,13,독산동,1147,11545,중개거래,,
시흥(817-29),1975,21000,2022,6,3,39.83,3,시흥동,817-29,11545,중개거래,,
금천롯데캐슬골드파크2차201동202동,2017,89500,2022,6,4,59.98,11,독산동,1150,11545,중개거래,,
가산피어니빌,2017,17500,2022,6,5,13.4669,3,가산동,143-20,11545,직거래,,
힐캐슬,2012,29700,2022,6,6,53.01,5,시흥동,960-6,11545,중개거래,,
가산피어니빌,2017,14600,2022,6,8,14.0429,5,가산동,143-20,11545,직거래,,
거상홈타운801동,2003,21000,2022,6,8,70.47,5,시흥동,949-18,11545,직거래,,
금천현대,2002,65500,2022,6,11,59.82,3,독산동,711-2,11545,중개거래,,
비즈트위트바이올렛5차,2014,11900,2022,6,13,12.19,10,가산동,140-36,11545,중개거래,,
신도브래뉴,2002,76200,2022,6,15,73.2,16,독산동,955,11545,중개거래,,
벽산,2000,62000,2022,6,19,84.99,18,시흥동,1010,11545,중개거래,,
신도브래뉴,2002,84500,2022,6,19,116.29,10,독산동,955,11545,중개거래,,
비즈트위트바이올렛5차,2014,18000,2022,6,20,18.52,14,가산동,140-36,11545,직거래,,
한신아파트,1991,64000,2022,6,20,89.46,4,독산동,1093-4,11545,직거래,,
관악산벽산타운5,2004,82300,2022,6,21,114.84,16,시흥동,1013,11545,중개거래,,
가산양우내안에애플,2013,11500,2022,6,24,12.04,18,가산동,141-2,11545,중개거래,,
삼익,1998,52000,2022,6,25,59.94,17,가산동,234-46,11545,중개거래,,
우방,2002,60000,2022,6,25,84.84,13,시흥동,1011,11545,직거래,,
태영아파트,2001,44300,2022,6,25,56.78,10,독산동,1003-21,11545,중개거래,,
가산양우내안에애플,2013,11500,2022,6,27,12.04,18,가산동,141-2,11545,중개거래,,
푸른터,2006,45000,2022,6,30,81.56,6,독산동,957,11545,직거래,,
