단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
롯데우성,1993,132000,2021,1,2,115.26,5,중계동,361-1,11350,,,
상계주공1(고층),1988,53000,2021,1,2,41.3,7,상계동,765,11350,,,
상계주공14(고층),1989,53000,2021,1,2,41.3,9,상계동,626,11350,,,
은빛1단지,1998,51850,2021,1,2,59.92,9,상계동,1255,11350,,,
주공5,1992,43600,2021,1,2,38.64,7,중계동,359-1,11350,,,
주공6,1993,50000,2021,1,2,44.1,11,중계동,364-12,11350,,,
주공6,1993,50000,2021,1,2,44.1,14,중계동,364-12,11350,,,
중계그린1단지,1990,53000,2021,1,2,49.85,2,중계동,502-1,11350,,,
풍림아파트A,2001,85000,2021,1,2,84.99,6,공릉동,725,11350,,,
풍림아파트A,2001,63000,2021,1,2,59.94,1,공릉동,725,11350,,,
한일유앤아이,2005,66300,2021,1,2,59.877,11,상계동,1309,11350,,,
한화꿈에그린,2005,93500,2021,1,2,84.902,9,중계동,598,11350,,,
두산,1994,36000,2021,1,4,41.85,4,상계동,1110,11350,,,
롯데우성,1993,135000,2021,1,4,115.26,14,중계동,361-1,11350,,,
보람아파트,1988,50800,2021,1,4,44.33,13,상계동,639,11350,,,
보람아파트,1988,56900,2021,1,4,54.59,15,상계동,639,11350,,,
사슴3,1995,40200,2021,1,4,39.6,11,월계동,320-11,11350,,,
삼익포레스트아파트,1995,68000,2021,1,4,84.6,9,공릉동,737,11350,,,
상계주공16(고층),1988,71000,2021,1,4,79.07,6,상계동,624,11350,,,
상계주공2(고층),1987,53000,2021,1,4,37.46,5,상계동,740,11350,,,
상계주공3(고층),1987,59000,2021,1,4,37.46,9,상계동,730-2,11350,,,
상계주공3(고층),1987,59000,2021,1,4,41.3,4,상계동,730-2,11350,,,
상계주공4(고층),1988,89500,2021,1,4,84.2,5,상계동,749-5,11350,,,
상계주공5(저층),1987,65000,2021,1,4,31.98,5,상계동,721,11350,,,
상계주공5(저층),1987,65000,2021,1,4,31.98,2,상계동,721,11350,,,
상계주공9(고층),1988,64000,2021,1,4,58.01,2,상계동,670,11350,,,
상계주공9(고층),1988,71500,2021,1,4,66.56,15,상계동,670,11350,,,
양지마을(대림)1,1998,109700,2021,1,4,84.9,8,중계동,587,11350,,,
월계센트럴아이파크,2020,90000,2021,1,4,59.99,16,월계동,951,11350,,,
은빛1단지,1998,53000,2021,1,4,59.92,10,상계동,1255,11350,,,
주공4,1991,67000,2021,1,4,59.39,6,중계동,358-2,11350,,,
주공5,1992,48500,2021,1,4,44.94,5,중계동,359-1,11350,,,
주공5,1992,85000,2021,1,4,76.51,1,중계동,359-1,11350,,,
청구3,1996,120000,2021,1,4,84.77,3,중계동,360-2,11350,,,
태강아파트(아이파크),1999,52000,2021,1,4,49.6,13,공릉동,81,11350,,,
한신2,1988,42000,2021,1,4,35.28,5,하계동,284,11350,,,
한신2차,1988,65500,2021,1,4,84.92,5,상계동,451,11350,,,
두산,1994,48800,2021,1,5,58.65,4,상계동,1110,11350,,,
미라쉘,2018,15000,2021,1,5,16.69,18,공릉동,670-6,11350,,,
사슴3,1995,33200,2021,1,5,33.18,13,월계동,320-11,11350,,,
삼호4,1987,62000,2021,1,5,50.18,8,월계동,12,11350,,,
상계대림,1989,70000,2021,1,5,84.91,13,상계동,172,11350,,,
상계주공10(고층),1988,52000,2021,1,5,49.94,1,상계동,666,11350,,,
상계주공12(고층),1988,67800,2021,1,5,66.56,15,상계동,647,11350,,,
상계주공13(고층),1989,52000,2021,1,5,49.94,2,상계동,637,11350,,,
상계주공2(저층),1987,86000,2021,1,5,84.41,3,상계동,740,11350,,,
상계주공3(고층),1987,99000,2021,1,5,84.2,1,상계동,730-2,11350,,,
상계주공7(고층),1988,55000,2021,1,5,41.3,5,상계동,691,11350,,,
상계주공7(고층),1988,55000,2021,1,5,41.3,5,상계동,691,11350,,,
상계주공7(고층),1988,64000,2021,1,5,49.94,5,상계동,691,11350,,,
상계주공9(고층),1988,43500,2021,1,5,41.3,10,상계동,670,11350,,,
상계주공9(고층),1988,55000,2021,1,5,49.94,4,상계동,670,11350,,,
서경하누리아파트,2005,38700,2021,1,5,68.77,2,공릉동,493-20,11350,,,
우남그랜드,2001,75700,2021,1,5,84.73,5,월계동,930,11350,,,
중계그린1단지,1990,64500,2021,1,5,59.7,3,중계동,502-1,11350,,,
태강아파트(아이파크),1999,52500,2021,1,5,49.6,12,공릉동,81,11350,,,
태릉우성아파트,1985,85700,2021,1,5,84.97,6,공릉동,254,11350,,,
한신1,1988,42000,2021,1,5,35.28,5,하계동,284,11350,,,
현대,1988,102000,2021,1,5,84.95,12,하계동,270,11350,,,
건영2,1991,74700,2021,1,6,75.02,3,중계동,515-2,11350,,,
극동늘푸른,2000,52800,2021,1,6,59.958,7,상계동,1128,11350,,,
롯데캐슬루나,2006,104000,2021,1,6,127.0318,8,월계동,947,11350,,,
보람2단지,1988,70700,2021,1,6,68.99,9,상계동,639,11350,,,
상계신동아,1995,44600,2021,1,6,59.4,7,상계동,463,11350,,,
상계주공11(고층),1988,51250,2021,1,6,41.3,2,상계동,652,11350,,,
상계주공13(고층),1989,49800,2021,1,6,49.94,8,상계동,637,11350,,,
상계주공16(고층),1988,58300,2021,1,6,59.39,8,상계동,624,11350,,,
상계주공3(고층),1987,48000,2021,1,6,32.39,15,상계동,730-2,11350,,,
상계주공4(고층),1988,52800,2021,1,6,41.3,2,상계동,749-5,11350,,,
시영3차(라이프)아파트,1994,39900,2021,1,6,39.6,7,공릉동,715,11350,,,
시영3차(라이프)아파트,1994,41000,2021,1,6,39.6,7,공릉동,715,11350,,,
시영3차(라이프)아파트,1994,34900,2021,1,6,39.6,3,공릉동,715,11350,,,
은빛2단지,1998,53700,2021,1,6,59.95,2,상계동,1256,11350,,,
주공2,1992,51800,2021,1,6,58.65,13,월계동,556,11350,,,
초안1,1998,35700,2021,1,6,49.6,7,월계동,923,11350,,,
코지한주,2006,65000,2021,1,6,101.54,5,상계동,1401-8,11350,,,
학여울청구,1999,63000,2021,1,6,59.4,3,하계동,354,11350,,,
학여울청구,1999,99000,2021,1,6,113.51,9,하계동,354,11350,,,
한신2,1988,40000,2021,1,6,35.28,12,하계동,284,11350,,,
한진한화그랑빌,2002,124000,2021,1,6,139.08,23,월계동,18,11350,,,
현대,2000,82000,2021,1,6,84.98,10,월계동,929,11350,,,
두산,1994,49000,2021,1,7,51.66,6,상계동,1110,11350,,,
