단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
금용,1997,27900,2006,8,1,122.15,14,창동,809,11320,,,
상아2차아파트,1988,8550,2006,8,1,45.54,1,창동,300,11320,,,
신동아아파트1,1986,9550,2006,8,1,53.16,15,방학동,271-1,11320,,,
주공17단지,1989,9850,2006,8,1,49.94,4,창동,38,11320,,,
창동한신휴플러스(621-69),2002,39700,2006,8,1,120.7,8,창동,621-69,11320,,,
삼익세라믹,1988,7500,2006,8,2,42.93,7,쌍문동,56,11320,,,
신동아아파트1,1986,11500,2006,8,2,62.22,11,방학동,271-1,11320,,,
신동아아파트1,1986,11900,2006,8,2,62.22,8,방학동,271-1,11320,,,
창동신도브래뉴1차,2003,23000,2006,8,2,59.619,7,창동,820,11320,,,
창동주공2단지,1990,8200,2006,8,2,41.3,9,창동,316,11320,,,
태영데시앙,2003,26900,2006,8,2,84.995,4,창동,819,11320,,,
한화성원아파트,1996,11500,2006,8,2,59.88,14,방학동,731,11320,,,
금호1,1990,10400,2006,8,3,54.48,9,쌍문동,199-1,11320,,,
래미안도봉,2005,42000,2006,8,3,114.76,11,도봉동,655,11320,,,
방학동삼성래미안1,2002,38000,2006,8,3,84.937,22,방학동,720-18,11320,,,
벽산아파트1,1991,13500,2006,8,3,72.01,8,방학동,275,11320,,,
벽산아파트2,1998,18350,2006,8,3,84.98,11,방학동,496,11320,,,
신동아아파트1,1986,18400,2006,8,3,84.87,7,방학동,271-1,11320,,,
극동,1991,14000,2006,8,4,84.83,4,도봉동,81-1,11320,,,
벽산아파트2,1998,13000,2006,8,4,59.581,9,방학동,496,11320,,,
브라운스톤방학아파트,2003,26500,2006,8,4,84.98,19,방학동,713,11320,,,
서울가든,1987,16000,2006,8,4,75.33,5,도봉동,555,11320,,,
신동아아파트2,1992,44200,2006,8,4,147.48,8,방학동,531,11320,,,
한양2,1988,15700,2006,8,4,84.9,3,쌍문동,59,11320,,,
한양5,1991,12000,2006,8,4,65.37,8,쌍문동,59-3,11320,,,
현대1,1990,8000,2006,8,4,44.55,10,쌍문동,54,11320,,,
현대3,1995,16100,2006,8,4,84.83,5,쌍문동,719,11320,,,
금호1,1990,15500,2006,8,5,84.88,1,쌍문동,199-1,11320,,,
금호2,1991,11500,2006,8,5,69.82,1,쌍문동,산69-1,11320,,,
벽산아파트2,1998,18300,2006,8,5,84.98,6,방학동,496,11320,,,
삼익세라믹아파트,1988,9200,2006,8,5,58.77,14,방학동,274,11320,,,
삼환도봉,1987,17000,2006,8,5,73.89,15,도봉동,87,11320,,,
신동아아파트1,1986,8000,2006,8,5,53.16,13,방학동,271-1,11320,,,
신창,1998,13000,2006,8,5,59.4,15,창동,810,11320,,,
피스플하우스,1998,3500,2006,8,5,29.99,1,쌍문동,68-1,11320,,,
한양2,1988,12800,2006,8,5,76.92,1,쌍문동,59,11320,,,
한양2,1988,14450,2006,8,5,76.92,5,쌍문동,59,11320,,,
한양7,1993,14500,2006,8,5,71.22,8,쌍문동,158,11320,,,
현대1,1990,14050,2006,8,5,70.3,5,쌍문동,54,11320,,,
서울가든,1992,41000,2006,8,7,165.55,1,창동,366,11320,,,
서원,1996,10200,2006,8,7,49.77,10,도봉동,641,11320,,,
신동아아파트3,1992,15000,2006,8,7,84.86,1,방학동,530,11320,,,
우성아파트1,1992,15360,2006,8,7,83.85,5,방학동,507,11320,,,
주공19단지(창동리버타운),1988,15700,2006,8,7,60.5,11,창동,27,11320,,,
한신,1995,22800,2006,8,7,84.94,9,도봉동,30-1,11320,,,
한양1,1986,21250,2006,8,7,79.2,2,쌍문동,388-33,11320,,,
한양6,2002,17000,2006,8,7,83.86,10,쌍문동,59-5,11320,,,
현대3,1995,12300,2006,8,7,84.93,1,쌍문동,719,11320,,,
대상타운현대아파트,2001,32600,2006,8,8,84.78,11,방학동,720-1,11320,,,
삼익세라믹,1988,7900,2006,8,8,42.93,7,쌍문동,56,11320,,,
삼익세라믹아파트,1988,7050,2006,8,8,42.93,2,방학동,274,11320,,,
삼환도봉,1987,20500,2006,8,8,83.97,11,도봉동,87,11320,,,
주공17단지,1989,6000,2006,8,8,36.16,8,창동,38,11320,,,
창동주공1단지,1990,8310,2006,8,8,41.3,4,창동,305,11320,,,
창동주공3단지(해등마을),1990,13500,2006,8,8,49.94,9,창동,347,11320,,,
창동주공4단지,1991,6000,2006,8,8,36.34,15,창동,373,11320,,,
창동주공4단지,1991,12250,2006,8,8,49.94,5,창동,373,11320,,,
태영데시앙,2003,29200,2006,8,8,84.995,20,창동,819,11320,,,
금호2,1991,18000,2006,8,9,84.46,11,쌍문동,산69-1,11320,,,
대상타운현대아파트,2001,31300,2006,8,9,84.78,18,방학동,720-1,11320,,,
동아에코빌,2003,28000,2006,8,9,84.967,12,도봉동,654,11320,,,
북한산아이파크5차,2004,39000,2006,8,9,84.4516,7,창동,825,11320,,,
삼성래미안,1992,28200,2006,8,9,84.87,11,창동,45,11320,,,
삼익세라믹아파트,1988,10400,2006,8,9,58.77,4,방학동,274,11320,,,
삼환도봉,1987,17500,2006,8,9,73.89,10,도봉동,87,11320,,,
서원,1996,10250,2006,8,9,49.77,5,도봉동,641,11320,,,
서원,1996,10200,2006,8,9,49.77,6,도봉동,641,11320,,,
신동아아파트1,1986,13800,2006,8,9,70.62,10,방학동,271-1,11320,,,
쌍문동삼성래미안,2002,35500,2006,8,9,114.9396,13,쌍문동,725,11320,,,
주공17단지,1989,9850,2006,8,9,49.94,3,창동,38,11320,,,
주공17단지,1989,5500,2006,8,9,36.34,1,창동,38,11320,,,
창동주공18단지,1988,7770,2006,8,9,45.9,7,창동,30,11320,,,
한화성원아파트,1996,11400,2006,8,9,59.88,6,방학동,731,11320,,,
금호2,1991,14500,2006,8,10,71.98,3,쌍문동,산69-1,11320,,,
대상타운현대아파트,2001,52500,2006,8,10,133.97,21,방학동,720-1,11320,,,
동양크레오아파트,2004,26500,2006,8,10,84.9696,8,방학동,740,11320,,,
벽산아파트2,1998,12900,2006,8,10,59.581,9,방학동,496,11320,,,
북한산아이파크5차,2004,38000,2006,8,10,84.4516,20,창동,825,11320,,,
삼환도봉,1987,16800,2006,8,10,73.89,10,도봉동,87,11320,,,
상아1차아파트,1987,20300,2006,8,10,69.03,11,창동,299,11320,,,
성원,1989,12600,2006,8,10,71.78,2,쌍문동,53,11320,,,
신동아아파트2,1992,44200,2006,8,10,147.48,10,방학동,531,11320,,,
신창,1998,13100,2006,8,10,59.4,5,창동,810,11320,,,
우성아파트1,1992,11000,2006,8,10,51.91,8,방학동,507,11320,,,
우암쎈스뷰아파트,2003,19900,2006,8,10,84.2,2,방학동,713-12,11320,,,
