단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대명이룸아파트(565-0),2005,32000,2014,9,1,83.75,4,장안동,565,11230,,,
래미안아름숲,2012,39400,2014,9,1,59.9,2,전농동,688,11230,,,
래미안장안2차,2007,42000,2014,9,1,81.05,3,장안동,329-3,11230,,,
세양청마루,2005,37000,2014,9,1,84.98,10,답십리동,997,11230,,,
어진재,2014,19760,2014,9,1,26.24,5,제기동,1213,11230,,,
장안현대,1984,29000,2014,9,1,95.44,11,장안동,95-1,11230,,,
현대,1987,40000,2014,9,1,128.57,15,청량리동,234-2,11230,,,
두산,2000,41500,2014,9,2,114.97,12,답십리동,990,11230,,,
두산위브,2007,36800,2014,9,2,59.91,11,답십리동,998,11230,,,
래미안엘파인아파트,2011,41400,2014,9,2,84.9,20,답십리동,1000,11230,,,
래미안장안2차,2007,43500,2014,9,2,81.05,20,장안동,329-3,11230,,,
래미안장안2차,2007,43000,2014,9,2,81.05,20,장안동,329-3,11230,,,
롯데캐슬피렌체,2009,49500,2014,9,2,84.99,13,용두동,790,11230,,,
르메이에르1차(344-1),2004,29800,2014,9,2,84.77,6,장안동,344-1,11230,,,
신현대,1989,26500,2014,9,2,60.48,6,회기동,65,11230,,,
우성3차(562),2005,34500,2014,9,2,84.26,7,장안동,562,11230,,,
한신,1997,28500,2014,9,2,59.97,18,청량리동,60,11230,,,
경동미주,1977,28200,2014,9,3,67.21,4,제기동,892-68,11230,,,
대림,2003,17500,2014,9,3,84.66,7,답십리동,808,11230,,,
동아,2001,33300,2014,9,3,84.72,7,답십리동,10,11230,,,
두산위브,2007,34500,2014,9,3,59.91,13,답십리동,998,11230,,,
래미안아름숲,2012,50100,2014,9,3,84.7,11,전농동,688,11230,,,
롯데,2000,37500,2014,9,3,84.89,17,휘경동,78,11230,,,
롯데,2000,27500,2014,9,3,59.94,4,휘경동,78,11230,,,
신일해피트리2차(567),2005,38800,2014,9,3,84.83,13,장안동,567,11230,,,
장안현대,1984,29500,2014,9,3,95.45,6,장안동,95-1,11230,,,
전농SK,2000,45000,2014,9,3,114.3,24,전농동,10,11230,,,
전농동신성미소지움,2005,39000,2014,9,3,80.325,1,전농동,687,11230,,,
현대코아,1997,45000,2014,9,3,139.98,15,청량리동,738,11230,,,
현대홈타운2차,2005,36500,2014,9,3,84.97,2,장안동,569,11230,,,
휘경리오포레아파트(1단지),2001,34300,2014,9,3,84.29,20,휘경동,57,11230,,,
휘경리오포레아파트(2단지),2001,29000,2014,9,3,59.13,22,휘경동,57,11230,,,
휘경리오포레아파트(2단지),2001,21000,2014,9,3,39.98,13,휘경동,57,11230,,,
래미안장안2차,2007,37000,2014,9,4,64.85,11,장안동,329-3,11230,,,
브라운스톤휘경,2013,38000,2014,9,4,59.95,10,휘경동,368,11230,,,
신현대,1989,33400,2014,9,4,84.96,12,회기동,65,11230,,,
이문삼성래미안아파트,2001,42000,2014,9,4,84.954,2,이문동,425,11230,,,
전농동신성미소지움,2005,44750,2014,9,4,112.874,16,전농동,687,11230,,,
회기힐스테이트,2011,47500,2014,9,4,84.99,7,회기동,351,11230,,,
동답한신,1992,16400,2014,9,5,35.45,2,답십리동,42,11230,,,
동답한신,1992,19900,2014,9,5,44.35,5,답십리동,42,11230,,,
동아,1997,35500,2014,9,5,83.01,7,전농동,645-2,11230,,,
두산,2000,34800,2014,9,5,114.97,1,답십리동,990,11230,,,
