단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
사당롯데캐슬골든포레,2021,91500,2023,5,1,59.9775,10,사당동,1160,11590,중개거래,,
신동아4,1993,125000,2023,5,1,118.25,15,사당동,105,11590,중개거래,,
한신휴플러스,2004,79200,2023,5,1,59.9,13,본동,487,11590,중개거래,,
극동(105),1993,80500,2023,5,3,51.57,12,사당동,105,11590,중개거래,,
상도휴엔하임,2016,14500,2023,5,3,14.7,10,상도동,363-164,11590,중개거래,,
한신휴플러스,2004,75500,2023,5,3,59.72,5,본동,487,11590,중개거래,,
경동윈츠리버,2004,86000,2023,5,4,56.68,6,본동,484,11590,중개거래,,
래미안로이파크,2018,150000,2023,5,4,84.98,22,사당동,1159,11590,중개거래,,
사당롯데캐슬2차,2004,91000,2023,5,4,71.634,11,사당동,1149,11590,중개거래,,
사당우성3,1993,63700,2023,5,4,46.75,2,사당동,105,11590,중개거래,,
상도동래미안1차,2004,100000,2023,5,4,84.959,8,상도동,450,11590,중개거래,,
신동아리버파크,2001,81500,2023,5,4,59.67,6,노량진동,325,11590,중개거래,,
아데나339,2012,12950,2023,5,4,15.36,4,대방동,515,11590,중개거래,,
현대,1996,85000,2023,5,4,84.57,6,신대방동,707,11590,중개거래,,
사당휴먼시아,2009,82000,2023,5,5,59.96,8,사당동,1154,11590,중개거래,,
상도두산위브,2010,143500,2023,5,5,118.974,11,상도동,529,11590,중개거래,,
신동아리버파크,2001,97500,2023,5,5,84.88,14,노량진동,325,11590,중개거래,,
이수힐스테이트,2013,141000,2023,5,5,84.9817,8,동작동,333,11590,중개거래,,
중앙하이츠빌,2003,94500,2023,5,5,84.9883,7,상도동,415,11590,중개거래,,
포스코더샵,2007,90000,2023,5,5,59.995,1,상도동,521,11590,중개거래,,
이수힐스테이트,2013,144000,2023,5,6,84.9817,8,동작동,333,11590,중개거래,,
현대(관악),1992,74500,2023,5,6,84.78,9,상도동,407,11590,중개거래,,
보라매파크빌,2002,97000,2023,5,7,84.59,10,신대방동,711,11590,중개거래,,
사당롯데캐슬골든포레,2021,110000,2023,5,7,84.9824,18,사당동,1160,11590,중개거래,,
보라매파크빌,2002,98800,2023,5,8,84.59,2,신대방동,711,11590,중개거래,,
상도역롯데캐슬파크엘,2021,108500,2023,5,8,59.9818,3,상도동,904,11590,중개거래,,
한강쌍용,1999,115000,2023,5,8,84.54,8,본동,150,11590,중개거래,,
