단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
공덕2삼성래미안,2004,58300,2011,4,1,84.94,16,공덕동,43,11440,,,
도화동현대,1996,59200,2011,4,1,128.26,8,도화동,357,11440,,,
마포현대,1988,30000,2011,4,1,54.81,7,공덕동,188-108,11440,,,
삼우캐슬,2008,33500,2011,4,1,84.24,5,성산동,646-2,11440,,,
상암월드컵파크12단지,2010,44081,2011,4,1,84.89,6,상암동,1743,11440,,,
상암월드컵파크2단지,2003,48000,2011,4,1,59.92,9,상암동,1637,11440,,,
상암월드컵파크7단지,2005,63700,2011,4,1,84.74,4,상암동,1660,11440,,,
서강예가,2007,49000,2011,4,1,59.983,8,창전동,444,11440,,,
성산월드타운대림,2004,49000,2011,4,1,84.549,9,성산동,601,11440,,,
신촌삼익,1997,48000,2011,4,1,84.85,21,신수동,450,11440,,,
현대,1996,43800,2011,4,1,84.47,4,신수동,445-5,11440,,,
도화동현대,1996,38000,2011,4,2,68.22,5,도화동,357,11440,,,
동양엔파트,2007,56000,2011,4,2,84.91,12,대흥동,803,11440,,,
상암월드컵파크2단지,2003,39500,2011,4,2,49.8,17,상암동,1637,11440,,,
울트라월드컵(참누리),2006,40100,2011,4,2,84.9406,3,중동,398,11440,,,
한강2차대주피오레,2003,57000,2011,4,2,84.97,10,망원동,499,11440,,,
마포자이,2003,74000,2011,4,4,84.692,18,염리동,521,11440,,,
마포중동현대,2001,31500,2011,4,4,59.88,17,중동,392,11440,,,
서강예가,2007,50850,2011,4,4,59.983,12,창전동,444,11440,,,
신촌태영데시앙,2003,51700,2011,4,4,84.97,22,창전동,439,11440,,,
신촌태영데시앙,2003,51000,2011,4,4,84.97,3,창전동,439,11440,,,
신촌태영데시앙,2003,59000,2011,4,4,84.97,11,창전동,439,11440,,,
공덕2삼성래미안,2004,58000,2011,4,5,84.94,10,공덕동,43,11440,,,
코오롱,2003,55000,2011,4,5,102.158,4,연남동,573,11440,,,
건영월드컵,2002,31400,2011,4,6,58.76,11,중동,393,11440,,,
대우미래사랑,2005,32200,2011,4,6,68.03,7,서교동,487,11440,,,
마포용강삼성래미안,2003,45200,2011,4,6,59.99,5,용강동,380,11440,,,
하나테크노빌,2002,17500,2011,4,6,31.83,12,신수동,22-35,11440,,,
한강로얄스위트,2005,41000,2011,4,6,118.04,5,망원동,417-2,11440,,,
휴먼빌,2004,34800,2011,4,6,59.955,9,망원동,509,11440,,,
상수두산위브,2004,55000,2011,4,7,84.79,15,상수동,396,11440,,,
성산시영(유원),1986,43000,2011,4,7,59.43,5,성산동,446,11440,,,
성산시영(유원),1986,46250,2011,4,7,59.43,12,성산동,446,11440,,,
울트라월드컵(참누리),2006,51800,2011,4,7,84.9572,18,중동,398,11440,,,
월드컵아이파크(667),2009,35300,2011,4,7,59.73,4,성산동,667,11440,,,
마포중동현대,2001,39000,2011,4,8,84.9,15,중동,392,11440,,,
신촌포스빌,2004,23500,2011,4,8,32.34,9,노고산동,1-3,11440,,,
현대홈타운,2000,43800,2011,4,8,84.95,5,도화동,353,11440,,,
공덕1삼성래미안,1999,62000,2011,4,9,84.94,19,공덕동,371,11440,,,
세원,1996,29500,2011,4,9,74.46,8,성산동,142-9,11440,,,
신부파스카4차,2004,41200,2011,4,9,84.62,7,망원동,507,11440,,,
우성,1991,73500,2011,4,9,141.515,9,도화동,82,11440,,,
성산힐아파트,2011,21000,2011,4,10,55.81,4,성산동,81-106,11440,,,
하나테크노빌,2002,18300,2011,4,10,31.83,14,신수동,22-35,11440,,,
한화꿈에그린,2004,57100,2011,4,10,84.939,9,공덕동,460,11440,,,
현대하이츠아파트,2007,31500,2011,4,10,84.7,4,성산동,254-8,11440,,,
대림2차,2004,60000,2011,4,11,84.7,6,용강동,501,11440,,,
마포용강삼성래미안,2003,84800,2011,4,11,114.03,9,용강동,380,11440,,,
성산시영(유원),1986,44800,2011,4,11,59.43,14,성산동,446,11440,,,
신촌포스빌,2004,23500,2011,4,11,32.34,8,노고산동,1-3,11440,,,
월드컵아이파크(667),2009,37500,2011,4,11,59.73,14,성산동,667,11440,,,
하나테크노빌,2002,14000,2011,4,11,31.25,8,신수동,22-35,11440,,,
현대,2000,30300,2011,4,11,59.54,14,중동,40-12,11440,,,
강변힐스테이트,2004,45500,2011,4,12,59.54,19,현석동,222,11440,,,
공덕3삼성래미안,2004,54000,2011,4,12,59.97,11,공덕동,457,11440,,,
신공덕래미안2차,2000,36000,2011,4,12,59.48,19,신공덕동,159,11440,,,
마포동원베네스트,2010,40000,2011,4,13,58.65,11,도화동,564,11440,,,
서강예가,2007,60500,2011,4,13,84.74,10,창전동,444,11440,,,
