단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
독립문극동(200-0),1998,47750,2008,5,1,84.87,3,현저동,200,11410,,,
부림,2000,30750,2008,5,1,102.21,3,홍은동,395-1,11410,,,
북가좌삼호,1996,39500,2008,5,1,84.57,6,북가좌동,449,11410,,,
서강2차(2동),1989,42700,2008,5,1,135.09,1,홍은동,186-25,11410,,,
신일해피트리,2005,40950,2008,5,1,84.98,13,북가좌동,455,11410,,,
월드컵현대,1998,30600,2008,5,1,59.76,14,북가좌동,371-1,11410,,,
월드컵현대,1998,34700,2008,5,1,84.93,2,북가좌동,371-1,11410,,,
진흥,2002,32500,2008,5,1,78.02,5,홍은동,459,11410,,,
파크카운티,2003,19000,2008,5,1,84.9,2,연희동,1-78,11410,,,
풍림1차,1988,25700,2008,5,1,64.53,10,홍은동,440-3,11410,,,
홍제삼성래미안,2001,28000,2008,5,1,60,4,홍제동,461,11410,,,
나눔스타빌,2003,29000,2008,5,2,84.99,6,홍은동,265-293,11410,,,
청구1차,1994,38200,2008,5,2,84.78,3,홍제동,453,11410,,,
풍림2,1990,24000,2008,5,2,58.5,13,홍은동,453-2,11410,,,
홍연,1981,20000,2008,5,2,52.23,2,연희동,708-4,11410,,,
홍제한양,1993,30500,2008,5,2,60.06,6,홍제동,82,11410,,,
홍제한양,1993,30000,2008,5,2,60.06,10,홍제동,82,11410,,,
DMC현대아파트,2000,33000,2008,5,3,83.7,9,북가좌동,453,11410,,,
광산,1973,13700,2008,5,3,53.52,2,홍제동,157-68,11410,,,
대우푸르지오,2002,48100,2008,5,3,84.706,18,연희동,739,11410,,,
독립문극동(200-0),1998,35100,2008,5,3,59.58,7,현저동,200,11410,,,
독립문삼호,1995,45500,2008,5,3,84.78,6,영천동,100,11410,,,
독립문삼호,1995,46000,2008,5,3,84.78,11,영천동,100,11410,,,
독립문파크빌,2000,25500,2008,5,3,59.4,13,현저동,1019,11410,,,
두산,1999,25700,2008,5,3,59.96,4,북아현동,1009,11410,,,
래미안남가좌2차,2005,50000,2008,5,3,84.806,3,남가좌동,379,11410,,,
성원,2001,49000,2008,5,3,84.95,16,연희동,740,11410,,,
월드컵현대,1998,26500,2008,5,3,59.76,1,북가좌동,371-1,11410,,,
월드컵현대,1998,30100,2008,5,3,59.76,9,북가좌동,371-1,11410,,,
청구3차,2001,25000,2008,5,3,59.4,2,홍제동,462,11410,,,
태영으뜸(데시앙),1998,27000,2008,5,3,67.3,7,홍제동,373,11410,,,
홍은동풍림아이원,2002,54500,2008,5,3,116.101,8,홍은동,460,11410,,,
홍제원현대(459-0),2000,69000,2008,5,3,114.72,3,홍제동,459,11410,,,
힐탑,2003,25000,2008,5,3,84.3,4,홍제동,346-7,11410,,,
남가좌동현대,1999,28900,2008,5,4,59.4,8,남가좌동,376,11410,,,
홍제원현대(459-0),2000,32000,2008,5,4,59.93,16,홍제동,459,11410,,,
홍제원현대(459-0),2000,30500,2008,5,4,59.93,17,홍제동,459,11410,,,
홍제한양,1993,48000,2008,5,4,84.77,5,홍제동,82,11410,,,
DMC서부인터빌,2008,39359,2008,5,5,84.66,9,북가좌동,467,11410,,,
극동,1995,33000,2008,5,5,84.92,10,홍은동,454,11410,,,
독립문극동(200-0),1998,48000,2008,5,5,84.87,3,현저동,200,11410,,,
독립문삼호,1995,58000,2008,5,5,108.63,12,영천동,100,11410,,,
독립문삼호,1995,38000,2008,5,5,75.66,18,영천동,100,11410,,,
파크카운티,2003,21750,2008,5,5,84.9,1,연희동,1-78,11410,,,
남양,1999,31500,2008,5,6,84.71,2,홍제동,457,11410,,,
독립문극동(200-0),1998,37300,2008,5,6,59.58,11,현저동,200,11410,,,
동부센트레빌,2002,47000,2008,5,6,84.93,3,냉천동,260,11410,,,
