단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대림서초리시온,2003,26900,2010,10,1,49.92,3,서초동,1671-5,11650,,,
서리풀e편한세상,2010,148000,2010,10,1,124.79,4,방배동,906-13,11650,,,
서초대우아이빌,2003,19500,2010,10,1,33.492,12,서초동,1675-11,11650,,,
동아,2002,79500,2010,10,2,84.91,4,잠원동,157,11650,,,
래미안방배아트힐(1008-2),2004,137000,2010,10,2,163.31,9,방배동,1008-2,11650,,,
삼풍아파트,1988,80000,2010,10,2,79.47,4,서초동,1685,11650,,,
삼환나띠르빌(1002-8),2003,54700,2010,10,2,84.98,9,방배동,1002-8,11650,,,
신동아,1981,79000,2010,10,2,105.86,12,방배동,988-1,11650,,,
신반포10,1981,51600,2010,10,2,54.11,3,잠원동,58-16,11650,,,
신반포2,1978,123000,2010,10,2,107.31,4,잠원동,73,11650,,,
우성,1991,60500,2010,10,2,84.88,10,양재동,154-2,11650,,,
현대멤피스,2001,95500,2010,10,2,133.31,9,방배동,772-13,11650,,,
롯데캐슬갤럭시,2002,114000,2010,10,3,106.15,12,잠원동,50,11650,,,
롯데캐슬클래식,2006,125000,2010,10,3,120.18,23,서초동,1312-3,11650,,,
미주파스텔,2002,52000,2010,10,4,59.57,13,잠원동,54,11650,,,
방배1차현대홈타운,1999,52000,2010,10,4,59.94,5,방배동,1344,11650,,,
브라운스톤잠원,2003,80500,2010,10,4,84.94,11,잠원동,67-2,11650,,,
상지리츠빌(4),2004,85500,2010,10,4,138.54,1,서초동,1490-36,11650,,,
상지리츠빌8차,2005,109600,2010,10,4,125.75,1,방배동,1-35,11650,,,
서리풀e편한세상,2010,102000,2010,10,4,84.97,6,방배동,906-13,11650,,,
서초동삼성쉐르빌2,2002,21300,2010,10,4,35.22,5,서초동,1330,11650,,,
서초이오빌,2003,20600,2010,10,4,45.96,24,서초동,1593-7,11650,,,
성진준빌라트,2003,29550,2010,10,4,62.23,2,잠원동,48-5,11650,,,
신동아아파트(1차),1978,65400,2010,10,4,86.61,13,서초동,1333,11650,,,
신반포12,1982,70000,2010,10,4,75.79,2,잠원동,50-5,11650,,,
신반포청구,1998,82500,2010,10,4,84.86,6,잠원동,63-2,11650,,,
신화,1997,48000,2010,10,4,57.33,7,잠원동,54-7,11650,,,
에이아이디차관주택,1974,118000,2010,10,4,72.51,1,반포동,968,11650,,,
우성1,1979,82000,2010,10,4,100.25,11,서초동,1336,11650,,,
우성아파트,1998,54500,2010,10,4,59.93,6,서초동,1326-17,11650,,,
테마하우스,2001,36900,2010,10,4,77.43,9,반포동,95-1,11650,,,
판테옹-2,2003,82000,2010,10,4,119.96,4,방배동,803-3,11650,,,
리첸시아방배,2010,149300,2010,10,5,146.71,6,방배동,755-14,11650,,,
마샹스,2003,49500,2010,10,5,103.22,4,서초동,1466-3,11650,,,
무지개,1978,58000,2010,10,5,76.89,8,서초동,1335,11650,,,
반포미도,1987,68000,2010,10,5,84.96,1,반포동,60-4,11650,,,
산호아파트,2001,37500,2010,10,5,68.54,2,반포동,741-5,11650,,,
삼풍아파트,1988,76500,2010,10,5,79.47,12,서초동,1685,11650,,,
삼풍아파트,1988,80000,2010,10,5,79.47,8,서초동,1685,11650,,,
삼호가든맨션(5차),1986,75200,2010,10,5,98.64,2,반포동,30-1,11650,,,
서리풀e편한세상,2010,98000,2010,10,5,84.97,1,방배동,906-13,11650,,,
서초4현대,2000,49500,2010,10,5,64.26,13,서초동,1684,11650,,,
서초동아타워,1996,85000,2010,10,5,178.58,7,서초동,1321-6,11650,,,
서초두산위브트레지움,2008,115000,2010,10,5,130.3,6,서초동,1310-4,11650,,,
신반포8,1981,52500,2010,10,5,52.74,9,잠원동,60-3,11650,,,
에이아이디차관주택,1974,120000,2010,10,5,72.51,2,반포동,968,11650,,,
에이아이디차관주택,1974,117400,2010,10,5,72.51,2,반포동,968,11650,,,
오로라빌,2004,70000,2010,10,5,140.49,4,서초동,1523-9,11650,,,
월드메르디앙(오페라),2004,98000,2010,10,5,150.476,3,서초동,1450-1,11650,,,
방배3차현대홈타운,2004,74000,2010,10,6,84.982,11,방배동,2233,11650,,,
상지리츠빌(6),2004,106000,2010,10,6,143.78,4,서초동,1491-31,11650,,,
서초아트자이,2009,196376,2010,10,6,165.5725,8,서초동,1583-10,11650,,,
신동아아파트(1차),1978,100700,2010,10,6,132.1,2,서초동,1333,11650,,,
신반포청구,1998,77500,2010,10,6,84.86,4,잠원동,63-2,11650,,,
아크로비스타,2004,141000,2010,10,6,149.17,31,서초동,1685-3,11650,,,
우성,1991,52000,2010,10,6,84.88,1,양재동,154-2,11650,,,
일신반포빌라트,1995,100000,2010,10,6,201.42,5,반포동,48-7,11650,,,
동아,2002,80000,2010,10,7,84.91,10,잠원동,157,11650,,,
동아,2002,80700,2010,10,7,84.91,18,잠원동,157,11650,,,
삼풍아파트,1988,80000,2010,10,7,79.47,6,서초동,1685,11650,,,
아크로비스타,2004,168000,2010,10,7,174.78,25,서초동,1685-3,11650,,,
한신,1992,83000,2010,10,7,84.52,7,잠원동,56-3,11650,,,
한신서래,1987,41300,2010,10,7,45.72,12,반포동,70-1,11650,,,
금호베스트빌,2002,120750,2010,10,8,140.36,2,잠원동,58,11650,,,
대림서초리시온,2003,27300,2010,10,8,49.92,5,서초동,1671-5,11650,,,
리첸시아방배,2010,144400,2010,10,8,150.03,5,방배동,755-14,11650,,,
무지개,1978,57500,2010,10,8,76.89,2,서초동,1335,11650,,,
무지개,1978,97300,2010,10,8,117.11,4,서초동,1335,11650,,,
반포자이,2009,198000,2010,10,8,165.446,3,반포동,20-43,11650,,,
브라운스톤잠원,2003,78900,2010,10,8,84.94,6,잠원동,67-2,11650,,,
삼풍아파트,1988,83000,2010,10,8,79.47,14,서초동,1685,11650,,,
우성,1991,61800,2010,10,8,84.88,9,양재동,154-2,11650,,,
우성3,1980,81900,2010,10,8,100.61,11,서초동,1332,11650,,,
우성3,1980,79200,2010,10,8,100.61,2,서초동,1332,11650,,,
동아,2002,58000,2010,10,9,59.92,12,잠원동,157,11650,,,
래미안서초유니빌,2003,41500,2010,10,9,66.415,4,서초동,1445-4,11650,,,
반포자이,2009,84000,2010,10,9,59.971,8,반포동,20-43,11650,,,
삼풍아파트,1988,150000,2010,10,9,163.81,2,서초동,1685,11650,,,
삼풍아파트,1988,80000,2010,10,9,79.47,9,서초동,1685,11650,,,
서초래미안,2003,84000,2010,10,9,84.95,7,서초동,1682,11650,,,
서초쌍용플래티넘,2006,42000,2010,10,9,68.21,21,서초동,1445-13,11650,,,
신동아아파트(1차),1978,66700,2010,10,9,86.61,12,서초동,1333,11650,,,
신동아아파트(1차),1978,66700,2010,10,9,88.68,4,서초동,1333,11650,,,
우성1,1979,127000,2010,10,9,147.84,1,서초동,1336,11650,,,
우성1,1979,83000,2010,10,9,100.35,3,서초동,1336,11650,,,
한신1차,1977,153000,2010,10,9,73.36,1,반포동,2-1,11650,,,
한양,1979,98000,2010,10,9,103.01,5,잠원동,66,11650,,,
서초한일,1997,40000,2010,10,10,59.96,11,서초동,1636-1,11650,,,
현대슈퍼빌,2003,200000,2010,10,10,223.72,22,서초동,1446-11,11650,,,
녹원한신,1995,76000,2010,10,11,84.75,12,잠원동,60-7,11650,,,
반포미도,1987,73500,2010,10,11,84.96,11,반포동,60-4,11650,,,
방배1차현대홈타운,1999,52500,2010,10,11,59.94,17,방배동,1344,11650,,,
삼풍아파트,1988,135000,2010,10,11,130.23,11,서초동,1685,11650,,,
삼풍아파트,1988,145000,2010,10,11,130.73,14,서초동,1685,11650,,,
삼환나띠르빌(1002-10),2003,55000,2010,10,11,92.93,9,방배동,1002-10,11650,,,
신반포24,1984,127500,2010,10,11,142,1,잠원동,52-1,11650,,,
신반포4,1979,93000,2010,10,11,100.11,3,잠원동,70,11650,,,
아크로비스타,2004,140000,2010,10,11,149.84,14,서초동,1685-3,11650,,,
한양,1982,95000,2010,10,11,106.18,12,반포동,32-5,11650,,,
무지개,1978,98900,2010,10,12,117.33,7,서초동,1335,11650,,,
방배서리풀힐스,2006,54500,2010,10,12,76.984,11,방배동,915-16,11650,,,
방배신삼호,1983,79000,2010,10,12,105.04,10,방배동,725,11650,,,
서초이오빌,2003,20700,2010,10,12,43.2,17,서초동,1593-7,11650,,,
신동아아파트(1차),1978,66600,2010,10,12,86.61,3,서초동,1333,11650,,,
신반포2,1978,96700,2010,10,12,92.2,12,잠원동,73,11650,,,
신화,1997,46800,2010,10,12,57.33,2,잠원동,54-7,11650,,,
우성1,1979,83750,2010,10,12,100.35,12,서초동,1336,11650,,,
한진로즈힐,2005,73500,2010,10,12,97.342,4,방배동,3276,11650,,,
