단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대우,2001,99000,2023,4,1,59.97,24,금호동4가,800,11200,중개거래,,
벽산,1996,82500,2023,4,1,71.33,6,하왕십리동,258,11200,중개거래,,
벽산,2001,88500,2023,4,1,59.9,10,금호동1가,633,11200,중개거래,,
신금호두산위브,2006,105000,2023,4,1,116.79,3,금호동1가,1818,11200,중개거래,,
옥수파크힐스101동~116동,2016,160000,2023,4,1,84.64,8,옥수동,528,11200,중개거래,,
텐즈힐(2단지),2014,128000,2023,4,1,84.92,2,상왕십리동,811,11200,중개거래,,
현대,1998,70000,2023,4,1,59.91,5,마장동,818,11200,중개거래,,
대림(2차),1989,49280,2023,4,3,59.91,3,응봉동,97,11200,직거래,,
대림e-편한세상,2000,98000,2023,4,3,84.87,9,행당동,347,11200,중개거래,,
서울숲삼부아파트,1998,130000,2023,4,3,84.93,9,행당동,147,11200,중개거래,,
이편한세상금호파크힐스,2019,146000,2023,4,3,84.932,5,금호동1가,1823,11200,중개거래,,
래미안 옥수 리버젠,2012,157000,2023,4,4,84.73,5,옥수동,561,11200,중개거래,,
롯데캐슬파크,2003,140000,2023,4,4,81.567,12,성수동2가,835,11200,중개거래,,
롯데캐슬파크,2003,140000,2023,4,4,81.567,12,성수동2가,835,11200,중개거래,,
대림e-편한세상,2000,85500,2023,4,5,59.96,6,행당동,347,11200,중개거래,,
래미안 옥수 리버젠,2012,127500,2023,4,5,59.98,12,옥수동,561,11200,중개거래,,
마장동중앙하이츠,1999,95000,2023,4,5,84.8,17,마장동,819,11200,중개거래,,
세림,1986,73000,2023,4,5,40.86,11,마장동,784,11200,중개거래,,
행당한진타운,2000,116000,2023,4,5,84.71,8,행당동,346,11200,중개거래,,
대림e-편한세상,2000,87000,2023,4,6,59.96,9,행당동,347,11200,중개거래,,
대림e-편한세상,2000,99600,2023,4,6,84.87,2,행당동,347,11200,중개거래,,
쌍용,1997,100000,2023,4,6,59.76,9,성수동1가,706,11200,중개거래,,
삼성쉐르빌,2006,90000,2023,4,7,84.93,5,도선동,69,11200,직거래,,
서울숲더샵,2014,132000,2023,4,7,84.06,25,행당동,377,11200,중개거래,,
신금호파크자이,2016,149000,2023,4,7,84.98,18,금호동2가,1,11200,중개거래,,
옥수삼성,1999,107000,2023,4,7,59.7,11,옥수동,250,11200,중개거래,,
왕십리풍림아이원,2004,85700,2023,4,7,59.936,16,하왕십리동,1061,11200,중개거래,,
왕십리풍림아이원,2004,86000,2023,4,7,59.936,8,하왕십리동,1061,11200,중개거래,,
행당브라운스톤,2005,92000,2023,4,7,84.94,2,행당동,364,11200,중개거래,,
극동미라주,2001,69500,2023,4,8,59.4,12,하왕십리동,1058,11200,중개거래,,
금호1차푸르지오,2005,90500,2023,4,8,59.97,14,금호동3가,917,11200,중개거래,,
금호자이2차,2012,95000,2023,4,8,59.9663,10,금호동3가,700,11200,중개거래,,
대림(1차),1986,149500,2023,4,8,126.66,14,응봉동,100,11200,중개거래,,
래미안하이리버,2012,126000,2023,4,8,84.98,19,금호동2가,1217,11200,중개거래,,
서울숲 한신 더 휴,2003,122000,2023,4,8,114.97,21,행당동,349,11200,중개거래,,
서울숲 한신 더 휴,2003,108700,2023,4,8,84.95,9,행당동,349,11200,중개거래,,
왕십리KCC스위첸,2016,91000,2023,4,8,64.236,7,하왕십리동,1002,11200,중개거래,,
이편한세상금호파크힐스,2019,117000,2023,4,8,59.983,3,금호동1가,1823,11200,중개거래,,
텐즈힐(1단지),2015,147500,2023,4,8,84.88,9,하왕십리동,1066,11200,중개거래,,
트리마제,2017,169500,2023,4,8,35.4442,11,성수동1가,718,11200,중개거래,,
행당한진타운,2000,90000,2023,4,8,59.96,6,행당동,346,11200,중개거래,,
래미안하이리버,2012,120500,2023,4,9,84.99,2,금호동2가,1217,11200,중개거래,,
이편한세상금호파크힐스,2019,122000,2023,4,9,59.983,4,금호동1가,1823,11200,중개거래,,
강변건영아파트,2002,170500,2023,4,11,84.952,10,성수동1가,710,11200,중개거래,,
성수1차대우아파트,1999,67500,2023,4,11,59.49,6,성수동2가,279-50,11200,중개거래,,
텐즈힐(1단지),2015,145700,2023,4,11,84.88,10,하왕십리동,1066,11200,중개거래,,
대림e-편한세상,2000,80000,2023,4,12,59.96,1,행당동,347,11200,중개거래,,
대림e-편한세상,2000,109000,2023,4,12,84.87,10,행당동,347,11200,중개거래,,
대우,2001,102500,2023,4,12,59.97,4,금호동4가,800,11200,중개거래,,
서울숲 한신 더 휴,2003,110000,2023,4,12,84.95,21,행당동,349,11200,중개거래,,
이편한세상금호파크힐스,2019,126000,2023,4,12,59.983,12,금호동1가,1823,11200,중개거래,,
이편한세상금호파크힐스,2019,110000,2023,4,12,59.949,2,금호동1가,1823,11200,중개거래,,
벽산,1996,112000,2023,4,13,114.46,9,하왕십리동,258,11200,중개거래,,
신동아,1995,70000,2023,4,13,59.97,1,행당동,344,11200,중개거래,,
텐즈힐(1단지),2015,219000,2023,4,13,148.94,21,하왕십리동,1066,11200,중개거래,,
금호자이1차,2012,107500,2023,4,14,59.98,4,금호동2가,1215,11200,중개거래,,
센트라스,2016,74000,2023,4,14,40.94,17,하왕십리동,1070,11200,중개거래,,
쌍용,1997,106000,2023,4,14,59.76,15,성수동1가,706,11200,중개거래,,
금호자이1차,2012,107500,2023,4,15,59.98,4,금호동2가,1215,11200,중개거래,,
금호자이2차,2012,99000,2023,4,15,59.9663,11,금호동3가,700,11200,중개거래,,
대림e-편한세상,2000,119000,2023,4,15,114.94,14,행당동,347,11200,중개거래,,
대림e-편한세상,2000,125000,2023,4,15,114.94,3,행당동,347,11200,중개거래,,
대림e-편한세상,2000,100000,2023,4,15,84.87,15,행당동,347,11200,중개거래,,
두산,1994,85500,2023,4,15,59.97,5,금호동3가,1331,11200,중개거래,,
두산,1994,96000,2023,4,15,79.08,15,금호동3가,1331,11200,중개거래,,
두산,1994,90000,2023,4,15,59.97,12,금호동3가,1331,11200,중개거래,,
래미안 옥수 리버젠,2012,135000,2023,4,15,59.25,15,옥수동,561,11200,중개거래,,
서울숲 한신 더 휴,2003,94000,2023,4,15,59.94,19,행당동,349,11200,중개거래,,
서울숲 한신 더 휴,2003,95000,2023,4,15,59.91,5,행당동,349,11200,중개거래,,
신동아,1995,73000,2023,4,15,59.97,5,행당동,344,11200,중개거래,,
신동아,1995,73000,2023,4,15,59.97,5,행당동,344,11200,중개거래,,
옥수삼성,1999,118500,2023,4,15,59.7,14,옥수동,250,11200,중개거래,,
옥수삼성,1999,129000,2023,4,15,84.822,14,옥수동,250,11200,중개거래,,
텐즈힐(2단지),2014,134000,2023,4,15,84.92,4,상왕십리동,811,11200,중개거래,,
서울숲 한신 더 휴,2003,107500,2023,4,16,84.95,8,행당동,349,11200,중개거래,,
센트라스,2016,116500,2023,4,16,59.93,9,하왕십리동,1070,11200,중개거래,,
현대,1990,120000,2023,4,16,71.05,13,옥수동,4,11200,중개거래,,
동아,1983,169000,2023,4,17,97.02,7,성수동1가,656-320,11200,중개거래,,
쌍용,1997,100000,2023,4,17,59.76,15,성수동1가,706,11200,중개거래,,
이편한세상금호파크힐스,2019,145000,2023,4,17,84.932,12,금호동1가,1823,11200,중개거래,,
금호삼성래미안,2001,129000,2023,4,18,84.45,14,금호동1가,1500,11200,중개거래,,
삼성홈타운,2015,15000,2023,4,18,14.45,3,마장동,834,11200,직거래,,
센트라스,2016,78000,2023,4,18,40.94,28,하왕십리동,1070,11200,중개거래,,
이편한세상금호파크힐스,2019,140000,2023,4,18,84.932,4,금호동1가,1823,11200,중개거래,,
래미안 옥수 리버젠,2012,159000,2023,4,19,84.81,7,옥수동,561,11200,중개거래,,
래미안하이리버,2012,109500,2023,4,19,59.99,12,금호동2가,1217,11200,중개거래,,
신동아,1995,74800,2023,4,19,59.97,8,행당동,344,11200,중개거래,,
아크로서울포레스트,2020,675000,2023,4,19,159.603,45,성수동1가,685-700,11200,중개거래,,
옥수삼성,1999,107000,2023,4,19,59.7,6,옥수동,250,11200,중개거래,,
옥수파크힐스101동~116동,2016,137000,2023,4,19,59.91,7,옥수동,528,11200,중개거래,,
신성미소지움,2004,45400,2023,4,20,59.96,3,마장동,822,11200,직거래,,
텐즈힐(2단지),2014,140000,2023,4,20,84.92,7,상왕십리동,811,11200,중개거래,,
동아,1983,180000,2023,4,21,97.02,9,성수동1가,656-320,11200,중개거래,,
벽산,1996,88000,2023,4,21,71.33,9,하왕십리동,258,11200,중개거래,,
대림e-편한세상,2000,120000,2023,4,22,114.94,11,행당동,347,11200,중개거래,,
