단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
대광,1971,17000,2019,5,1,54.31,7,안암동3가,136-1,11290,,,
보문파크뷰자이,2017,65000,2019,5,1,59.81,8,보문동6가,458,11290,,,
이수브라운스톤돈암,2004,53500,2019,5,1,59.99,15,돈암동,636,11290,,,
정릉e-편한세상,2006,49000,2019,5,1,85,11,정릉동,1028,11290,,,
정릉풍림아이원,2005,46000,2019,5,1,84.09,8,정릉동,239,11290,,,
종암에스케이,1999,57000,2019,5,1,84.72,9,종암동,104-1,11290,,,
한진(609-1),1998,37000,2019,5,1,59.58,5,돈암동,609-1,11290,,,
래미안세레니티,2009,55400,2019,5,2,59.92,3,종암동,133,11290,,,
아이파크종암동1차,2004,50400,2019,5,2,59.73,2,종암동,130,11290,,,
청구,1999,31000,2019,5,2,68.54,6,정릉동,1013,11290,,,
코아루센타시아,2010,55800,2019,5,2,113.05,11,동선동1가,121-6,11290,,,
길음뉴타운경남아너스빌,1999,34000,2019,5,3,59.59,18,정릉동,1015,11290,,,
꿈의숲코오롱하늘채,2017,60000,2019,5,3,59.92,9,장위동,319,11290,,,
코오롱,1999,57800,2019,5,3,114.84,1,석관동,405,11290,,,
송산아파트,1998,40000,2019,5,4,58.59,11,동소문동4가,279,11290,,,
정릉성원상떼빌,2000,35700,2019,5,4,59.94,13,정릉동,1019,11290,,,
정릉스카이쌍용아파트,1999,47700,2019,5,4,84.19,12,정릉동,1014,11290,,,
한진(609-1),1998,36200,2019,5,4,59.58,11,돈암동,609-1,11290,,,
래미안세레니티,2009,70000,2019,5,5,84.99,20,종암동,133,11290,,,
길음뉴타운데시앙,1999,50000,2019,5,6,114.76,3,정릉동,1018,11290,,,
아이파크종암동1차,2004,70000,2019,5,6,114.99,16,종암동,130,11290,,,
아이파크종암동1차,2004,66000,2019,5,6,84.98,5,종암동,130,11290,,,
안암동삼성래미안,2005,57500,2019,5,6,84.8681,2,안암동1가,361,11290,,,
중앙하이츠빌2단지,2005,48000,2019,5,6,84.95,14,정릉동,435,11290,,,
코오롱,1999,47000,2019,5,6,84.87,10,석관동,405,11290,,,
한진(609-1),1998,38250,2019,5,6,59.58,20,돈암동,609-1,11290,,,
길음동동부센트레빌(1278-0),2003,60000,2019,5,7,84.844,14,길음동,1278,11290,,,
길음동동부센트레빌(1278-0),2003,53200,2019,5,7,59.998,8,길음동,1278,11290,,,
돈암동해피트리,2013,85000,2019,5,7,126.88,10,돈암동,642,11290,,,
동일하이빌뉴시티,2011,90000,2019,5,7,133.74,28,하월곡동,230,11290,,,
우정에쉐르,2009,44000,2019,5,7,84.92,1,정릉동,1033,11290,,,
정릉힐스테이트,2004,58500,2019,5,7,84.92,3,정릉동,1025,11290,,,
참누리아파트,2006,54500,2019,5,7,84.98,11,장위동,316-5,11290,,,
길음뉴타운데시앙,1999,37400,2019,5,8,59.42,9,정릉동,1018,11290,,,
래미안크리시엘,2004,50400,2019,5,8,59.99,11,종암동,80,11290,,,
월곡두산위브,2003,55000,2019,5,8,84.647,16,하월곡동,222,11290,,,
코업스타클래스,2010,100000,2019,5,9,151.17,31,하월곡동,46-73,11290,,,
한진(609-1),1998,40500,2019,5,9,59.58,14,돈암동,609-1,11290,,,
길음뉴타운1단지(래미안길음1차),2003,75000,2019,5,10,114.98,7,길음동,1279,11290,,,
삼부컨비니언,1998,43500,2019,5,10,59.94,6,길음동,1276,11290,,,
안암,1969,15500,2019,5,10,50.68,5,안암동4가,23-3,11290,,,
정릉스카이쌍용아파트,1999,34550,2019,5,10,59.9,1,정릉동,1014,11290,,,
참누리아파트,2006,51000,2019,5,10,84.98,3,장위동,316-5,11290,,,
한진(609-1),1998,39700,2019,5,10,59.58,17,돈암동,609-1,11290,,,
한진(609-1),1998,39100,2019,5,10,59.58,7,돈암동,609-1,11290,,,
길음뉴타운1단지(래미안길음1차),2003,61000,2019,5,11,59.99,12,길음동,1279,11290,,,
길음뉴타운2단지푸르지오,2005,46000,2019,5,11,59.99,6,길음동,1280,11290,,,
길음뉴타운5단지(래미안),2006,72000,2019,5,11,84.96,5,길음동,1282,11290,,,
길음뉴타운8단지(래미안),2010,63000,2019,5,11,59.99,5,길음동,1284,11290,,,
길음동동부센트레빌(1278-0),2003,51100,2019,5,11,59.998,1,길음동,1278,11290,,,
길음동동부센트레빌(1278-0),2003,57000,2019,5,11,84.844,2,길음동,1278,11290,,,
꿈의숲푸르지오,2010,50000,2019,5,11,59.65,8,하월곡동,228,11290,,,
돈암현대아파트,1991,32800,2019,5,11,41.58,8,돈암동,1,11290,,,
래미안세레니티,2009,58500,2019,5,11,59.97,5,종암동,133,11290,,,
안암동삼성래미안,2005,53000,2019,5,11,59.6983,8,안암동1가,361,11290,,,
정릉e-편한세상,2006,46000,2019,5,11,59.77,19,정릉동,1028,11290,,,
정릉스카이쌍용아파트,1999,39800,2019,5,11,59.9,9,정릉동,1014,11290,,,
정릉힐스테이트3차,2008,51200,2019,5,11,59.98,7,정릉동,1031,11290,,,
종암에스케이,1999,43000,2019,5,11,59.86,12,종암동,104-1,11290,,,
종암에스케이,1999,41500,2019,5,11,59.04,14,종암동,104-1,11290,,,
길음뉴타운4단지(e편한세상),2005,66750,2019,5,12,84.64,19,길음동,1281,11290,,,
삼부컨비니언,1998,41000,2019,5,13,59.94,3,길음동,1276,11290,,,
아이파크종암동1차,2004,65000,2019,5,13,84.98,11,종암동,130,11290,,,
이수브라운스톤돈암,2004,60000,2019,5,13,84.97,5,돈암동,636,11290,,,
길음뉴타운4단지(e편한세상),2005,54500,2019,5,14,59.97,5,길음동,1281,11290,,,
정릉e-편한세상,2006,45500,2019,5,14,59.77,12,정릉동,1028,11290,,,
길음뉴타운2단지푸르지오,2005,47300,2019,5,15,59.77,15,길음동,1280,11290,,,
길음뉴타운8단지(래미안),2010,71000,2019,5,15,59.99,15,길음동,1284,11290,,,
래미안포레카운티,2021,67800,2019,5,15,84.97,17,장위동,322,11290,,,
종암에스케이,1999,62000,2019,5,15,114.75,6,종암동,104-1,11290,,,
종암에스케이,1999,60000,2019,5,15,114.75,8,종암동,104-1,11290,,,
한진(609-1),1998,39600,2019,5,15,59.58,14,돈암동,609-1,11290,,,
길음뉴타운1단지(래미안길음1차),2003,56800,2019,5,16,59.99,9,길음동,1279,11290,,,
길음뉴타운4단지(e편한세상),2005,54500,2019,5,16,59.97,11,길음동,1281,11290,,,
꿈의숲푸르지오,2010,58750,2019,5,16,84.73,10,하월곡동,228,11290,,,
래미안길음센터피스,2019,80000,2019,5,16,59.97,20,길음동,1288,11290,,,
성북힐스테이트(101동),2007,65000,2019,5,16,101.97,3,하월곡동,88-64,11290,,,
정릉힐스테이트3차,2008,49100,2019,5,16,59.98,3,정릉동,1031,11290,,,
길음뉴타운1단지(래미안길음1차),2003,73500,2019,5,17,84.96,16,길음동,1279,11290,,,
길음동동부센트레빌(1278-0),2003,59600,2019,5,17,84.844,9,길음동,1278,11290,,,
돈암현대아파트,1991,44500,2019,5,17,68.76,7,돈암동,1,11290,,,
두산,1998,59900,2019,5,17,84.9,16,석관동,10,11290,,,
래미안월곡,2006,62500,2019,5,17,84.589,7,하월곡동,225,11290,,,
길음뉴타운3단지푸르지오,2005,46000,2019,5,18,59.77,7,길음동,1280-1,11290,,,
길음뉴타운6단지(래미안),2007,70500,2019,5,18,84.049,3,길음동,1283,11290,,,
래미안라센트,2011,81000,2019,5,18,84.99,15,종암동,134,11290,,,
래미안세레니티,2009,60000,2019,5,18,59.97,9,종암동,133,11290,,,
정릉힐스테이트1차,2007,55000,2019,5,18,84.853,10,정릉동,1030,11290,,,
정릉힐스테이트3차,2008,68500,2019,5,18,114.78,9,정릉동,1031,11290,,,
꿈의숲대명루첸아파트,2008,74400,2019,5,20,122.021,16,장위동,317,11290,,,
대우,2001,20000,2019,5,20,43.11,1,정릉동,1021,11290,,,
돈암동삼성,1999,52500,2019,5,20,84.59,16,돈암동,15-1,11290,,,
일신건영휴먼빌아파트,2005,53000,2019,5,20,84.98,6,돈암동,524,11290,,,
정릉e-편한세상,2006,59000,2019,5,20,114.56,4,정릉동,1028,11290,,,
정릉우성아파트 101~105동,2000,28000,2019,5,20,46.65,20,정릉동,1020,11290,,,
현대I-PARK,2003,57500,2019,5,20,59.29,7,보문동3가,2,11290,,,
길음뉴타운1단지(래미안길음1차),2003,58000,2019,5,21,59.99,18,길음동,1279,11290,,,
길음뉴타운4단지(e편한세상),2005,64000,2019,5,21,84.64,3,길음동,1281,11290,,,
길음뉴타운6단지(래미안),2007,73750,2019,5,21,84.049,7,길음동,1283,11290,,,
길음뉴타운8단지(래미안),2010,87000,2019,5,21,114.99,12,길음동,1284,11290,,,
꿈의숲코오롱하늘채,2017,60000,2019,5,21,59.92,19,장위동,319,11290,,,
종암에스케이,1999,54000,2019,5,21,84.72,14,종암동,104-1,11290,,,
돈암동삼성,1999,57000,2019,5,22,114.66,18,돈암동,15-1,11290,,,
돈암현대아파트,1991,42700,2019,5,22,68.76,12,돈암동,1,11290,,,
래미안세레니티,2009,60000,2019,5,22,59.97,13,종암동,133,11290,,,
삼선푸르지오,2008,52000,2019,5,22,59.95,12,삼선동2가,425,11290,,,
월곡두산위브,2003,54800,2019,5,22,84.843,8,하월곡동,222,11290,,,
월곡래미안루나밸리,2007,59000,2019,5,22,59.98,19,하월곡동,226,11290,,,
이수브라운스톤돈암,2004,52500,2019,5,22,59.99,6,돈암동,636,11290,,,
한신,1998,48000,2019,5,22,68.13,12,돈암동,609-1,11290,,,
이수브라운스톤돈암,2004,62300,2019,5,23,84.97,16,돈암동,636,11290,,,
한신,1998,49000,2019,5,23,68.13,11,돈암동,609-1,11290,,,
꿈의숲대명루첸아파트,2008,72000,2019,5,24,122.021,8,장위동,317,11290,,,
롯데캐슬골든힐스,2019,69000,2019,5,24,84.932,20,길음동,1287-1,11290,,,
이수브라운스톤돈암,2004,52500,2019,5,24,59.99,7,돈암동,636,11290,,,
정릉푸른마을동아,2003,36500,2019,5,24,59.4,1,정릉동,210,11290,,,
중앙하이츠빌2단지,2005,45500,2019,5,24,84.95,10,정릉동,435,11290,,,
길음뉴타운9단지(래미안),2010,116500,2019,5,25,134.99,19,길음동,1286,11290,,,
꿈의숲코오롱하늘채,2017,62000,2019,5,25,59.5,24,장위동,319,11290,,,
꿈의숲코오롱하늘채,2017,70000,2019,5,25,84.87,23,장위동,319,11290,,,
"산장아파트가동,나동",1977,22000,2019,5,25,52.89,11,정릉동,780,11290,,,
삼선에스케이뷰,2012,99500,2019,5,25,116.86,7,삼선동3가,116,11290,,,
아남,1994,44600,2019,5,25,84.9,1,보문동6가,36-2,11290,,,
월곡두산위브,2003,47000,2019,5,25,59.855,6,하월곡동,222,11290,,,
이수브라운스톤돈암,2004,54000,2019,5,25,59.99,13,돈암동,636,11290,,,
이수브라운스톤돈암,2004,50300,2019,5,25,59.99,13,돈암동,636,11290,,,
한신플러스C,2004,57000,2019,5,25,59.91,6,동소문동7가,23,11290,,,
한진(609-1),1998,68000,2019,5,25,113.67,19,돈암동,609-1,11290,,,
극동,2000,37100,2019,5,27,59.67,18,종암동,128,11290,,,
길음뉴타운2단지푸르지오,2005,62000,2019,5,28,84.97,6,길음동,1280,11290,,,
대우,2001,25100,2019,5,28,43.11,12,정릉동,1021,11290,,,
돈암동 풍림아파트 101~105동,1999,36500,2019,5,28,59.64,4,돈암동,632,11290,,,
래미안크리시엘,2004,59000,2019,5,28,84.95,17,종암동,80,11290,,,
정릉우성아파트 101~105동,2000,46000,2019,5,28,84.99,13,정릉동,1020,11290,,,
길음뉴타운4단지(e편한세상),2005,55800,2019,5,29,59.97,7,길음동,1281,11290,,,
길음뉴타운6단지(래미안),2007,63000,2019,5,29,59.373,2,길음동,1283,11290,,,
동일하이빌뉴시티,2011,123000,2019,5,29,188.22,25,하월곡동,230,11290,,,
종암에스케이,1999,58800,2019,5,29,114.75,3,종암동,104-1,11290,,,
종암에스케이,1999,42000,2019,5,29,59.04,11,종암동,104-1,11290,,,
