단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
우성,1986,70500,2023,1,2,43.79,4,가락동,96-1,11710,중개거래,,
주공아파트 5단지,1978,217500,2023,1,3,82.61,1,잠실동,27,11710,중개거래,,
파크리오,2008,172000,2023,1,3,84.79,22,신천동,17,11710,중개거래,,
헬리오시티,2018,95000,2023,1,3,39.12,17,가락동,913,11710,중개거래,,
헬리오시티,2018,153000,2023,1,4,84.99,1,가락동,913,11710,중개거래,,
헬리오시티,2018,141000,2023,1,4,59.96,15,가락동,913,11710,중개거래,,
e편한세상송파파크센트럴,2021,109000,2023,1,5,59.93,9,거여동,696,11710,중개거래,,
우성,1986,75500,2023,1,5,43.79,8,가락동,96-1,11710,중개거래,,
주공아파트 5단지,1978,227600,2023,1,5,82.61,14,잠실동,27,11710,중개거래,,
주공아파트 5단지,1978,198350,2023,1,5,76.5,2,잠실동,27,11710,중개거래,,
파크리오,2008,165000,2023,1,5,84.9,30,신천동,17,11710,중개거래,,
헬리오시티,2018,163000,2023,1,5,84.99,2,가락동,913,11710,중개거래,,
가락금호아파트,1997,106500,2023,1,6,85,9,가락동,95-1,11710,중개거래,,
문정래미안,2004,177000,2023,1,6,150.58,11,문정동,1,11710,중개거래,,
우성아파트,1981,170000,2023,1,6,96.65,5,잠실동,101-1,11710,중개거래,,
현대(2-4차),1984,129000,2023,1,6,130.93,11,오금동,43,11710,중개거래,,
가락(1차)쌍용아파트,1997,92000,2023,1,7,59.92,12,가락동,140,11710,중개거래,,
문정대우푸르지오2차,2001,79300,2023,1,7,59.3,8,문정동,19,11710,중개거래,,
헬리오시티,2018,92000,2023,1,7,39.1,19,가락동,913,11710,중개거래,,
헬리오시티,2018,93000,2023,1,7,39.1,16,가락동,913,11710,중개거래,,
위례24단지(꿈에그린),2013,84000,2023,1,8,51.77,6,장지동,901,11710,중개거래,,
헬리오시티,2018,146000,2023,1,8,59.96,5,가락동,913,11710,중개거래,,
송파더센트레,2013,76500,2023,1,9,51.77,9,장지동,879,11710,중개거래,,
잠실올림픽공원아이파크,2019,147000,2023,1,9,75.91,31,풍납동,514,11710,중개거래,,
파크리오,2008,170000,2023,1,9,84.9,9,신천동,17,11710,중개거래,,
올림픽선수기자촌3단지,1988,185000,2023,1,10,100.31,2,방이동,89,11710,중개거래,,
잠실엘스,2008,150000,2023,1,10,59.96,12,잠실동,19,11710,중개거래,,
트리지움,2007,247000,2023,1,10,114.7,7,잠실동,35,11710,중개거래,,
올림픽훼밀리타운,1988,171000,2023,1,11,117.585,15,문정동,150,11710,중개거래,,
트리지움,2007,177000,2023,1,11,84.97,13,잠실동,35,11710,중개거래,,
파크리오,2008,149000,2023,1,11,59.86,13,신천동,17,11710,중개거래,,
파크리오,2008,250000,2023,1,11,121.63,23,신천동,17,11710,중개거래,,
파크하비오,2016,125000,2023,1,11,84.9342,12,문정동,618,11710,중개거래,,
헬리오시티,2018,144000,2023,1,11,59.96,18,가락동,913,11710,중개거래,,
e편한세상송파파크센트럴,2021,145000,2023,1,12,113.18,25,거여동,696,11710,중개거래,,
레이크팰리스,2006,175000,2023,1,12,84.82,20,잠실동,44,11710,중개거래,,
레이크팰리스,2006,175300,2023,1,12,84.82,12,잠실동,44,11710,중개거래,,
리센츠,2008,199000,2023,1,12,84.99,4,잠실동,22,11710,중개거래,,
헬리오시티,2018,170000,2023,1,12,84.98,12,가락동,913,11710,중개거래,,
헬리오시티,2018,178000,2023,1,12,84.99,7,가락동,913,11710,중개거래,,
거여5단지,1997,76000,2023,1,13,59.74,14,거여동,294,11710,중개거래,,
송파더센트레,2013,90000,2023,1,13,59.96,6,장지동,879,11710,중개거래,,
주공아파트 5단지,1978,238600,2023,1,13,82.61,11,잠실동,27,11710,중개거래,,
파크리오,2008,85000,2023,1,13,35.24,7,신천동,17,11710,중개거래,,
헬리오시티,2018,180000,2023,1,13,84.99,23,가락동,913,11710,중개거래,,
가락금호아파트,1997,112500,2023,1,14,85,7,가락동,95-1,11710,중개거래,,
가락스타클래스,2007,103000,2023,1,14,115.94,17,가락동,8,11710,중개거래,,
가락쌍용(2차),1999,88000,2023,1,14,59.88,23,가락동,21-6,11710,중개거래,,
송파더센트레,2013,75800,2023,1,14,51.77,5,장지동,879,11710,중개거래,,
주공아파트 5단지,1978,238600,2023,1,14,82.61,12,잠실동,27,11710,중개거래,,
주공아파트 5단지,1978,232300,2023,1,14,82.51,14,잠실동,27,11710,중개거래,,
주공아파트 5단지,1978,247600,2023,1,14,82.61,9,잠실동,27,11710,중개거래,,
주공아파트 5단지,1978,244600,2023,1,14,82.51,11,잠실동,27,11710,중개거래,,
트리지움,2007,285000,2023,1,14,149.45,6,잠실동,35,11710,중개거래,,
헬리오시티,2018,175000,2023,1,14,84.98,7,가락동,913,11710,중개거래,,
헬리오시티,2018,180000,2023,1,14,84.98,19,가락동,913,11710,중개거래,,
헬리오시티,2018,180000,2023,1,14,84.98,13,가락동,913,11710,중개거래,,
헬리오시티,2018,171500,2023,1,14,84.99,10,가락동,913,11710,중개거래,,
헬리오시티,2018,158000,2023,1,14,84.96,2,가락동,913,11710,중개거래,,
현대(2-4차),1984,182000,2023,1,14,170.32,3,오금동,43,11710,중개거래,,
송파더센트레,2013,80000,2023,1,15,51.77,15,장지동,879,11710,중개거래,,
위례24단지(꿈에그린),2013,85000,2023,1,15,51.77,8,장지동,901,11710,중개거래,,
래미안송파파인탑,2012,144000,2023,1,16,87.01,14,송파동,243,11710,중개거래,,
리센츠,2008,203300,2023,1,16,84.99,20,잠실동,22,11710,중개거래,,
위례24단지(꿈에그린),2013,83000,2023,1,16,51.77,4,장지동,901,11710,중개거래,,
트리지움,2007,179000,2023,1,16,84.97,8,잠실동,35,11710,중개거래,,
트리지움,2007,231000,2023,1,16,114.7,6,잠실동,35,11710,중개거래,,
헬리오시티,2018,148000,2023,1,16,59.96,5,가락동,913,11710,중개거래,,
헬리오시티,2018,148000,2023,1,16,59.96,5,가락동,913,11710,중개거래,,
헬리오시티,2018,143500,2023,1,16,59.96,14,가락동,913,11710,중개거래,,
올림픽훼밀리타운,1988,152000,2023,1,17,84.751,1,문정동,150,11710,중개거래,,
우성,1986,79500,2023,1,17,43.79,10,가락동,96-1,11710,중개거래,,
위례신도시송파푸르지오,2015,141000,2023,1,17,108.5918,4,장지동,878,11710,직거래,,
현대(2-4차),1984,145000,2023,1,17,84.98,6,오금동,43,11710,중개거래,,
레이크팰리스,2006,176000,2023,1,18,84.82,25,잠실동,44,11710,중개거래,,
리센츠,2008,287000,2023,1,18,124.22,25,잠실동,22,11710,중개거래,,
송파더센트레,2013,95500,2023,1,18,59.96,21,장지동,879,11710,중개거래,,
위례24단지(꿈에그린),2013,81500,2023,1,18,51.77,3,장지동,901,11710,중개거래,,
위례24단지(꿈에그린),2013,86000,2023,1,18,51.82,6,장지동,901,11710,중개거래,,
잠실엘스,2008,154000,2023,1,18,59.96,10,잠실동,19,11710,중개거래,,
잠실엘스,2008,205000,2023,1,18,84.97,24,잠실동,19,11710,중개거래,,
헬리오시티,2018,92000,2023,1,18,39.1,5,가락동,913,11710,중개거래,,
건영1,1996,112500,2023,1,19,84.39,10,문정동,72-3,11710,중개거래,,
송파파인타운3단지,2008,104000,2023,1,19,84.98,6,장지동,849,11710,중개거래,,
송파파크데일1단지,2011,72000,2023,1,19,59.91,8,마천동,582,11710,중개거래,,
아시아선수촌아파트,1986,330000,2023,1,19,134.485,7,잠실동,86,11710,중개거래,,
트리지움,2007,182500,2023,1,19,84.83,4,잠실동,35,11710,중개거래,,
파크리오,2008,180000,2023,1,19,84.79,30,신천동,17,11710,중개거래,,
