단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
양천벽산블루밍1단지,2006,24900,2014,8,1,59.99,1,신월동,1026,11470,,,
현대,1996,59000,2014,8,1,83.16,7,목동,930,11470,,,
목동신시가지11,1988,30700,2014,8,2,51.48,15,신정동,325,11470,,,
예지보금자리74차,2014,19800,2014,8,2,47.15,5,신월동,480-4,11470,,,
목동신시가지9,1987,60000,2014,8,3,71.37,13,신정동,312,11470,,,
목동신시가지14,1987,54800,2014,8,4,71.37,11,신정동,329,11470,,,
목동신시가지14,1987,75000,2014,8,4,108.28,7,신정동,329,11470,,,
목동신시가지3,1986,87000,2014,8,4,95.74,3,목동,903,11470,,,
목동이-편한세상,2006,63500,2014,8,4,84.93,11,목동,950,11470,,,
신월시영,1988,23000,2014,8,4,59.49,11,신월동,987-1,11470,,,
제일캐슬,2003,23000,2014,8,4,59.99,6,신월동,494-8,11470,,,
목동신시가지10,1987,76000,2014,8,5,105.58,3,신정동,311,11470,,,
목동신시가지13,1987,76000,2014,8,5,98.63,7,신정동,327,11470,,,
목동신시가지3,1986,52300,2014,8,5,64.98,15,목동,903,11470,,,
신월대림,2001,23500,2014,8,5,59.73,4,신월동,491-1,11470,,,
신월시영,1988,16000,2014,8,5,43.2,12,신월동,987-1,11470,,,
학마을1단지,2000,19400,2014,8,5,49.99,7,신정동,1293,11470,,,
목동동화옥시죤-7,2005,30500,2014,8,6,84.82,4,목동,747-12,11470,,,
목동신시가지8,1987,40300,2014,8,6,54.94,15,신정동,314,11470,,,
삼동2,1996,24000,2014,8,6,77.76,3,신월동,562-4,11470,,,
세양청마루,2006,41200,2014,8,6,84.98,3,신정동,1306,11470,,,
신월시영,1988,25500,2014,8,6,59.49,9,신월동,987-1,11470,,,
신트리1,1999,24500,2014,8,6,49.95,7,신정동,1259,11470,,,
이펜하우스4단지,2011,31800,2014,8,6,59.93,7,신정동,1317,11470,,,
학마을1단지,2000,18900,2014,8,6,49.99,9,신정동,1293,11470,,,
현대,1996,55000,2014,8,6,83.16,11,목동,930,11470,,,
롯데캐슬,2004,57300,2014,8,7,84.73,6,신정동,1309,11470,,,
목동금호베스트빌,2002,34500,2014,8,7,58.86,8,목동,549,11470,,,
목동길성그랑프리텔,2003,27000,2014,8,7,65.3727,9,목동,739-5,11470,,,
목동신시가지12,1988,52500,2014,8,7,71.64,7,신정동,326,11470,,,
목동신시가지12,1988,50200,2014,8,7,71.64,14,신정동,326,11470,,,
목동신시가지14,1987,53000,2014,8,7,71.4,6,신정동,329,11470,,,
목동신시가지5,1986,84700,2014,8,7,95.22,4,목동,912,11470,,,
목동신시가지7,1986,58000,2014,8,7,66.6,1,목동,925,11470,,,
목동우성2,2000,34000,2014,8,7,84.96,13,신정동,337,11470,,,
목동청구한신아파트,1997,57000,2014,8,7,84.77,5,목동,929,11470,,,
방주아크빌,2002,22000,2014,8,7,76.57,1,신월동,426-3,11470,,,
보람,1996,16500,2014,8,7,55.5,7,신월동,457-15,11470,,,
신월성원,1996,17000,2014,8,7,59.94,15,신월동,222-7,11470,,,
신월시영,1988,20000,2014,8,7,50.67,2,신월동,987-1,11470,,,
