단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
e편한세상영등포아델포레,2020,107000,2025,3,1,59.968,14,대림동,1127,11560,중개거래,개인,개인
경남아너스빌,1998,89000,2025,3,1,59.9,2,영등포동7가,46-1,11560,중개거래,개인,개인
"광장(1,2동)",1978,270000,2025,3,1,138.81,11,여의도동,38-1,11560,중개거래,개인,개인
남서울,1974,84000,2025,3,1,48.3,5,신길동,3002,11560,중개거래,개인,개인
당산현대3차,1988,121000,2025,3,1,84.5,12,당산동4가,88,11560,중개거래,개인,개인
당산현대5차,2000,128000,2025,3,1,84.69,2,당산동4가,30-1,11560,중개거래,개인,개인
당산현대5차,2000,147000,2025,3,1,114.84,13,당산동4가,30-1,11560,중개거래,개인,개인
대원,1998,88000,2025,3,1,84.63,14,문래동6가,47-1,11560,중개거래,개인,개인
더샵파크프레스티지,2022,109000,2025,3,1,59.8635,13,신길동,4974,11560,중개거래,개인,개인
동훈노보빌,2007,83000,2025,3,1,84.82,4,신길동,499,11560,중개거래,개인,개인
삼환,1999,105000,2025,3,1,84.87,2,영등포동8가,76-1,11560,중개거래,개인,개인
성원(650),1995,62200,2025,3,1,59.63,22,대림동,650,11560,중개거래,개인,개인
아크로타워스퀘어,2017,183000,2025,3,1,84.75,30,영등포동7가,203,11560,중개거래,개인,개인
양평벽산블루밍,1990,69000,2025,3,1,59.58,3,양평동2가,23,11560,중개거래,개인,개인
양평벽산블루밍,1990,71500,2025,3,1,59.58,11,양평동2가,23,11560,중개거래,개인,개인
양평한신,1996,89500,2025,3,1,59.94,16,양평동5가,76,11560,중개거래,개인,개인
영등포중흥에스클래스,2021,124500,2025,3,1,84.95,4,양평동1가,271,11560,중개거래,개인,개인
우성2,1986,95000,2025,3,1,64.4,4,신길동,4518,11560,중개거래,개인,개인
코오롱,1998,83000,2025,3,1,59.94,25,대림동,607-1,11560,중개거래,개인,개인
포레나 신길,2008,120000,2025,3,1,101.9112,2,신길동,4937,11560,중개거래,개인,개인
현대1차,1986,79400,2025,3,1,79.52,12,문래동6가,46,11560,중개거래,개인,개인
현대3차,1997,86500,2025,3,1,59.83,19,대림동,608-1,11560,중개거래,개인,개인
현대3차,1991,88000,2025,3,1,71.5,5,양평동3가,79,11560,중개거래,개인,개인
힐스테이트클래시안,2020,130000,2025,3,1,59.87,21,신길동,4969,11560,중개거래,개인,개인
힐스테이트클래시안,2020,130000,2025,3,1,59.87,21,신길동,4969,11560,중개거래,개인,개인
당산계룡리슈빌3단지,2014,79500,2025,3,2,49.993,8,당산동3가,565,11560,중개거래,개인,개인
당산삼성2차,1997,96000,2025,3,2,59.76,22,당산동4가,94-1,11560,중개거래,개인,개인
래미안에스티움,2017,159000,2025,3,2,84.97,21,신길동,4950,11560,중개거래,개인,개인
진로,1997,115000,2025,3,2,84.87,11,당산동1가,16-1,11560,중개거래,개인,개인
한강아파트,1999,87000,2025,3,2,59.4,19,당산동4가,29,11560,중개거래,개인,개인
현대3차,1997,89500,2025,3,2,84.89,19,대림동,608-1,11560,중개거래,개인,법인
당산삼성래미안4차,2003,178000,2025,3,3,97.27,9,당산동5가,42,11560,중개거래,개인,개인
당산현대5차,2000,114500,2025,3,3,59.85,25,당산동4가,30-1,11560,중개거래,개인,개인
동부센트레빌,2003,135000,2025,3,3,94.75,4,당산동3가,561,11560,중개거래,개인,개인
래미안에스티움,2017,160000,2025,3,3,84.97,14,신길동,4950,11560,중개거래,개인,개인
보라매에스케이뷰,2020,144000,2025,3,3,84.98,8,신길동,4958,11560,중개거래,개인,개인
보라매에스케이뷰,2020,157800,2025,3,3,84.98,14,신길동,4958,11560,중개거래,개인,개인
보라매정은벚꽃마을,2014,63000,2025,3,3,63.4,7,신길동,4944,11560,중개거래,개인,개인
브라운스톤영등포,2004,87500,2025,3,3,84.9,6,영등포동7가,202,11560,중개거래,개인,개인
삼성래미안,2001,80300,2025,3,3,59.33,8,신길동,4934,11560,중개거래,개인,개인
삼익플라주101동,2009,69000,2025,3,3,59.92,10,양평동3가,104,11560,중개거래,개인,개인
신길자이,2011,86500,2025,3,3,59.99,12,신길동,4938,11560,중개거래,개인,개인
신길파크자이,2022,149000,2025,3,3,84.99,7,신길동,4967,11560,중개거래,개인,개인
신길파크자이,2022,148000,2025,3,3,84.99,9,신길동,4967,11560,중개거래,개인,개인
신동아파밀리에,2008,90000,2025,3,3,59.4,12,당산동1가,457,11560,중개거래,개인,개인
아크로타워스퀘어,2017,209000,2025,3,3,115.58,19,영등포동7가,203,11560,중개거래,개인,개인
아크로타워스퀘어,2017,171500,2025,3,3,84.69,32,영등포동7가,203,11560,중개거래,개인,개인
양평한신,1996,86500,2025,3,3,59.94,3,양평동5가,76,11560,중개거래,개인,개인
양평한신,1996,89000,2025,3,3,59.94,14,양평동5가,76,11560,중개거래,개인,개인
양평한신,1996,106500,2025,3,3,84.87,4,양평동5가,76,11560,중개거래,개인,개인
양평한신,1996,86500,2025,3,3,59.94,3,양평동5가,76,11560,중개거래,개인,개인
영등포푸르지오,2002,113000,2025,3,3,73.133,10,영등포동,647,11560,중개거래,개인,개인
영등포푸르지오,2002,122000,2025,3,3,79.777,12,영등포동,647,11560,중개거래,개인,개인
영등포푸르지오,2002,117000,2025,3,3,79.777,15,영등포동,647,11560,중개거래,개인,개인
우성2,1986,97000,2025,3,3,64.4,3,신길동,4518,11560,중개거래,개인,개인
