단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
센트럴파크,2020,264000,2024,1,2,102.8617,10,한강로3가,98,11170,중개거래,개인,개인
한가람,1998,156000,2024,1,3,59.88,8,이촌동,404,11170,중개거래,개인,개인
용산e편한세상,2011,170000,2024,1,4,84.89,2,신계동,48,11170,중개거래,개인,개인
미주B,1976,145000,2024,1,5,149.09,4,이촌동,302-48,11170,중개거래,개인,개인
LG한강자이,2003,345000,2024,1,6,169.44,3,이촌동,430,11170,중개거래,개인,개인
강변삼성스위트,1999,110000,2024,1,6,59.94,21,원효로4가,178,11170,중개거래,개인,개인
동부센트레빌,2001,183500,2024,1,6,100.8,9,이촌동,418,11170,중개거래,개인,개인
용산롯데캐슬센터포레,2019,136000,2024,1,6,59.9525,4,효창동,287,11170,중개거래,개인,개인
한남하우스,1970,40500,2024,1,6,60.63,5,한남동,723-3,11170,중개거래,개인,개인
한가람,1998,154000,2024,1,8,59.88,15,이촌동,404,11170,중개거래,개인,개인
신동아1,1992,234000,2024,1,9,84.93,7,보광동,448,11170,중개거래,개인,개인
한남더힐,2011,945000,2024,1,10,235.312,7,한남동,810,11170,중개거래,개인,개인
나인원한남,2019,970000,2024,1,12,206.8953,3,한남동,829,11170,중개거래,개인,개인
동부센트레빌,2001,178000,2024,1,12,100.8,1,이촌동,418,11170,중개거래,개인,개인
현대한강,1997,142000,2024,1,12,59.55,12,이촌동,400,11170,중개거래,개인,개인
한가람,1998,197000,2024,1,13,84.89,13,이촌동,404,11170,중개거래,개인,개인
한가람,1998,193000,2024,1,14,84.89,9,이촌동,404,11170,중개거래,개인,개인
용산파크자이,2005,155000,2024,1,15,99.85,10,한강로1가,50-1,11170,중개거래,개인,개인
현대맨숀,1974,239998,2024,1,17,139.97,4,이촌동,301-160,11170,중개거래,개인,개인
동부센트레빌,2001,188000,2024,1,18,101.14,13,이촌동,418,11170,중개거래,개인,개인
쌍용스윗닷홈,2003,149500,2024,1,18,84.98,1,한강로3가,89,11170,중개거래,개인,개인
강촌,1998,182000,2024,1,19,84.85,15,이촌동,402,11170,중개거래,개인,개인
용산롯데캐슬센터포레,2019,145000,2024,1,19,59.79,19,효창동,287,11170,중개거래,개인,개인
용산파크타워(24-1),2009,280000,2024,1,20,140.31,22,용산동5가,24-1,11170,중개거래,개인,개인
청화1,1982,197000,2024,1,20,106.12,7,이태원동,22-2,11170,중개거래,개인,개인
청화1,1982,197000,2024,1,20,106.12,7,이태원동,22-2,11170,중개거래,개인,개인
한가람,1998,159000,2024,1,20,59.88,12,이촌동,404,11170,중개거래,개인,개인
한가람,1998,159000,2024,1,20,59.88,12,이촌동,404,11170,중개거래,개인,개인
한가람,1998,154000,2024,1,20,59.88,15,이촌동,404,11170,중개거래,개인,개인
현대맨숀,1974,239198,2024,1,20,139.97,4,이촌동,301-160,11170,중개거래,개인,개인
용산KCC웰츠타워,2015,139000,2024,1,22,84.68,32,문배동,11-10,11170,중개거래,개인,개인
이촌동삼성리버스위트,2002,305000,2024,1,22,134.9,10,이촌동,426,11170,중개거래,개인,개인
점보,1974,180000,2024,1,22,177.62,17,이촌동,300-10,11170,중개거래,개인,개인
대림,1994,180000,2024,1,23,84.78,19,이촌동,395,11170,중개거래,개인,개인
동부센트레빌,2001,220000,2024,1,23,100.92,8,이촌동,418,11170,중개거래,개인,개인
센트럴파크,2020,252000,2024,1,24,92.7398,24,한강로3가,98,11170,중개거래,개인,개인
용산롯데캐슬센터포레,2019,140000,2024,1,24,59.9525,15,효창동,287,11170,중개거래,개인,개인
이촌코오롱(A),1999,154500,2024,1,24,59.82,10,이촌동,412,11170,중개거래,개인,개인
삼성래미안,2001,120000,2024,1,25,114.99,9,도원동,23,11170,직거래,개인,개인
대우월드마크용산,2007,170000,2024,1,27,114.676,18,한강로1가,64,11170,중개거래,개인,개인
신동아1,1992,240000,2024,1,27,84.93,10,보광동,448,11170,중개거래,개인,개인
한가람,1998,191000,2024,1,27,84.96,4,이촌동,404,11170,중개거래,개인,개인
한강맨숀,1971,427940,2024,1,27,120.56,5,이촌동,300-23,11170,중개거래,개인,개인
한강맨숀,1971,428000,2024,1,27,120.56,5,이촌동,300-23,11170,중개거래,개인,개인
금호베스트빌1,2002,160000,2024,1,30,156.58,4,서빙고동,296,11170,중개거래,개인,개인
대림,1994,185000,2024,1,30,84.78,9,이촌동,395,11170,중개거래,개인,개인
현대한강,1997,178000,2024,1,31,84.88,14,이촌동,400,11170,중개거래,개인,개인
