단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
구파발10단지어울림(1011~1019동)BL3-1,2010,89500,2024,8,1,84.8,4,진관동,27,11380,중개거래,개인,개인
라이프씨티,1992,44000,2024,8,1,83.04,14,신사동,354,11380,중개거래,개인,개인
불광롯데캐슬,2018,84900,2024,8,1,59.98,4,불광동,645,11380,중개거래,개인,개인
불광롯데캐슬,2018,120500,2024,8,1,95.49,2,불광동,645,11380,중개거래,개인,개인
연신내역트리플라101동,2021,51000,2024,8,1,43.94,12,불광동,484-63,11380,직거래,개인,법인
힐스테이트녹번역,2022,118000,2024,8,1,84.99,2,응암동,770,11380,중개거래,개인,개인
힐스테이트녹번역,2022,120000,2024,8,1,84.99,13,응암동,770,11380,중개거래,개인,개인
DMC롯데캐슬더퍼스트,2021,118000,2024,8,2,84.93,10,수색동,417,11380,중개거래,개인,개인
라이프미성,1988,66000,2024,8,2,66.7,4,불광동,248,11380,중개거래,개인,개인
라이프미성,1988,66000,2024,8,2,66.7,4,불광동,248,11380,중개거래,개인,개인
백련산에스케이뷰아이파크,2020,102000,2024,8,2,84.9039,6,응암동,767,11380,중개거래,개인,개인
백련산에스케이뷰아이파크,2020,83000,2024,8,2,59.8545,10,응암동,767,11380,중개거래,개인,개인
백련산힐스테이트1차,2011,71500,2024,8,2,59.93,5,응암동,759,11380,중개거래,개인,개인
백련산힐스테이트2차,2011,71400,2024,8,2,59.63,13,응암동,760,11380,중개거래,개인,개인
상림마을7단지아이파크(730~742동)BL1-14,2008,89500,2024,8,2,101.94,5,진관동,10,11380,중개거래,개인,개인
상림마을8단지롯데캐슬(821~830동)BL1-12,2008,57900,2024,8,2,84.79,5,진관동,20,11380,직거래,개인,개인
은평서해그랑블,2022,60000,2024,8,2,59.6483,18,구산동,548,11380,중개거래,개인,개인
e편한세상백련산,2022,71000,2024,8,3,59.87,2,응암동,771,11380,중개거래,개인,개인
녹번JR아파트,2002,59800,2024,8,3,59.866,10,녹번동,280-1,11380,중개거래,개인,개인
녹번역e편한세상캐슬,2021,127000,2024,8,3,84.97,8,응암동,769,11380,중개거래,개인,개인
백련산에스케이뷰아이파크,2020,90000,2024,8,3,84.9039,1,응암동,767,11380,중개거래,개인,개인
백련산에스케이뷰아이파크,2020,88250,2024,8,3,84.9039,1,응암동,767,11380,중개거래,개인,개인
북한산현대홈타운,2004,82000,2024,8,3,59.9765,6,불광동,633,11380,중개거래,개인,개인
상림마을6단지푸르지오(606~614동)BL1-7,2008,73000,2024,8,3,84.79,5,진관동,2,11380,중개거래,개인,개인
신사씨티,1993,37700,2024,8,3,49.76,3,신사동,297,11380,중개거래,개인,개인
DMC롯데캐슬더퍼스트,2021,112000,2024,8,4,84.87,11,수색동,417,11380,중개거래,개인,개인
DMC우방,2000,69500,2024,8,4,59.91,20,증산동,244,11380,중개거래,개인,개인
북한산힐스테이트1차아파트,2009,76000,2024,8,4,59.817,7,불광동,635,11380,중개거래,개인,개인
삼성타운,1997,53500,2024,8,4,59.4,14,대조동,231,11380,중개거래,개인,개인
상림마을7단지아이파크(713~718동)BL1-11,2008,90000,2024,8,4,84.79,5,진관동,15,11380,중개거래,개인,개인
우물골2단지두산위브(245~255동)BL2-6,2009,91800,2024,8,4,84.71,3,진관동,81,11380,중개거래,개인,개인
은평뉴타운기자촌11단지,2015,81500,2024,8,4,84.82,3,진관동,150,11380,중개거래,개인,개인
DMCSKVIEW,2023,137500,2024,8,5,84.9926,16,수색동,418,11380,중개거래,개인,개인
DMCSKVIEW,2023,137500,2024,8,5,84.9926,16,수색동,418,11380,중개거래,개인,개인
DMC롯데캐슬더퍼스트,2021,118800,2024,8,5,84.87,18,수색동,417,11380,중개거래,개인,개인
경남,1995,41700,2024,8,5,59.36,7,응암동,714,11380,중개거래,개인,개인
녹번역e편한세상캐슬,2021,119000,2024,8,5,84.94,4,응암동,769,11380,중개거래,개인,개인
백련산힐스테이트2차,2011,73000,2024,8,5,59.63,12,응암동,760,11380,중개거래,개인,개인
북한산푸르지오,2015,94500,2024,8,5,59.99,14,녹번동,281,11380,중개거래,개인,개인
신사성원,2000,48300,2024,8,5,59.94,1,신사동,360,11380,중개거래,개인,개인
응암하이포롬,2003,62000,2024,8,5,84.99,4,응암동,117-22,11380,중개거래,개인,개인
힐스테이트녹번,2019,102000,2024,8,5,59.938,10,녹번동,282,11380,중개거래,개인,개인
라이프미성,1988,69000,2024,8,6,66.7,7,불광동,248,11380,중개거래,개인,개인
라이프미성,1988,69000,2024,8,6,66.7,7,불광동,248,11380,중개거래,개인,개인
라이프미성,1988,65900,2024,8,6,66.7,6,불광동,248,11380,중개거래,개인,개인
마고정3단지센트레빌(310~322동)BL2-3,2009,79500,2024,8,6,59.37,7,진관동,107,11380,중개거래,개인,개인
북한산푸르지오,2015,92000,2024,8,6,59.99,10,녹번동,281,11380,중개거래,개인,개인
북한산푸르지오,2015,109000,2024,8,6,84.99,10,녹번동,281,11380,중개거래,개인,개인
은평뉴타운기자촌11단지,2015,65500,2024,8,6,59.88,2,진관동,150,11380,중개거래,개인,개인
DMC롯데캐슬더퍼스트,2021,61500,2024,8,7,39.83,8,수색동,417,11380,중개거래,개인,개인
DMC센트럴자이(1단지),2023,155000,2024,8,7,84.92,15,증산동,258,11380,중개거래,개인,법인
DMC센트럴자이(1단지),2023,158000,2024,8,7,84.96,11,증산동,258,11380,중개거래,개인,법인
구파발9단지래미안(916~928동)BL3-2,2010,135000,2024,8,7,166.98,6,진관동,25,11380,중개거래,개인,개인
래미안베라힐즈,2019,96000,2024,8,7,59.98,13,녹번동,283,11380,중개거래,개인,개인
미성,1987,58000,2024,8,7,63.53,11,신사동,140-1,11380,중개거래,개인,개인
신우아파트,1995,62000,2024,8,7,114.85,3,불광동,241-23,11380,중개거래,개인,개인
우물골2단지두산위브(204~208동)BL2-5,2009,76000,2024,8,7,59.92,4,진관동,83,11380,중개거래,개인,개인
명남뉴,2005,54500,2024,8,8,84.51,7,역촌동,83-26,11380,중개거래,개인,개인
명남뉴,2005,54500,2024,8,8,84.51,7,역촌동,83-26,11380,중개거래,개인,개인
상림마을8단지롯데캐슬(810~820동)BL1-1,2008,105000,2024,8,8,134.26,5,진관동,19,11380,중개거래,개인,개인
폭포동4단지힐스테이트(408~422동)BL3-9,2010,127000,2024,8,8,166.96,8,진관동,140,11380,직거래,개인,개인
갈현현대,1998,42500,2024,8,9,59.94,10,구산동,382,11380,중개거래,개인,개인
녹번역e편한세상캐슬,2021,97000,2024,8,9,59.96,8,응암동,769,11380,중개거래,개인,개인
디앤제이하우징(281-89),2022,28900,2024,8,9,25.44,12,불광동,281-89,11380,직거래,개인,법인
마고정3단지센트레빌(310~322동)BL2-3,2009,90000,2024,8,9,84.27,8,진관동,107,11380,중개거래,개인,개인
DMC롯데캐슬더퍼스트,2021,82000,2024,8,10,49.86,4,수색동,417,11380,중개거래,개인,개인
DMC센트럴자이(2단지),2023,123000,2024,8,10,59.97,6,증산동,258,11380,중개거래,개인,개인
DMC우방,2000,92000,2024,8,10,84.99,11,증산동,244,11380,중개거래,개인,개인
DMC우방,2000,67000,2024,8,10,59.91,5,증산동,244,11380,중개거래,개인,개인
e편한세상 수색 에코포레,2003,75500,2024,8,10,84.951,13,수색동,415-1,11380,중개거래,개인,개인
녹번역e편한세상캐슬,2021,106000,2024,8,10,59.96,11,응암동,769,11380,중개거래,개인,개인
녹번역e편한세상캐슬,2021,108000,2024,8,10,59.96,6,응암동,769,11380,중개거래,개인,개인
래미안베라힐즈,2019,126500,2024,8,10,84.95,8,녹번동,283,11380,중개거래,개인,개인
마고정3단지센트레빌(310~322동)BL2-3,2009,73000,2024,8,10,59.37,2,진관동,107,11380,중개거래,개인,개인
백련산에스케이뷰아이파크,2020,84850,2024,8,10,59.8545,12,응암동,767,11380,중개거래,개인,개인
백련산에스케이뷰아이파크,2020,84500,2024,8,10,59.9335,17,응암동,767,11380,중개거래,개인,개인
백련산힐스테이트2차,2011,73700,2024,8,10,59.63,11,응암동,760,11380,중개거래,개인,개인
힐스테이트녹번,2019,103300,2024,8,10,59.938,8,녹번동,282,11380,중개거래,개인,개인
DMC우방,2000,69300,2024,8,11,59.91,9,증산동,244,11380,중개거래,개인,개인
디앤제이하우징(281-89),2022,28200,2024,8,11,25.23,12,불광동,281-89,11380,직거래,개인,법인
명남스카이뷰,2023,59700,2024,8,11,58.2,9,응암동,590-10,11380,직거래,개인,개인
박석고개1단지힐스테이트(116~131동)BL2-1,2009,80000,2024,8,11,59.85,11,진관동,102,11380,중개거래,개인,개인
박석고개1단지힐스테이트(116~131동)BL2-1,2009,80500,2024,8,11,59.85,3,진관동,102,11380,중개거래,개인,개인
