단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
엘리시아,2009,175942,2017,1,2,213.07,5,평창동,66-1,11110,,,
창신이수,2003,49000,2017,1,2,84.5,13,창신동,23-816,11110,,,
명륜동주상복합아남아파트,1999,55000,2017,1,3,94.86,6,명륜2가,237,11110,,,
이화에수풀,2014,22000,2017,1,3,19.86,10,연건동,195-10,11110,,,
익성씨티하임,2013,12000,2017,1,3,15.42,15,숭인동,1392,11110,,,
아남1,1995,55400,2017,1,4,84.9,1,명륜2가,4,11110,,,
종로청계힐스테이트,2009,55800,2017,1,4,84.9478,15,숭인동,766,11110,,,
이화에수풀,2014,17900,2017,1,5,16.98,10,연건동,195-10,11110,,,
종로센트레빌,2008,62900,2017,1,5,114.67,5,숭인동,2-1,11110,,,
종로청계힐스테이트,2009,62500,2017,1,6,114.7153,8,숭인동,766,11110,,,
동대문,1966,30000,2017,1,7,28.8,4,창신동,328-17,11110,,,
광화문스페이스본(101동~105동),2008,67000,2017,1,9,70.8,1,사직동,9,11110,,,
두산,1999,54000,2017,1,9,84.9,9,창신동,232,11110,,,
롯데캐슬천지인,2004,66500,2017,1,9,112.54,17,숭인동,76,11110,,,
세종,1983,61500,2017,1,9,104.5,9,당주동,100,11110,,,
아남1,1995,64500,2017,1,9,84.9,3,명륜2가,4,11110,,,
아남1,1995,65000,2017,1,10,84.9,17,명륜2가,4,11110,,,
일성빌라트,1996,37500,2017,1,10,59.82,5,평창동,145-5,11110,,,
종로중흥S클래스,2013,14000,2017,1,10,19.466,14,숭인동,202-3,11110,,,
롯데캐슬천지인,2004,59000,2017,1,11,84.95,12,숭인동,76,11110,,,
인왕산아이파크,2008,70200,2017,1,12,84.858,14,무악동,60,11110,,,
현대,2000,58990,2017,1,12,84.92,12,무악동,82,11110,,,
동아,1995,38000,2017,1,13,59.98,8,교북동,101,11110,,,
광화문스페이스본(101동~105동),2008,89300,2017,1,14,94.51,8,사직동,9,11110,,,
종로센트레빌,2008,65500,2017,1,14,114.67,5,숭인동,2-1,11110,,,
인왕산아이파크,2008,85000,2017,1,15,114.931,10,무악동,60,11110,,,
광화문스페이스본(101동~105동),2008,110000,2017,1,16,160.85,11,사직동,9,11110,,,
롯데캐슬로잔,2009,136000,2017,1,16,200.165,1,평창동,108,11110,,,
인왕산아이파크,2008,86000,2017,1,16,114.931,7,무악동,60,11110,,,
일성빌라트,1996,46000,2017,1,16,84.99,5,평창동,145-5,11110,,,
창신쌍용1,1992,41000,2017,1,16,79.87,9,창신동,702,11110,,,
창신쌍용1,1992,30000,2017,1,16,54.7,13,창신동,702,11110,,,
갑을아파트,1997,17100,2017,1,17,30.55,7,평창동,595,11110,,,
창신쌍용2,1993,32800,2017,1,17,64.66,7,창신동,703,11110,,,
동대문,1966,30000,2017,1,18,28.8,3,창신동,328-17,11110,,,
형우럭스빌(33-1),2005,20000,2017,1,18,91.87,5,평창동,33-1,11110,,,
엘리시아,2009,160000,2017,1,19,200.19,3,평창동,66-1,11110,,,
인왕산아이파크,2008,57500,2017,1,20,59.993,11,무악동,60,11110,,,
리치캐슬아파트,2003,40300,2017,1,21,73.5,3,명륜1가,33-85,11110,,,
인왕산아이파크,2008,71000,2017,1,21,114.931,1,무악동,60,11110,,,
종로센트레빌,2008,46400,2017,1,21,59.92,11,숭인동,2-1,11110,,,
현대,2000,66990,2017,1,21,114.9,7,무악동,82,11110,,,
광화문스페이스본(101동~105동),2008,86000,2017,1,23,94.51,6,사직동,9,11110,,,
롯데낙천대,2001,44800,2017,1,24,87.27,1,평창동,72,11110,,,
종로센트레빌,2008,59800,2017,1,24,114.67,5,숭인동,2-1,11110,,,
현대,2000,49790,2017,1,24,60,11,무악동,82,11110,,,
현대,2000,48990,2017,1,24,60,9,무악동,82,11110,,,
경희궁파크팰리스,2003,95000,2017,1,25,117.26,14,내수동,95,11110,,,
이화에수풀,2014,18100,2017,1,25,16.98,6,연건동,195-10,11110,,,
삼성,1998,33000,2017,1,26,59.97,5,평창동,596,11110,,,
현대뜨레비앙,2003,24000,2017,1,26,43.98,6,익선동,55,11110,,,
광화문스페이스본(101동~105동),2008,117000,2017,1,31,136.4,3,사직동,9,11110,,,
인왕산아이파크,2008,66000,2017,1,31,84.858,4,무악동,60,11110,,,
