단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
약수하이츠,1999,42500,2013,7,1,65.37,15,신당동,842,11140,,,
인현상가/신성아파트,1968,16000,2013,7,1,50.58,7,인현동2가,192-30,11140,,,
진양상가,1970,27900,2013,7,1,71.93,8,충무로4가,120-3,11140,,,
남산타운,2002,52000,2013,7,2,84.88,13,신당동,844,11140,,,
남산타운,2002,65000,2013,7,2,114.88,10,신당동,844,11140,,,
남산롯데캐슬아이리스,2011,89043,2013,7,3,113.46,22,회현동1가,208,11140,,,
장충,1981,3900,2013,7,4,31.64,2,장충동2가,193-29,11140,,,
청구e편한세상,2011,60000,2013,7,4,84.95,5,신당동,852,11140,,,
쌍용남산플래티넘,2010,100000,2013,7,5,166.24,4,회현동2가,87,11140,,,
양정,2005,19190,2013,7,6,39.1,5,만리동2가,116-4,11140,,,
남산타운,2002,68000,2013,7,9,114.88,11,신당동,844,11140,,,
남산타운,2002,68000,2013,7,9,114.88,11,신당동,844,11140,,,
남산타운,2002,50000,2013,7,9,84.88,9,신당동,844,11140,,,
삼성파크빌,2006,40000,2013,7,9,84.92,11,을지로5가,39-1,11140,,,
우일타운,1994,27500,2013,7,10,56.43,18,흥인동,3-4,11140,,,
청구e편한세상,2011,50000,2013,7,10,59.88,9,신당동,852,11140,,,
롯데캐슬,2008,37000,2013,7,11,59.94,32,황학동,2545,11140,,,
한진해모로,2001,29500,2013,7,11,59.76,11,신당동,845,11140,,,
약수하이츠,1999,30800,2013,7,13,57.63,8,신당동,842,11140,,,
약수하이츠,1999,30500,2013,7,13,57.63,5,신당동,842,11140,,,
한진해모로,2001,30000,2013,7,13,59.76,3,신당동,845,11140,,,
남산롯데캐슬아이리스,2011,165000,2013,7,15,228.05,32,회현동1가,208,11140,,,
삼성,1999,34420,2013,7,15,59.97,19,신당동,843,11140,,,
삼성,1999,44500,2013,7,15,84.96,14,신당동,843,11140,,,
남산롯데캐슬아이리스,2011,172000,2013,7,16,187.08,19,회현동1가,208,11140,,,
브라운스톤서울,2006,70000,2013,7,16,139.562,29,중림동,355,11140,,,
약수하이츠,1999,28000,2013,7,16,57.63,2,신당동,842,11140,,,
양정,2005,19172,2013,7,16,36.77,2,만리동2가,116-4,11140,,,
청구e편한세상,2011,61200,2013,7,16,84.95,13,신당동,852,11140,,,
남산타운,2002,51500,2013,7,17,84.88,9,신당동,844,11140,,,
남산타운,2002,37000,2013,7,17,59.94,4,신당동,844,11140,,,
청구e편한세상,2011,63500,2013,7,17,84.96,8,신당동,852,11140,,,
현대,1993,35500,2013,7,17,83.97,12,신당동,840,11140,,,
SK리더스뷰남산,2010,105500,2013,7,18,145.79,18,회현동1가,206,11140,,,
래미안하이베르,2011,38000,2013,7,18,59.74,7,신당동,851,11140,,,
초원,1999,20900,2013,7,18,59.97,4,신당동,432-479,11140,,,
남산타운,2002,48000,2013,7,20,84.88,2,신당동,844,11140,,,
남산타운,2002,51700,2013,7,21,84.88,13,신당동,844,11140,,,
청구e편한세상,2011,63600,2013,7,21,84.95,12,신당동,852,11140,,,
남산타운,2002,36300,2013,7,22,59.94,13,신당동,844,11140,,,
남산타운,2002,37700,2013,7,22,59.94,13,신당동,844,11140,,,
삼성,1999,35500,2013,7,23,59.98,9,신당동,843,11140,,,
남산타운,2002,39500,2013,7,24,59.94,8,신당동,844,11140,,,
양정,2005,21440,2013,7,24,46.52,4,만리동2가,116-4,11140,,,
롯데캐슬,2008,50000,2013,7,25,84.89,33,황학동,2545,11140,,,
삼성,1999,35300,2013,7,25,59.97,10,신당동,843,11140,,,
남산롯데캐슬아이리스,2011,87134,2013,7,26,113.46,6,회현동1가,208,11140,,,
남산타운,2002,42400,2013,7,26,59.94,16,신당동,844,11140,,,
남산타운,2002,51700,2013,7,26,84.88,7,신당동,844,11140,,,
남산타운,2002,42200,2013,7,27,84.88,1,신당동,844,11140,,,
약수하이츠,1999,50500,2013,7,27,84.88,12,신당동,842,11140,,,
황학아크로타워,2010,55500,2013,7,28,84.962,20,황학동,2523,11140,,,
신당푸르지오,2005,46700,2013,7,29,84.39,1,신당동,850,11140,,,
약수하이츠,1999,35000,2013,7,29,57.63,9,신당동,842,11140,,,
약수하이츠,1999,32300,2013,7,29,57.63,14,신당동,842,11140,,,
청구파크뷰,2003,34300,2013,7,29,84.69,3,신당동,292-35,11140,,,
남산타운,2002,50700,2013,7,30,84.88,5,신당동,844,11140,,,
남산타운,2002,59900,2013,7,30,114.88,3,신당동,844,11140,,,
남산롯데캐슬아이리스,2011,93406,2013,7,31,133.98,5,회현동1가,208,11140,,,
남산롯데캐슬아이리스,2011,110901,2013,7,31,187.08,5,회현동1가,208,11140,,,
남산롯데캐슬아이리스,2011,123991,2013,7,31,176.42,21,회현동1가,208,11140,,,
