단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
EGSoulLeader,2012,10000,2016,7,1,13.42,7,망우동,506-8,11260,,,
경남아너스빌,2006,41000,2016,7,1,84.961,2,면목동,1529,11260,,,
두산2,1995,35500,2016,7,1,84.77,12,면목동,1510,11260,,,
라이프미성,1992,21000,2016,7,1,59.6,3,신내동,487,11260,,,
면목삼호101,2000,34800,2016,7,1,83.27,10,면목동,1513,11260,,,
성원,1994,29300,2016,7,1,84.4,7,신내동,783,11260,,,
승일카이저,2004,24000,2016,7,1,79.75,3,면목동,151-4,11260,,,
신내6대주,1996,30000,2016,7,1,59.76,7,신내동,650,11260,,,
신안3,2000,42000,2016,7,1,104.79,15,묵동,384,11260,,,
한신아파트상가동유치원동(103~109),1997,30800,2016,7,1,59.76,4,중화동,450,11260,,,
건영2차아파트,1996,35500,2016,7,2,84.96,6,상봉동,63,11260,,,
건영캐스빌,2006,48000,2016,7,2,84.6475,12,상봉동,499,11260,,,
경남아너스빌,2007,34500,2016,7,2,79.9,6,신내동,804,11260,,,
금호어울림(580),2006,31900,2016,7,2,59.96,5,망우동,580,11260,,,
남청파인힐(101동),2006,30300,2016,7,2,74.36,8,면목동,1526,11260,,,
더하이어,2013,10500,2016,7,2,12.0156,8,망우동,508-6,11260,,,
데시앙,2010,46500,2016,7,2,114.48,1,신내동,317,11260,,,
묵동자이(2단지),2010,63000,2016,7,2,101.91,29,묵동,170-1,11260,,,
문수해오름,2004,34000,2016,7,2,84.62,3,묵동,174-9,11260,,,
새한,1998,30000,2016,7,2,84.4,3,신내동,795,11260,,,
신내,1996,20500,2016,7,2,39.84,8,묵동,13,11260,,,
신내11대명,1996,24900,2016,7,2,49.77,13,신내동,661,11260,,,
신내6대주,1996,32800,2016,7,2,59.76,7,신내동,650,11260,,,
신내6대주,1996,26900,2016,7,2,49.77,10,신내동,650,11260,,,
신내대림아파트,1995,48500,2016,7,2,102.7,4,묵동,20,11260,,,
중랑숲리가,2012,42600,2016,7,2,84.956,11,망우동,583,11260,,,
경남아너스빌,2007,39900,2016,7,3,84.98,9,신내동,804,11260,,,
두산4,2000,38900,2016,7,3,84.86,8,면목동,1522,11260,,,
주함해븐(101동),2011,24000,2016,7,3,50.625,4,망우동,582,11260,,,
한신아파트상가동유치원동(103~109),1997,30700,2016,7,3,59.76,3,중화동,450,11260,,,
경남아너스빌,2006,45700,2016,7,4,84.961,15,면목동,1529,11260,,,
금호어울림(580),2006,29750,2016,7,4,59.96,14,망우동,580,11260,,,
미랜드프래임빌(102동),2006,33100,2016,7,4,79.62,5,상봉동,115-84,11260,,,
세방,2000,33600,2016,7,4,84.8,10,묵동,383,11260,,,
신내11대명,1996,25100,2016,7,4,49.77,6,신내동,661,11260,,,
신내6대주,1996,21000,2016,7,4,39.84,4,신내동,650,11260,,,
신안3,2000,37000,2016,7,4,84.99,10,묵동,384,11260,,,
태영데시앙1,2003,39000,2016,7,4,84.9353,1,상봉동,497,11260,,,
현대,1994,38000,2016,7,4,84.81,9,면목동,1502,11260,,,
개나리,1988,15500,2016,7,5,41.88,1,망우동,213-3,11260,,,
대보,1988,17800,2016,7,5,44.01,1,망우동,236-7,11260,,,
새한,1998,36500,2016,7,5,115.84,15,신내동,795,11260,,,
성원,1994,31500,2016,7,5,84.32,8,신내동,783,11260,,,
신내6대주,1996,18000,2016,7,5,39.84,4,신내동,650,11260,,,
신내두산아파트,1995,43000,2016,7,5,102.7,1,묵동,20,11260,,,
신내우디안1단지,2014,42500,2016,7,5,84.65,14,신내동,816,11260,,,
진로아파트,1995,40000,2016,7,5,101.86,3,신내동,654,11260,,,
동성아파트,1997,26000,2016,7,6,59.4,4,신내동,591,11260,,,
신내,1996,26000,2016,7,6,49.77,4,묵동,13,11260,,,
신내,1996,20300,2016,7,6,39.84,9,묵동,13,11260,,,
신내6대주,1996,31500,2016,7,6,59.76,2,신내동,650,11260,,,
신내6대주,1996,31500,2016,7,6,59.76,10,신내동,650,11260,,,
신내6대주,1996,21800,2016,7,6,39.84,8,신내동,650,11260,,,
신내우디안1단지,2014,41000,2016,7,6,84.62,14,신내동,816,11260,,,
용마산금호어울림,2006,36828,2016,7,6,84.699,2,면목동,1525,11260,,,
용마한신,1990,18200,2016,7,6,35.44,7,면목동,1077-1,11260,,,
진로아파트,1995,43200,2016,7,6,101.86,6,신내동,654,11260,,,
EGSoulLeader,2012,9600,2016,7,7,13.42,10,망우동,506-8,11260,,,
동성1,1993,26000,2016,7,7,59.4,5,신내동,397,11260,,,
면목동금호어울림아파트,2005,37900,2016,7,7,76.7936,7,면목동,1528,11260,,,
신내6대주,1996,32300,2016,7,7,59.76,11,신내동,650,11260,,,
"엘지,쌍용아파트",1996,33300,2016,7,7,84.67,15,상봉동,484,11260,,,
중앙하이츠,1996,30500,2016,7,7,84.97,6,신내동,479,11260,,,
면목한신,1987,27800,2016,7,8,66.56,4,면목동,193-1,11260,,,
석탑,1997,25300,2016,7,8,59.82,6,신내동,787,11260,,,
세방,2000,26350,2016,7,8,59.94,11,묵동,383,11260,,,
신내9진흥,1996,20500,2016,7,8,39.84,4,신내동,657,11260,,,
용마금호타운,1992,36000,2016,7,8,84.9,9,면목동,494,11260,,,
우남푸르미아,2005,45250,2016,7,8,117.15,8,신내동,802,11260,,,
중앙하이츠,1996,30000,2016,7,8,84.97,15,신내동,479,11260,,,
진로아파트,1995,45000,2016,7,8,101.86,11,신내동,654,11260,,,
태영데시앙1,2003,44000,2016,7,8,84.9353,8,상봉동,497,11260,,,
