단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
울산옥현1주공,2000,13700,2010,1,1,59.89,4,무거동,477-1,31140,,,
롯데캐슬골드1단지,2008,45150,2010,1,2,157.06,10,야음동,878,31140,,,
신정현대홈타운2,1999,16200,2010,1,2,59.97,17,야음동,594-10,31140,,,
우성,1991,16800,2010,1,2,84.99,6,삼산동,1461-1,31140,,,
대공원월드메르디앙,2008,60500,2010,1,3,128.8128,20,신정동,1868,31140,,,
신정현대홈타운4,2001,23100,2010,1,3,84.96,2,신정동,851-20,31140,,,
아데라움,2005,26500,2010,1,3,84.9991,20,삼산동,182-1,31140,,,
옥현으뜸마을주공3,2001,26650,2010,1,3,84.66,9,무거동,488-13,31140,,,
고려청구,1991,13800,2010,1,4,84.89,2,옥동,183,31140,,,
굴화주공2,1995,13000,2010,1,4,59.99,16,무거동,276-1,31140,,,
달동주공1단지,1993,11500,2010,1,4,49.77,5,달동,118-3,31140,,,
대공원현대,1992,23500,2010,1,4,84.825,4,옥동,129-6,31140,,,
문수로IPARK1,2003,57700,2010,1,4,134.3958,18,신정동,1639-1,31140,,,
삼환아르누보,2009,40000,2010,1,4,119.16,4,달동,1412,31140,,,
삼환아르누보,2009,40000,2010,1,4,117.54,4,달동,1412,31140,,,
세양청구마을,1997,13500,2010,1,4,59.98,5,삼산동,172-1,31140,,,
신복현대,1996,7850,2010,1,4,59.76,19,무거동,1553,31140,,,
신성미소지움1단지,2007,31800,2010,1,4,84.94,11,신정동,1852,31140,,,
신정현대홈타운1,1999,23750,2010,1,4,84.96,14,야음동,594-37,31140,,,
신정현대홈타운2,1999,24700,2010,1,4,114.6,6,야음동,594-10,31140,,,
아데라움,2005,25500,2010,1,4,84.9991,4,삼산동,182-1,31140,,,
아데라움,2005,32700,2010,1,4,116.0578,15,삼산동,182-1,31140,,,
옥동삼익,1999,40000,2010,1,4,141.21,3,옥동,255-2,31140,,,
울산옥현1주공,2000,9400,2010,1,4,49.57,13,무거동,477-1,31140,,,
SKVIEW,1994,13000,2010,1,5,74.955,3,야음동,455-1,31140,,,
달동주공1단지,1993,13400,2010,1,5,59.97,3,달동,118-3,31140,,,
대공원I'PARK(2단지),1994,13000,2010,1,5,59.94,2,신정동,1676,31140,,,
삼산선경,1991,15000,2010,1,5,73.8,12,달동,1330-1,31140,,,
삼신현대,1991,17800,2010,1,5,84.96,8,삼산동,1461-3,31140,,,
상개목화,2002,6500,2010,1,5,48.8297,12,상개동,152-6,31140,,,
상아타워맨션,1990,13500,2010,1,5,82.45,7,옥동,177-2,31140,,,
신정현대홈타운2,1999,9400,2010,1,5,40.8,17,야음동,594-10,31140,,,
신정현대홈타운4,2001,24900,2010,1,5,84.96,24,신정동,851-20,31140,,,
어울림,1999,14500,2010,1,5,59.85,15,달동,775-6,31140,,,
임창베네시안,2005,18000,2010,1,5,84.91,4,신정동,1211-7,31140,,,
한라무지개,1993,7970,2010,1,5,59.595,1,신정동,899-1,31140,,,
강변아드리아,2009,19250,2010,1,6,81.15,7,신정동,1405-6,31140,,,
굴화주공1,1997,10000,2010,1,6,59.99,2,무거동,275-1,31140,,,
굴화주공2,1995,8600,2010,1,6,49.65,4,무거동,276-1,31140,,,
굴화주공2,1995,8750,2010,1,6,49.65,12,무거동,276-1,31140,,,
금오그린,1998,8000,2010,1,6,59.75,2,옥동,281-1,31140,,,
남산포스코더샵,2004,21000,2010,1,6,84.9422,10,신정동,1334-38,31140,,,
달동주공1단지,1993,10000,2010,1,6,51.66,3,달동,118-3,31140,,,
달동주공1단지,1993,7500,2010,1,6,41.85,2,달동,118-3,31140,,,
달동주공2단지,1993,7570,2010,1,6,38.64,14,달동,119-1,31140,,,
동부3,1996,26500,2010,1,6,104.23,5,야음동,789-6,31140,,,
선암동서광,1997,11900,2010,1,6,74.98,20,선암동,559-12,31140,,,
선암동서광,1997,10600,2010,1,6,59.95,23,선암동,559-12,31140,,,
선암동서광,1997,9800,2010,1,6,59.95,25,선암동,559-12,31140,,,
신세대1,1995,8900,2010,1,6,59.76,7,무거동,1520-9,31140,,,
신정현대홈타운1,1999,30250,2010,1,6,114.6,7,야음동,594-37,31140,,,
신정현대홈타운2,1999,9300,2010,1,6,40.8,16,야음동,594-10,31140,,,
아성홈토피아,1997,9500,2010,1,6,84.45,8,무거동,815-1,31140,,,
울산옥현1주공,2000,14100,2010,1,6,59.89,11,무거동,477-1,31140,,,
울산옥현1주공,2000,10000,2010,1,6,59.89,1,무거동,477-1,31140,,,
굴화주공1,1997,12000,2010,1,7,59.99,12,무거동,275-1,31140,,,
굴화주공1,1997,10500,2010,1,7,59.99,4,무거동,275-1,31140,,,
굴화주공2,1995,8450,2010,1,7,49.65,10,무거동,276-1,31140,,,
그랜드타운,1999,5200,2010,1,7,44.5,14,야음동,868-3,31140,,,
달동주공1단지,1993,8400,2010,1,7,41.85,2,달동,118-3,31140,,,
달동주공1단지,1993,11000,2010,1,7,51.66,15,달동,118-3,31140,,,
벽산강변타운,1998,12700,2010,1,7,59.925,25,삼산동,1529-1,31140,,,
아데라움,2005,36000,2010,1,7,136.296,1,삼산동,182-1,31140,,,
영남행복맨션,1992,4000,2010,1,7,33.75,1,무거동,564-1,31140,,,
옥동삼익,1999,43500,2010,1,7,141.21,4,옥동,255-2,31140,,,
옥서홈타운,1995,14000,2010,1,7,59.61,3,옥동,191-1,31140,,,
울산옥현1주공,2000,10500,2010,1,7,59.89,1,무거동,477-1,31140,,,
고려청구,1991,14950,2010,1,8,84.89,11,옥동,183,31140,,,
대우푸르지오,2004,35000,2010,1,8,121.9179,11,삼산동,1529-2,31140,,,
대하미르빌,2006,22500,2010,1,8,83.94,20,야음동,695-36,31140,,,
롯데캐슬골드1단지,2008,18700,2010,1,8,59.98,2,야음동,878,31140,,,
무거청구맨션,1997,14100,2010,1,8,84.87,4,무거동,1551,31140,,,
세양청구마을,1997,16200,2010,1,8,84.99,2,삼산동,172-1,31140,,,
수암한라에이스빌,2003,16625,2010,1,8,59.6521,9,야음동,701-1,31140,,,
시원다이너스티빌리지,2001,13000,2010,1,8,68.56,7,달동,861-1,31140,,,
울산옥현주공2,2000,11000,2010,1,8,59.89,1,무거동,478-1,31140,,,
울산옥현주공2,2000,25500,2010,1,8,84.84,10,무거동,478-1,31140,,,
울산옥현주공2,2000,15800,2010,1,8,59.89,5,무거동,478-1,31140,,,
임창베네시안,2005,18500,2010,1,8,84.91,6,신정동,1211-7,31140,,,
굴화주공1,1997,12600,2010,1,9,59.99,12,무거동,275-1,31140,,,
대공원I'PARK(2단지),1994,13900,2010,1,9,59.94,7,신정동,1676,31140,,,
도성,1987,9600,2010,1,9,50.25,1,옥동,1386,31140,,,
옥현으뜸마을주공3,2001,16900,2010,1,9,59.78,14,무거동,488-13,31140,,,
옥현으뜸마을주공3,2001,16000,2010,1,9,59.84,12,무거동,488-13,31140,,,
울산옥현1주공,2000,13900,2010,1,9,59.89,2,무거동,477-1,31140,,,
울산옥현1주공,2000,14400,2010,1,9,59.89,15,무거동,477-1,31140,,,
한진전원1차,1994,11200,2010,1,9,59.64,3,옥동,581-6,31140,,,
도성타운,1991,8400,2010,1,10,60.435,3,옥동,1385-4,31140,,,
문수로IPARK1,2003,56800,2010,1,10,134.3958,18,신정동,1639-1,31140,,,
문수로IPARK2,2003,48900,2010,1,10,119.0606,16,신정동,1639-51,31140,,,
삼환나띠르빌,2005,15000,2010,1,10,84.9707,1,야음동,489-18,31140,,,
신정현대홈타운4,2001,21100,2010,1,10,81.87,18,신정동,851-20,31140,,,
아름다운풍경,2007,12300,2010,1,10,84.776,3,야음동,831-8,31140,,,
올림푸스골든(1680),1989,22500,2010,1,10,84.875,3,신정동,1680,31140,,,
평창2차현대,1994,20000,2010,1,10,84.93,3,삼산동,1547,31140,,,
평창2차현대,1994,16450,2010,1,10,84.85,1,삼산동,1547,31140,,,
한라무지개,1993,8000,2010,1,10,59.595,6,신정동,899-1,31140,,,
그린파크,1984,11500,2010,1,11,83.13,1,신정동,1560-14,31140,,,
달동SKVIEW,1999,15800,2010,1,11,59.76,6,달동,809-1,31140,,,
달동현대,1991,12000,2010,1,11,54.66,10,달동,1352-4,31140,,,
보라,1985,8350,2010,1,11,60.29,3,야음동,490-2,31140,,,
서강파크(A~C동),1989,13600,2010,1,11,84.24,15,옥동,185,31140,,,
세양청구마을,1997,18500,2010,1,11,84.99,17,삼산동,172-1,31140,,,
시원다이너스티빌리지,2001,18800,2010,1,11,97.97,3,달동,861-1,31140,,,
시원다이너스티빌리지,2001,12500,2010,1,11,68.56,3,달동,861-1,31140,,,
신선,1995,7750,2010,1,11,46.53,9,야음동,796-17,31140,,,
신정현대홈타운1,1999,15600,2010,1,11,59.97,7,야음동,594-37,31140,,,
영남행복맨션,1992,3650,2010,1,11,33.75,1,무거동,564-1,31140,,,
올림푸스골든(1680),1989,23200,2010,1,11,84.95,5,신정동,1680,31140,,,
일동미라주,2004,25000,2010,1,11,84.7489,7,야음동,725-1,31140,,,
평창현대3차아파트,1995,22400,2010,1,11,84.99,18,삼산동,1538-2,31140,,,
한라전원,1988,9300,2010,1,11,62.13,4,선암동,679-3,31140,,,
현대문화1차,1996,9100,2010,1,11,59.76,4,삼산동,1605-3,31140,,,
굴화주공1,1997,11500,2010,1,12,59.99,11,무거동,275-1,31140,,,
굴화주공1,1997,10400,2010,1,12,59.99,15,무거동,275-1,31140,,,
다흥그린빌,2005,17900,2010,1,12,81.865,11,신정동,633-17,31140,,,
도성,1987,9800,2010,1,12,50.25,5,옥동,1386,31140,,,
무거청구맨션,1997,16500,2010,1,12,84.87,18,무거동,1551,31140,,,
무거한라1차,1996,10800,2010,1,12,59.4,19,무거동,1535-1,31140,,,
무거한라1차,1996,13700,2010,1,12,84.81,3,무거동,1535-1,31140,,,
무거현대,1995,12000,2010,1,12,84.96,3,무거동,832-2,31140,,,
문수로IPARK2,2003,39700,2010,1,12,101.5519,12,신정동,1639-51,31140,,,
벽산강변타운,1998,13800,2010,1,12,59.925,6,삼산동,1529-1,31140,,,
삼호,1992,8300,2010,1,12,59.65,5,무거동,1183-1,31140,,,
신보파크빌,2003,16800,2010,1,12,84.8221,6,신정동,795-1,31140,,,
신정현대홈타운4,2001,9900,2010,1,12,40.8,9,신정동,851-20,31140,,,
옥동현대아파트2단지,1997,17300,2010,1,12,84.506,17,옥동,182,31140,,,
우성,1991,17000,2010,1,12,84.99,9,삼산동,1461-1,31140,,,
울산옥현1주공,2000,14900,2010,1,12,59.89,6,무거동,477-1,31140,,,
현대3차,1995,12700,2010,1,12,59.89,3,달동,1371-1,31140,,,
굴화주공1,1997,12200,2010,1,13,59.99,9,무거동,275-1,31140,,,
금오그린,1998,11000,2010,1,13,59.75,8,옥동,281-1,31140,,,
달동주공1단지,1993,11250,2010,1,13,49.77,10,달동,118-3,31140,,,
달동주공2단지,1993,7800,2010,1,13,38.64,14,달동,119-1,31140,,,
달동주공2단지,1993,7050,2010,1,13,38.64,1,달동,119-1,31140,,,
대공원I'PARK(2단지),1994,22000,2010,1,13,84.96,5,신정동,1676,31140,,,
대공원롯데인벤스가1단지,2006,39500,2010,1,13,84.9306,5,옥동,130,31140,,,
동문아뮤티,2009,49950,2010,1,13,108.3,14,신정동,1874,31140,,,
동부2,1996,20300,2010,1,13,84.93,18,야음동,789-9,31140,,,
동부3,1996,25000,2010,1,13,104.23,18,야음동,789-6,31140,,,
